gratis 	 adjective 	 charge 	 free, without charge
ate 	 noun 	 cooking 	 a kind of Mexican jelly candy made by cooking fruit pulp, usually from guava, quince, peach or prickly pear
ate 	 noun 	 pulp 	 a kind of Mexican jelly candy made by cooking fruit pulp, usually from guava, quince, peach or prickly pear
ate 	 noun 	 prickly pear 	 a kind of Mexican jelly candy made by cooking fruit pulp, usually from guava, quince, peach or prickly pear
ate 	 noun 	 peach 	 a kind of Mexican jelly candy made by cooking fruit pulp, usually from guava, quince, peach or prickly pear
ate 	 noun 	 guava 	 a kind of Mexican jelly candy made by cooking fruit pulp, usually from guava, quince, peach or prickly pear
bongo 	 noun 	 large 	 large canoe
bongo 	 noun 	 canoe 	 large canoe
boy 	 noun 	 male 	 male stripper
boy 	 noun 	 stripper 	 male stripper
irregular 	 adjective 	 uneven 	 irregular, uneven, erratic, haphazard
irregular 	 adjective 	 haphazard 	 irregular, uneven, erratic, haphazard
irregular 	 adjective 	 erratic 	 irregular, uneven, erratic, haphazard
irregular 	 adjective 	 jagged 	 patchy, spotty, jagged, ragged
irregular 	 adjective 	 ragged 	 patchy, spotty, jagged, ragged
irregular 	 adjective 	 patchy 	 patchy, spotty, jagged, ragged
irregular 	 adjective 	 spotty 	 patchy, spotty, jagged, ragged
irregular 	 adjective 	 fitful 	 fitful
regular 	 adjective 	 even 	 regular, steady, even
regular 	 adjective 	 steady 	 regular, steady, even
regular 	 adjective 	 fair 	 fair, fairly good, average
regular 	 adjective 	 fairly 	 fair, fairly good, average
regular 	 adjective 	 average 	 fair, fairly good, average
regular 	 adjective 	 common 	 common, ordinary, middling, so-so
regular 	 adjective 	 so-so 	 common, ordinary, middling, so-so
regular 	 adjective 	 middling 	 common, ordinary, middling, so-so
regular 	 adjective 	 ordinary 	 common, ordinary, middling, so-so
regular 	 verb 	 regulate 	 to regulate
regular 	 verb 	 control 	 to control
regular 	 verb 	 adjust 	 to adjust
regular 	 verb 	 order 	 to put in order
regular 	 verb 	 put 	 to put in order
kiwi 	 noun 	 English 	 kiwi
kiwi 	 noun 	 English 	 kiwi
yanqui 	 noun 	 Yankee 	 Yankee
yanqui 	 adjective 	 Yankee 	 Yankee
estadounidense 	 noun 	 American 	 citizen of the United States of America; American
estadounidense 	 noun 	 United States 	 citizen of the United States of America; American
estadounidense 	 adjective 	 Usonian 	 of the United States of America; American; Usonian
estadounidense 	 adjective 	 United States 	 of the United States of America; American; Usonian
gringo 	 noun 	 foreigner 	 a foreigner whose native language is not Spanish
as 	 noun 	 ace 	 an ace
as 	 noun 	 hotshot 	 an ace, a hotshot
as 	 noun 	 ace 	 an ace, a hotshot
mundo 	 noun 	 world 	 world, earth
mundo 	 noun 	 earth 	 world, earth
mundo 	 noun 	 world 	 world, globe
mundo 	 noun 	 globe 	 world, globe
mundo 	 noun 	 world 	 world
mundo 	 noun 	 world 	 world
was 	 noun 	 message 	 A message sent or received over WhatsApp
son 	 noun 	 tone 	 tone
pariente 	 noun 	 relative 	 relative, relation
pariente 	 noun 	 relation 	 relative, relation
pariente 	 noun 	 partner 	 partner
pariente 	 noun 	 parent 	 parents
non 	 adjective 	 odd 	 odd
car 	 adverb 	 because 	 because
hot 	 adjective 	 sexy 	 hot; sexy
cool 	 adjective 	 English 	 cool
men 	 noun 	 dude 	 dude
habitable 	 adjective 	 inhabitable 	 habitable, inhabitable
habitual 	 adjective 	 English 	 habitual
habitual 	 noun 	 beans 	 beans
hacienda 	 noun 	 treasury 	 treasury
hacienda 	 noun 	 livestock 	 livestock
anterior 	 adjective 	 earlier 	 anterior , previous, earlier, former, past
anterior 	 adjective 	 past 	 anterior , previous, earlier, former, past
anterior 	 adjective 	 former 	 anterior , previous, earlier, former, past
anterior 	 adjective 	 previous 	 anterior , previous, earlier, former, past
chocolate 	 noun 	 hashish 	 hashish
tan 	 adverb 	 as 	 so, as
tan 	 adverb 	 so 	 so, as
tan 	 determiner 	 such 	 such, such a
sombrero 	 noun 	 hat 	 hat
tamale 	 noun 	 English 	 tamale
pupa 	 noun 	 cold sore 	 bump, especially a cold sore
pupa 	 noun 	 bump 	 bump, especially a cold sore
pupa 	 noun 	 boo-boo 	 boo-boo
coral 	 noun 	 English 	 coral
coral 	 noun 	 coral vine 	 coral vine
coral 	 adjective 	 choral 	 choral
coral 	 noun 	 chorale 	 chorale
mosquito 	 noun 	 gnat 	 gnat
mosquito 	 noun 	 trimmer 	 trimmer
civil 	 adjective 	 English 	 civil
sepia 	 noun 	 cuttlefish 	 cuttlefish
guacamole 	 noun 	 English 	 guacamole
tortilla 	 noun 	 Spanish omelette 	 Spanish omelette, tortilla
tortilla 	 noun 	 omelette 	 omelette
carne 	 noun 	 flesh 	 flesh, the soft part of a body which covers the bones
carne 	 noun 	 meat 	 an animal’s meat, or by extension the edible “fleshy” or soft part of a fruit or vegetable
salsa 	 noun 	 gravy 	 sauce, gravy
salsa 	 noun 	 sauce 	 sauce, gravy
marina 	 noun 	 navy 	 navy
lupus 	 noun 	 English 	 lupus
plaza 	 noun 	 town square 	 plaza, town square
plaza 	 noun 	 fortified 	 fortified town
plaza 	 noun 	 town 	 fortified town
plaza 	 noun 	 position 	 position
plaza 	 noun 	 bullring 	 bullring
plaza 	 noun 	 mall 	 mall, shopping center
plaza 	 noun 	 shopping center 	 mall, shopping center
dub 	 noun 	 English 	 dub
abuela 	 noun 	 grandmother 	 grandmother, abuelo
abuelo 	 noun 	 grandfather 	 grandfather
abuelo 	 noun 	 elderly 	 an elderly person
abuelo 	 noun 	 tuft 	 loose tufts of hair in the nape when one's hair is messed up
abuelo 	 noun 	 nape 	 loose tufts of hair in the nape when one's hair is messed up
abuelo 	 noun 	 hair 	 loose tufts of hair in the nape when one's hair is messed up
barato 	 adjective 	 inexpensive 	 cheap; inexpensive; sold at a low price
barato 	 adjective 	 cheap 	 cheap; inexpensive; sold at a low price
bosque 	 noun 	 forest 	 forest
beso 	 noun 	 kiss 	 kiss
ajo 	 noun 	 garlic 	 garlic
ajo 	 noun 	 curse word 	 profanity, curse word
ajo 	 noun 	 profanity 	 profanity, curse word
aceite 	 noun 	 oil 	 oil
aceite 	 noun 	 olive oil 	 olive oil
amiga 	 noun 	 friend 	 amigo, friend
friend 	 noun 	 cam 	 cam
novia 	 noun 	 girlfriend 	 novio, girlfriend
novia 	 noun 	 fiancée 	 novio, fiancée
novia 	 noun 	 bride 	 novio, bride
novio 	 noun 	 boyfriend 	 boyfriend
novio 	 noun 	 fiancé 	 fiancé
novio 	 noun 	 groom 	 bridegroom, groom
novio 	 noun 	 bridegroom 	 bridegroom, groom
familia 	 noun 	 family 	 family
familia 	 noun 	 family 	 family
gripe 	 noun 	 flu 	 flu, influenza
gripe 	 noun 	 influenza 	 flu, influenza
grito 	 noun 	 scream 	 a cry, a yell, a scream
grito 	 noun 	 cry 	 a cry, a yell, a scream
grito 	 noun 	 yell 	 a cry, a yell, a scream
grupo 	 noun 	 group 	 group
grupo 	 noun 	 team 	 party, team, crew, gang, squad, when interchangeable with "group&quot
grupo 	 noun 	 gang 	 party, team, crew, gang, squad, when interchangeable with "group&quot
grupo 	 noun 	 squad 	 party, team, crew, gang, squad, when interchangeable with "group&quot
grupo 	 noun 	 party 	 party, team, crew, gang, squad, when interchangeable with "group&quot
grupo 	 noun 	 crew 	 party, team, crew, gang, squad, when interchangeable with "group&quot
grupo 	 noun 	 pool 	 cluster, bunch, clump, pool, grouping, lot, batch
grupo 	 noun 	 batch 	 cluster, bunch, clump, pool, grouping, lot, batch
grupo 	 noun 	 cluster 	 cluster, bunch, clump, pool, grouping, lot, batch
grupo 	 noun 	 bunch 	 cluster, bunch, clump, pool, grouping, lot, batch
grupo 	 noun 	 clump 	 cluster, bunch, clump, pool, grouping, lot, batch
grupo 	 noun 	 grouping 	 cluster, bunch, clump, pool, grouping, lot, batch
grupo 	 noun 	 lot 	 cluster, bunch, clump, pool, grouping, lot, batch
grupo 	 noun 	 bracket 	 bracket
grupo 	 noun 	 caucus 	 caucus non-electoral
grupo 	 noun 	 circle 	 circle, collection
grupo 	 noun 	 collection 	 circle, collection
grupo 	 noun 	 band 	 band
grupo 	 noun 	 lie 	 guile, lie
grupo 	 noun 	 guile 	 guile, lie
voz 	 noun 	 s:es:El poeta habla por teléfono con el amor 	 * 1935/1936, Federico García Lorca, El poeta habla por teléfono con el amor
ventana 	 noun 	 window 	 window
ventana 	 noun 	 window frame 	 window frame
ventana 	 noun 	 window 	 window
ventana 	 noun 	 nostril 	 nostril
ventana 	 noun 	 gap 	 small gap or opening; forest clearing
ventana 	 noun 	 clearing 	 small gap or opening; forest clearing
ventana 	 noun 	 opening 	 small gap or opening; forest clearing
balido 	 noun 	 bleat 	 The sound of a sheep, lamb, goat, deer; baa, bleat
balido 	 noun 	 sheep 	 The sound of a sheep, lamb, goat, deer; baa, bleat
balido 	 noun 	 baa 	 The sound of a sheep, lamb, goat, deer; baa, bleat
balido 	 noun 	 deer 	 The sound of a sheep, lamb, goat, deer; baa, bleat
balido 	 noun 	 lamb 	 The sound of a sheep, lamb, goat, deer; baa, bleat
balido 	 noun 	 goat 	 The sound of a sheep, lamb, goat, deer; baa, bleat
so 	 pronoun 	 you 	 you emphatic, derogatory
so 	 interjection 	 English 	 so
so 	 interjection 	 whoa 	 whoa!
touch 	 adjective 	 touch-screen 	 touch; touch-screen
ca 	 noun 	 alternating current 	 |AC or alternating current
ca 	 noun 	 AC 	 |AC or alternating current
ca 	 noun 	 comunidad autónoma 	 comunidad autónoma
ca 	 noun 	 centro de alumnos 	 centro de alumnos
acre 	 adjective 	 pungent 	 bitter; acrid; pungent
acre 	 adjective 	 bitter 	 bitter; acrid; pungent
acre 	 adjective 	 acrid 	 bitter; acrid; pungent
acre 	 adjective 	 caustic 	 caustic
ver 	 verb 	 spot 	 to see , to spot
ver 	 verb 	 see 	 to see , to spot
ver 	 verb 	 view 	 to see, to look at, to view
ver 	 verb 	 look at 	 to see, to look at, to view
ver 	 verb 	 see 	 to see, to look at, to view
ver 	 verb 	 observe 	 to see, to tell, to observe
ver 	 verb 	 tell 	 to see, to tell, to observe
ver 	 verb 	 see 	 to see, to tell, to observe
ver 	 verb 	 check 	 to see, to check
ver 	 verb 	 see 	 to see, to check
ver 	 verb 	 watch 	 to watch
ver 	 verb 	 seem 	 to look, to seem
ver 	 verb 	 look 	 to look, to seem
ver 	 verb 	 picture 	 to see oneself, to picture oneself
ver 	 verb 	 see 	 to see oneself, to picture oneself
ver 	 verb 	 be 	 to find oneself, to be
ver 	 verb 	 find 	 to find oneself, to be
ver 	 verb 	 see 	 to see one another
twit 	 noun 	 tweet 	 tweet
granada 	 noun 	 pomegranate 	 pomegranate
granada 	 noun 	 hand grenade 	 hand grenade
granada 	 noun 	 shell 	 shell
gracias 	 interjection 	 thank you 	 thank you
gracia 	 noun 	 grace 	 grace, charm
gracia 	 noun 	 charm 	 grace, charm
gracia 	 noun 	 gracia 	 insipidez, falta de gracia , desgracia
gracia 	 noun 	 falta 	 insipidez, falta de gracia , desgracia
gracia 	 noun 	 mercy 	 mercy
gracia 	 noun 	 humor 	 good humor
gracia 	 noun 	 punch line 	 punch line of a joke or story
gracia 	 noun 	 story 	 punch line of a joke or story
gracia 	 noun 	 joke 	 punch line of a joke or story
gracia 	 noun 	 pardon 	 pardon
plata 	 adjective 	 argent 	 argent
plata 	 noun 	 silver 	 silver
plata 	 noun 	 money 	 money
burro 	 noun 	 donkey 	 donkey, especially one used as a pack animal
burro 	 noun 	 idiot 	 a dunce, an idiot
burro 	 noun 	 dunce 	 a dunce, an idiot
burro 	 noun 	 well hung 	 a well hung man
burro 	 noun 	 sawhorse 	 sawhorse
burro 	 noun 	 old maid 	 old maid
burro 	 adjective 	 stupid 	 stupid, foolish
burro 	 adjective 	 foolish 	 stupid, foolish
burro 	 adjective 	 brutish 	 brutish
burro 	 adjective 	 horny 	 horny
burro 	 adjective 	 well-endowed 	 well-endowed
capital 	 adjective 	 death penalty 	 pena capital.|He was sentenced to the death penalty
we 	 noun 	 dude 	 dude, guy, buddy
we 	 noun 	 buddy 	 dude, guy, buddy
we 	 noun 	 guy 	 dude, guy, buddy
we 	 noun 	 chump 	 chump, punk, dumbass, idiot, jerk
we 	 noun 	 punk 	 chump, punk, dumbass, idiot, jerk
we 	 noun 	 jerk 	 chump, punk, dumbass, idiot, jerk
we 	 noun 	 idiot 	 chump, punk, dumbass, idiot, jerk
we 	 noun 	 dumbass 	 chump, punk, dumbass, idiot, jerk
he 	 adverb 	 is 	 here is
he 	 adverb 	 here 	 here is
he 	 adverb 	 behold 	 behold aquí
me 	 pronoun 	 myself 	 |reflexive: myself
mariposa 	 noun 	 butterfly 	 butterfly
mariposa 	 noun 	 homosexual 	 male homosexual
mariposa 	 noun 	 butterfly stroke 	 butterfly stroke
mariposa 	 noun 	 creeping beggarweed 	 creeping beggarweed, noshow=1
pico 	 noun 	 beak 	 beak
pico 	 noun 	 point 	 sharp point
pico 	 noun 	 pick 	 pick, pickaxe
pico 	 noun 	 pickaxe 	 pick, pickaxe
pico 	 noun 	 summit 	 peak, summit
pico 	 noun 	 peak 	 peak, summit
pico 	 noun 	 spout 	 spout
pico 	 noun 	 little 	 a bit, a little
pico 	 noun 	 bit 	 a bit, a little
pico 	 noun 	 crest 	 crest
pico 	 noun 	 penis 	 penis
pico 	 noun 	 kiss 	 kiss
pico 	 noun 	 trap 	 trap; gob
pico 	 noun 	 gob 	 trap; gob
molar 	 verb 	 rule 	 to rule, rock
molar 	 verb 	 rock 	 to rule, rock
pants 	 noun 	 English 	 pants
re 	 noun 	 English 	 re
re 	 adverb 	 very 	 very
magia 	 noun 	 magic 	 magic
magia 	 noun 	 spell 	 spell, charm, conjuration
magia 	 noun 	 charm 	 spell, charm, conjuration
magia 	 noun 	 conjuration 	 spell, charm, conjuration
magia 	 noun 	 wizardry 	 wizardry
gracias a dios 	 adverb 	 thanks be 	 thanks be to God, thank God
gracias a dios 	 adverb 	 thank God 	 thanks be to God, thank God
loco 	 adjective 	 crazy 	 crazy, insane, mad, nuts asserting that something is out of place in the head
loco 	 adjective 	 mad 	 crazy, insane, mad, nuts asserting that something is out of place in the head
loco 	 adjective 	 insane 	 crazy, insane, mad, nuts asserting that something is out of place in the head
loco 	 adjective 	 nuts 	 crazy, insane, mad, nuts asserting that something is out of place in the head
loco 	 adjective 	 risky 	 rash, risky, imprudent
loco 	 adjective 	 imprudent 	 rash, risky, imprudent
loco 	 adjective 	 rash 	 rash, risky, imprudent
loco 	 adjective 	 terrific 	 tremendous, terrific, huge, enormous
loco 	 adjective 	 tremendous 	 tremendous, terrific, huge, enormous
loco 	 adjective 	 huge 	 tremendous, terrific, huge, enormous
loco 	 adjective 	 enormous 	 tremendous, terrific, huge, enormous
loco 	 adjective 	 overgrown 	 overgrown, rambling
loco 	 adjective 	 rambling 	 overgrown, rambling
loco 	 adjective 	 loose 	 loose pipe fittings, pulley
loco 	 adjective 	 sexy 	 sexy only with "ser" e.g. "soy loco&quot
loco 	 noun 	 crazy 	 a crazy person; a madman
loco 	 noun 	 madman 	 a crazy person; a madman
loco 	 noun 	 homosexual 	 a highly affected homosexual; fruit
loco 	 noun 	 fruit 	 a highly affected homosexual; fruit
loco 	 noun 	 Astragalus 	 a plant in the genus Astragalus or Oxytropis
loco 	 noun 	 Oxytropis 	 a plant in the genus Astragalus or Oxytropis
loco 	 noun 	 gastropod 	 Chilean edible gastropod mollusk that resembles abalone but is, in fact, a muricid
loco 	 noun 	 mollusk 	 Chilean edible gastropod mollusk that resembles abalone but is, in fact, a muricid
loco 	 noun 	 abalone 	 Chilean edible gastropod mollusk that resembles abalone but is, in fact, a muricid
loco 	 noun 	 muricid 	 Chilean edible gastropod mollusk that resembles abalone but is, in fact, a muricid
lampa 	 noun 	 hoe 	 hoe
juramento 	 noun 	 oath 	 an oath
juramento 	 noun 	 statement 	 a sworn statement
juramento 	 noun 	 sworn 	 a sworn statement
justicia 	 noun 	 justice 	 justice
justicia 	 noun 	 righteousness 	 righteousness
justicia 	 noun 	 law 	 the law
juez 	 noun 	 judge 	 judge
juez 	 noun 	 umpire 	 umpire; referee; official
juez 	 noun 	 referee 	 umpire; referee; official
