preposition 	 on 	 in 	 in 	  	 in
determiner 	 eower 	  	  	 your plural, y'all's 	 
pronoun 	 ġit 	 you 	 you 	  	 you
preposition 	 te 	  	  	  	 
pronoun 	 hwæt 	 what 	 what 	  	 what
preposition 	 til 	  	  	  	 
conjunction 	 oþ 	  	  	 until 	 
preposition 	 oþ 	 until 	 until 	  	 until
interjection 	 tela 	  	  	 well! good! 	 
pronoun 	 þi 	  	  	  	 
determiner 	 þi 	  	  	  	 
conjunction 	 siþ 	  	  	 after 	 
preposition 	 siþ 	  	  	  	 
pronoun 	 heom 	  	  	 him:  him/it/them 	 
pronoun 	 feola 	  	  	  	 
pronoun 	 hym 	  	  	 him:  him/it/them 	 
pronoun 	 alles 	  	  	  	 
pronoun 	 iow 	  	  	  	 
preposition 	 forþ 	  	  	  	 
pronoun 	 sin 	  	  	 his; her; its; their 	 
interjection 	 erce 	  	  	 holy 	 
preposition 	 gehende 	  	  	  	 
interjection 	 loc 	  	  	  	 
preposition 	 into 	  	  	  	 
pronoun 	 þeo 	  	  	  	 
interjection 	 loca 	  	  	 look, see here 	 
preposition 	 mið 	  	  	  	 
pronoun 	 hiere 	  	  	  	 
