gratis 	 adverb 	 free 	 gratis, free
libero 	 adjective 	 clear 	 clear, unobstructed without blockages
libero 	 adjective 	 obligation 	 free without obligations
libero 	 adjective 	 free 	 free that does not have to be paid for
libero 	 noun 	 sweeper 	 sweeper
tao 	 noun 	 Tao 	 Tao
andante 	 adjective 	 walking 	 going, walking
andante 	 adjective 	 going 	 going, walking
andante 	 adjective 	 current 	 current
andante 	 adjective 	 unbroken 	 continuous, unbroken
andante 	 adjective 	 continuous 	 continuous, unbroken
andante 	 adjective 	 ordinary 	 ordinary, of little value
andante 	 adjective 	 agile 	 agile
stock 	 noun 	 English 	 stock, goods in supply, inventory
stock 	 noun 	 inventory 	 stock, goods in supply, inventory
aria 	 noun 	 countenance 	 look, appearance, countenance
aria 	 noun 	 appearance 	 look, appearance, countenance
aria 	 noun 	 look 	 look, appearance, countenance
aria 	 noun 	 song 	 aria, song
aria 	 noun 	 aria 	 aria, song
arietta 	 noun 	 breeze 	 breeze
arietta 	 noun 	 English 	 arietta
guerra 	 noun 	 warfare 	 war, warfare
guerra 	 noun 	 war 	 war, warfare
country 	 noun 	 country music 	 country music
euro 	 noun 	 Eurus 	 scirocco: Eurus
deficit 	 noun 	 English 	 deficit
big 	 noun 	 star 	 star
big 	 noun 	 big shot 	 big shot, big noise
big 	 noun 	 big noise 	 big shot, big noise
monetario 	 adjective 	 monetary 	 monetary
acacia 	 noun 	 sweet acacia 	 sweet acacia
acacia 	 noun 	 black locust 	 black locust
sms 	 noun 	 SMS 	 SMS
wireless 	 noun 	 English 	 wireless
wireless 	 adjective 	 English 	 wireless
ci 	 pronoun 	 us 	 us
ci 	 pronoun 	 each other 	 ourselves; each other
ci 	 pronoun 	 ourselves 	 ourselves; each other
ci 	 pronoun 	 us 	 to us
ci 	 pronoun 	 one 	 |one before reflexive |oneself; one
ci 	 adverb 	 here 	 to there, here,  there
ci 	 adverb 	 there 	 to there, here,  there
ci 	 noun 	 family 	 The Twi language family
ci 	 noun 	 language 	 The Twi language family
comma 	 noun 	 subparagraph 	 subsection, subparagraph
comma 	 noun 	 subsection 	 subsection, subparagraph
comma 	 noun 	 English 	 comma
gas 	 noun 	 carbon dioxide 	 carbon dioxide
gas 	 noun 	 petrol 	 petrol
gas 	 noun 	 poison gas 	 poison gas
mi 	 pronoun 	 meEnglish 	 me
mi 	 pronoun 	 meEnglish 	 me
mi 	 noun 	 English 	 The third note, mi
mi 	 noun 	 mu 	 mu
indice 	 noun 	 forefinger 	 index, index finger, forefinger
indice 	 noun 	 index finger 	 index, index finger, forefinger
indice 	 noun 	 index 	 index, index finger, forefinger
indice 	 noun 	 rate 	 index, rate, rating
indice 	 noun 	 rating 	 index, rate, rating
indice 	 noun 	 indication 	 indication, sign
indice 	 noun 	 sign 	 indication, sign
indice 	 noun 	 pointer 	 indicator, pointer
indice 	 noun 	 indicator 	 indicator, pointer
vi 	 pronoun 	 you 	 second-person personal plural object pronoun: you, to you
vi 	 pronoun 	 yourselves 	 second-person reflexive plural: yourselves
vi 	 pronoun 	 it 	 it; about it, of it, on it
vi 	 adverb 	 there 	 there
vi 	 adverb 	 here 	 here
bio 	 adjective 	 biological 	 biologico; organic, biological
bio 	 adjective 	 organic 	 biologico; organic, biological
ace 	 noun 	 w:Fruit juice 	 a flavour of fruit juice, mainly formed by orange, carrot and lemon juice
ace 	 noun 	 w:Lemon 	 a flavour of fruit juice, mainly formed by orange, carrot and lemon juice
ace 	 noun 	 w:Orange 	 a flavour of fruit juice, mainly formed by orange, carrot and lemon juice
ace 	 noun 	 w:Carrot 	 a flavour of fruit juice, mainly formed by orange, carrot and lemon juice
shuttle 	 noun 	 space shuttle 	 space shuttle
retrovirus 	 noun 	 English 	 retrovirus
gag 	 noun 	 gag 	 gag, joke
gag 	 noun 	 joke 	 gag, joke
bancario 	 adjective 	 bank 	 bank
night 	 noun 	 nightclub 	 nightclub
baby 	 noun 	 child 	 child, baby, neonate
baby 	 noun 	 neonate 	 child, baby, neonate
baby 	 noun 	 shot 	 a small shot of whisky
baby 	 noun 	 whisky 	 a small shot of whisky
baby 	 noun 	 tripod 	 tripod for a film camera
baby 	 adjective 	 young 	 Very young
stand 	 noun 	 booth 	 stand, booth, stall, pavilion
stand 	 noun 	 English 	 stand, booth, stall, pavilion
stand 	 noun 	 stall 	 stand, booth, stall, pavilion
stand 	 noun 	 pavilion 	 stand, booth, stall, pavilion
stand 	 noun 	 English 	 stand, gallery
stand 	 noun 	 gallery 	 stand, gallery
stand 	 noun 	 English 	 stand, case
stand 	 noun 	 case 	 stand, case
stand 	 noun 	 stall 	 stall
emoticon 	 noun 	 English 	 emoticon
yeti 	 noun 	 English 	 yeti
radar 	 noun 	 English 	 radar
presidente 	 noun 	 chief 	 chairman, chairperson, chair, chief
presidente 	 noun 	 chairperson 	 chairman, chairperson, chair, chief
presidente 	 noun 	 chair 	 chairman, chairperson, chair, chief
presidente 	 noun 	 chairman 	 chairman, chairperson, chair, chief
presidente 	 noun 	 president 	 president
dilettante 	 noun 	 amateur 	 amateur
dilettante 	 noun 	 English 	 dilettante
dilettante 	 adjective 	 amateur 	 amateur
dare 	 verb 	 give 	 to give, to transfer the possession/holding of something to someone else
dare 	 verb 	 return 	 to yield, to bear, to give, to produce, to return
dare 	 verb 	 yield 	 to yield, to bear, to give, to produce, to return
dare 	 verb 	 bear 	 to yield, to bear, to give, to produce, to return
dare 	 verb 	 produce 	 to yield, to bear, to give, to produce, to return
dare 	 noun 	 debit 	 debit
tigre 	 noun 	 tiger 	 tiger male or female
tuba 	 noun 	 English 	 tuba
tuba 	 noun 	 top hat 	 top hat
tuba 	 noun 	 tube 	 tube
cane 	 noun 	 dog 	 dog, male dog
cane 	 noun 	 hammer 	 hammer
cane 	 adjective 	 biting 	 of cold freezing, biting
cane 	 adjective 	 freezing 	 of cold freezing, biting
cane 	 adjective 	 awful 	 of pain terrible, dreadful, awful
cane 	 adjective 	 dreadful 	 of pain terrible, dreadful, awful
cane 	 adjective 	 terrible 	 of pain terrible, dreadful, awful
tempo 	 noun 	 time 	 time
tempo 	 noun 	 period 	 time, age, period
tempo 	 noun 	 time 	 time, age, period
tempo 	 noun 	 age 	 time, age, period
tempo 	 noun 	 part 	 part
tempo 	 noun 	 weather 	 weather
tempo 	 noun 	 pulse 	 time, tempo, rhythm, beat, pulse
tempo 	 noun 	 beat 	 time, tempo, rhythm, beat, pulse
tempo 	 noun 	 rhythm 	 time, tempo, rhythm, beat, pulse
tempo 	 noun 	 time 	 time, tempo, rhythm, beat, pulse
tempo 	 noun 	 tense 	 tense
secondo 	 adjective 	 second 	 second
secondo 	 adjective 	 second 	 the second
secondo 	 noun 	 second 	 second
secondo 	 noun 	 executive officer 	 second mate, executive officer
secondo 	 noun 	 second mate 	 second mate, executive officer
secondo 	 noun 	 main course 	 main course
secondo 	 noun 	 latter 	 latter
musical 	 noun 	 English 	 musical
nature 	 adjective 	 natural 	 natural
or 	 adverb 	 archaic 	 ora , used almost exclusively in the archaic forms or ora  and or sono , the latter with an indication of the time elapsed until the present
or 	 adverb 	 w:Ugo Foscolo 	 — Ugo Foscolo
tennis 	 noun 	 English 	 tennis
regime 	 noun 	 régime 	 regime, régime
regime 	 noun 	 regimen 	 regimen
zebra 	 noun 	 zebra crossing 	 zebra crossing
alpaca 	 noun 	 wool 	 A fabric made out of a mixture of wool and cotton
alpaca 	 noun 	 fabric 	 A fabric made out of a mixture of wool and cotton
alpaca 	 noun 	 cotton 	 A fabric made out of a mixture of wool and cotton
yak 	 noun 	 English 	 A yak
lama 	 noun 	 blade 	 blade
lama 	 noun 	 llama 	 llama
lama 	 noun 	 bog 	 bog, fen
lama 	 noun 	 fen 	 bog, fen
koala 	 noun 	 English 	 koala
impala 	 noun 	 English 	 impala, pallah, roodebok
impala 	 noun 	 pallah 	 impala, pallah, roodebok
impala 	 noun 	 roodebok 	 impala, pallah, roodebok
boy 	 noun 	 dancer 	 a male ballet dancer
boy 	 noun 	 ballet 	 a male ballet dancer
boy 	 noun 	 bellboy 	 a bellboy in a hotel
copula 	 noun 	 conjunction 	 conjunction
kiwi 	 noun 	 kiwi fruit 	 kiwi fruit
kiwi 	 noun 	 English 	 kiwi
qua 	 adverb 	 here 	 here
abaco 	 noun 	 abacus 	 abacus
abaco 	 noun 	 multiplication table 	 multiplication table
abaco 	 noun 	 art 	 The art of counting
abaco 	 noun 	 counting 	 The art of counting
abaco 	 noun 	 pottery 	 A board used to display pottery during banquets
abaco 	 noun 	 display 	 A board used to display pottery during banquets
abaco 	 noun 	 banquet 	 A board used to display pottery during banquets
abaco 	 noun 	 board 	 A board used to display pottery during banquets
abaco 	 noun 	 abacus 	 abacus
abaco 	 noun 	 abacus 	 abacus
west 	 noun 	 West 	 West
non 	 adverb 	 not 	 not
non 	 adverb 	 un- 	 un-
non 	 adverb 	 don't 	 don't
iceberg 	 noun 	 icebergEnglish 	 iceberg
male 	 adverb 	 wrongly 	 badly, wrongly
male 	 adverb 	 badly 	 badly, wrongly
male 	 noun 	 harm 	 evil, harm
male 	 noun 	 evil 	 evil, harm
male 	 noun 	 ache 	 pain, ache, illness, sickness, disease
male 	 noun 	 sickness 	 pain, ache, illness, sickness, disease
male 	 noun 	 illness 	 pain, ache, illness, sickness, disease
male 	 noun 	 pain 	 pain, ache, illness, sickness, disease
male 	 noun 	 disease 	 pain, ache, illness, sickness, disease
finale 	 adjective 	 final 	 final, ending
finale 	 adjective 	 ending 	 final, ending
finale 	 noun 	 end 	 end, ending, conclusion
finale 	 noun 	 ending 	 end, ending, conclusion
finale 	 noun 	 conclusion 	 end, ending, conclusion
finale 	 noun 	 finish 	 finish
finale 	 noun 	 final 	 final, finals
finale 	 noun 	 finals 	 final, finals
finale 	 noun 	 final 	 last round, final trial
finale 	 noun 	 last 	 last round, final trial
finale 	 noun 	 trial 	 last round, final trial
finale 	 noun 	 round 	 last round, final trial
finale 	 noun 	 final 	 termination, ending, final clause
finale 	 noun 	 termination 	 termination, ending, final clause
finale 	 noun 	 ending 	 termination, ending, final clause
finale 	 noun 	 clause 	 termination, ending, final clause
lob 	 noun 	 English 	 lob
sombrero 	 noun 	 English 	 sombrero
pupa 	 noun 	 doll 	 doll child's toy
caracal 	 noun 	 English 	 caracal
city 	 noun 	 English 	 city
avocado 	 noun 	 English 	 avocado
carne 	 noun 	 flesh 	 meat, flesh
carne 	 noun 	 meat 	 meat, flesh
salsa 	 noun 	 sauce 	 sauce
marina 	 noun 	 coast 	 coast
marina 	 noun 	 seascape 	 seascape
marina 	 noun 	 navy 	 navy
marina 	 noun 	 English 	 marina
marina 	 adjective 	 nautical 	 |f|s|nodot=y,  sea, marine, nautical, seaside
marina 	 adjective 	 seaside 	 |f|s|nodot=y,  sea, marine, nautical, seaside
marina 	 adjective 	 sea 	 |f|s|nodot=y,  sea, marine, nautical, seaside
marina 	 adjective 	 marine 	 |f|s|nodot=y,  sea, marine, nautical, seaside
sequoia 	 noun 	 English 	 sequoia
replica 	 noun 	 answer 	 reply, answer
replica 	 noun 	 reply 	 reply, answer
replica 	 noun 	 objection 	 objection
replica 	 noun 	 repetition 	 repetition
replica 	 noun 	 copy 	 replica, copy
replica 	 noun 	 replica 	 replica, copy
pamphlet 	 noun 	 English 	 pamphlet
ac 	 noun 	 anno Christi 	 anno Christi
ac 	 noun 	 associazione calcio 	 associazione calcio
ac 	 adjective 	 avanti Cristo 	 avanti Cristo
ba 	 interjection 	 bah 	 bah!
ba 	 interjection 	 oh well 	 oh well!
beat 	 adjective 	 English 	 beat
beat 	 noun 	 English 	 beat
ia 	 noun 	 AI 	 AI
acre 	 adjective 	 sharp 	 sharp, sour
acre 	 adjective 	 sour 	 sharp, sour
acre 	 adjective 	 harsh 	 harsh
cicisbeo 	 noun 	 attract 	 A dandy, a vain young man who is concerned about his appearance, especially in order to attract women
cicisbeo 	 noun 	 vain 	 A dandy, a vain young man who is concerned about his appearance, especially in order to attract women
cicisbeo 	 noun 	 appearance 	 A dandy, a vain young man who is concerned about his appearance, especially in order to attract women
cicisbeo 	 noun 	 dandy 	 A dandy, a vain young man who is concerned about his appearance, especially in order to attract women
cicisbeo 	 noun 	 ribbon 	 A kind of ribbon
bwana 	 noun 	 English 	 bwana
burro 	 noun 	 butter 	 butter
gaffe 	 noun 	 English 	 gaffe, blunder, boob
gaffe 	 noun 	 boob 	 gaffe, blunder, boob
gaffe 	 noun 	 blunder 	 gaffe, blunder, boob
handicap 	 noun 	 English 	 handicap
pizza 	 noun 	 bore 	 bore
pizza 	 noun 	 slap 	 slap, smack
pizza 	 noun 	 smack 	 slap, smack
re 	 noun 	 monarch 	 king, male monarch
re 	 noun 	 king 	 king, male monarch
re 	 noun 	 magnate 	 king, magnate
re 	 noun 	 king 	 king, magnate
magia 	 noun 	 magic 	 magic
magia 	 noun 	 charm 	 spell, charm, conjuration
magia 	 noun 	 spell 	 spell, charm, conjuration
magia 	 noun 	 conjuration 	 spell, charm, conjuration
lampa 	 noun 	 lamp 	 lamp
lampa 	 noun 	 light 	 light
moro 	 noun 	 tree 	 mulberry tree
moro 	 noun 	 mulberry 	 mulberry tree
moro 	 noun 	 Moor 	 Moor
moro 	 adjective 	 black 	 black
moro 	 adjective 	 Moorish 	 Moorish
moro 	 adjective 	 skinned 	 dark-skinned
moro 	 adjective 	 dark 	 dark-skinned
lingua franca 	 noun 	 :w:Mediterranean Lingua Franca 	 The Mediterranean Lingua Franca, a common language spoken in Mediterranean ports in centuries past
elegantemente 	 adverb 	 elegantly 	 smartly, elegantly, stylishly
elegantemente 	 adverb 	 smartly 	 smartly, elegantly, stylishly
elegantemente 	 adverb 	 stylishly 	 smartly, elegantly, stylishly
regina 	 noun 	 queen 	 queen
regina 	 noun 	 queen 	 queen
regina 	 noun 	 queen 	 queen
torta 	 noun 	 tart 	 pie, tart, cake or similar
torta 	 noun 	 cake 	 pie, tart, cake or similar
torta 	 noun 	 pie 	 pie, tart, cake or similar
torta 	 noun 	 roundel 	 roundel
torta 	 noun 	 twist 	 The act of twisting
sale 	 noun 	 sal 	 salt, sal
sale 	 noun 	 salt 	 salt, sal
zoom 	 noun 	 English 	 zoom
do 	 noun 	 Noun 2 	 do
saia 	 noun 	 trench 	 A ditch or trench, especially in Sicily
saia 	 noun 	 ditch 	 A ditch or trench, especially in Sicily
saia 	 noun 	 Sicily 	 A ditch or trench, especially in Sicily
ke 	 pronoun 	 what 	 who; which; what; that; than
ke 	 pronoun 	 that 	 who; which; what; that; than
ke 	 pronoun 	 which 	 who; which; what; that; than
ke 	 pronoun 	 than 	 who; which; what; that; than
ke 	 pronoun 	 who 	 who; which; what; that; than
pollo 	 noun 	 chicken 	 chicken
pollo 	 noun 	 chump 	 sucker, chump, dupe or patsy
pollo 	 noun 	 sucker 	 sucker, chump, dupe or patsy
pollo 	 noun 	 patsy 	 sucker, chump, dupe or patsy
pollo 	 noun 	 dupe 	 sucker, chump, dupe or patsy
pollo 	 noun 	 weakling 	 pushover or weakling
pollo 	 noun 	 pushover 	 pushover or weakling
gallo 	 noun 	 cock 	 rooster, cock
gallo 	 noun 	 rooster 	 rooster, cock
gallo 	 adjective 	 Gallic 	 Gallic
rata 	 noun 	 instalment 	 instalment
rato 	 adjective 	 ratified 	 ratified, confirmed
rato 	 adjective 	 confirmed 	 ratified, confirmed
rato 	 adjective 	 approved 	 valid, ratified, approved
rato 	 adjective 	 ratified 	 valid, ratified, approved
rato 	 adjective 	 valid 	 valid, ratified, approved
rapidamente 	 adverb 	 rapidly 	 quickly, rapidly
rapidamente 	 adverb 	 quickly 	 quickly, rapidly
dada 	 noun 	 Dada 	 Dada
dodo 	 noun 	 English 	 dodo
larva 	 noun 	 grub 	 larva, grub
larva 	 noun 	 larvaEnglish 	 larva, grub
larva 	 noun 	 shadow 	 shadow, skeleton
larva 	 noun 	 skeleton 	 shadow, skeleton
break 	 noun 	 English 	 break
break 	 interjection 	 English 	 break!
come 	 adverb 	 how 	 how
come 	 adverb 	 as 	 as, like
come 	 adverb 	 like 	 as, like
come 	 adverb 	 such as 	 such as
come 	 conjunction 	 as soon as 	 as soon as
dove 	 conjunction 	 where 	 where
dove 	 adverb 	 whereabouts 	 where, whereabouts
dove 	 adverb 	 where 	 where, whereabouts
fire 	 verb 	 be 	 to be
account 	 noun 	 English 	 account
tundra 	 noun 	 English 	 tundra
go 	 noun 	 English 	 go
hang 	 noun 	 HangEnglish 	 Hang
pula 	 noun 	 chaff 	 chaff
pula 	 noun 	 police 	 the police, the fuzz, the cops
pula 	 noun 	 cops 	 the police, the fuzz, the cops
pula 	 noun 	 fuzz 	 the police, the fuzz, the cops
cliché 	 noun 	 plate 	 plate
cliché 	 noun 	 English 	 cliché
claque 	 noun 	 claqueEnglish 	 claque
simile 	 adjective 	 similar 	 similar
camera 	 noun 	 chamber 	 room; chamber
camera 	 noun 	 room 	 room; chamber
camera 	 noun 	 bedroom 	 bedroom
camera 	 noun 	 assembly 	 assembly, parliament
camera 	 noun 	 parliament 	 assembly, parliament
business 	 noun 	 English 	 business
card 	 noun 	 English 	 card
body 	 noun 	 leotard 	 leotard
basket 	 noun 	 basketball 	 basketball
bridge 	 noun 	 Etymology_2 	 bridge
remake 	 noun 	 English 	 remake
set 	 noun 	 English 	 set
volatile 	 adjective 	 flying 	 flying
volatile 	 noun 	 fowl 	 bird, fowl
volatile 	 noun 	 bird 	 bird, fowl
spread 	 noun 	 return 	 The difference between returns or between quotations of multiple securities or of the same security over the course of a day
spread 	 noun 	 securities 	 The difference between returns or between quotations of multiple securities or of the same security over the course of a day
spread 	 noun 	 quotation 	 The difference between returns or between quotations of multiple securities or of the same security over the course of a day
spread 	 noun 	 contract awarding 	 A contract awarding which offers the buyer the widest range of bargaining possibilities
spread 	 noun 	 bargaining 	 A contract awarding which offers the buyer the widest range of bargaining possibilities
spread 	 noun 	 buyer 	 A contract awarding which offers the buyer the widest range of bargaining possibilities
strike 	 noun 	 English 	 strike
swing 	 noun 	 English 	 swing
era 	 noun 	 period 	 age, epoch, period
era 	 noun 	 age 	 age, epoch, period
era 	 noun 	 epoch 	 age, epoch, period
ipso facto 	 adverb 	 immediately 	 immediately
ipso facto 	 adverb 	 automatically 	 By that very fact itself; automatically, ipso facto
limo 	 noun 	 slime 	 mud, slime
limo 	 noun 	 mud 	 mud, slime
limo 	 noun 	 silt 	 silt
bitter 	 noun 	 bitters 	 bitters
box 	 noun 	 horsebox 	 horsebox
box 	 noun 	 garage 	 garage, lock-up
box 	 noun 	 lock-up 	 garage, lock-up
box 	 noun 	 pit 	 pit
box 	 noun 	 playpen 	 playpen
benefit 	 noun 	 English 	 benefit, advantage
benefit 	 noun 	 advantage 	 benefit, advantage
base 	 noun 	 baseEnglish 	 base, alkaline
base 	 noun 	 alkaline 	 base, alkaline
base 	 noun 	 basis 	 basis
base 	 noun 	 mainstay 	 mainstay
agreement 	 noun 	 English 	 agreement
vero 	 adjective 	 true 	 true
vero 	 adjective 	 wikiquote:Italian_proverbsS 	 Se non è vero, è ben trovato
vero 	 adjective 	 genuine 	 real, genuine
vero 	 adjective 	 real 	 real, genuine
vero 	 noun 	 truth 	 truth
vermut 	 noun 	 vermouth 	 vermouth
piano 	 adjective 	 level 	 flat, level
piano 	 adjective 	 flat 	 flat, level
piano 	 noun 	 story 	 British, story US
piano 	 noun 	 plot 	 plan, tactic, stratagem, scheme, plot
piano 	 noun 	 stratagem 	 plan, tactic, stratagem, scheme, plot
piano 	 noun 	 tactic 	 plan, tactic, stratagem, scheme, plot
piano 	 noun 	 scheme 	 plan, tactic, stratagem, scheme, plot
piano 	 noun 	 plan 	 plan, tactic, stratagem, scheme, plot
albero 	 noun 	 tree 	 tree
albero 	 noun 	 mast 	 mast
albero 	 noun 	 shaft 	 shaft, spindle
albero 	 noun 	 spindle 	 shaft, spindle
albero 	 noun 	 poplar 	 poplar tree
ortoepia 	 noun 	 orthoepy 	 orthoepy
short 	 noun 	 English 	 short
living 	 noun 	 living room 	 living room
plasma 	 noun 	 plasmaEnglish 	 plasma
metal 	 noun 	 English 	 metal
play 	 noun 	 English 	 play
play 	 interjection 	 tennis 	 used to announce the start a game of tennis
full 	 noun 	 boat 	 full house, boat
full 	 noun 	 full house 	 full house, boat
volume 	 noun 	 volumeEnglish 	 volume it
lift 	 noun 	 elevator 	 lift / elevator operator
lift 	 noun 	 operator 	 lift / elevator operator
lift 	 noun 	 lift 	 lift / elevator operator
lift 	 noun 	 topspin 	 topspin
cute 	 noun 	 cutis 	 Cutis, skin
cute 	 noun 	 skin 	 Cutis, skin
empire 	 verb 	 overflow 	 to fill, to overflow
empire 	 verb 	 fill 	 to fill, to overflow
katana 	 noun 	 sword 	 Japanese sword
tanto 	 adjective 	 so many 	 so much, so many
tanto 	 adjective 	 so much 	 so much, so many
tanto 	 adjective 	 many 	 much, many
tanto 	 adjective 	 much 	 much, many
tanto 	 adjective 	 such 	 such
tanto 	 adjective 	 significant 	 significant
tanto 	 adverb 	 so much 	 so much
tanto 	 adverb 	 very 	 very
tanto 	 conjunction 	 after all 	 after all
tanto 	 conjunction 	 anyways 	 anyways
generalissimo 	 noun 	 commander in chief 	 commander in chief
san 	 noun 	 English 	 san
san 	 noun 	 saint 	 santo saint
b 	 noun 	 BItalian 	 See under B
c 	 noun 	 CItalian 	 See under C
h 	 noun 	 HItalian 	 See under H
j 	 noun 	 JItalian 	 See under J
l 	 noun 	 LItalian 	 See under L
m 	 noun 	 MItalian 	 See under M
t 	 noun 	 TItalian 	 See under T
v 	 noun 	 VItalian 	 See under V
w 	 noun 	 WItalian 	 See under W
ano 	 noun 	 anus 	 anus
stop 	 interjection 	 halt 	 stop!, halt!
shock 	 noun 	 English 	 shock
mare 	 noun 	 sea 	 sea
droplet 	 noun 	 English 	 droplet
party 	 noun 	 English 	 party
asset 	 noun 	 English 	 asset economic
tenno 	 noun 	 Japan 	 The official title of the emperor of Japan
tenno 	 noun 	 official 	 The official title of the emperor of Japan
tenno 	 noun 	 emperor 	 The official title of the emperor of Japan
tenno 	 noun 	 title 	 The official title of the emperor of Japan
leader 	 noun 	 English 	 leader
pub 	 noun 	 English 	 pub
harem 	 noun 	 English 	 harem
lifting 	 noun 	 English 	 face-lift, lifting
lifting 	 noun 	 face-lift 	 face-lift, lifting
nadir 	 noun 	 English 	 nadir
magnesia 	 noun 	 English 	 magnesia
crema 	 noun 	 cream 	 cream
essere 	 verb 	 :Category:Italian verbs taking essere as auxiliary 	 to have ; to be in the state of having ; See Category:Italian verbs taking essere as auxiliary
essere 	 verb 	 be 	 to have ; to be in the state of having ; See Category:Italian verbs taking essere as auxiliary
essere 	 verb 	 have 	 to have ; to be in the state of having ; See Category:Italian reflexive verbs
essere 	 verb 	 be 	 to have ; to be in the state of having ; See Category:Italian reflexive verbs
essere 	 verb 	 :Category:Italian reflexive verbs 	 to have ; to be in the state of having ; See Category:Italian reflexive verbs
essere 	 verb 	 be 	 to be ; to be in the state of being ; See Category:Italian transitive verbs
essere 	 verb 	 :Category:Italian transitive verbs 	 to be ; to be in the state of being ; See Category:Italian transitive verbs
essere 	 verb 	 exist 	 to be, to exist regionally, chiefly in Tuscany, can be found in the singular also when referring to plural subjects
essere 	 verb 	 be 	 to be, to exist regionally, chiefly in Tuscany, can be found in the singular also when referring to plural subjects
essere 	 verb 	 s:it:Divina Commedia/Inferno/Canto III 	 * indent=|author=|last=Alighieri|first=Dante|authorlink=Dante Alighieri|author2=|last2=|first2=|authorlink2=|author3=|last3=|first3=|authorlink3=|author4=|last4=|first4=|authorlink4=|author5=|last5=|first5=|authorlink5=|coauthors=|quotee=|quoted_in=|chapter=III|chapterurl=|trans-chapter=|entry=|entryurl=|trans-entry=|mainauthor=|translator=|translators=|editor=|editors=|title=Divina Commedia|trans-title=Divine Commedy|series=|seriesvolume=|url=|archiveurl=|archivedate=|edition=|genre=allegorical-didactic poem, lyric poetry|format=|worklang=|type=|original=|by=|origdate=|origmonth=|origyear=|location=|publisher=|month=|year=1314 , 1321 |year_published=|date=|nodate=|accessdate=|accessmonth=|accessyear=|doi=|isbn=|issn=|jstor=|lccn=|oclc=|ol=|id=|volume=Inferno |volume_plain=|issue=|section=|sectionurl=|line=|lines=7–8|page=|pages=|pageurl=|column=|columns=|columnurl=|others=|text=Dinanzi a me non fuor cose create / se non etterne, |passage=|lang=|brackets=|t=Before me existed not created things / if not eternal, |translation=|lit=Before me  weren’t created things / if not eternal, |tr=|transliteration=|subst=
essere 	 verb 	 s:it:Divina Commedia/Inferno 	 * indent=|author=|last=Alighieri|first=Dante|authorlink=Dante Alighieri|author2=|last2=|first2=|authorlink2=|author3=|last3=|first3=|authorlink3=|author4=|last4=|first4=|authorlink4=|author5=|last5=|first5=|authorlink5=|coauthors=|quotee=|quoted_in=|chapter=III|chapterurl=|trans-chapter=|entry=|entryurl=|trans-entry=|mainauthor=|translator=|translators=|editor=|editors=|title=Divina Commedia|trans-title=Divine Commedy|series=|seriesvolume=|url=|archiveurl=|archivedate=|edition=|genre=allegorical-didactic poem, lyric poetry|format=|worklang=|type=|original=|by=|origdate=|origmonth=|origyear=|location=|publisher=|month=|year=1314 , 1321 |year_published=|date=|nodate=|accessdate=|accessmonth=|accessyear=|doi=|isbn=|issn=|jstor=|lccn=|oclc=|ol=|id=|volume=Inferno |volume_plain=|issue=|section=|sectionurl=|line=|lines=7–8|page=|pages=|pageurl=|column=|columns=|columnurl=|others=|text=Dinanzi a me non fuor cose create / se non etterne, |passage=|lang=|brackets=|t=Before me existed not created things / if not eternal, |translation=|lit=Before me  weren’t created things / if not eternal, |tr=|transliteration=|subst=
