animal			singular		plural		archaic plural	
animal	nominative		ცხოველი ()	cxoveli	ცხოველები ()	cxovelebi	ცხოველნი ()	cxovelni
animal	ergative		ცხოველმა ()	cxovelma	ცხოველებმა ()	cxovelebma	ცხოველთ(ა) ()	cxovelt(a)
animal	dative		ცხოველს(ა) ()	cxovels(a)	ცხოველებს(ა) ()	cxovelebs(a)	ცხოველთ(ა) ()	cxovelt(a)
animal	genitive		ცხოველის(ა) ()	cxovelis(a)	ცხოველების(ა) ()	cxovelebis(a)	ცხოველთ(ა) ()	cxovelt(a)
animal	instrumental		ცხოველით(ა) ()	cxovelit(a)	ცხოველებით(ა) ()	cxovelebit(a)		
animal	adverbial		ცხოველად(ა) ()	cxovelad(a)	ცხოველებად(ა) ()	cxovelebad(a)		
animal	vocative		ცხოველო ()	cxovelo	ცხოველებო ()	cxovelebo	ცხოველნო ()	cxovelno
animal	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
bug	genitive		მწერის(ა) ()	mc̣eris(a)	მწერების(ა) ()	mc̣erebis(a)	მწერთ(ა) ()	mc̣ert(a)
bug	instrumental		მწერით(ა) ()	mc̣erit(a)	მწერებით(ა) ()	mc̣erebit(a)		
bug	adverbial		მწერად(ა) ()	mc̣erad(a)	მწერებად(ა) ()	mc̣erebad(a)		
bug	vocative		მწერო ()	mc̣ero	მწერებო ()	mc̣erebo	მწერნო ()	mc̣erno
bug	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
bug	postpositions taking a dative case		singular		plural	
bug	-ზე (on - )		მწერზე ()	mc̣erze	მწერებზე ()	mc̣erebze
bug	-თან (near - )		მწერთან ()	mc̣ertan	მწერებთან ()	mc̣erebtan
bug	-ში (in - )		მწერში ()	mc̣erši	მწერებში ()	mc̣erebši
bug	-ვით (like a - )		მწერივით ()	mc̣erivit	მწერებივით ()	mc̣erebivit
bug	postpositions taking a genitive case		singular		plural	
bug	-თვის (for - )		მწერისთვის ()	mc̣eristvis	მწერებისთვის ()	mc̣erebistvis
bug	-ებრ (like a - )		მწერისებრ ()	mc̣erisebr	მწერებისებრ ()	mc̣erebisebr
bug	-კენ (towards - )		მწერისკენ ()	mc̣erisḳen	მწერებისკენ ()	mc̣erebisḳen
bug	-გან (from/of - )		მწერისგან ()	mc̣erisgan	მწერებისგან ()	mc̣erebisgan
bug	postpositions taking an instrumental case		singular		plural	
bug	-დან (from / since - )		მწერიდან ()	mc̣eridan	მწერებიდან ()	mc̣erebidan
bug	-ურთ (together with - )		მწერითურთ ()	mc̣eriturt	მწერებითურთ ()	mc̣erebiturt
bug	postpositions taking an adverbial case		singular		plural	
bug	-მდე (up to - )		მწერამდე ()	mc̣eramde	მწერებამდე ()	mc̣erebamde
clothing			singular		plural		archaic plural	
clothing	nominative		ტანსაცმელი ()	ṭansacmeli	ტანსაცმელები ()	ṭansacmelebi	ტანსაცმელნი ()	ṭansacmelni
clothing	ergative		ტანსაცმელმა ()	ṭansacmelma	ტანსაცმელებმა ()	ṭansacmelebma	ტანსაცმელთ(ა) ()	ṭansacmelt(a)
clothing	dative		ტანსაცმელს(ა) ()	ṭansacmels(a)	ტანსაცმელებს(ა) ()	ṭansacmelebs(a)	ტანსაცმელთ(ა) ()	ṭansacmelt(a)
clothing	genitive		ტანსაცმელის(ა) ()	ṭansacmelis(a)	ტანსაცმელების(ა) ()	ṭansacmelebis(a)	ტანსაცმელთ(ა) ()	ṭansacmelt(a)
clothing	instrumental		ტანსაცმელით(ა) ()	ṭansacmelit(a)	ტანსაცმელებით(ა) ()	ṭansacmelebit(a)		
clothing	adverbial		ტანსაცმელად(ა) ()	ṭansacmelad(a)	ტანსაცმელებად(ა) ()	ṭansacmelebad(a)		
clothing	vocative		ტანსაცმელო ()	ṭansacmelo	ტანსაცმელებო ()	ṭansacmelebo	ტანსაცმელნო ()	ṭansacmelno
clothing	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
clothing	postpositions taking a dative case		singular		plural	
clothing	-ზე (on - )		ტანსაცმელზე ()	ṭansacmelze	ტანსაცმელებზე ()	ṭansacmelebze
clothing	-თან (near - )		ტანსაცმელთან ()	ṭansacmeltan	ტანსაცმელებთან ()	ṭansacmelebtan
clothing	-ში (in - )		ტანსაცმელში ()	ṭansacmelši	ტანსაცმელებში ()	ṭansacmelebši
clothing	-ვით (like a - )		ტანსაცმელივით ()	ṭansacmelivit	ტანსაცმელებივით ()	ṭansacmelebivit
clothing	postpositions taking a genitive case		singular		plural	
clothing	-თვის (for - )		ტანსაცმელისთვის ()	ṭansacmelistvis	ტანსაცმელებისთვის ()	ṭansacmelebistvis
clothing	-ებრ (like a - )		ტანსაცმელისებრ ()	ṭansacmelisebr	ტანსაცმელებისებრ ()	ṭansacmelebisebr
clothing	-კენ (towards - )		ტანსაცმელისკენ ()	ṭansacmelisḳen	ტანსაცმელებისკენ ()	ṭansacmelebisḳen
clothing	-გან (from/of - )		ტანსაცმელისგან ()	ṭansacmelisgan	ტანსაცმელებისგან ()	ṭansacmelebisgan
clothing	postpositions taking an instrumental case		singular		plural	
clothing	-დან (from / since - )		ტანსაცმელიდან ()	ṭansacmelidan	ტანსაცმელებიდან ()	ṭansacmelebidan
clothing	-ურთ (together with - )		ტანსაცმელითურთ ()	ṭansacmeliturt	ტანსაცმელებითურთ ()	ṭansacmelebiturt
clothing	postpositions taking an adverbial case		singular		plural	
clothing	-მდე (up to - )		ტანსაცმელამდე ()	ṭansacmelamde	ტანსაცმელებამდე ()	ṭansacmelebamde
daughter			singular		plural		archaic plural	
daughter	nominative		ასული ()	asuli	ასულები ()	asulebi	ასულნი ()	asulni
daughter	ergative		ასულმა ()	asulma	ასულებმა ()	asulebma	ასულთ(ა) ()	asult(a)
daughter	dative		ასულს(ა) ()	asuls(a)	ასულებს(ა) ()	asulebs(a)	ასულთ(ა) ()	asult(a)
daughter	genitive		ასულის(ა) ()	asulis(a)	ასულების(ა) ()	asulebis(a)	ასულთ(ა) ()	asult(a)
daughter	instrumental		ასულით(ა) ()	asulit(a)	ასულებით(ა) ()	asulebit(a)		
daughter	adverbial		ასულად(ა) ()	asulad(a)	ასულებად(ა) ()	asulebad(a)		
daughter	vocative		ასულო ()	asulo	ასულებო ()	asulebo	ასულნო ()	asulno
daughter	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
daughter	postpositions taking a dative case		singular		plural	
daughter	-ზე (on - )		ასულზე ()	asulze	ასულებზე ()	asulebze
daughter	-თან (near - )		ასულთან ()	asultan	ასულებთან ()	asulebtan
daughter	-ში (in - )		ასულში ()	asulši	ასულებში ()	asulebši
daughter	-ვით (like a - )		ასულივით ()	asulivit	ასულებივით ()	asulebivit
daughter	postpositions taking a genitive case		singular		plural	
daughter	-თვის (for - )		ასულისთვის ()	asulistvis	ასულებისთვის ()	asulebistvis
daughter	-ებრ (like a - )		ასულისებრ ()	asulisebr	ასულებისებრ ()	asulebisebr
daughter	-კენ (towards - )		ასულისკენ ()	asulisḳen	ასულებისკენ ()	asulebisḳen
daughter	-გან (from/of - )		ასულისგან ()	asulisgan	ასულებისგან ()	asulebisgan
daughter	postpositions taking an instrumental case		singular		plural	
daughter	-დან (from / since - )		ასულიდან ()	asulidan	ასულებიდან ()	asulebidan
daughter	-ურთ (together with - )		ასულითურთ ()	asuliturt	ასულებითურთ ()	asulebiturt
daughter	postpositions taking an adverbial case		singular		plural	
daughter	-მდე (up to - )		ასულამდე ()	asulamde	ასულებამდე ()	asulebamde
dog			singular		plural		archaic plural	
dog	nominative		ძაღლი ()	ʒaɣli	ძაღლები ()	ʒaɣlebi	ძაღლნი ()	ʒaɣlni
dog	ergative		ძაღლმა ()	ʒaɣlma	ძაღლებმა ()	ʒaɣlebma	ძაღლთ(ა) ()	ʒaɣlt(a)
dog	dative		ძაღლს(ა) ()	ʒaɣls(a)	ძაღლებს(ა) ()	ʒaɣlebs(a)	ძაღლთ(ა) ()	ʒaɣlt(a)
dog	genitive		ძაღლის(ა) ()	ʒaɣlis(a)	ძაღლების(ა) ()	ʒaɣlebis(a)	ძაღლთ(ა) ()	ʒaɣlt(a)
dog	instrumental		ძაღლით(ა) ()	ʒaɣlit(a)	ძაღლებით(ა) ()	ʒaɣlebit(a)		
dog	adverbial		ძაღლად(ა) ()	ʒaɣlad(a)	ძაღლებად(ა) ()	ʒaɣlebad(a)		
dog	vocative		ძაღლო ()	ʒaɣlo	ძაღლებო ()	ʒaɣlebo	ძაღლნო ()	ʒaɣlno
dog	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
dog	postpositions taking a dative case		singular		plural	
dog	-ზე (on - )		ძაღლზე ()	ʒaɣlze	ძაღლებზე ()	ʒaɣlebze
dog	-თან (near - )		ძაღლთან ()	ʒaɣltan	ძაღლებთან ()	ʒaɣlebtan
dog	-ში (in - )		ძაღლში ()	ʒaɣlši	ძაღლებში ()	ʒaɣlebši
dog	-ვით (like a - )		ძაღლივით ()	ʒaɣlivit	ძაღლებივით ()	ʒaɣlebivit
dog	postpositions taking a genitive case		singular		plural	
dog	-თვის (for - )		ძაღლისთვის ()	ʒaɣlistvis	ძაღლებისთვის ()	ʒaɣlebistvis
dog	-ებრ (like a - )		ძაღლისებრ ()	ʒaɣlisebr	ძაღლებისებრ ()	ʒaɣlebisebr
dog	-კენ (towards - )		ძაღლისკენ ()	ʒaɣlisḳen	ძაღლებისკენ ()	ʒaɣlebisḳen
dog	-გან (from/of - )		ძაღლისგან ()	ʒaɣlisgan	ძაღლებისგან ()	ʒaɣlebisgan
dog	postpositions taking an instrumental case		singular		plural	
dog	-დან (from / since - )		ძაღლიდან ()	ʒaɣlidan	ძაღლებიდან ()	ʒaɣlebidan
dog	-ურთ (together with - )		ძაღლითურთ ()	ʒaɣliturt	ძაღლებითურთ ()	ʒaɣlebiturt
dog	postpositions taking an adverbial case		singular		plural	
dog	-მდე (up to - )		ძაღლამდე ()	ʒaɣlamde	ძაღლებამდე ()	ʒaɣlebamde
drum			singular		plural		archaic plural	
drum	nominative		დოლი ()	doli	დოლები ()	dolebi	დოლნი ()	dolni
drum	ergative		დოლმა ()	dolma	დოლებმა ()	dolebma	დოლთ(ა) ()	dolt(a)
drum	dative		დოლს(ა) ()	dols(a)	დოლებს(ა) ()	dolebs(a)	დოლთ(ა) ()	dolt(a)
drum	genitive		დოლის(ა) ()	dolis(a)	დოლების(ა) ()	dolebis(a)	დოლთ(ა) ()	dolt(a)
drum	instrumental		დოლით(ა) ()	dolit(a)	დოლებით(ა) ()	dolebit(a)		
drum	adverbial		დოლად(ა) ()	dolad(a)	დოლებად(ა) ()	dolebad(a)		
drum	vocative		დოლო ()	dolo	დოლებო ()	dolebo	დოლნო ()	dolno
drum	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
drum	postpositions taking a dative case		singular		plural	
drum	-ზე (on - )		დოლზე ()	dolze	დოლებზე ()	dolebze
drum	-თან (near - )		დოლთან ()	doltan	დოლებთან ()	dolebtan
drum	-ში (in - )		დოლში ()	dolši	დოლებში ()	dolebši
drum	-ვით (like a - )		დოლივით ()	dolivit	დოლებივით ()	dolebivit
drum	postpositions taking a genitive case		singular		plural	
drum	-თვის (for - )		დოლისთვის ()	dolistvis	დოლებისთვის ()	dolebistvis
drum	-ებრ (like a - )		დოლისებრ ()	dolisebr	დოლებისებრ ()	dolebisebr
drum	-კენ (towards - )		დოლისკენ ()	dolisḳen	დოლებისკენ ()	dolebisḳen
drum	-გან (from/of - )		დოლისგან ()	dolisgan	დოლებისგან ()	dolebisgan
drum	postpositions taking an instrumental case		singular		plural	
drum	-დან (from / since - )		დოლიდან ()	dolidan	დოლებიდან ()	dolebidan
drum	-ურთ (together with - )		დოლითურთ ()	doliturt	დოლებითურთ ()	dolebiturt
drum	postpositions taking an adverbial case		singular		plural	
drum	-მდე (up to - )		დოლამდე ()	dolamde	დოლებამდე ()	dolebamde
enemy			singular		plural		archaic plural	
enemy	nominative		მტერი ()	mṭeri	მტრები ()	mṭrebi	მტერნი ()	mṭerni
enemy	ergative		მტერმა ()	mṭerma	მტრებმა ()	mṭrebma	მტერთ(ა) ()	mṭert(a)
enemy	dative		მტერს(ა) ()	mṭers(a)	მტრებს(ა) ()	mṭrebs(a)	მტერთ(ა) ()	mṭert(a)
enemy	genitive		მტრის(ა) ()	mṭris(a)	მტრების(ა) ()	mṭrebis(a)	მტერთ(ა) ()	mṭert(a)
enemy	instrumental		მტრით(ა) ()	mṭrit(a)	მტრებით(ა) ()	mṭrebit(a)		
enemy	adverbial		მტრად(ა) ()	mṭrad(a)	მტრებად(ა) ()	mṭrebad(a)		
enemy	vocative		მტერო ()	mṭero	მტრებო ()	mṭrebo	მტერნო ()	mṭerno
enemy	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
enemy	postpositions taking a dative case		singular		plural	
enemy	-ზე (on - )		მტერზე ()	mṭerze	მტრებზე ()	mṭrebze
enemy	-თან (near - )		მტერთან ()	mṭertan	მტრებთან ()	mṭrebtan
enemy	-ში (in - )		მტერში ()	mṭerši	მტრებში ()	mṭrebši
enemy	-ვით (like a - )		მტერივით ()	mṭerivit	მტრებივით ()	mṭrebivit
enemy	postpositions taking a genitive case		singular		plural	
enemy	-თვის (for - )		მტრისთვის ()	mṭristvis	მტრებისთვის ()	mṭrebistvis
enemy	-ებრ (like a - )		მტრისებრ ()	mṭrisebr	მტრებისებრ ()	mṭrebisebr
enemy	-კენ (towards - )		მტრისკენ ()	mṭrisḳen	მტრებისკენ ()	mṭrebisḳen
enemy	-გან (from/of - )		მტრისგან ()	mṭrisgan	მტრებისგან ()	mṭrebisgan
enemy	postpositions taking an instrumental case		singular		plural	
enemy	-დან (from / since - )		მტრიდან ()	mṭridan	მტრებიდან ()	mṭrebidan
enemy	-ურთ (together with - )		მტრითურთ ()	mṭriturt	მტრებითურთ ()	mṭrebiturt
enemy	postpositions taking an adverbial case		singular		plural	
enemy	-მდე (up to - )		მტრამდე ()	mṭramde	მტრებამდე ()	mṭrebamde
fire			singular		plural		archaic plural	
fire	nominative		ცეცხლი ()	cecxli				
fire	ergative		ცეცხლმა ()	cecxlma				
fire	dative		ცეცხლს(ა) ()	cecxls(a)				
fire	genitive		ცეცხლის(ა) ()	cecxlis(a)				
fire	instrumental		ცეცხლით(ა) ()	cecxlit(a)				
fire	adverbial		ცეცხლად(ა) ()	cecxlad(a)				
fire	vocative		ცეცხლო ()	cecxlo				
fire	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
fire	postpositions taking a dative case		singular		plural	
fire	-ზე (on - )		ცეცხლზე ()	cecxlze		
fire	-თან (near - )		ცეცხლთან ()	cecxltan		
fire	-ში (in - )		ცეცხლში ()	cecxlši		
fire	-ვით (like a - )		ცეცხლივით ()	cecxlivit		
fire	postpositions taking a genitive case		singular		plural	
fire	-თვის (for - )		ცეცხლისთვის ()	cecxlistvis		
fire	-ებრ (like a - )		ცეცხლისებრ ()	cecxlisebr		
fire	-კენ (towards - )		ცეცხლისკენ ()	cecxlisḳen		
fire	-გან (from/of - )		ცეცხლისგან ()	cecxlisgan		
fire	postpositions taking an instrumental case		singular		plural	
fire	-დან (from / since - )		ცეცხლიდან ()	cecxlidan		
fire	-ურთ (together with - )		ცეცხლითურთ ()	cecxliturt		
fire	postpositions taking an adverbial case		singular		plural	
fire	-მდე (up to - )		ცეცხლამდე ()	cecxlamde		
food			singular		plural		archaic plural	
food	nominative		საკვები ()	saḳvebi				
food	ergative		საკვებმა ()	saḳvebma				
food	dative		საკვებს(ა) ()	saḳvebs(a)				
food	genitive		საკვების(ა) ()	saḳvebis(a)				
food	instrumental		საკვებით(ა) ()	saḳvebit(a)				
food	adverbial		საკვებად(ა) ()	saḳvebad(a)				
food	vocative		საკვებო ()	saḳvebo				
food	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
food	postpositions taking a dative case		singular		plural	
food	-ზე (on - )		საკვებზე ()	saḳvebze		
food	-თან (near - )		საკვებთან ()	saḳvebtan		
food	-ში (in - )		საკვებში ()	saḳvebši		
food	-ვით (like a - )		საკვებივით ()	saḳvebivit		
food	postpositions taking a genitive case		singular		plural	
food	-თვის (for - )		საკვებისთვის ()	saḳvebistvis		
food	-ებრ (like a - )		საკვებისებრ ()	saḳvebisebr		
food	-კენ (towards - )		საკვებისკენ ()	saḳvebisḳen		
food	-გან (from/of - )		საკვებისგან ()	saḳvebisgan		
food	postpositions taking an instrumental case		singular		plural	
