*	*	*	*	case	preposition	postposition				
	adverbial	approached	lack	genitive			#	towards [a lack of]		
	adverbial	surpassed	lack	genitive			#	beyond [a lack of]		
	adverbial	leveraged	lack	genitive			#	[by taking advantage of the lack of]		
	adverbial	departed	aid	genitive			#	[thanks to the aid of]		
	adverbial	associated	aid	genitive			#	[with the aid of]		
	adverbial	acquired	aid	genitive			#	[to aid]		
	adverbial	approached	aid	genitive			#	towards [the aid of]		
	adverbial	surpassed	aid	genitive			#	beyond [the aid of]		
	adverbial	leveraged	aid	genitive			#	by using [the aid of]		
	adverbial	departed	interest	genitive			#	[out of the interest of]		
	adverbial	associated	interest	genitive	ha (west		#	[for the sake of]		
	adverbial	acquired	interest	genitive			#	to [the interest of]		
	adverbial	approached	interest	genitive			#	towards [the interest of]		
	adverbial	surpassed	interest	genitive			#	beyond [the interest of]		
	adverbial	leveraged	interest	genitive			#	[by appealing to the interest of]		
	adverbial	departed	purpose	genitive			#	[following from the purpose of]		
	adverbial	associated	purpose	genitive			#	[assuming the purpose of]		
	adverbial	acquired	purpose	genitive			#	[for the purpose of]		
	adverbial	approached	purpose	genitive			#	towards [the purpose of]		
	adverbial	surpassed	purpose	genitive			#	beyond [the purpose of]		
	adverbial	leveraged	purpose	genitive			#	[by leveraging the purpose of]		
	adverbial	departed	time	genitive			#	after		
	adverbial	associated	time	genitive			#	during		
	adverbial	acquired	time	genitive	ʕad(aj)		#	until		
	adverbial	approached	time	genitive			#	nearing		
	adverbial	surpassed	time	genitive			#	past		
	adverbial	leveraged	time	genitive			#	by [making use of]		
	adverbial	departed	state-of-being	genitive			#	from having been		
	adverbial	associated	state-of-being	genitive			#	as a		
	adverbial	acquired	state-of-being	genitive			#	in order to be		
	adverbial	approached	state-of-being	genitive			#	towards being		
	adverbial	surpassed	state-of-being	genitive			#	beyond being		
	adverbial	leveraged	state-of-being	genitive			#	due to being		
	adverbial	departed	topic	genitive			#	[off the topic of]		
	adverbial	associated	topic	genitive			#	[regarding]		
	adverbial	acquired	topic	genitive			#	[pursuant to]		
	adverbial	approached	topic	genitive			#	towards [the topic of]		
	adverbial	surpassed	topic	genitive			#	beyond [the topic of]		
	adverbial	leveraged	topic	genitive			#	by using [the topic of]		
	adverbial	associated	resemblance	genitive	ka		#	like		
	adverbial	departed	company	genitive			#	leaving [the company of]		
	adverbial	associated	company	genitive			#	with		
	adverbial	acquired	company	genitive			#	joining [the company of]		
										
#	subjectivity	motion	role							
#	subject	departed	[see above]							
#	direct-object	associated								
#	indirect-object	acquired								
#	adverbial	approached								
#		surpassed								
#		leveraged								
#										
#										
#										
#										
