chapter_id	entry_id	meaning	Tocharian B_Phonemic	comment
4	660	defecate	weṃṣiye	Noun form.
4	670	have sexual intercourse	yäs-	'Excite sexually'.
4	690	bathe	nāsk-	
4	710	beget (of father)	täm-	When active in form.
4	720	born (to be)	täm-	When middle in form.
4	730	pregnant	prentsa	
4	740	live, living, life	śaul; śai-	Second B form: 'live'; first A form: 'live'; second A form: 'life'.; Second B form: 'live'; first A form: 'live'; second A form: 'life'.
4	750	die, dead	sruk-; srukau	Respectively: 'die'; 'dead' (past participle of sruk-; 'die'; 'dead'.; Respectively: 'die'; 'dead' (past participle of sruk-; 'die'; 'dead'.
4	760	kill	kau-	
4	770	corpse	śwāl	
4	790	grave, tomb	erkau	Means 'graveyard'.
4	810	strong, mighty, powerful	maiyyātstse	A, tsraṣṣuneyā means 'by strength'; tsraṣiśśi means 'of the strong'.
4	820	weak	ylāre	
4	830	well, health	kuśal	'Healthy', Indic loanword.
4	840	sick, sickness	alāṣmo; tekiɲɲe	
4	841	fever	sälpalle; tskalɲe	
4	850	wound, sore	pīle	
4	853	swelling	yweru	
4	854	itch	saiwe	
4	857	pus	sekwe	
4	860	cure, heal	kartse yām-	Lit. 'make good' 16.710.
4	870	physician	saṃtkīnau	Cf. following related forms in next entry.
4	880	medicine, drug	sāṃtke	Indic loanwords.
4	890	poison	wase	
4	910	tired, weary	lāl-	Verbal form.
4	912	rest	āɲu	Noun forms.
4	940	lame	panku	Indic loanword.
4	960	mute	muka	Indic loanword.
4	970	blind	tärrek; eś-lmau	Second B form, lit. 'the eyes set', dual.; Second B form, lit. 'the eyes set', dual.
4	980	intoxicated	mālatstse	
4	990	naked, bare	apākśai	'With genitals exposed'.
5	110	eat	śu-; śuwā-	
5	120	food	śwātsi	Both forms infinitives of śu- ~ śuwā- 05.110.
5	121	cooked	pepakṣu	
5	122	raw	māme	
5	123	ripe	mappe	
5	124	green, unripe	māme	
5	125	rotten	āmpau	
5	130	drink	yok-	
5	140	hunger	kest	
5	150	thirst	yokiye	
5	180	chew	tresk-; tsālt-	
5	181	swallow	nuk-	
5	210	cook	päk-	'Cook, ripen'.
5	220	boil (vb)	päk-; sränk-	
5	230	roast, fry	pärk-	
5	260	pot, cooking vessel	lwāke	See also 'pitcher' 05.340. Indic loanword.
5	330	bowl	pātro	Both forms indicate '(alms)bowl', Indic loanwords.
5	340	pitcher, jug	lwāke	See also 'pot' 05.260. Indic loanword.
5	410	meal (a)	yesti	
5	490	stir, mix	triw-	
5	510	bread	kanti	Some type of 'breadstuff'.
5	550	meal, flour	yäksiye; klese	Second form indicates a 'coarse meal'.; Second form indicates a 'coarse meal'.
5	560	crush, grind	tāks-; mäl-; mely-; wālts-	
5	610	meat	mīsa	
5	640	soup, broth	yuṣ	Indic loanword.
5	660	bean	māśak	Indic loanword.
5	710	fruit	oko	
5	760	grape	kuɲi	Only in kuɲi-mot 'wine' 05.920, Iranian loanword.
5	790	oil	ṣmare; ṣalype	
5	791	grease, fat	ṣmare; ṣalype	
5	810	salt	salyiye	
5	820	pepper	pippāl	Indic loanword.
5	840	honey	mit	
5	850	sugar	śakkār	Indic loanword.
5	860	milk (noun)	malkwer	
5	890	butter	kewiye	Lit. 'that of the cow' 03.230.
5	900	beverage, drink	yoktsi	Infinitive of yok- 'to drink'.
5	920	wine	kuɲi-mot	Lit. 'grape-alcohol'; Iranian loanword.
5	940	fermented drink	mot; māla	
6	110	put on (clothes)	wäs-	
6	120	clothing, clothes	wastsi	First form infinitive of wäs- 06.110.
6	220	wool	yok	Also 'human body hair, fur' 04.144.
6	230	linen, flax	kenek	
6	240	cotton	kampās	Indic loanword.
6	250	silk	tono	
6	280	fur	yok	Also 'human body hair, wool' 04.144, 06.220.
6	330	weave	wāp-	
6	380	thread	ɲare	
6	410	cloak	kampāl	Indic loanword.
6	510	shoe	pannāk	Indic loanword.
6	710	ornament, adornment	tsaiɲɲe; ketwe	
6	720	jewel	ketwe; naumiye; wamer; yetwe	
6	730	ring (for finger)	pekwe	
6	770	earring	klautsaiɲe	See 'ear' 04.220.
6	921	braid	jaṭ	Indic loanword.
6	930	razor	kṣur	Indic loanword
6	940	ointment	ṣalype	
6	960	mirror	tapākye	
7	110	dwell, live	wäs-	
7	120	house	ost	Plural forms: B ostwa; A waṣtu.
7	130	hut	koṣkiye	Respectively: Iranian loanword; form A is loanword from B.
7	220	door, gate	twere; yenme	First form indicates 'door'. Second and third forms indicate '(city-)gate'.; First form indicates 'door'. Second and third forms indicate '(city-)gate'.
7	250	window	patstsānk	Borrowed from some Iranian source.
7	270	wall	poṣiya	
7	310	fireplace	śoliye	'Hearth'.
7	420	bed	leke; leki; maɲcāk	Latter form in B is Indic loanword.; Latter form in B is Indic loanword.; Latter form in B is Indic loanword.
7	422	blanket	prastrāṃ	'Bedroll', Indic loanword.
7	430	chair	pir	Indic loanword.
7	450	lamp, torch	cok	
7	480	trough	kaice	
7	510	roof	ṣim	
7	560	post, pole	esale	
7	620	brick	iścem	
8	120	field (for cultivation)	mīṣe	Iranian loanword.
8	130	garden	werpiśke; werwiye	werpiśka-tse 'gardener'; werpiśka-tse-ɲɲe 'gardening'.; werpiśka-tse 'gardener'; werpiśka-tse-ɲɲe 'gardening'.
8	160	fence	lyake	(?)
8	170	ditch	tsrerme	
8	210	plow	āre	
8	220	dig	rāp-	
8	310	sow	kät-	
8	311	seed	śäktālye; sārm; tāno	
8	410	crop, harvest	ɲemek	'Harvest'.
8	420	grain (barley, oats etc)	śātre; ysāre; tāno	
8	430	wheat	ysāre	Also 'grain' in general.
8	440	barley	yap	Or possibly 'millet'.
8	480	rice	klu	Loanword from Chinese.
8	510	grass	atiyo	
8	531	plant (vb)	sāry-	
8	540	root	witsako	
8	550	branch	karāk	
8	560	leaf	pilta	
8	570	flower	pyāpyo	
8	600	tree	stām	
8	670	vine	laitke	
8	750	bark	enmetre	(?)
8	760	sap	śūke; yasoɲɲa	(?)
8	810	palm tree	tāl	Indic loanword.
9	110	do, make	yām-	
9	120	work	lāṃs-	
9	140	bend	räm-	Respectively: 'bend away; bend toward'.
9	160	tie, bind	ścäm-	
9	161	untie	tärk-	'Release'.
9	190	rope, cord	śerkw	
9	210	strike (hit, beat)	aun-; pyāk-; kau-; tsop-	'hit, wound'; 'strike downward'; 'strike down, kill'; tsop-: 'strike'.; 'hit, wound'; 'strike downward'; 'strike down, kill'; tsop-: 'strike'.; 'hit, wound'; 'strike downward'; 'strike down, kill'; tsop-: 'strike'.; 'hit, wound'; 'strike downward'; 'strike down, kill'; tsop-: 'strike'.
9	220	cut	kärst-	lātk-; prutk- 'cut down/off'; 'cut off'.
9	221	cut down	kärst-	'Cut down/off'.
9	222	chop, hew	tāks-; kaut-	
9	223	stab	tsop-	'Strike, penetrate'.
9	230	knife	yepe	
9	250	ax	peret	Iranian loanwords.
9	260	break	kaut-; nitt-	
9	270	split	wāk-; kaut-	'split (intrans.); split (trans.)'.; 'split (intrans.); split (trans.)'.
9	280	tear	kärst-	
9	290	flay, skin	pāss-	
9	310	rub, wipe	lyu-; kānt-	
9	320	stretch	pänn-	
9	330	pull	yärtt-; aip-; ru-	ru-: 'pull out'; 'pull over (so as to cover)'.; ru-: 'pull out'; 'pull over (so as to cover)'.; ru-: 'pull out'; 'pull over (so as to cover)'.
9	340	spread out	sätk-	
9	341	hang up	länk-	
9	342	press	närs-; wälts-; kälts-	
9	343	squeeze, wring	mely-; nusk-	'squeeze, crush'; forms: 'squeeze'.; 'squeeze, crush'; forms: 'squeeze'.
9	350	pour	ku-	
9	360	wash	lik-	
9	422	tool	yāntär	Indic loanwords
9	430	carpenter	tarkātstsa	
9	440	build	tsik-	
9	460	bore	tsāp-	
9	630	cast (metals)	kutk-	(?)
9	640	gold	yasa	
9	650	silver	ɲkante	
9	660	copper, bronze	pilke	
9	670	iron	eɲcuwo	
9	710	potter	lwaksā-tsaika	
9	720	mold (clay etc)	tsik-	
9	730	clay	iścem	'Clay, brick'.
9	750	weave, plait	wāp-	
9	770	mat	niṣīdaṃ	'Sitting mat', Indic loanword.
9	890	paint (vb)	pik-	
10	110	move	wäsk-	lit-; rutk-; mus- 'move'; 'move aside/away'.
10	120	turn over	klautk-	
10	130	turn around	spārtt-	
10	140	wind, wrap	wänt-	
10	150	roll	spārtt-	
10	160	drop (vb)	säl-	
10	170	twist	tärk-	
10	210	rise	tsänk-; pärk-	
10	220	raise, lift	täl-	
10	230	fall	klāy-	
10	240	drip	pält-	
10	250	throw	kärsk-; säl-	
10	260	shake	wip-; miw-	
10	320	flow	resk-	
10	340	float	plus-	
10	350	swim	nāsk-	
10	370	fly (vb)	plus-; säl-	
10	380	blow	pin-	
10	420	slide, slip	släpp-	(?)
10	430	jump, leap	pruk-	
10	440	dance	tsip-	
10	450	walk	i-	Means 'go, walk'.
10	460	run	mäk-	
10	470	go	i-; yai	First three forms, respectively: present tense, imperfect; A form, perfect.; First three forms, respectively: present tense, imperfect; A form, perfect.
10	471	go up	ränk-	
10	472	climb	ränk-; pätt-	
10	473	go down	kārp-	
10	474	go out	länt-	
10	480	come	käm-	
10	481	come back	klautk-	
10	490	go away, depart	lait-	GSL B letkār; A waiptār 'apart'.
10	491	disappear	naut-	spärk-
10	510	flee	mlutk-	'Escape'.
10	520	follow	kalāk-	
10	550	reach, arrive	yäm-	
10	570	enter	yäp-	
10	610	carry (bear)	pär-	
10	620	bring	ās-; käl-	
10	630	send	lu-	
10	640	lead (vb)	āk-	'Lead, drive'.
10	650	drive	kälts-; āk-	
10	660	ride	klānk-	
10	670	push, shove	nätk-	
10	710	road	nauntai	
10	720	path	ymīye; yoɲiya	
10	750	carriage, wagon, cart	kokale	See 'wheel' 10.760.
10	760	wheel	yerkwantai	form is accusative.
10	770	axle	ṣem	
10	780	yoke	pyorye	
10	830	boat	kolmo; olyi	
10	840	raft	plewe	'Watercraft, raft'.
11	130	take	enk-	
11	140	seize, grasp	enk-	
11	160	get, obtain	kälp-	
11	180	thing	wäntare	
11	210	give	ai-	
11	220	give back	päst ai-	
11	240	preserve, look after	pāsk-	
11	250	save, rescue	tsälp-	
11	270	destroy	näk-	
11	280	harm, injure, damage	mi-	
11	310	seek, look for	ɲäsk-; rit-	
11	320	find	kälp-	
11	340	release, let go	tärk-	
11	510	rich	śāte	Latter A form means 'riches'.
11	520	poor	snaitstse	
11	530	beggar	yaṣṣuca	
11	540	avaricious, stingy	maune	'Avariciousness'.
11	630	owe	peri nes-	Lit. 'be owing'.
11	640	debt	peri	
11	660	account, reckoning	gaṇit	Indic loanword.
11	690	tax, tribute	neske; pautke	
11	810	buy	käry-	'Buy, trade'.
11	820	sell	plänk-	
11	830	trade, barter	käry-	'Buy, trade'.
11	840	merchant	käryorttau	
11	870	price	pīto	Probably Iranian loanword.
11	880	dear (costly, expensive)	lāre; kwāts	
11	890	cheap	olank	
11	910	share (distribute)	pāke yām-	form, lit. 'do [a] distribution'.
11	920	weigh	keś tā-	Lit. 'put a number'; see 13.107.
12	10	after	ompostäṃ	
12	11	behind	ompostäṃ	
12	30	down, below	ɲor	
12	40	before	enepre	
12	50	inside, in	eneṃ; enenka	
12	60	outside	parna	
12	70	under	ettesa; ɲor	
12	80	up, above	kauc; oṃṣmeṃ	B forms respectively: 'up, above'; 'from, above'. A form: 'up above'.; B forms respectively: 'up, above'; 'from, above'. A form: 'up above'.
12	110	place	īke; wṣeɲɲa; ścmoɲɲa	
12	120	put	tā-	
12	130	sit	ṣäm-; laṃ-	Suppletive verb.; Suppletive verb.
12	140	lie down	lyäk-	Cf. 'thief' 21.520.
12	150	stand	käly-; stäm-	Suppletive verb.; Suppletive verb.
12	160	remain, stay	walāk-	
12	170	remains, left overs	lyipär	
12	210	collect, gather	kraup-	
12	213	pile up	kraup-	
12	220	join, unite	wälts-	Means 'put together'.
12	230	separate	wätk-; putk-	
12	232	divide	putk-	
12	240	open	ru-	
12	250	shut, close	prutk-	
12	260	cover	aip-; räk-; wāl-	
12	270	hide, conceal	tuk-	
12	310	high	tapre	
12	320	low	ɲorīye	(?)
12	330	top	tsankär	GSL A mrāc-śpāl(yo) 'with the head', lit. 'top + head' 04.200.
12	350	end	āke	
12	352	pointed	tsänkarwaṣṣe	
12	353	edge	aśakula	Indic loanword.
12	360	side	poṣiya; sprāne	second form, dual 'sides (of the body)'.; second form, dual 'sides (of the body)'.
12	370	middle, center	ywārśkāɲɲe	
12	410	right (side)	śwālyai	Lit. '+ or - pertaining to eating' because of the Hindu custom of eating only with the right hand.
12	420	left (side)	saiwai	
12	430	near (adv)	akartte	
12	440	far (adv)	lauke	
12	450	east	kauṃ-pirko	Lit. 'sun-rising'.
12	460	west	kauṃ-kläsko	Lit. 'sun-setting'.
12	470	north	oṣṣale	A form, lit. 'pertaining to the mountain(side)', presumably with reference to the Tian Shan, to the north of the Tarim Basin.
12	480	south	omutruɲɲai	
12	530	grow	tsmentär; tsäm-	3rd person pl. present.; 3rd person pl. present.
12	540	measure	mai-	
12	541	span, fathom	raso	
12	550	large, big	orotstse	Form A, respectively: 'sg., plural'.
12	560	small, little	lykaśke	
12	570	long	pärkare; walkeɲɲe	Second B form: 'long (of time)'.; Second B form: 'long (of time)'.
12	590	short	totka	
12	610	wide, broad	aurtstse	
12	630	thick (in dimension)	ātstse	
12	670	deep	kätkare	
12	680	shallow	tparśke	Lit. 'little deep'.
12	820	circle	serke	
12	830	sphere, ball	krepaste	
12	840	line	sälyiye	
12	850	hole	lyauto	
12	920	like, similar	somotkäɲɲe	(?)
12	930	change	klutk-	
13	10	one	ṣe; ṣana; somo	Second and third forms are fem.; Second and third forms are fem.; Second and third forms are fem.
13	20	two	wi	Forms A, respectively: masc., fem.
13	30	three	trey; tarya	First forms BA are masc.; second forms are fem.; First forms BA are masc.; second forms are fem.
13	40	four	śtwer; śtwāra	second form is fem.; A is both masc.and fem.; second form is fem.; A is both masc.and fem.
13	50	five	piś	
13	60	six	ṣkas	
13	70	seven	ṣukt	
13	80	eight	okt	
13	90	nine	ɲu	
13	100	ten	śak	
13	101	eleven	śak-ṣe	
13	102	twelve	śak-wi	
13	103	fifteen	śak-piś	
13	104	twenty	ikäṃ	
13	105	hundred	kante	
13	106	thousand	yaltse	
13	107	count	ṣäṃs-; keś tā-	Second form, lit. 'put a number'; see 11.920.; Second form, lit. 'put a number'; see 11.920.
13	140	every, all	pont-	GSL B solme; A solu, means 'whole'.
13	150	much, many	mākā	
13	160	more	olyapo	
13	170	little (quantity), few	totka	
13	180	enough	tot	
13	181	some	ṣemi	Both forms are plural of 'one' 13.010.
13	190	multitude, crowd	kraupe	
13	210	full	īte	
13	220	empty	aikare	
13	230	part, piece	pāke	
13	240	half	ywārc	
13	330	alone, only	ṣesketstse; ṣeske	All are derived from 'one' 13.010. Form A, respectively: masc., fem.; All are derived from 'one' 13.010. Form A, respectively: masc., fem.
13	340	first	pärweṣṣe	
13	350	last	akessu	
13	360	second	wate	
13	380	two times	wyār	
13	420	third	trite	
13	440	three times	tarya lykwarwa	
14	110	time	preśyai	
14	130	new	ɲuwe; ɲwetstse	
14	140	young	malyakke	
14	150	old	ktsaitsäɲɲe	Refers to 'old age'; cf. 02.461.
14	160	early	nauṣ	
14	170	late	postaɲɲe	Respectively: adj.+ adv.; adverb.
14	180	now	ɲake	
14	190	immediately	śka; teteka	
14	210	swift, fast, quick	ramer	
14	220	slow	raiwe	(?)
14	240	retard, delay	tänk-	
14	250	begin, beginning	aun-	
14	252	last, endure	käly-	Lit. 'stand' 12.150.
14	260	end (temporal)	āke	
14	270	finish	ār-	(?)
14	280	cease, stop	spārtt-; ār-	
14	290	ready	ārwer; arwāre	
14	310	always	ṣek	
14	332	long-time (for a)	walke	
14	340	never	manta	
14	350	again	nano	
14	410	day	kauṃ	Also means 'sun' 01.520.
14	420	night	yṣīye; kästwer	Second forms mean 'by night, at night'.; Second forms mean 'by night, at night'.
14	430	dawn	pirko; kauṃ-parki	
14	440	morning	tsoṅkaik	'In the morning'.
14	470	today	ɲerwe	
14	610	week	ṣuk-kauṃ	Respectively: 'seven-day; seven-days'.
14	710	month	meɲe	Also means 'moon'. GSL pl. B meɲi 'nom.'; meɲäṃ 'oblique'; A pl. maɲi 'nom.'; maɲäs 'oblique'.
14	730	year	pikul	
14	740	winter	śämprāye	form means 'pertaining to winter'.
14	760	summer	ṣmāye	Respectively: 'pertaining to summer; summer'.
14	780	season	preściya	Both forms also mean 'time' 14.110.
15	210	smell (vb intrans)	wärsk-	
15	220	smell (vb trans)	wärsk-	
15	250	fragrant, good smelling	kärtse-were	Lit. '(having a) good smell'.
15	260	stinking, bad smelling	yolo-were	Lit. '(having an) evil smell'.
15	310	taste	śūke	
15	350	sweet	swāre	
15	360	salty	salyitstse	
15	380	acid, sour	āmpäl	Noun form; Indic loanword.
15	410	hear	klyaus-	Cf. A klyoṣtä-r 'is heard'. See 'ear' 04.220.
15	420	listen	klyaus-	Cf. A klyoṣtä-r 'is heard'. See 'ear' 04.220.
15	440	sound, noise	weśeɲɲa	
15	450	loud	wektse	
15	460	quiet, silence	ām; stitstse; stināsk-	Respectively: 'quietly; quiet; be quiet; quiet'.; Respectively: 'quietly; quiet; be quiet; quiet'.; Respectively: 'quietly; quiet; be quiet; quiet'.
15	510	see	läk-	
15	520	look, look at	läk-	
15	550	show	lakäsk-; nān-	First B form and A form, lit. 'cause to see'.; First B form and A form, lit. 'cause to see'.
15	560	shine	pälk-	
15	570	bright	lakùtse	
15	610	color	yok	Also 'body-hair, animal hair' 04.144.
15	630	dark (in color)	orkamotstse; orkamo	
15	640	white	ārkwi	
15	650	black	erkent-	
15	660	red	ratre; rtarya	First B and A forms are masc.; second forms are fem.; First B and A forms are masc.; second forms are fem.
15	670	blue	tseṃ	
15	680	green	motartstse	
15	690	yellow	tute	
15	710	touch	täk-	Also means 'feel' 15.720.
15	720	feel	täk-	Also means 'touch' 15.710.
15	740	hard	ścīre	
15	750	soft	wlaṃśke	
15	760	rough	aśāwe	
15	770	smooth	ṣmare	
15	780	sharp	akwatse	
15	790	blunt, dull	mālle	
15	810	heavy	kramartstse	
15	820	light (in weight)	lankùtse	
15	830	wet, damp	waiw-	'Be wet'.
15	840	dry	asāre	
15	850	hot	emalye	
15	851	warm	emalye	
15	860	cold	krośce	
15	870	clean	astare	
15	880	dirty, soiled	kraketstse; sal	
16	110	soul, spirit	āɲme	
16	180	good fortune, luck	sakw	Indic loanwords.
16	190	misfortune, bad luck	kaṣṭa	Indic loanword.
16	230	joyful, glad, happy	tsārwo	
16	250	laugh	kery-	
16	251	smile	smi-	
16	260	play	kāɲm-	
16	270	love	tänkw-aɲɲ-	
16	290	kiss	skāw-	
16	300	embrace	yäks-	
16	310	pain	lakle	
16	320	grief, sorrow, sadness	mentsi	
16	330	anxiety, worry	īwate	
16	340	regret, be sorry	mänts-	
16	350	pity	aɲmālaṣle	
16	380	tear (noun)	akrūna	form is plural.
16	410	hate	wer; rser	Examples are nouns.; Examples are nouns.
16	420	anger	tremi	A form: 'to anger'.
16	440	envy, jealousy	entse	
16	450	shame (noun)	kwipe	
16	480	proud	amāṃ	Noun forms, possibly Iranian loanwords.
16	530	fear, fright	prosko; proskiye	
16	540	danger	ɲyātse; sanu	
16	620	desire, want	kāwo; yokiye	
16	630	hope	pärmank	
16	650	faithful	takarṣke	
16	660	true	empreṃ	
