chapter_id	entry_id	meaning	Hittite_LatinTrans	comment
1	380	swamp	luliya-sha-	CHD 1:82. Also marmarr(a)- 'moor, marsh (?)' (kind of terrain parallel to 'meadow, steppe') CHD 1:192. See luli(ya)- 'spring, pond, basin' 01.330, 01.370.
1	390	waterfall	arsanu-; arsarsura-	'Current' rather than 'waterfall' specifically: HWW, Puh. See 'flow' 10.320.; 'Current' rather than 'waterfall' specifically: HWW, Puh. See 'flow' 10.320.
1	410	woods, forest	tiessar; warhuessar	Respectively: HW, HEG. GISH/ tiessar with Sumerogram GISH 'wood' as determinative; loaned into Semitic referring to a kind of evergreen (Ugaritic t'ishr, Hebrew t'shwr) HEG 354-355. As a kind of terrain, CHD 192 (sub marmarr(a): 01.380).; Respectively: HW, HEG. GISH/ tiessar with Sumerogram GISH 'wood' as determinative; loaned into Semitic referring to a kind of evergreen (Ugaritic t'ishr, Hebrew t'shwr) HEG 354-355. As a kind of terrain, CHD 192 (sub marmarr(a): 01.380).
1	420	tree (cf 08.600)	taru-	HEG 230-235: 'tree, wood' with many derivatives, but distinct from tarru- 'strong, mighty', tarra- 'be able' 04.810, tarh- 'be mighty, overcome' 20.420.
1	430	wood	hasduer-	Means 'twig, brush (wood)' Puh 239-240. See 'tree' 01.420.
1	440	stone, rock	aku-; akuwant-; passila-	Respectively: 'stone; stony' HWW, 53; Puh. 24; 'rock' HW. Also kunkunuzzi- 'diorite' Weeks; and pissui- 'rock' StBoT 27, 89. Often with Sumerographic determinative NA[four] 'stone' : NA[four]/aku-, NA[four]/peruna-, NA[four]/ kunkunuzzi-. See also 'cliff' 01.222. passila-, passilu-, passili- with preceding Sumerographic determinative NA[four] 'stone': 'stone, pebble': CHD. wanni- 'block of stone'.; Respectively: 'stone; stony' HWW, 53; Puh. 24; 'rock' HW. Also kunkunuzzi- 'diorite' Weeks; and pissui- 'rock' StBoT 27, 89. Often with Sumerographic determinative NA[four] 'stone' : NA[four]/aku-, NA[four]/peruna-, NA[four]/ kunkunuzzi-. See also 'cliff' 01.222. passila-, passilu-, passili- with preceding Sumerographic determinative NA[four] 'stone': 'stone, pebble': CHD. wanni- 'block of stone'.; Respectively: 'stone; stony' HWW, 53; Puh. 24; 'rock' HW. Also kunkunuzzi- 'diorite' Weeks; and pissui- 'rock' StBoT 27, 89. Often with Sumerographic determinative NA[four] 'stone' : NA[four]/aku-, NA[four]/peruna-, NA[four]/ kunkunuzzi-. See also 'cliff' 01.222. passila-, passilu-, passili- with preceding Sumerographic determinative NA[four] 'stone': 'stone, pebble': CHD. wanni- 'block of stone'.
1	510	sky	nepis-	HEG: 'sky, heaven'. Sumerogram AN = nepis-. See GI on IE connections with 'mountain': 575-576. See also 'heaven' 22.310.
1	520	sun	istanu-; astanu-	Puh 465-468: 'sun, solar deity'. Usually written with the Sumerogram UTU preceded by the determinative for 'deity' : DINGIR/UTU. Hittite adaptation of Hattic Estan, Astan-; see also 'day' 14.410.; Puh 465-468: 'sun, solar deity'. Usually written with the Sumerogram UTU preceded by the determinative for 'deity' : DINGIR/UTU. Hittite adaptation of Hattic Estan, Astan-; see also 'day' 14.410.
1	530	moon	arma-	HWW, 313-323; Puh. 151-155: 'moon, month, lunar diety'. Sumerogram ITU 'month' = arma-. With Sumerographic determinative for 'god': DINGIR/SIN (Sumerian) 'moongod' = Hurrian Kusuh, Hattic Kashku = Hittite DINGIR/Arma- HWW. See also 'month' 14.710; 'impregnate' 04.670; 'pregnant' 04.730; 'omen' 22.470.
1	540	star	haster-	Puh, HEG. Sumerogram MUL = Akkadogram KAKKABU = haster- 'star'. *Semitic *'aṭtar 'deified star, Venus, morning star', e.g., Semitic Astarte (Akkadian Ishtar GI 591-592 (obviates Weeks' difficulty in deriving the IE form from Ishtar; both Ishtar and *haster- come from earlier prototypes). Also recognized constellations: with Sumerographic determinative for 'wood', GISH/ MAR.GÍD.DA 'Big Dipper', lit. 'wagon' = GISH/ tiyar(r)it- = HWW 317; DINGIR/ IMIN.IMIN.BI 'pleides', lit. '(divine)sevens' THeth 7.45-46.
1	550	lightning	wantema-; wantewantema-	HW. See also wantai- 'be warm' 15.851. See also 'thunderbolt' 01.570.; HW. See also wantai- 'be warm' 15.851. See also 'thunderbolt' 01.570.
1	560	thunder	tetha; tethima-	Respectively: verb, noun. HW, HEG: 'thunder' (middle inflection without -ri suffix: Yosida 1990:65). Stormgod (with preceding Sumerographic determinative DINGIR): DINGIR/ U, DINGIR/ IM and DINGIR/ ISHKUR (with or without phonetic complements) = Hattic Tarhun Luwian Tarhunta or Hurrian Tesup who showed his might via the winds, thunder, and thunderbolt (GISH/ kalmisana-. See also 'lightning' 01.570, 'storm' 01.580.; Respectively: verb, noun. HW, HEG: 'thunder' (middle inflection without -ri suffix: Yosida 1990:65). Stormgod (with preceding Sumerographic determinative DINGIR): DINGIR/ U, DINGIR/ IM and DINGIR/ ISHKUR (with or without phonetic complements) = Hattic Tarhun Luwian Tarhunta or Hurrian Tesup who showed his might via the winds, thunder, and thunderbolt (GISH/ kalmisana-. See also 'lightning' 01.570, 'storm' 01.580.
1	570	lightning (as striking)	kalmisna-	HEG: 'lightning, thunderbolt; firebrand, torch'. Preceded by Sumerographic determinative for wood, GISH: GISH/ kalmisana-. People struck by the Stormgod's thunderbolt became ritually impure; they and their belongings had to be religiously treated to avoid further harm.
1	580	storm	tethessar; harsi-harsi	HEG: tethessar 'thunderstorm', abstract derivative of 'thunder' 01.560. Sumerograms BÚN 'thunder, storm', HI.HI 'storm'. Tablets preserve instructions for festivals of various seasons and a tethessar festival.; HEG: tethessar 'thunderstorm', abstract derivative of 'thunder' 01.560. Sumerograms BÚN 'thunder, storm', HI.HI 'storm'. Tablets preserve instructions for festivals of various seasons and a tethessar festival.
1	610	light (noun)	lalukkima-	Refers to 'source of light', i.e., the Sungod: CHD 1:28-29. See luk(k)- 'grow bright, dawn' 14.430; see 'bright' 15.570, 'shine' 15.560, 'ignite' 01.860.
1	620	darkness	nanakussiya-	'Dark, obscure, gloomy ' (adj.), opposite of lalukkiwant- 'luminous, shining' 15.570: CHD 4:394-395. Sumerogram GE[six] 'black, night' = dankui- 'dark, black' adj. 15.630. See ispant 'night' 14.420; 'hell' ('dark earth') 22.230. Sumerogram AN.TA.LÙ 'darkening' (astrological, as of the moon): HZL, HW; kappant- 'waning (of the moon)' from kappi- 'small' (Weeks 20).
1	640	dew	warsa-	Also means 'rainfall': HW, Ali. HTT. See 'rain' 01.750. Weeks 22.
1	710	air	para-	See parai- 'blow' 10.380.
1	720	wind	huwant-	Puh. Sumerogram IM = huwant-; see Sumerographic DINGIR/ IM 'Stormgod' (sub 'thunder' 01.560); Puh 428-429. *Hw- 'blow', *Hwenth- 'wind' with active class marker *-nth-: GI 584.
1	730	cloud	alpa-; kammara-	Respectively: 'cloud' HWW, Puh; on gender & meaning variants Prins 63-65; 'cloud, swarm' HEG. Akkadogram URPU 'cloud' = alpa-. NIM.LÀL/ HI.A = kammari 'bees in a swarm' HEG 472. See also 'fog' 01.740, 'smoke' 01.830.; Respectively: 'cloud' HWW, Puh; on gender & meaning variants Prins 63-65; 'cloud, swarm' HEG. Akkadogram URPU 'cloud' = alpa-. NIM.LÀL/ HI.A = kammari 'bees in a swarm' HEG 472. See also 'fog' 01.740, 'smoke' 01.830.
1	740	fog	kammara-	HEG: 'cloud, smoke, haze'. See also 'smoke' 01.830, 'cloud' 01.730.
1	750	rain (noun)	heu-; heu-	HEG, Puh: root and stem variants. Akkadogram ZUNNU = heu-. HEG 240, Puh 303-304 for detail.; HEG, Puh: root and stem variants. Akkadogram ZUNNU = heu-. HEG 240, Puh 303-304 for detail.
1	770	ice	eka-	HWW, Puh. See ekuna- 'cold; unfeeling' 15.860.
1	810	fire	pahhur	CHD: 'fire; torch(es), watchfire, embers, coals, fever, burning pain'. Sumerogram IZI = pahhur. On the ritual role of 'fire' and the 'hearth': GI 605-606; in burial rites: GI 729. See also 'fever' 04.841. Weeks 23; GI 607-608; 832; see 'drink' 05.130.
1	830	smoke (noun)	tuhhui-; tuhhuwai-; kammara-	HEG. The form tuhhessar probably does not mean 'incense' (as Weeks), but a substance used with a towel for cleaning: HEG 415-416. kammara- 'smoke, mist', see also 'fog' 01.740.; HEG. The form tuhhessar probably does not mean 'incense' (as Weeks), but a substance used with a towel for cleaning: HEG 415-416. kammara- 'smoke, mist', see also 'fog' 01.740.; HEG. The form tuhhessar probably does not mean 'incense' (as Weeks), but a substance used with a towel for cleaning: HEG 415-416. kammara- 'smoke, mist', see also 'fog' 01.740.
1	840	ashes	has-	Puh 210-212: 'ashes (pl.); also soda ash, potash, soap'. Sumerogram SAHAR 'dust; ashes'. See also 'dust' 01.213.
1	841	embers	pahhur	CHD. Same as 'fire' 01.810.
1	851	burn (vb trans)	warnu-	HW. See lukki-, lukka- 'light, set afire, ignite' 01.860; (intransitive) 01.852.
1	852	burn (vb intrans)	war-	HW. Participial forms uriwarant-, wariwarant-, lukkant- mean 'burning, burned'. See also 'light, ignite' 01.860. CHD: pahhuriya- 'burn like a fire' (?). See previous entry.
1	860	light, kindle, ignite	lukk-; lukka-	CHD. 'Set fire to, ignite'. Also lapnu- 'kindle, make glow', CHD. See lalukkima- n. 'light, source of light, radiance' 01.610. Periphrastic expressions with Sumerogram IZI 'fire': IZI ases- lit. 'fire settle', IZI peda- lit. 'fire bring' or 'set (a) fire'; see 'fire' 01.810.; CHD. 'Set fire to, ignite'. Also lapnu- 'kindle, make glow', CHD. See lalukkima- n. 'light, source of light, radiance' 01.610. Periphrastic expressions with Sumerogram IZI 'fire': IZI ases- lit. 'fire settle', IZI peda- lit. 'fire bring' or 'set (a) fire'; see 'fire' 01.810.
1	861	extinguish	kistanu-	Causative form, from kist- 'go out' HEG.
2	100	person, human being	antuhsa-; antuhha-; danduki-	Respectively 'man, person' HWW, Puh; 'mortal, transitory human being' HEG. Derivative dandukessar 'humanity, mortality, transitoriness' with disputed etymologies HEG. Sumerogram UN = antuhsa- 'man, person', UN plus phonetic complement -tar or LÚ.U[19].LU (formerly read LÚ.ULÙ-LU: HZL 130 nr. 78) = antuhsatar 'mankind, people' 19.210. In later texts Sumerogram SAG.DU 'head' was also used to mean 'person' as in the 'person of the king'. See 'head' 04.220.; Respectively 'man, person' HWW, Puh; 'mortal, transitory human being' HEG. Derivative dandukessar 'humanity, mortality, transitoriness' with disputed etymologies HEG. Sumerogram UN = antuhsa- 'man, person', UN plus phonetic complement -tar or LÚ.U[19].LU (formerly read LÚ.ULÙ-LU: HZL 130 nr. 78) = antuhsatar 'mankind, people' 19.210. In later texts Sumerogram SAG.DU 'head' was also used to mean 'person' as in the 'person of the king'. See 'head' 04.220.; Respectively 'man, person' HWW, Puh; 'mortal, transitory human being' HEG. Derivative dandukessar 'humanity, mortality, transitoriness' with disputed etymologies HEG. Sumerogram UN = antuhsa- 'man, person', UN plus phonetic complement -tar or LÚ.U[19].LU (formerly read LÚ.ULÙ-LU: HZL 130 nr. 78) = antuhsatar 'mankind, people' 19.210. In later texts Sumerogram SAG.DU 'head' was also used to mean 'person' as in the 'person of the king'. See 'head' 04.220.
2	210	man (vs. woman)	pesna-; ziti-	CHD. Sumerogram LÚ 'man, male'= pesna- CHD, Luwian [ziti-]; LÚ plus phonetic complement: LÚ-natar = pesnatar (Neu and Otten, 1972: 181ff.). On IE separate but parallel formations: Weeks; see also 'penis' 04.492.; CHD. Sumerogram LÚ 'man, male'= pesna- CHD, Luwian [ziti-]; LÚ plus phonetic complement: LÚ-natar = pesnatar (Neu and Otten, 1972: 181ff.). On IE separate but parallel formations: Weeks; see also 'penis' 04.492.
2	220	woman	unatti-; wana-	Sumerogram MUNUS (older publications read SAL or MÍ for MUNUS: HZL 238 nr. 297) 'woman, female' = Hittite unatti-, Luwian wana- 'woman': Starke 1980: 74-86; Carruba 1991:160-174.; Sumerogram MUNUS (older publications read SAL or MÍ for MUNUS: HZL 238 nr. 297) 'woman, female' = Hittite unatti-, Luwian wana- 'woman': Starke 1980: 74-86; Carruba 1991:160-174.
2	230	male	pesnatar; pesnas	CHD. Respectively 'manhood, maleness'; 'of a man'. Sumerogram with phonetic complement of the genitive case: LÚ-n(n)as 'of a man, male (= pesnas genitive of pesnatar 02.210). See also 'man' 02.210, 'penis' 04.492.; CHD. Respectively 'manhood, maleness'; 'of a man'. Sumerogram with phonetic complement of the genitive case: LÚ-n(n)as 'of a man, male (= pesnas genitive of pesnatar 02.210). See also 'man' 02.210, 'penis' 04.492.
2	240	female	asruli-	Luwian 'feminine': Carruba 1991:156. Sumerogram MUNUS 'woman, female' (formerly read SAL or MÍ) with phonetic complement for the genitive case: MUNUS-(n)as 'of a woman, female'; suffix -(s)sara, similar to English '-ess' such as 'princess', makes nouns feminine: see hassu-ssara- 'queen' 19.330, isha-ssara- 'lady' from hassu- 'king', isha- 'lord, master' 19.410: Puh II 386-388.
2	250	boy	pulla-	Gender-neutral 'young one'. See also 'girl' 02.260, 'child' 02.270, 'son' 02.410, 'daughter' 02.420. Sumerogram DUMU 'child' = pulla- 'young one', DUMU.NITÁ specifies gender: 'male child'; cf. Latin paul(l)us 'small, few': Hoffmann 1992.
2	251	young man (adolescent)	mayant-	CHD 2:116-117. With Sumerographic determinative LÚ 'man, male'; Sumerogram LÚ/ GURUSH = LÚ/ mayant-. Participle mayanza in the meaning 'grown up' from mai- 'grow' 12.530.
2	260	girl	pulla-	Gender-neutral 'young one, child': Hoffmann 1992. Sumerogram DUMU = pulla- 'young one, child'. Latin paul(l)us 'small, few': Hoffmann 1992. See also 'boy' 02.250, 'son' 02.410, 'daughter' 02.420, 'young woman' 02.261.
2	270	child	pulla-	DUMU 'child' = pulla-; Latin paul(l)us 'small, few': Hoffmann 1992. See also 'boy' 02.250, 'girl' 02.260, 'son' 02.410, 'daughter' 02.420.
2	320	wife	lada-	Lycian 'wife, woman': Carruba 1991:173-174. Sumerogram DAM = Akkadogram with Sumerographic determinative for woman, MUNUS/ ASHSHATU 'wife'.
2	330	marry	arallai-; hamenk-; hantai-	HWW, Puh: 'join, associate someone (in marriage) with someone else', perhaps a derivative of ara- 'right, proper, fitting' 16.730; hamenk- 'bind, betroth' 09.160; hantai- '(en)trust, betroth, marry off; arrange, ready' 14.290. Circumlocution with the reflexive particle -za, DAM--anni da- 'take as wife' (Sumerogram DAM 'wife') Weeks.; HWW, Puh: 'join, associate someone (in marriage) with someone else', perhaps a derivative of ara- 'right, proper, fitting' 16.730; hamenk- 'bind, betroth' 09.160; hantai- '(en)trust, betroth, marry off; arrange, ready' 14.290. Circumlocution with the reflexive particle -za, DAM--anni da- 'take as wife' (Sumerogram DAM 'wife') Weeks.; HWW, Puh: 'join, associate someone (in marriage) with someone else', perhaps a derivative of ara- 'right, proper, fitting' 16.730; hamenk- 'bind, betroth' 09.160; hantai- '(en)trust, betroth, marry off; arrange, ready' 14.290. Circumlocution with the reflexive particle -za, DAM--anni da- 'take as wife' (Sumerogram DAM 'wife') Weeks.
2	341	divorce	harp-	In the Laws I 31: 'separate, split up, go apart': HEG I 179 rather than Puh 'join up with, side with ...'; see 'separate' 12.230. See also harpu- 'hostile, ununited' with 'enemy' 19.520, 'separate' 12.230.
2	350	father	atta-; papa-; tati-	'Father (biological or adoptive)' HWW. Akkadogram ABU = HTT atta-. Palaic papa- 'father', Luwian tati(ya)- 'father' HWW, Puh I 56; 226. Lycian tedi: HEG, Anatolian children's words.; 'Father (biological or adoptive)' HWW. Akkadogram ABU = HTT atta-. Palaic papa- 'father', Luwian tati(ya)- 'father' HWW, Puh I 56; 226. Lycian tedi: HEG, Anatolian children's words.; 'Father (biological or adoptive)' HWW. Akkadogram ABU = HTT atta-. Palaic papa- 'father', Luwian tati(ya)- 'father' HWW, Puh I 56; 226. Lycian tedi: HEG, Anatolian children's words.
2	360	mother	anna-; anni-	HWW, Puh. Sumerogram AMA = anna- 'mother', less often Akkadogram UMMU = anna-. See annitalwatar 'motherhood': Puh.; HWW, Puh. Sumerogram AMA = anna- 'mother', less often Akkadogram UMMU = anna-. See annitalwatar 'motherhood': Puh.
2	370	parents	atta- anna-	Literally 'father (and) mother': HWW under anna- 'mother', Puh under anna-, anni- 'mother'.
2	410	son	pulla-	Gender-neutral 'young, small child; son'. Sumerogram DUMU = pulla-, not ayawala-, which means 'equal (in rank)': Hoffmann 1992. Latin paul(l)us 'small, few': Hoffmann 1992. See also 'boy' 02.250, 'girl' 02.260, 'child' 02.270, 'daughter' 02.420.
2	420	daughter	pulla-; duttarri-	Gender-neutral 'young one, child, daughter'; Latin paul(l)us 'small, few'. Luwian duttarri- supplies a gender-specific counterpart expressed in HTT by Sumerogram DUMU. MUNUS (earlier read DUMU.SAL: see 'female' 0.240): Hoffmann 1992. See also 'boy' 02.250, 'girl' 02.260, 'child' 02.270, 'son' 02.410.; Gender-neutral 'young one, child, daughter'; Latin paul(l)us 'small, few'. Luwian duttarri- supplies a gender-specific counterpart expressed in HTT by Sumerogram DUMU. MUNUS (earlier read DUMU.SAL: see 'female' 0.240): Hoffmann 1992. See also 'boy' 02.250, 'girl' 02.260, 'child' 02.270, 'son' 02.410.
2	430	offspring (son or daughter)	hassa-	'Offspring, descendent'. Sumerogram DUMU = hassa- 'offspring', derived nominal from has(s)- 'beget; bear': Weitenberg 1984:159, Puh. See also 'grandchild' 02.480.
2	440	brother	negna-; nana; i-; pappa-negna-	Respectively, 'brother; brother of the same father'. Sumerogam SHESH, Akkadogram AHU = HTT negna- 'brother', either blood brother or social equal: CHD, HEG. Cf. nega- 'sister' 02.450. Luwian nana/i- is a frequent formant in personal names and the source of Luwian nanasri- 'sister' 02.450: HEG, CHD.; Respectively, 'brother; brother of the same father'. Sumerogam SHESH, Akkadogram AHU = HTT negna- 'brother', either blood brother or social equal: CHD, HEG. Cf. nega- 'sister' 02.450. Luwian nana/i- is a frequent formant in personal names and the source of Luwian nanasri- 'sister' 02.450: HEG, CHD.; Respectively, 'brother; brother of the same father'. Sumerogam SHESH, Akkadogram AHU = HTT negna- 'brother', either blood brother or social equal: CHD, HEG. Cf. nega- 'sister' 02.450. Luwian nana/i- is a frequent formant in personal names and the source of Luwian nanasri- 'sister' 02.450: HEG, CHD.; Respectively, 'brother; brother of the same father'. Sumerogam SHESH, Akkadogram AHU = HTT negna- 'brother', either blood brother or social equal: CHD, HEG. Cf. nega- 'sister' 02.450. Luwian nana/i- is a frequent formant in personal names and the source of Luwian nanasri- 'sister' 02.450: HEG, CHD.
2	450	sister	nega-; nanasri-; anna-nega-	Respectively, 'young female relative, sister; sister of the same mother'. Sumerogram NIN and Akkadogram AHAATU = HTT nega- 'sister': CHD, HEG. Luwian nanasri- 'sister' is a derivative of nana/i- 'brother' by contrast with HTT neg-na- 'brother', derived from 'sister'. See 'brother' 02.440.; Respectively, 'young female relative, sister; sister of the same mother'. Sumerogram NIN and Akkadogram AHAATU = HTT nega- 'sister': CHD, HEG. Luwian nanasri- 'sister' is a derivative of nana/i- 'brother' by contrast with HTT neg-na- 'brother', derived from 'sister'. See 'brother' 02.440.; Respectively, 'young female relative, sister; sister of the same mother'. Sumerogram NIN and Akkadogram AHAATU = HTT nega- 'sister': CHD, HEG. Luwian nanasri- 'sister' is a derivative of nana/i- 'brother' by contrast with HTT neg-na- 'brother', derived from 'sister'. See 'brother' 02.440.
2	460	grandfather	huhha-	'Grandfather'. Sumerogram ABBA ABBA, Akkadogram ABI ABI 'father's father' = huhha- 'grandfather'; cf. Latin avus: HEG, Puh.
2	461	old man	mihunt-	Gender-neutral term for old person, elder. Sumerograms with Sumerographic determinatives for male or female LÚ or MUNUS/ SHU.GI differentiate 'old man' from 'old woman': CHD 2-3:223-227. See also miyahunte- 'become old, live long'.
2	470	grandmother	hanna-	'Grandmother'. Also in personal names, above all in the great Hattic goddess, Hannahanna: HWW, HEG; on the pro's and con's of an IE etymology: Puh.
2	471	old woman	mihunt-	Gender-neutral term for old person, elder: 'old man' 02.461. Also Sumerogram with female determinative MUNUS/ SHU.GI = HTT MUNUS/hasawa- 'old woman, ritual practioner' in birth rituals, for example.
