chapter_id	entry_id	meaning	Tsez (Sagada dialect)_CyrillTrans	Tsez (Sagada dialect)_Phonemic	comment
3	630	mouse, rat	акъу; мукадахкІа; дохкІа	aqʼu; mukadaxkʼa; doxkʼa	
3	650	fish	бесуро	besuro	
3	652	fin (dorsal)	бесуроc лел	besuros lel	
3	653	fishscale	бесурос хъал	besuros qal	
3	655	shell	бесурос ахІа	besuros aħa	
3	661	shark	акула	akula	
3	662	porpoise, dolphin	делфин	delfin	
3	663	whale	кит	kit	
3	710	wolf	боцІи	bocʼi	
3	720	lion	гъалбацІ	ɣalbacʼ	
3	730	bear	зей	zey	
3	740	fox	зиру	ziru	
3	750	deer	лъид; гъІвил	ɬid; ɣˤʷil	
3	760	monkey	маймалак	maymalak	
3	770	elephant	пил-пил	pil-pil	
3	780	camel	варани	warani	
3	810	insect	хІутІ-хъумур; хІутІ-мур	ħutʼ-qumur; ħutʼ-mur	
3	811	louse	ноци	noci	
3	812	nit (louse egg)	кІеначІ	kʼenačʼ	
3	813	flea	чІики	čʼiki	
3	815	scorpion	мокъІору; мокъойру	moqʼˤoru; moqʼoyru	
3	816	cockroach	таракан	tarakan	
3	817	ant	рецейно	receyno	
3	818	spider	мозогълу	mozoɣlu	
3	819	spider web	мозогълас мужи	mozoɣlas muži	
3	820	bee	нуцос тІутІ	nucos tʼutʼ	
3	821	beeswax	хІей	ħey	
3	822	beehive	тІутІас хІоми	tʼutʼas ħomi	
3	823	wasp	лІит	ƛit	
3	830	fly	тІутІ	tʼutʼ	
3	831	sandfly (midge), gnat	кІара	kʼara	
3	832	mosquito	кІара	kʼara	
3	840	worm	ациро; гІацийро	aciro; ʕaciyro	
3	850	snake	бикори	bikori	
3	910	firefly	билІохъІу	biƛoqˤu	
3	920	butterfly	пІипІилйа	pʼipʼilya	
3	930	grasshopper	хоцІи	xocʼi	
3	940	snail	амутІро	amutʼro	
3	950	frog	лІохІро	ƛoħro	
3	960	lizard	шетро	šetro	
3	970	crocodile, alligator	кракадил	krakadil	
3	980	turtle	цетІамаьси лІохІро; цетІвамаси лІохІро	cetʼamäsi ƛoħro; cetʼʷamasi ƛoħro	
4	110	body	лага	laga	
4	120	skin, hide	хІоши; хъІолІу; океш	ħoši; qˤoƛu; okeš	
4	130	flesh	зарра; лага	zarra; laga	
4	140	hair (head)	коди; мус	kodi; mus	
4	142	beard	мешогла	mešogla	
4	144	body hair	мус	mus	
4	145	pubic hair	мус	mus	
4	146	dandruff	къІвил	qʼˤʷil	
4	150	blood	ийо	iyo	
4	151	vein, artery	миша	miša	
4	160	bone	лІурза	ƛurza	
4	162	rib	жибра	žibra	
4	170	horn	шʼилʼйу	šʲilʲyu	
4	180	tail	махІи	maħi	
4	190	back	гугу	gugu	
4	191	spine	гугйас лІурза	gugyas ƛurza	
4	200	head	къІим	qʼˤim	
4	201	side of head, temple	тамахаб къІим	tamaxab qʼˤim	
4	202	skull	гвангвара	gʷangʷara	
4	203	brain	ата	ata	
4	204	face	хІухІ	ħuħ	
4	205	forehead	кьокъІво	ƛ̄ʼoqʼˤʷo	
4	207	jaw	чІичІин	čʼičʼin	
4	208	cheek	босо	boso	
4	209	chin	хъехъ	qeq	
4	210	eye	озур	ozur	
4	212	eyebrow	цІецІ	cʼecʼ	
4	213	eyelid	озас икьу	ozas iƛ̄ʼu	
4	214	eyelash	цІецІ	cʼecʼ	
4	215	blink	цІилІа	cʼiƛa	
4	220	ear	ахІа	aħa	
4	221	earlobe	ахІас тетелба	aħas tetelba	
4	222	earwax	къони	qʼoni	
4	230	nose	мІали	mˤali	
4	231	nostril	мІалис хъІвод	mˤalis qˤʷod	
4	232	mucus (nasal)	хІикь	ħiƛ̄ʼ	
4	240	mouth	гьахъу	haqu	
4	241	beak	бІукьи	bˤuƛ̄ʼi	
4	250	lip	кьепу	ƛ̄ʼepu	
4	260	tongue	мец	mec	
4	270	tooth	кІицу	kʼicu	
4	271	gums	семораби	semorabi	
4	272	molartooth	кьукъІмос кІицу	ƛ̄ʼuqʼˤmos kʼicu	
4	280	neck	мечІ	mečʼ	
4	281	nape of neck	ачІу	ačʼu	
4	290	throat	ригинахъу	riginaqu	
4	300	shoulder	хІира	ħira	
4	301	shoulderblade	хІирас аку	ħiras aku	
4	302	collarbone	рекъу	reqʼu	
4	310	arm	мецу	mecu	
4	312	armpit	гедина	gedina	
4	320	elbow	гьору	horu	
4	330	hand	рекьа	reƛ̄ʼa	
4	331	palm of hand	къІив; къІийу	qʼˤiw; qʼˤiyu	
4	340	finger	баша	baša	
4	342	thumb	бежени баша	beženi baša	
4	344	fingernail	мІолъу	mˤoɬu	
4	345	claw	мІолъу	mˤoɬu	
4	350	leg	хотІо	xotʼo	
4	351	thigh	гІогъІ; айна	ʕoɣˤ; ayna	
4	352	calf of leg	ассайла	assayla	
4	360	knee	къоІнту	qʼoˤntu	
4	370	foot	рори; хотІо	rori; xotʼo	
4	371	ankle	рорес озур	rores ozur	
4	372	heel	хаза	xaza	
4	374	footprint	ругъу	ruɣu	
4	380	toe	хотІос баша	xotʼos baša	
4	392	wing	лела	lela	
4	393	feather	хІули	ħuli	
4	400	chest	хІаморокІу	ħamorokʼu	
4	410	breast (of woman)	кикоби	kikobi	
4	412	nipple, teat	кикос гьутІ	kikos hutʼ	
4	420	udder	мегъу	meɣu	
4	430	navel	цотІори	cotʼori	
4	440	heart	рокІу	rokʼu	
4	441	lung	хотІори	xotʼori	
4	450	liver	жуби	žubi	
4	451	kidney	гендор	gendor	
4	452	spleen	семи	semi	
4	460	stomach	ах	ax	
4	461	intestines, guts	чІагъІир	čʼaɣˤir	
4	462	waist	цотІ	cotʼ	
4	463	hip	гІогъ	ʕoɣ	
4	464	buttocks	махІи	maħi	
4	470	womb	хехзахъу	xexzaqu	
4	490	testicle	къІондоли	qʼˤondoli	
4	492	penis	билу	bilu	
4	510	breathe, breath	хІокел	ħokel	
4	520	yawn, gape	гьамакІада	hamakʼada	
4	521	hiccough	гьекІлІада; гьекІнада	hekʼƛada; hekʼnada	
4	530	cough	хІаморада	ħamorada	
4	540	sneeze	чІахъа бакъа; бахІа	čʼaqa baqʼa; baħa	
4	550	perspire	игъводи риза	iɣʷodi riza	
4	560	spit	ноцу цалІа; хохоцу	nocu caƛa; xoxocu	
4	570	vomit	эчнада	ečnada	
4	580	bite	хана	xana	
4	590	lick	рага	raga	
4	591	dribble	ноцу йизира	nocu yizira	
4	610	sleep	кеца	keca	
4	612	snore	хІарлІада	ħarƛada	
4	620	dream	молІу йокада	moƛu yokada	
4	630	wake up	чІарилъа	čʼariɬa	
4	640	break wind	муши бегира	muši begira	
4	650	urinate	гІахъу куча	ʕaqu kuča	
4	660	defecate	балІаху куча	baƛaxu kuča	
4	670	have sexual intercourse	игъІнада; йукІира	iɣˤnada; yukʼira	
4	680	shiver	шешва	šešʷa	
4	690	bathe	гІесанада	ʕesanada	
4	710	beget (of father)	лІуІлІаІлІоІра	ƛuˤƛaˤƛoˤra	
4	720	born (to be)	ува	uwa	
4	730	pregnant	лъарашаму	ɬarašamu	
4	732	conceive	лъарашаму йохъва	ɬarašamu yoqʷa	
4	740	live, living, life	гІумру бува; чІагойав; гІумру	ʕumru buwa, ʕumru; buwa čʼagoyaw; ʕumru	
4	750	die, dead	эхва	exʷa	
4	751	drowned	шешру	šešru	
4	760	kill	эхура	exura	
4	770	corpse	цуди; жаназа	cudi; žanaza	
4	780	bury (the dead)	шуша	šuša	
4	790	grave, tomb	шуд	šud	
4	810	strong, mighty, powerful	къуватав	qʼuwataw	
4	820	weak	загІипав; тохав	zaʕipaw; toxaw	
4	830	well, health	ролълерчІу; сагъав; сахлъи	roɬlerčʼu; saɣaw; saxɬi	
4	840	sick, sickness	унти; роІлІнахоси; роІлІхоси	unti; roˤƛnaxosi; roˤƛxosi	
4	841	fever	бехъес унти	beqes unti	
4	842	goiter	титино	titino	
4	843	cold (catarrh)	рочІос унти	ročʼos unti	
4	850	wound, sore	рахъІ	raqˤ	
4	852	bruise	раькъІирулъи	räqʼˤiruɬi	
4	853	swelling	раьхъІурулъи	räqˤuruɬi	
4	854	itch	лІалІа	ƛaƛa	
4	855	blister	бойро; пилкьи	boyro; pilƛ̄ʼi	
4	856	boil (noun)	чІикдори	čʼikdori	
4	857	pus	лъачІи	ɬačʼi	
4	858	scar	рахъІ	raqˤ	
4	860	cure, heal	укъира	uqʼira	
4	870	physician	тохтур; врач	Toxtur; wrač	
4	880	medicine, drug	дару; дарман; сабаб	daru; darman; sabab	
4	890	poison	загьру; загьруман	zahru; zahruman	
4	910	tired, weary	аколъру	akoɬru	
4	912	rest	муши бегира	muši begira	
4	920	lazy	кІвахІала	kʼʷaħala	
4	930	bald	пІаІпІаІру	pʼaˤpʼaˤru	
4	940	lame	шихъІонада	šiqˤonada	
4	950	deaf	техъерчІу; бохъоно	teqerčʼu; boqono	
4	960	mute	мец бекъІерчІу	mec beqʼˤerčʼu	
4	970	blind	рукайерчІу	rukayerčʼu	
4	980	intoxicated	хІалаьлъру; хІалІуру жекІу	ħaläɬru; ħaƛuru žekʼu	
4	990	naked, bare	адору	adoru	
5	110	eat	ишва	išʷa	
5	120	food	бишва	bišʷa	
5	121	cooked	рахІеру; эшайру	raħeru; ešayru	
5	122	raw	атІиму	atʼimu	
5	123	ripe	бекъІиру	beqʼˤiru	
5	124	green, unripe	цІицІира; бекъеІрчІу	cʼicʼira; beqʼeˤrčʼu	
5	125	rotten	къекъиру	qʼeqʼiru	
5	130	drink	хІалІва	ħaƛʷa	
5	140	hunger	мекойни	mekoyni	
5	141	famine	мекойни	mekoyni	
5	150	thirst	ачхъайни	ačqayni	
5	160	suck	хира цІоцІолІа	xira cʼocʼoƛa	
5	180	chew	чІочІонада	čʼočʼonada	
5	181	swallow	рига	riga	
5	190	choke	шитІра	šitʼra	
5	210	cook	рахІира	raħira	
5	220	boil (vb)	хъІвахъІвалІира; хъІаро богъра	qˤʷaqˤʷaƛira; qˤaro boɣra	
5	230	roast, fry	эшада	ešada	
5	240	bake	бахІира	baħira	
5	250	oven	печ	peč	
5	260	pot, cooking vessel	муш	muš	
5	270	kettle	чайдан	čaydan	
5	280	pan	шог	šog	
5	310	dish	шитІу	šitʼu	
5	320	plate	шитІу	šitʼu	
5	330	bowl	зокІи	zokʼi	
5	340	pitcher, jug	къутІу	qʼutʼu	
5	350	cup, drinking vessel	зокІи	zokʼi	
5	360	saucer	шитІу	šitʼu	
5	370	spoon	бугьун	buhun	
5	380	knife (2)	тІахъІ	tʼaqˤ	
5	390	fork (2)	къІилъу	qʼˤiɬu	
5	391	tongs	хоцІу	xocʼu	
5	410	meal (a)	бишва	bišʷa	
5	420	breakfast	сасахъ ишни	sasaq išni	
5	440	dinner	хъаІшод ишни	qaˤšod išni	
5	450	supper	нешохІ ишни; нешохІоси ишни	nešoħ išni; nešoħosi išni	
5	460	peel	бацІад бува	bacʼad buwa	
5	470	sieve, strain	йецва	yecʷa	
5	480	scrape	хослІа	xosƛa	
5	490	stir, mix	лъицІокІа	ɬicʼokʼa	
5	510	bread	магалу	magalu	
5	530	dough	ботІ	botʼ	
5	540	knead	ботІ къукъа	botʼ qʼuqʼa	
5	550	meal, flour	гегму	gegmu	
5	560	crush, grind	рикъІира	riqʼˤira	
5	570	mill	аІгъуІ; гІагъу	aˤɣuˤ; ʕaɣu	
5	580	mortar (2)	ражи гегерхоси шебен	raži gegerxosi šeben	
5	590	pestle	гилу; цекІмадахъу	gilu; cekʼmadaqu	
5	610	meat	релІ	reƛ	
5	630	sausage	чІагъІир	čʼaɣˤir	
5	640	soup, broth	чорпа	čorpa	
5	650	vegetables	чІихІо	čʼiħo	
5	660	bean	гьил; адиму	hil; adimu	
5	700	potato	картуш	kartuš	
5	710	fruit	пихъ	piq	
5	712	bunch	гъабу	ɣabu	
5	750	fig	легъи	leɣi	
5	760	grape	кІуди	kʼudi	
5	770	nut	вахъІар	waqˤar	
5	780	olive	зайтун	zaytun	
5	790	oil	рилъ; зети	riɬ; zeti	
5	791	grease, fat	рилъ; мо	riɬ; mo	
5	810	salt	цийо	ciyo	
5	820	pepper	пуч	puč	
5	821	chili pepper	мекъав пуч	meqʼaw puč	
5	840	honey	нуци	nuci	
5	850	sugar	чакар	čakar	
5	860	milk (noun)	гъІай	ɣˤay	
5	870	milk (vb)	тІетІва	tʼetʼʷa	
5	880	cheese	акри	akri	
5	890	butter	шарис рилъ	šaris riɬ	
5	900	beverage, drink	лъи; хІалІухоси шебен	ɬi; ħaƛuxosi šeben	
5	910	mead	мед	med	
5	920	wine	ша	ša	
5	930	beer	пиво	piwo	
5	940	fermented drink	зеру	zeru	
5	970	egg	кІеначІи	kʼenačʼi	
5	971	egg yolk	гуди	gudi	
6	110	put on (clothes)	шекьва	šeƛ̄ʼʷa	
6	120	clothing, clothes	шекьу	šeƛ̄ʼu	
6	130	tailor	шекьу рахъухоси жекІу	šeƛ̄ʼu raquxosi žekʼu	
6	210	cloth	ара	ara	
6	220	wool	гьис	his	
6	230	linen, flax	кумели	kumeli	
6	240	cotton	пампа	pampa	
6	250	silk	дарай	daray	
6	270	felt	хІоли	ħoli	
6	290	leather	дабагъ	dabaɣ	
6	310	spin	хуха	xuxa	
6	320	spindle	гІокь	ʕoƛ̄ʼ	
6	330	weave	риша	riša	
6	340	loom	омокъи	omoqʼi	
6	350	sew	рахъІва	raqˤʷa	
6	360	needle	мури	muri	
6	370	awl	иму	imu	
6	380	thread	мохо	moxo	
6	390	dye	лажбар	lažbar	
6	410	cloak	палаш	palaš	
6	420	woman's dress	гъІанас гед	ɣˤanas ged	
6	430	coat	палту	paltu	
6	440	shirt	гед	ged	
6	450	collar	мечІ	mečʼ	
6	460	skirt	йупка	yupka	
6	461	grass-skirt	йупка	yupka	
6	480	trousers	гъелІу	ɣeƛu	
6	490	stocking, sock	цІиндай	cʼinday	
6	510	shoe	хотІохъоси	xotʼoqosi	
6	520	boot	хотІохъоси; патинка	xotʼoqosi; patinka	
6	540	shoemaker, cobbler	хотІохъоби рахъуІхъси жекІу	xotʼoqobi raquˤqsi žekʼu	
6	550	hat, cap	ишлапа	išlapa	
6	570	belt, girdle	гІашуни	ʕašuni	
6	580	glove	хъохъвоц; рекьихъов	qoqʷoc; reƛ̄ʼiqow	
6	590	veil	пардав	pardaw	
6	610	pocket	чанта	čanta	
6	620	button	цетІва	cetʼʷa	
6	630	pin	гъІалубилъени мури	ɣˤalubiɬeni muri	
6	710	ornament, adornment	накъиш	naqʼiš	
6	720	jewel	хирийавни гъул; жавгьар	xiriyawni ɣul; žawhar	
6	730	ring (for finger)	башихъІов	bašiqˤow	
6	740	bracelet	ака; гІака	aka; ʕaka	
6	750	necklace	булъи	buɬi	
6	760	bead	кІечІ	kʼečʼ	
6	770	earring	рокІура	rokʼura	
6	780	headband, headdress	къимкьоси	qʼimƛ̄ʼosi	
6	810	handkerchief, rag	йаблухъ	yabluq	
6	820	towel	хІухІрекьихъу	ħuħreƛ̄ʼiqu	
6	910	comb	эшу; гьилІу	ešu; hiƛu	
6	920	brush	гьилІу	hiƛu	
6	921	braid	жежу	žežu	
6	930	razor	даллак	dallak	
6	940	ointment	маз	maz	
6	950	soap	сопІон	sopʼon	
6	960	mirror	матІу	matʼu	
7	110	dwell, live	гІумру бува	ʕumru buwa, ʕumru	
7	120	house	гъІуткІу	ɣˤutkʼu	
7	130	hut	кьихъи	ƛ̄ʼiqi	
7	131	garden-house	гъІуткІу	ɣˤutkʼu	
7	140	tent	хъвош	qʷoš	
7	150	yard, court	азбар	azbar	
7	160	men's house	обузос гъІутку	obuzos ɣˁutku	
7	170	cookhouse	кухни	kuxni	
7	180	meeting house	мажлисмос гъІутку; кулуб	mazlismos ɣˁutku; kulub	
7	210	room	гъІуткІу	ɣˤutkʼu	
7	220	door, gate	кав	kaw	
7	221	doorpost, jamb	хІишинокІу	hišinokʼu, ħišinokʼu	
7	230	lock (noun)	буркІули	burkʼuli	
7	231	latch, door-bolt	хІишинокІу; зейли	hišinokʼu, ħišinokʼu; zeyli	
7	240	key	река	reka	
7	250	window	аки	aki	
7	260	floor	йукъІ	yuqʼˤ	
7	270	wall	хъидо	qido	
7	310	fireplace	хІо	ħo	
7	320	stove	печ	peč	
7	330	chimney	тавхъан	tawqan	
7	370	ladder	хъІилІураби	qˤiƛurabi	
7	420	bed	карават; тах	karawat; tax	
7	421	pillow	таргьа	tarha	
7	422	blanket	йоргъан; адийал	yorɣan; adiyal	
7	430	chair	къІури	qʼˤuri	
7	440	table	истІовли	istʼowli	
7	450	lamp, torch	чирахъ	čiraq	
7	460	candle	хІейос чирахъ	ħeyos čiraq	
7	470	shelf	ица	ica	
7	480	trough	тара	tara	
7	510	roof	къамара; кьІу	qʼamara; ƛ̄ʼˤu	
7	520	thatch	къІамишмос кьІу	qʼˤamišmos ƛ̄ʼˤu	
7	530	ridgepole	кьикъи	ƛ̄ʼiqʼi	
7	540	rafter	сарпел; балка	sarpel; balka	
7	550	beam	кьикъи	ƛ̄ʼiqʼi	
7	560	post, pole	им	im	
7	570	board	къІир	qʼˤir	
7	580	arch	кІамара	kʼamara	
7	610	mason	хъидохъу	qidoqu	
7	620	brick	кирпич	kirpič	
7	630	mortar	гачмос мІалу	gačmos mˤalu	
7	640	adobe	гъІутку	ɣˤutku	
8	110	farmer	фермер	fermer	
8	120	field (for cultivation)	алах; шебен рилІалорси мочи	alax; šeben riƛalorsi moči	
8	130	garden	ахи	axi	
8	150	cultivate, till	асар рува; мочи билІа	asar ruwa; moči biƛa	
8	160	fence	керти	kerti	
8	170	ditch	кел	kel	
8	210	plow	билІа	biƛa	
8	212	furrow	рилІини	riƛini	
8	220	dig	решнада	rešnada	
8	230	spade	бІел; аку	bˤel; aku	
8	240	shovel	аку; решонахъу	aku; rešonaqu	
8	250	hoe	гам; эшкІел	gam; eškʼel	
8	260	fork	къІилІу; къІилъу	qʼˤiƛu; qʼˤiɬu	
8	270	rake	ханха	xanxa	
8	310	sow	рихъира; чаІлІа	riqira; čaˤƛa	
8	311	seed	акІ	akʼ	
8	320	mow, reap	коса; косанада	kosa; kosanada	
8	330	sickle, scythe	нешу; харицел	nešu; xaricel	
8	340	thresh	релъІай рува	reɬˤay ruwa	
8	350	threshing-floor	оц	oc	
8	410	crop, harvest	хъІичи	qˤiči	
