	Id	English	Part	Quenya	
73	10-120	turn over	verb	quer-, ᴺaranta-	
74	10-130	turn around	verb	ᴺnanquer-	# Helge Fauskanger
75	10-140	wind|wrap	verb		
76	10-150	roll	verb	ᴺpelta-	# Helge Fauskanger
77	10-160	drop	verb	ᴱlanta-	
78	10-170	twist	verb	*ric-	
79	10-210	rise	verb	orya-	
80	10-220	raise|lift	verb	orta-	
81	10-230	fall	verb	lanta-	
82	10-240	drip	verb	*ᴱlipta-	
83	10-250	throw	verb	ᴺetehat-	# Helge Fauskanger
84	10-252	catch ball	verb	ᴺat-	# Fiona Jallings
85	10-260	shake	verb	*ᴱquas-	
86	10-320	flow	verb	sirya-	
87	10-330	sink	verb	*ᴹsuv-	
88	10-340	float	verb	*ᴱlut-	
89	10-350	swim	verb	*ᴱlut-	
90	10-351	dive	verb	*ᴱtumba-	
91	10-352	splash	verb	*ᴱfalarya-	
92	10-360	sail	verb	ᴹciryasta-	
93	10-370	fly	verb	ᴹvil-	
94	10-380	blow	verb	surya-	
95	10-410	creep|crawl	verb	ᴹhlic-	
96	10-412	kneel	verb		
97	10-413	crouch	verb		
98	10-420	slide|slip	verb	talta-	
99	10-430	jump|leap	verb	ᴹcap-	
100	10-431	kick	verb	ᴹlah-	
101	10-440	dance	verb	*ᴹliltë	
102	10-450	walk	verb	pata-	
103	10-451	limp	verb		
104	10-460	run	verb	nor-	
105	10-470	go	verb	men-	
106	10-471	go up	verb		
107	10-472	climb	verb	ret-	# Helge Fauskanger
108	10-473	go down	verb		
109	10-474	go out	verb	ᴺetemen-	# Helge Fauskanger
110	10-480	come	verb	*ᴹettul-	
111	10-481	come back	verb		
112	10-490	go away|depart	verb	auta-	
113	10-491	disappear	verb	auta-	
114	10-510	flee	verb	ᴺlerca-	# Helge Fauskanger
115	10-520	follow	verb	ᴹhilya-	
116	10-530	pursue	verb	ᴹroita-	
117	10-550	reach|arrive	verb		
118	10-560	approach	verb	ᴺanalelya-	ᴺanalelya-
119	10-570	enter	verb		
120	10-610	carry	verb	tulya-, *col-	
121	10-612	carry-in-hand	verb		
122	10-613	carry-on-shoulder	verb		
123	10-614	carry-on-head	verb		
124	10-615	carry-underarm	verb		
125	10-620	bring	verb	ᴱtul-	
126	10-630	send	verb	tulta-	
127	10-640	lead	verb	tulya-	
128	10-650	drive	verb	nir-, *ᴱele-	
129	10-660	ride	verb	norta-	
130	10-670	push|shove	verb		
131	10-710	road	noun	tië	
132	10-720	path	noun	tië	
133	10-740	bridge	noun	yanta	
134	10-750	carriage|wagon|cart	noun	ᴺlieraxa	# Luinyelle, Orondil
135	10-760	wheel	noun	querma	
136	10-770	axle	noun		
137	10-780	yoke	noun	*ᴹyalta	
138	10-810	ship	noun	vëacirya	
139	10-830	boat	noun	luntë	
140	10-831	canoe	noun		
141	10-832	outrigger	noun		
142	10-840	raft	noun	ᴺluttalan	# Luinyelle
143	10-850	oar	noun	ᴺpalma	# Tamas Ferencz
144	10-851	paddle	noun		
145	10-852	row	noun		
146	10-860	rudder	noun	ᴺtulla	# Helge Fauskanger
147	10-870	mast	noun	tyulma	
148	10-880	sail	noun	ᴺveluntë	
149	10-890	anchor	noun	ᴺciryampa	# Helge Fauskanger
150	10-910	harbor|port	noun	londë 	
151	10-920	land	verb	ᴺandorya-	# Parmandil, Arael
152	11-110	have	verb	ec-	
153	11-120	own|possess	verb	*ᴹharya-	
154	11-130	take	verb	*ᴱlep-	
155	11-140	seize|grasp	verb	raf-	
156	11-150	hold	verb	ᴱyava-	
157	11-160	get|obtain	verb	ᴺnet-	# Helge Fauskanger
158	11-170	keep|retain	verb	ᴺhap-	# Paul Strack
159	11-180	thing	noun	nat	
160	11-210	give	verb	anta-	
161	11-220	give back	verb	ᴺnananta-	
162	11-240	preserve|look after	verb	ᴺvorta-	
163	11-250	save|rescue	verb	*rehta-	
164	11-270	destroy	verb		
165	11-280	harm|injure|damage	verb	*ᴱhyan-	
166	11-310	seek|look for	verb	ces-, *ᴬsur-	
167	11-320	find	verb	hir-	
168	11-330	lose	verb	ᴺpenta-	
169	11-340	release|let go	verb	lerya-	
170	11-430	money	noun	telpë	
171	11-440	coin	noun	*ᴱtelpilin	
172	11-510	rich	noun	ᴹlárëa	
173	11-520	poor	noun	penya	
174	11-530	beggar	noun	ᴺiquindo	# Helge Fauskanger
175	11-540	avaricious|stingy	adjective	ᴺmailitya	# Röandil
176	11-610	lend	verb	ᴺyutya-	# Helge Fauskanger
177	11-620	borrow	verb		
178	11-630	owe	verb		
179	11-640	debt	noun	*lucassë, *lucië, *luhta, *rohta, *úcarë	
180	11-650	pay	verb		
181	11-660	account|reckoning	noun	*nonwë	
182	11-690	tax|tribute	noun	*ᴱtoc-, ᴺrantië	# Helge Fauskanger
183	11-770	hire	verb		
184	11-780	wages	noun		
185	11-790	earn	verb	ᴺnamoia-	# Fayanzār
186	11-810	buy	verb	ᴺhomanca-	# Helge Fauskanger
187	11-820	sell	verb	ᴺaumanca-	# Sami Paldanius
188	11-830	trade|barter	verb	ᴹmanca-	
189	11-840	merchant	noun	*ᴱmahar	
190	11-850	market place	noun	ᴺmancanómë	# Helge Fauskanger
191	11-860	store|shop	noun		
192	11-870	price	noun	ᴺmirma	# Sami Paldanius
193	11-880	dear|costly|expensive	adjective		
194	11-890	cheap	noun	ᴺalamirwa	# NQ-Wiki
195	11-910	share|distribute	verb	*ᴱvalda	
196	11-920	weigh	verb	ᴱtala-	
197	12-10	after	adposition	epë, apa	
198	12-11	behind	adposition	ca(ta)	
199	12-110	place	verb	*nómë 	
200	12-120	put	verb	caita-	
201	12-130	sit	verb	har-	
202	12-140	lie down	verb	ᴺcainu-	
203	12-150	stand	verb	*tar-	
204	12-160	remain|stay	verb	*ᴹquilda-	
205	12-170	remains|left overs	noun	ᴺlemmë 	# Elaran
206	12-20	beside	adposition	ar(a)	
207	12-210	collect|gather	verb	comya-, hosta-	
208	12-212	pick up	verb	lepta-	
209	12-213	pile up	verb	hosta-	
210	12-220	join|unite	verb	ᴺyanta-	
211	12-230	separate	verb	satya	
212	12-232	divide	verb	ᴺcilta-	# ABNW, NQNT
213	12-240	open	verb	latya-	
214	12-250	shut|close	verb	holya-	
215	12-260	cover	verb	tup-	
216	12-270	hide|conceal	verb	*cuv	
217	12-30	down|below	adposition	ᴹnún	
218	12-310	high	adjective	orwa	
219	12-320	low	adjective	undu	
220	12-330	top	adjective	ᴺcastëa	# Luinyelle, Arael
221	12-340	bottom	adjective	ᴺtaldëa	# Luinyelle, Arael
222	12-350	end	noun	metta	
223	12-352	pointed	noun	ᴺnassëa	
224	12-353	edge	noun	*hríma	
225	12-360	side	noun	ᴺpermë	# Röandil
226	12-370	middle|center	noun	endë	
227	12-40	before	adposition	opo	
228	12-41	front	noun	ᴺpentë	
229	12-410	right	adjective	formen	
230	12-420	left	adjective	hyarmen	
231	12-430	near	adjective	*ᴱarë	
232	12-440	far	adjective	anda	
233	12-450	east	adjective	(h)róna	
234	12-460	west	adjective	núna	
235	12-470	north	adjective	forna	
236	12-480	south	adjective	hyarna	
237	12-50	inside|in	adposition	imi	
238	12-530	grow	verb	ala-	
239	12-540	measure	verb	ᴺesta	# Helge Fauskanger
240	12-541	span|fathom	noun	ᴺrangwië	# Röandil
241	12-550	large|big	adjective	túra	
242	12-560	small|little	adjective	aiwë	
243	12-570	long	adjective	anda	
244	12-580	tall	adjective	tára	
245	12-590	short	adjective	senna	
246	12-60	outside	adjective	ᴹettë	
247	12-610	wide|broad	adjective	landa	
248	12-620	narrow	adjective	náha	
249	12-630	thick	adjective	ᴹtiuca	
250	12-650	thin	adjective	náha	
251	12-670	deep	adjective	ᴹnúra	
252	12-680	shallow	adjective		
253	12-70	under	adposition	nu	
254	12-710	flat	adjective	*ᴱpalwa	
255	12-730	straight	adjective	ᴹtéra	
256	12-740	crooked	adjective	raica	
257	12-750	hook	noun	ampa	
258	12-760	corner	verb	neltë	
259	12-770	cross	noun	*ᴱtarwë	
260	12-780	square	noun	ᴺcantil	
261	12-80	up|above	adposition	or	
262	12-810	round	adjective	ᴺpirindëa, ᴹcorna	
263	12-820	circle	noun	corto*	
264	12-830	sphere|ball	noun	ᴹcoron, ᴹpamba	
265	12-840	line	noun	*ᴱnyas	
266	12-850	hole	noun	*sapta	
267	12-920	like|similar	adposition	ve	
268	12-930	change	verb	*ahya	
269	13-0	zero|nothing	numeral	*ᴱmunta	
270	13-10	one	numeral	minë	
271	13-100	ten	numeral	cainen	
272	13-101	eleven	numeral	minquë	
273	13-102	twelve	numeral	yunquë	
274	13-103	fifteen	numeral	lencëa	
275	13-104	twenty	numeral	yucainen	
276	13-105	hundred	numeral	tuxa	
277	13-106	thousand	numeral	húmë	
278	13-107	count	verb	not-	
279	13-140	every|all	adjective	*il	
280	13-150	much|many	adjective	ᴺlina	
281	13-160	more	adjective	amba	
282	13-170	little|few	adjective	nótima	
283	13-180	enough	adjective	ᴹfárëa	
284	13-181	some	adjective	nótima	
285	13-190	multitude|crowd	noun	hosto	
286	13-20	two	numeral	atta	
287	13-210	full	adjective	quanta	
288	13-220	empty	adjective	ᴹempty	
289	13-230	part|piece	noun	asta	
290	13-240	half	adjective	peresta	
291	13-30	three	numeral	neldë	
292	13-330	alone|only	adjective	er	
293	13-340	first	ordinal	minya	
294	13-350	last	adjective	métima	
295	13-360	second	ordinal	attea	
296	13-370	pair	noun		
297	13-380	twice	adverbial		
298	13-40	four	numeral		
299	13-420	third	ordinal	neldea	
300	13-440	thrice	adverbial		
301	13-50	five	numeral	lempë	
302	13-60	six	numeral	enquë	
303	13-70	seven	numeral	otso	
304	13-80	eight	numeral	tolto	
305	13-90	nine	numeral	nertë	
306	14-110	time	noun	lúmë	
307	14-120	age	noun	ᴹranda	
308	14-130	new	adjective	céva	
309	14-140	young	adjective	vinya	
310	14-150	old	adjective	enwina	
311	14-160	early	adjective		
312	14-170	late	adjective	*ᴱtelwa	
313	14-180	now	adverb	sí	
314	14-190	immediately	adverb	ᴺú pusto	# Tamas Ferencz
315	14-210	swift|fast|quick	adjective	linta	
316	14-220	slow	adjective	*ᴱlenca	
317	14-230	hasten|hurry	verb	ᴺronga-	# Elaran, Valerie
318	14-240	retard|delay	verb	ᴺhapya-	# Paul Strack
319	14-250	begin|beginning	verb	ᴺyesta-, ᴺyestië	# Ryszard Derdzinski
320	14-252	last|endure	verb	*tav-	
321	14-260	end	noun	metta	
322	14-270	finish	verb	*tel-	
323	14-280	cease|stop	verb	hauta-	
324	14-290	ready	adjective	ᴺferya	# Vyacheslav Stepanov
325	14-310	always	adverb	illumë	
326	14-320	often	adverb	ᴺlillumë	# Tamas Ferencz
327	14-330	sometimes	adverb	ᴺnalumë	# Lokyt
328	14-331	soon	adverb	ron(go)	
329	14-332	long-time	adverb		
330	14-340	never	adverb	ᴺallumë	
331	14-350	again	adverb	en-, ᴹata	
332	14-410	day	noun	ré (full 24 hours), aurë (daytime)	
333	14-420	night	noun	lómë	
334	14-430	dawn	noun	*amaurë	
335	14-440	morning	noun	*amaurë	
336	14-450	noon|midday	noun	ᴺendaurë	
337	14-451	afternoon	noun	ᴺapárilë	# Raccoon
338	14-460	evening	noun	andúnë	
339	14-470	today	noun	*síra	
340	14-480	tomorrow	noun	ᴹenar	
341	14-481	day-after-tomorrow	noun		
342	14-490	yesterday	noun	nöa	
343	14-491	day-before-yesterday	noun		
344	14-510	hour	noun	lúmë	
345	14-530	clock|timepiece	noun	ᴺlúma	# Petri Tikka
346	14-610	week	noun	enquië (6 days), ᴺotsola (7 days)	
347	14-620	Sunday	noun	Anarya	
348	14-630	Monday	noun	Isilya	
349	14-640	Tuesday	noun	Aldúya 	
350	14-650	Wednesday	noun	Menelya	
351	14-660	Thursday	noun	Eärenya	
352	14-670	Friday	noun	Valanya	
353	14-680	Saturday	noun	Elenya	
354	14-710	month	noun	asta	
355	14-730	year	noun	löa	
356	14-740	winter	noun	hrívë	
357	14-750	spring	noun	ehtelë	
358	14-760	summer	noun	lairë	
359	14-770	autumn	noun	yávië	
360	14-780	season	noun	ᴺlöasta	# Paul Strack
361	15-210	smell	verb	ᴹnusta-	
362	15-212	sniff	verb	ᴹnusta-	
363	15-220	smell	verb	ᴹnusta-	
364	15-250	fragrant|good smelling	adjective	*nis- (v.)	
365	15-260	stinking|bad smelling	adjective	saura	
366	15-310	taste	verb	tyav-	
367	15-350	sweet	adjective	lissë	
368	15-360	salty	adjective	*ᴱsingwa	
369	15-370	bitter	adjective	ᴹsára	
370	15-380	acid|sour	adjective	*ᴱnaxa	
371	15-390	brackish	adjective		
372	15-410	hear	verb	*hlar-	
373	15-420	listen	verb	lasta-	
374	15-440	sound|noise	noun		
375	15-450	loud	adjective	hlón(a)	
376	15-460	quiet|silence	adjective	quildë	
377	15-510	see	verb	cen-	
378	15-520	look|look at	verb	cen-	
379	15-550	show	verb	*ᴱapanta-	
380	15-560	shine	verb	*cal-	
381	15-570	bright	adjective	nalda	
382	15-610	color	noun	quilë	
383	15-620	light	adjective	vilina	
384	15-630	dark	adjective	mordo	
385	15-640	white	adjective	fána	
386	15-650	black	adjective	morë	
387	15-660	red	adjective	carnë	
388	15-670	blue	adjective	luinë	
389	15-680	green	adjective	laica	
390	15-690	yellow	adjective	malina	
391	15-710	touch	verb	appa-	
392	15-712	pinch	verb		
393	15-720	feel	verb	ᴺfel-	
394	15-740	hard	adjective	norna	
395	15-750	soft	adjective	ᴹmilya, ᴺmoica	
396	15-760	rough	adjective	ᴺhorna	# Luinyelle
397	15-770	smooth	adjective	ᴺmilla	
398	15-780	sharp	adjective	maica	
399	15-790	blunt|dull	adjective	*ᴱalaica	# Paul Strack
400	15-810	heavy	adjective	*lungo	
401	15-820	light-weight	adjective	cólima	
402	15-830	wet|damp	adjective	ᴹlinquë, ᴹmixa, ᴹnítë	
403	15-840	dry	adjective	ᴹparca	
404	15-850	hot	adjective	úra	
405	15-851	warm	adjective	lauca	
406	15-860	cold	adjective	helca	
407	15-870	clean	adjective	ᴹpoica	
408	15-880	dirty|soiled	adjective	ᴹvára	
409	15-890	wrinkled	adjective		
410	16-110	soul|spirit	noun	fëa	
411	16-150	surprised|astonished	adjective		
412	16-180	good fortune|luck	noun	almë	
413	16-190	misfortune|bad luck	noun		
414	16-230	joyful|glad|happy	adjective	ᴺalassëa	# Ales Bican’s New Words
415	16-250	laugh	verb	lala-	
416	16-251	smile	verb	raita-	
417	16-260	play	verb	tyal-	
418	16-270	love	verb	mel-	
419	16-290	kiss	verb	miqu-	
420	16-300	embrace	verb		
421	16-310	pain	noun	ᴹnwalma	
422	16-320	grief|sorrow|sadness	noun	*ᴱnyérë	
423	16-330	anxiety|worry	noun	ᴺtírelë	# Raccoon
424	16-340	regret|be sorry	verb	ᴺapanaina-	# Luinyelle
425	16-350	pity	noun	ᴺofelmë	# David Kiltz, PPQ, Helge Fauskanger, NQNT
426	16-370	cry|weep	verb	ᴺníta-	# Helge Fauskanger
427	16-380	tear	noun	ᴹnië	
428	16-390	groan	verb	ᴺnauna-	
429	16-410	hate	verb	*ᴱtev-	
430	16-420	anger	noun		
431	16-440	envy|jealousy	noun	ᴺhrúcen	# Helge Fauskanger
432	16-450	shame	noun	ᴺnaityalë	# Helge Fauskanger
433	16-480	proud	adjective	ᴺvalatëa 	# Helge Fauskanger
434	16-510	dare	verb	ᴹverya-	
435	16-520	brave	adjective	verya	
436	16-530	fear|fright	noun	*sossë	
437	16-540	danger	noun	*raxë	
438	16-620	desire|want	verb	mína-, mer-	
439	16-622	choose	verb	ᴺcil-	# Common
440	16-630	hope	noun	estel	
441	16-650	faithful	adjective	voronda	
442	16-660	true	adjective	nanwa	
443	16-670	lie|tell lies	verb	ᴺcupta-	
444	16-680	deceit	noun	ᴺcuptalë	
445	16-690	forgive	verb	*apsen-	
446	16-710	good	adjective	sá	
447	16-720	bad	adjective	urra	
448	16-730	right|correct	adjective	sá, téra	
449	16-740	wrong	adjective	ᴹraica	
450	16-760	fault	noun		
451	16-770	mistake|error	noun	loima	
452	16-780	blame	noun		
453	16-790	praise	verb	*laitalë	
454	16-810	beautiful	adjective	vanya	
455	16-820	ugly	adjective	úvanima	
456	16-830	greedy	adjective	ᴹmilca	
457	16-840	clever	adjective	finca (in petty ways), finya	
458	17-110	mind	noun	sanar	
459	17-130	think|reflect	verb	*sana-	
460	17-140	think	verb	*sana-	
461	17-150	believe	verb	sav-	
462	17-160	understand	verb	ᴹhanya-	
463	17-170	know	verb	ista-	
464	17-171	guess	verb	ᴹintya-	
465	17-172	imitate	verb	ᴺovëanta-	
466	17-180	seem	verb	nem-	
467	17-190	idea|notion	noun	tenna	
468	17-210	wise	adjective	saila	
469	17-220	foolish|stupid	adjective	*ᴱlamanwa	
470	17-230	insane|crazy	adjective	ᴺhwinda	# Tamas Ferencz
471	17-240	learn	verb	par-	
472	17-242	study	verb	ᴺnolya-	# Robert Reynolds, Tamas Ferencz, Helge Fauskanger, PPQ
473	17-250	teach	verb	ᴺnolta-	# Robert Reynolds
474	17-260	pupil	noun	*cen	
475	17-270	teacher	noun	ᴺnoltar 	# Robert Reynolds
476	17-280	school	noun	ᴺparmen	# Tamas Ferencz
477	17-310	remember	verb	ᴺren-	# Helge Fauskanger
478	17-320	forget	verb	ᴺetsen-	# Tamas Ferencz
479	17-340	clear|plain	adjective	ᴹnemestëa	
480	17-350	obscure	adjective	ᴹnulla	
481	17-360	secret	adjective	ᴹmuina	
482	17-370	sure|certain	adjective	sinwa	
483	17-380	explain	verb		
484	17-410	intention|purpose	noun	*mínasta	
485	17-420	cause	verb	alya-	
486	17-430	doubt	verb		
487	17-440	suspect	verb		
488	17-441	betray	verb	ᴺvarta-	# Boris Shapiro
489	17-450	need|necessity	noun	ᴹmaurë	
490	17-460	easy	adjective	ancárima	
491	17-470	difficult	adjective	úcárima	
492	17-480	try|attempt	verb	*nav-	
493	17-490	way|manner	noun	lé	
494	17-510	and	conjunction	ya(n), ar	
495	17-520	because	conjunction	ᴺpan	# Helge Fauskanger
496	17-530	if	conjunction	qui	
497	17-540	or	conjunction	hya	
498	17-550	yes|affirmative	particle	né	
499	17-560	no|negative	particle	fó	
500	17-610	how	adverb	manen	
501	17-620	how many	adjective	ᴺmanotë	
502	17-630	how much	adjective		
503	17-640	what	noun	i	
504	17-650	when	adverb	ᴺmalumë	# Paul Strack
505	17-660	where	adverb	ᴹmassë	
506	17-670	which	adjective	i	
507	17-680	who	noun	i	
508	17-690	why	adverb	ᴺmanan	# Petri Tikka
509	18-110	voice	noun	óma	
510	18-120	sing	verb	*lir-	
511	18-130	shout|cry out	verb	*ᴱholtu-	
512	18-150	whisper	verb	*hlussa-	
513	18-160	mumble	verb	nurru-	
514	18-170	whistle	verb		
515	18-180	shriek|screech	verb		
516	18-190	howl	verb	ᴺnauna-	
517	18-210	speak|talk	verb	ᴺpahta-	
518	18-211	stutter|stammer	verb		
519	18-220	say	verb	quet-	
520	18-221	tell story	verb	nyar-	
521	18-222	speech	verb	pahta	
522	18-230	silent	adjective	*ᴱquilda	
523	18-240	language	noun	lambë	
524	18-260	word	noun	quetta	
525	18-280	name	noun	essë	
526	18-310	ask question|inquire	verb		
527	18-320	answer	verb	ᴺhanquet-	
528	18-330	admit|confess	verb	ᴺetequet-	# Helge Fauskanger
529	18-340	deny	verb	ala-	
530	18-350	ask|request	verb	cesta-	
531	18-360	promise	verb		
532	18-370	refuse	verb	váquet-	
533	18-380	forbid	verb	váquet-	
534	18-390	rebuke|scold	verb	naitya	
535	18-410	call|summon	verb	yal-	
536	18-420	call by name	verb		
537	18-430	announce	verb	ᴺcacanna-	# Tamas Ferencz
538	18-440	threaten	verb	ᴺorda-	# Helge Fauskanger
539	18-450	boast	verb		
540	18-510	write	verb	ᴹtec-	
541	18-520	read	verb	tengwa-	
542	18-560	paper	noun	*ᴱhyalin	
543	18-570	pen	noun	tecil	
544	18-610	book	noun	parma	
545	18-670	poet	noun	ᴺlairemo	# Petri Tikka
546	18-710	flute	noun	*ᴱᴬsimpa	
547	18-720	drum	noun	*ᴱtompa	
548	18-730	horn|trumpet	noun	romba	
549	18-740	rattle	noun		
550	19-110	country	noun	nórë	
551	19-120	one's native country	noun		
552	19-150	city|town	noun	minassë	
553	19-160	village	noun	ᴹopelë	
554	19-170	boundary	noun	yonwa	
555	19-210	people|populace	noun	lië	
556	19-230	tribe|clan	noun	*rendë	
557	19-240	chief|chieftain	noun	cáno	
558	19-250	staff|walking stick	noun	*vanga 	
559	19-310	rule|govern	verb	ᴹsanyë	
560	19-320	king|ruler	noun	aran	
561	19-330	queen	noun	tári	
562	19-360	noble|nobleman	noun	aráto	
563	19-370	citizen|subject	noun	ᴺostomo	
564	19-410	master	noun	heru	
565	19-420	slave	noun	mól	
566	19-430	servant	noun	ᴹnúro	
567	19-440	freeman	noun	ᴺléramo 	
568	19-450	command|order	verb	canya-	
569	19-460	obey	verb		
570	19-470	let|permit	verb		
571	19-510	friend|companion	noun	málo, *meldo	
572	19-520	enemy	noun	ᴹcotumo	
573	19-540	neighbor	noun	armaro	
574	19-550	stranger	noun	ᴹaiano	
575	19-560	guest	noun	ᴺnasal	
576	19-570	host	noun	liyúmë	
577	19-580	help|aid	verb	*rehta-	
578	19-590	hinder|prevent	verb	ᴺ(n)ungwar-	# Röandil
579	19-610	custom	noun	*ᴱsito	
580	19-620	strife|quarrel	noun	*costë	
581	19-630	conspiracy|plot	noun		
582	19-650	meet	verb	*omen-	
583	19-720	prostitute	noun		
584	2-100	person|human being	noun	quén, námo	
585	2-210	man	noun	nér (adult male), quendu (elf male), firë (mortal), Atan (species)	
586	2-220	woman	noun	nís (adult female), quendi (elf female)	
587	2-230	male	noun	ᴹhanwa	
588	2-240	female	noun	ᴹinya	
589	2-250	boy	noun	yonyo	
590	2-251	young man	noun		
591	2-260	girl	noun	nettë	
592	2-261	young woman	noun	vendë	
593	2-270	child	noun	hína	
594	2-280	infant|baby	noun	vinimo	
595	2-310	husband	noun	veru	
596	2-320	wife	noun	veri	
597	2-330	marry	verb	vesta-	
598	2-340	marriage|wedding	noun	ᴹvesta (ceremony), ᴹvestalë (state)	
599	2-341	divorce	noun	ᴺaumentalë	# Helge Fauskanger
600	2-350	father	noun	atar	
601	2-360	mother	noun	amil(lë)	
602	2-370	parents	noun	*nostar	
603	2-380	married man	noun		
604	2-390	married woman	noun		
605	2-410	son	noun	yondo	
606	2-420	daughter	noun	seldë, selyë	
607	2-430	offspring	noun	*hilmë	
608	2-440	brother	noun	ᴹtoron	
609	2-444	older brother	noun	ᴺyárahan	# Röandil
610	2-445	younger brother	noun	ᴺvinyahan	# Röandil
611	2-450	sister	noun	nésa	# Röandil
612	2-454	older sister	noun	ᴺyáranet	# Röandil
613	2-455	younger sister	noun	ᴺvinyanet	# Röandil
614	2-456	sibling	noun	*ᴱhes	
615	2-458	twins	noun	onóna	
616	2-460	grandfather	noun	*ᴱharu	
617	2-461	old man	noun		
618	2-470	grandmother	noun	*ᴱharuni	
619	2-471	old woman	noun		
620	2-480	grandson	noun	ᴹindyo	
621	2-490	granddaughter	noun	ᴹindyo	
622	2-510	uncle	noun		
623	2-511	mother's brother	noun		
624	2-512	father's brother	noun		
625	2-520	aunt	noun		
626	2-521	mother's sister	noun		
627	2-522	father's sister	noun		
628	2-530	nephew	noun	*ᴱsúyon	
629	2-540	niece	noun	ᴺsúyel	
630	2-550	cousin	noun	rendo (male), ressë (female)	
631	2-560	ancestors	noun	*nostar	
632	2-570	descendants	noun	*ᴱhilmë	
633	2-610	father-in-law	noun		
634	2-611	father-in-law	noun		
635	2-620	mother-in-law	noun		
636	2-621	mother-in-law	noun		
637	2-630	son-in-law	noun		
638	2-631	son-in-law	noun		
639	2-640	daughter-in-law	noun		
640	2-641	daughter-in-law	noun		
641	2-710	stepfather	noun		
642	2-720	stepmother	noun		
643	2-730	stepson	noun		
644	2-740	stepdaughter	noun		
645	2-750	orphan	noun		
646	2-760	widow	noun	ᴺverulóra	# Helge Fauskanger
647	2-770	widower	noun		
648	2-810	relatives|kinsmen	noun	rendo (male), ressë (female)	"# lit. ""cousin"""
649	2-820	family	noun	nos(së)	
650	2-910	I	noun	ní	
651	2-920	you	noun	lyé	
652	2-930	he|she|it	noun	sé (gendered), sá (neuter)	
653	2-940	we	noun	wé/vé (inclusive), mé (exclusive)	
654	2-941	we	noun	wé/vé (inclusive), mé (exclusive)	
655	2-942	we	noun	wé/vé (inclusive), mé (exclusive)	
656	2-950	you	noun	lé	
