chapter_id	entry_id	meaning	Tsez (Mokok dialect)_CyrillTrans	Tsez (Mokok dialect)_Phonemic	comment
3	663	whale	кит	kit	
3	664	stingray	ралъадйолъси кІетІу	raɬadyoɬsi kʼetʼu	
3	710	wolf	боцІи	bocʼi	
3	720	lion	цІиркъ	cʼirqʼ	
3	730	bear	зей	zey	
3	740	fox	зиру	ziru	
3	750	deer	белъи	beɬi	
3	760	monkey	маймалак	maymalak	
3	770	elephant	пил	pil	
3	780	camel	хІумукули	ħumukuli	
3	810	insect	хІутІхъумур	ħutʼqumur	
3	811	louse	ноци	noci	
3	812	nit (louse egg)	кІенечІ	kʼenečʼ	
3	813	flea	чІики	čʼiki	
3	815	scorpion	акърав	aqʼraw	
3	816	cockroach	таракан	tarakan	
3	817	ant	реценйо	recenyo	
3	818	spider	бозогъу	bozoɣu	
3	819	spider web	тормужи	tormuži	
3	820	bee	нуцокьоси тІутІ	nucoƛ̄ʼosi tʼutʼ	
3	821	beeswax	хІе	ħe	
3	822	beehive	тІутІас рилъІо	tʼutʼas riɬˤo	
3	823	wasp	лІит	ƛit	
3	830	fly	тІутІ	tʼutʼ	
3	831	sandfly (midge), gnat	кІара; хІай	kʼara; ħay	
3	832	mosquito	хІай; кІара	ħay; kʼara	
3	840	worm	ацурйо; бико	acuryo; biko	
3	850	snake	бикори	bikori	
3	910	firefly	билІохъІу	biƛoqˤu	
3	920	butterfly	кьандиру; кидиллей	ƛ̄ʼandiru; kidilley	
3	930	grasshopper	хоцІи	xocʼi	
3	940	snail	амурйо	amuryo	
3	950	frog	лъохІро	ɬoħro	
3	960	lizard	шетро	šetro	
3	970	crocodile, alligator	аждахІ; кракадил	aždaħ; krakadil	
3	980	turtle	цетІамаьси лъохІро	cetʼamäsi ɬoħro	
4	110	body	лага; къаркъала	laga; qʼarqʼala	
4	120	skin, hide	бик; хІоши	bik; ħoši	
4	130	flesh	релІ	reƛ	
4	140	hair (head)	коди; кочори	kodi; kočori	
4	142	beard	котІу	kotʼu	
4	144	body hair	мус	mus	
4	145	pubic hair	хезу	xezu	
4	146	dandruff	къІул	qʼˤul	
4	150	blood	ийо	iyo	
4	151	vein, artery	ийос миша	iyos miša	
4	160	bone	лІуза	ƛuza	
4	162	rib	жибра	žibra	
4	170	horn	шилу	šilu	
4	180	tail	махІи	maħi	
4	190	back	гугу	gugu	
4	191	spine	гугйос хему	gugyos xemu	
4	200	head	къІим	qʼˤim	
4	201	side of head, temple	гІажалйос миша	ʕažalyos miša	
4	202	skull	окъІру	oqʼˤru	
4	203	brain	ата	ata	
4	204	face	гьутІмІали	hutʼmˤali	
4	205	forehead	кьокъІо	ƛ̄ʼoqʼˤo	
4	207	jaw	чІичІин	čʼičʼin	
4	208	cheek	хІухІ	ħuħ	
4	209	chin	чІичІин	čʼičʼin	
4	210	eye	озури	ozuri	
4	212	eyebrow	цІецІ	cʼecʼ	
4	213	eyelid	озкьоси икьу	ozƛ̄ʼosi iƛ̄ʼu	
4	214	eyelash	озкьоси цІецІ	ozƛ̄ʼosi cʼecʼ	
4	215	blink	цІилІа	cʼiƛa	
4	220	ear	ахІйа	aħya	
4	221	earlobe	ахІйас кики	aħyas kiki	
4	222	earwax	ахІйас къони	aħyas qʼoni	
4	230	nose	мІали	mˤali	
4	231	nostril	мІалис хъІод	mˤalis qˤod	
4	232	mucus (nasal)	лъетІру; хІикь	ɬetʼru; ħiƛ̄ʼ	
4	240	mouth	гьахъу	haqu	
4	241	beak	бІукьи	bˤuƛ̄ʼi	
4	250	lip	кьепу	ƛ̄ʼepu	
4	260	tongue	мец	mec	
4	270	tooth	кІицу	kʼicu	
4	271	gums	цемори	cemori	
4	272	molartooth	кьукъІмос кІицу	ƛ̄ʼuqʼˤmos kʼicu	
4	280	neck	мечІ	mečʼ	
4	281	nape of neck	ачІу	ačʼu	
4	290	throat	рес; бІайа	res; bˤaya	
4	300	shoulder	хІиро	ħiro	
4	301	shoulderblade	цІигъу	cʼiɣu	
4	302	collarbone	рекъу	reqʼu	
4	310	arm	мецу	mecu	
4	312	armpit	гедина	gedina	
4	320	elbow	рукь	ruƛ̄ʼ	
4	330	hand	рекьа	reƛ̄ʼa	
4	331	palm of hand	къІиду	qʼˤidu	
4	340	finger	баша	baša	
4	342	thumb	бІовла	bˤowla	
4	344	fingernail	мІолъу	mˤoɬu	
4	345	claw	мІолъу	mˤoɬu	
4	350	leg	хотІо	xotʼo	
4	351	thigh	кІончІу	kʼončʼu	
4	352	calf of leg	кІончІас бІикьо	kʼončʼas bˤiƛ̄ʼo	
4	360	knee	бечни	bečni	
4	370	foot	хотІо	xotʼo	
4	371	ankle	хотІос озури	xotʼos ozuri	
4	372	heel	хаза	xaza	
4	374	footprint	ругъу	ruɣu	
4	380	toe	баша	baša	
4	392	wing	лел	lel	
4	393	feather	лела	lela	
4	400	chest	хІаморокІу	ħamorokʼu	
4	410	breast (of woman)	кикиби	kikibi	
4	412	nipple, teat	кики	kiki	
4	420	udder	мегъу	meɣu	
4	430	navel	цотІори	cotʼori	
4	440	heart	рокІу	rokʼu	
4	441	lung	хІаморокІу	ħamorokʼu	
4	450	liver	жуби	žubi	
4	451	kidney	гендори	gendori	
4	452	spleen	боцкори	bockori	
4	460	stomach	бишахъу	bišaqu	
4	461	intestines, guts	гьомой	homoy	
4	462	waist	цотІ	cotʼ	
4	463	hip	кІончІу	kʼončʼu	
4	464	buttocks	кІецІ-махІи; махІи	kʼecʼ-maħi; maħi	
4	470	womb	атору	atoru	
4	490	testicle	къІондоли; акри	qʼˤondoli; akri	
4	492	penis	пучули	pučuli	
4	510	breathe, breath	муши лІиса	muši ƛisa	
4	520	yawn, gape	гьамакІрада	hamakʼrada	
4	521	hiccough	гьекІлІа	hekʼƛa	
4	530	cough	къахІлІа	qʼaħƛa	
4	540	sneeze	чІахъа кура	čʼaqa kura	
4	550	perspire	эгъведи риза	eɣʷedi riza	
4	560	spit	хохоцу кура	xoxocu kura	
4	570	vomit	эчнада	ečnada	
4	580	bite	хана	xana	
4	590	lick	мец бихІа; рага	mec biħa; raga	
4	591	dribble	ноцу йиза	nocu yiza	
4	610	sleep	кеца	keca	
4	612	snore	хІарлІа	ħarƛa	
4	620	dream	молІу йукада	moƛu yukada	
4	630	wake up	чІарилъа	čʼariɬa	
4	640	break wind	муши бегира	muši begira	
4	650	urinate	ахъІу куча	aqˤu kuča	
4	660	defecate	балІаху куча	baƛaxu kuča	
4	670	have sexual intercourse	йигъІира	yiɣˤira	
4	680	shiver	шеша	šeša	
4	690	bathe	эсанада	esanada	
4	710	beget (of father)	ода	oda	
4	720	born (to be)	охъа	oqa	
4	730	pregnant	лъарашав	ɬarašaw	
4	732	conceive	лъарашав йохъа	ɬarašaw yoqa	
4	740	live, living, life	гІумру бода; чІагуйав; гІумру	ʕumru boda; čʼaguyaw; ʕumru	
4	750	die, dead	эха; окІлъа; эхаси	exa; okʼɬa; exasi	
4	751	drowned	гъанкъизи ахъру	ɣanqʼizi aqru	
4	760	kill	эхура	exura	
4	770	corpse	цуди; жаназа	cudi; žanaza	
4	780	bury (the dead)	шуша	šuša	
4	790	grave, tomb	шуд	šud	
4	810	strong, mighty, powerful	запІана; кьохоно	zapʼana; ƛ̄ʼoxono	
4	820	weak	тохав	toxaw	
4	830	well, health	дулахъав; сагъав; сагълъи	dulaqaw; saɣaw; saɣɬi	
4	840	sick, sickness	ролІноху; ролІни	roƛnoxu; roƛni	
4	841	fever	бухІи; жежма кура	buħi; žežma kura	
4	842	goiter	хъехъ; титино	qeq; titino	
4	843	cold (catarrh)	хІамора-къІимес	ħamora-qʼˤimes	
4	850	wound, sore	рахъІ	raqˤ	
4	852	bruise	раькъІирулъи	räqʼˤiruɬi	
4	853	swelling	къІут	qʼˤut	
4	854	itch	лІалІа	ƛaƛa	
4	855	blister	борйо	boryo	
4	856	boil (noun)	чІикдори	čʼikdori	
4	857	pus	лъачІи	ɬačʼi	
4	858	scar	рахъІ; ругъен	raqˤ; ruɣen	
4	860	cure, heal	ричира	ričira	
4	870	physician	дохтур; врач	doxtur; wrač	
4	880	medicine, drug	дару; дарман; сабаб	daru; darman; sabab	
4	890	poison	бихира; загьру	bixira; zahru	
4	910	tired, weary	акилъаьси	akiɬäsi	
4	912	rest	муши бешра; хІалки бода	muši bešra; ħalki boda	
4	920	lazy	кІахІалав	kʼaħalaw	
4	930	bald	пІаІпІаІру	pʼaˤpʼaˤru	
4	940	lame	шихъІонйада	šiqˤonyada	
4	950	deaf	техъхануси	teqxanusi	
4	960	mute	мец бийхануси	mec biyxanusi	
4	970	blind	оззатав	ozzataw	
4	980	intoxicated	хІалилъаьси	ħaliɬäsi	
4	990	naked, bare	адору	adoru	
5	110	eat	иша; рацІа	iša; racʼa	
5	120	food	биша	biša	
5	121	cooked	рахІираьси	raħiräsi	
5	122	raw	ачІиму	ačʼimu	
5	123	ripe	бийаьси; кьокъаьси	biyäsi; ƛ̄ʼoqʼäsi	
5	124	green, unripe	нига; бийани; кьокъани	niga; biyani; ƛ̄ʼoqʼani	
5	125	rotten	къикъаьси	qʼiqʼäsi	
5	130	drink	хІалІа	ħaƛa	
5	140	hunger	меко	meko	
5	141	famine	меко; мекайрулъи	meko; mekayruɬi	
5	150	thirst	ачхъІа	ačqˤa	
5	160	suck	цІоцІолІа; лІиса	cʼocʼoƛa; ƛisa	
5	180	chew	жожонада	žožonada	
5	181	swallow	рига	riga	
5	190	choke	шитІра; муши шитІра	šitʼra; muši šitʼra	
5	210	cook	рахІира	raħira	
5	220	boil (vb)	хъІарада	qˤarada	
5	230	roast, fry	эшада	ešada	
5	240	bake	рахІира	raħira	
5	250	oven	хІо	ħo	
5	260	pot, cooking vessel	муш	muš	
5	270	kettle	чайникІ	čaynikʼ	
5	280	pan	лІохІо	ƛoħo	
5	310	dish	шитІу	šitʼu	
5	320	plate	шитІу	šitʼu	
5	330	bowl	зокІи	zokʼi	
5	340	pitcher, jug	тунги	tungi	
5	350	cup, drinking vessel	зокІи	zokʼi	
5	360	saucer	бегъени шитІу	beɣeni šitʼu	
5	370	spoon	кІовзи	kʼowzi	
5	380	knife (2)	тІахъІ	tʼaqˤ	
5	390	fork (2)	къІилъи	qʼˤiɬi	
5	391	tongs	хоцІу	xocʼu	
5	410	meal (a)	биша; баьшрулъи	biša; bäšruɬi	
5	420	breakfast	сасахъаси бишани	sasaqasi bišani	
5	440	dinner	сасахъаси бишани	sasaqasi bišani	
5	450	supper	нешируси бишани	neširusi bišani	
5	460	peel	цІега	cʼega	
5	470	sieve, strain	гъирлІа; реца	ɣirƛa; reca	
5	480	scrape	хвалІа; хослІа	xʷaƛa; xosƛa	
5	490	stir, mix	лъекІира	ɬekʼira	
5	510	bread	магалу	magalu	
5	530	dough	атІ	atʼ	
5	540	knead	къукъа	qʼuqʼa	
5	550	meal, flour	атІ; гегму	atʼ; gegmu	
5	560	crush, grind	рикъІира; гъигъа	riqʼˤira; ɣiɣa	
5	570	mill	агъІу	aɣˤu	
5	580	mortar (2)	гилу	gilu	
5	590	pestle	тІилухІ	tʼiluħ	
5	610	meat	релІ	reƛ	
5	630	sausage	чІагъІир	čʼaɣˤir	
5	640	soup, broth	чорпа	čorpa	
5	650	vegetables	чІихІо	čʼiħo	
5	660	bean	гьил	hil	
5	700	potato	гьекІу	hekʼu	
5	710	fruit	чІихІо	čʼiħo	
5	712	bunch	гилу; битІо	gilu; bitʼo	
5	750	fig	лигъуІ	liɣuˤ	
5	760	grape	кІуди	kʼudi	
5	770	nut	вахъІар	waqˤar	
5	780	olive	зайтун	zaytun	
5	790	oil	зети	zeti	
5	791	grease, fat	мо; махІи	mo; maħi	
5	810	salt	цийо	ciyo	
5	820	pepper	цІицІакІи	cʼicʼakʼi	
5	821	chili pepper	микъав цІицІакІи	miqʼaw cʼicʼakʼi	
5	840	honey	нуци	nuci	
5	850	sugar	чакар	čakar	
5	860	milk (noun)	гъІай	ɣˤay	
5	870	milk (vb)	тІетІа	tʼetʼa	
5	880	cheese	изу; акри	izu; akri	
5	890	butter	нок	nok	
5	900	beverage, drink	лъи	ɬi	
5	910	mead	нуцис зеру	nucis zeru	
5	920	wine	ша	ša	
5	930	beer	пиво	piwo	
5	940	fermented drink	зеру	zeru	
5	970	egg	кІенечІ	kʼenečʼ	
5	971	egg yolk	гуди	gudi	
6	110	put on (clothes)	шекьа	šeƛ̄ʼa	
6	120	clothing, clothes	шекьу	šeƛ̄ʼu	
6	130	tailor	шекьурхъу	šeƛ̄ʼurqu	
6	210	cloth	нигагъІичІи; бутни	nigaɣˤičʼi; butni	
6	220	wool	гьис; гьисос нигагъІичІи	his; hisos nigaɣˤičʼi	
6	230	linen, flax	сатІина	satʼina	
6	240	cotton	бамба; бамбази	bamba; bambazi	
6	250	silk	дарай	daray	
6	270	felt	бутни	butni	
6	290	leather	дабагъ; хъолІу	dabaɣ; qoƛu	
6	310	spin	мохо экІа	moxo ekʼa	
6	320	spindle	гІокь	ʕoƛ̄ʼ	
6	330	weave	риша	riša	
6	340	loom	станок	stanok	
6	350	sew	рахъІа	raqˤa	
6	360	needle	мури	muri	
6	370	awl	иму	imu	
6	380	thread	мохо	moxo	
6	390	dye	лак; лажбар	lak; lažbar	
6	410	cloak	чухъІа; плаш	čuqˤa; plaš	
6	420	woman's dress	кунта; гъІаназас гед	kunta; ɣˤanazas ged	
6	430	coat	палту	paltu	
6	440	shirt	гед	ged	
6	450	collar	мечІохоси	mečʼoxosi	
6	460	skirt	йупка	yupka	
6	461	grass-skirt	йупка	yupka	
6	480	trousers	пигъІу; гъелІу	piɣˤu; ɣeƛu	
6	490	stocking, sock	цІинтІай	cʼintʼay	
6	510	shoe	хотІохъоси	xotʼoqosi	
6	520	boot	патинка; хотІохъоси	patinka; xotʼoqosi	
6	540	shoemaker, cobbler	хотІохъоси ралІоІйхоси	xotʼoqosi raƛoˤyxosi	
6	550	hat, cap	шилйапа	išlyapa	
6	570	belt, girdle	ашуни	ašuni	
6	580	glove	рекьихъой	reƛ̄ʼiqoy	
6	590	veil	пардав	pardaw	
6	610	pocket	жини; чанта	žini; čanta	
6	620	button	цетІо	cetʼo	
6	630	pin	хъІиричІ-мури	qˤiričʼ-muri	
6	710	ornament, adornment	накъиш	naqʼiš	
6	720	jewel	жавгьар	žawhar	
6	730	ring (for finger)	башихъІой	bašiqˤoy	
6	740	bracelet	ака	aka	
6	750	necklace	кІечІреби; кІечІ	kʼečʼrebi; kʼečʼ	
6	760	bead	кІечІ	kʼečʼ	
6	770	earring	ахІйахоси	aħyaxosi	
6	780	headband, headdress	къІимкьоси	qʼˤimƛ̄ʼosi	
6	810	handkerchief, rag	хІикьохъу	ħiƛ̄ʼoqu	
6	820	towel	хІухІрекьахъу	ħuħreƛ̄ʼaqu	
6	910	comb	эшу	ešu	
6	920	brush	гьилІу	hiƛu	
6	921	braid	жежу	žežu	
6	930	razor	мешокІла бойхоси	mešokʼla boyxosi	
6	940	ointment	маз	maz	
6	950	soap	сопІон	sopʼon	
6	960	mirror	чІикай	čʼikay	
7	110	dwell, live	ича; гІумру бова	iča; ʕumru bowa	
7	120	house	гъІутку	ɣˤutku	
7	130	hut	охъру	oqru	
7	131	garden-house	гъІутку	ɣˤutku	
7	140	tent	палатка	palatka	
7	150	yard, court	азбар	azbar	
7	160	men's house	гІалохъзарси гъІутку	ʕoloqzarsi ɣˤutku	
7	170	cookhouse	кухни	kuxni	
7	180	meeting house	сабрйанйаби ройхоси гъІутку; кулуб	sabranyabi royxosi ɣˤutku; kulub	
7	210	room	гъІутку; отахи	ɣˤutku; otaxi	
7	220	door, gate	ац; каву	ac; kawu	
7	221	doorpost, jamb	ма	ma	
7	230	lock (noun)	буркІули	burkʼuli	
7	231	latch, door-bolt	гъІами	ɣˤami	
7	240	key	река	reka	
7	250	window	аки	aki	
7	260	floor	къІир	qʼˤir	
7	270	wall	хъидо	qido	
7	310	fireplace	хъидолъси хІо	qidoɬsi ħo	
7	320	stove	хІо	ħo	
7	330	chimney	бухари	buxari	
7	370	ladder	хъІилІури	qˤiƛuri	
7	420	bed	карават	karawat	
7	421	pillow	хъІилІци	qˤiƛci	
7	422	blanket	сабани	sabani	
7	430	chair	къІури	qʼˤuri	
7	440	table	истІовли	istʼowli	
7	450	lamp, torch	лампучка; чарахІ	lampučka; čaraħ	
7	460	candle	чарахІ	čaraħ	
7	470	shelf	ицо	ico	
7	480	trough	тара; лъилъиро	tara; ɬiɬiro	
7	510	roof	кьІу	ƛ̄ʼˤu	
7	520	thatch	гъІучІос кьІу	ɣˤučʼos ƛ̄ʼˤu	
7	530	ridgepole	къІвачІа	qʼˤʷačʼa	
7	540	rafter	истарапил	istarapil	
7	550	beam	къвІачІа	qʼˤʷačʼa	
7	560	post, pole	им	im	
7	570	board	къІир	qʼˤir	
7	580	arch	ака	aka	
7	610	mason	хъидохъу	qidoqu	
7	620	brick	агури; кирпич	aguri; kirpič	
7	630	mortar	гач	gač	
7	640	adobe	саманйос гъутку	samanyos ɣˤutku	
8	110	farmer	фермер	fermer	
8	120	field (for cultivation)	мочи	moči	
8	130	garden	багъ	baɣ	
8	150	cultivate, till	мочи билІа	moči biƛa	
8	160	fence	куро	kuro	
8	170	ditch	архи	arxi	
8	210	plow	рилІу рилІа	riƛu riƛa	
8	212	furrow	рилІу; рох	riƛu; rox	
8	220	dig	ричІа	ričʼa	
8	230	spade	аку	aku	
8	240	shovel	ричІ йилъени аку	ričʼ yiɬeni aku	
8	250	hoe	тохъІи	toqˤi	
8	260	fork	къІулІу	qʼˤuƛu	
8	270	rake	хослІакІу	xosƛakʼu	
8	310	sow	эжи чалІаІ; рилІа	eži čaƛaˤ; riƛa	
8	311	seed	мугьу	muhu	
8	320	mow, reap	коса; рутира	kosa; rutira	
8	330	sickle, scythe	нешу; харцели	nešu; xarceli	
8	340	thresh	гъигъа	ɣiɣa	
8	350	threshing-floor	оцу	ocu	
8	410	crop, harvest	хъІичи	qˤiči	
8	420	grain (barley, oats etc)	эжи; мугьуби	eži; muhubi	
8	430	wheat	имес атІ	imes atʼ	
8	440	barley	махъа	maqa	
