chapter_id	entry_id	meaning	Nahuatl (Sierra de Zacapoaxtla variety)_Phonemic	comment
1	860	light, kindle, ignite	-šootaa-l-tii	Means 'to set afire'.
1	861	extinguish	ki-sewi-a	*Aztecan *seewi.
1	880	firewood	kʷowi-t; kʷow-tatil	'Hace leña' is kʷahkʷowi.; 'Hace leña' is kʷahkʷowi.
1	890	charcoal	teko-l	'Soot' is *Aztecan *tiil-, cf. 'black' 15.650.
2	210	man (vs. woman)	taga-t; taka-t	*Aztecan *tlaaka-.; *Aztecan *tlaaka-.
2	220	woman	siwa-t	
2	230	male	taga-t; okič-pil	*Aztecan *okɨč-.; *Aztecan *okɨč-.
2	240	female	siwa-t	
2	250	boy	okič-pil; kone-t	*Aztecan *pilc̷iin-, also 'son'.; *Aztecan *pilc̷iin-, also 'son'.
2	251	young man (adolescent)	itelpoč; okič-pil	
2	260	girl	swa-pil; kone-t	
2	261	young woman (adolescent)	ičpokat	
2	270	child	pili; kone-t; swaa-pil	Latter form is 'female child'. Plural form: pii-pil. *Aztecan *konee-.; Latter form is 'female child'. Plural form: pii-pil. *Aztecan *konee-.; Latter form is 'female child'. Plural form: pii-pil. *Aztecan *konee-.
2	280	infant, baby	pili	
2	310	husband	i-yokič; i-taka-w	
2	320	wife	i-siwa-w; i-swa-c̷in	
2	330	marry	ki-namik-ti-ya	*Aztecan *naamɨktia.
2	340	marriage, wedding	ilwit; namik-ti-lis; ilwit-čiwalis	
2	350	father	i-tah-c̷in; te-tat	
2	360	mother	i-nan-c̷in	*Aztecan *naan-; yəh.
2	380	married man	taga-t nami-keh	
2	390	married woman	siwa-t nami-keh	
2	410	son	i-telpoč; i-kone-w; i-okič-pil	*Aztecan *pilc̷iin-.; *Aztecan *pilc̷iin-.; *Aztecan *pilc̷iin-.
2	420	daughter	i-swa-pil; ičpoč; i-kone-w	
2	430	offspring (son or daughter)	i-kone-w	
2	440	brother	ii-kni-w	
2	450	sister	ii-kni-w; no-swaa-iknii-w	Latter form 'my sister'.; Latter form 'my sister'.
2	458	twins	nenec̷	
2	460	grandfather	tata-h weyi; i-weyi-tata-h	Also i-papa weyi.; Also i-papa weyi.
2	461	old man	wewe-t; wewen-c̷in	
2	470	grandmother	nana-h weyi; i-weyi-nan-c̷in	Also i-mama weyi.; Also i-mama weyi.
2	471	old woman	lama-c̷in	A unique form, in that it is the only word that begins with /l/.
2	480	grandson	i-šwi-w	
2	490	granddaughter	i-šwi-w-swa-pil	
2	550	cousin	i-wehka-swa-i-kni-w	Female cousin. '(Male) cousin' is i-wehka-i-kni-w; wehka means 'far, distant' 12.440.
2	560	ancestors	wehka-w-kayo-t	Also wehka-w-te-tat; wehka-w-tata-h.
2	610	father-in-law (of a man)	mon-tat	
2	620	mother-in-law (of a man)	mo-nan	
2	630	son-in-law (of a man)	mon-tikeh; i-mon-tikaw	
2	640	daughter-in-law (of a man)	i-swa-mon	Also of a woman.
2	641	daughter-in-law (of a woman)	i-swa-mon	
2	710	stepfather	i-takpa-tat	
2	720	stepmother	i-takpa-nan	
2	730	stepson	imikakawal	
2	750	orphan	mike-kawal	mike is 'dead, corpse' 04.770. 'Adoptado' is i-wehka-konew.
2	760	widow	swa-kawal	
2	770	widower	taka-kawal	
2	810	relatives, kinsmen	i-čan-kaw	čan is 'house' 07.120.
2	820	family	i-čan-kawan	
2	910	I	neh-wa; neh; ni-	Object, 'to, for me': neč-; possession 'my' no-. *Aztecan *nəh.; Object, 'to, for me': neč-; possession 'my' no-. *Aztecan *nəh.; Object, 'to, for me': neč-; possession 'my' no-. *Aztecan *nəh.
2	920	you (singular)	teh; teh-wa; ti-	Object 'to, for you' mic̷-; possession 'your' mo-.; Object 'to, for you' mic̷-; possession 'your' mo-.; Object 'to, for you' mic̷-; possession 'your' mo-.
2	930	he/she/it	yeh; yeh-wa	Subject, 3rd p. singular, is a zero form, ∅. 'Suyo (de él o ella)' i-aška. Object 'it' ki- ~ k-; possession 'his, hers, its' ni- ~ i-. General object, non-personal ta-. Personal, 'someone's' te-.; Subject, 3rd p. singular, is a zero form, ∅. 'Suyo (de él o ella)' i-aška. Object 'it' ki- ~ k-; possession 'his, hers, its' ni- ~ i-. General object, non-personal ta-. Personal, 'someone's' te-.
2	940	we	teh-wa-n; ti-; t-...-h; -keh	Object, 1st p. plural: teeč-; possession: to-.; Object, 1st p. plural: teeč-; possession: to-.; Object, 1st p. plural: teeč-; possession: to-.; Object, 1st p. plural: teeč-; possession: to-.
2	950	you (plural)	nan-; ta-...-h; -eh; nameh-wa-n	Object, 2nd p. plural: nameeč- ~ ameeč-; possession 'your' plural: namo-.; Object, 2nd p. plural: nameeč- ~ ameeč-; possession 'your' plural: namo-.; Object, 2nd p. plural: nameeč- ~ ameeč-; possession 'your' plural: namo-.; Object, 2nd p. plural: nameeč- ~ ameeč-; possession 'your' plural: namo-.
2	960	they	yeh-wa-n; ∅-...-h	Subject, 3rd p. plural, is a zero form, followed by a suffix ...-h. Object, 3rd p. plural, 'them' iin- ~ kiin-; possession 'their' iin- ~ niin-.; Subject, 3rd p. plural, is a zero form, followed by a suffix ...-h. Object, 3rd p. plural, 'them' iin- ~ kiin-; possession 'their' iin- ~ niin-.
3	110	animal	okʷil-in	'Domestic animal' is tapial; 'wild a.' is kʷowtah-kʷil-in; okʷil-tamahc̷awal. 'Coyote' is koyot, used to label 'white man'. *Aztecan *koyoo-.
3	150	livestock	kʷakʷehmeh	
3	160	pasture	taselo-t; ištawa-t; takomol	
3	180	herdsman	tapi-š-keh	'He herds/tends (animals)' tapi[y]a.
3	190	stable, stall	sin-kal	
3	200	cattle (bovine)	tapial-meh; kʷakʷeh-meh	
3	210	bull	kʷakʷoweh	
3	220	ox	kʷakʷoweh	
3	230	cow	kʷakʷoweh	
3	240	calf	kʷakʷow-kone-t; kʷakʷeh-c̷in	kone- is 'offspring'.; kone- is 'offspring'.
3	250	sheep	ička-t	
3	290	lamb	ička-t; ička-c̷in	
3	320	boar	kʷopic̷ot	
3	340	sow (2)	tatokalis	
3	350	pig	pic̷o-t	
3	360	goat	čiβah	From Span. 'chivo'.
3	410	horse (equine)	kabayoh	From Span. 'caballo'.
3	460	ass, donkey	burroh	From Span. 'burro'.
3	520	cock, rooster	kašti-l	'Su cresta' is i-kʷa-nakaw.
3	540	hen	pio; swa-pio	
3	550	chicken	pio; pio-kone-t	kone- is 'offspring' 02.430. *Aztecan *tootoo-. 'Turkey' *Aztecan *tootol-.; kone- is 'offspring' 02.430. *Aztecan *tootoo-. 'Turkey' *Aztecan *tootol-.
3	580	nest	tapahsol; tako-čan	čan is 'house' 07.120.; čan is 'house' 07.120.
3	581	bird	toto-c̷in	*Aztecan *tootoo-, *tootol-.
3	583	heron	a-ten-patoh; apatoh	
3	584	eagle	kʷišin	
3	585	hawk	kʷišin	
3	586	vulture	c̷ohpilo-t	*Aztecan *c̷opiiloo-.
3	591	bat	c̷inaka	*Aztecan *c̷inaakan.
3	593	crow	kakalo-t	
3	594	dove	točtekolo-t	
3	596	owl	tololoh; kʷow-šašaka; čičti	*Aztecan *təkoloo-.; *Aztecan *təkoloo-.; *Aztecan *təkoloo-.
3	610	dog	ic̷kʷin-ti	
3	614	rabbit	toč-; točin	
3	620	cat	miston	
3	630	mouse, rat	kimičin	
3	650	fish	miči; miči-n	*Aztecan *mičɨm.; *Aztecan *mičɨm.
3	653	fishscale	i-tapač; ewa-t	Cf. 'shell' 03.655; cf. 'skin, hide, bark' 04.120.; Cf. 'shell' 03.655; cf. 'skin, hide, bark' 04.120.
3	655	shell	tapač	
3	665	freshwater eel	koa-miči-n	Cf. 'snake' 03.850.
3	740	fox	kʷek-ti	
3	750	deer	masa-t	*Aztecan *masaa-.
3	810	insect	okʷil-c̷in	
3	811	louse	tekolo-t	*Aztecan *atəmV-.
3	812	nit (louse egg)	ahsilit	
3	813	flea	tekpin-ti	
3	816	cockroach	šopepe	
3	817	ant	aska-t	'Hormiga arriera' čičilaskat; 'hormiga picahuye' čilaskat. 'Hormiguero' is aska-tel. *Aztecan *c̷iika-.
3	818	spider	toka-t	
3	819	spider web	c̷awal	
3	820	bee	sera-okʷil-c̷in	From Span. 'cera'. See 'insect' 03.810.
3	822	beehive	serah okʷilkahon; i-čan in kolmena; nekc̷i-c̷in	čan is 'house' 07.120. See 'honey' 05.840.; čan is 'house' 07.120. See 'honey' 05.840.; čan is 'house' 07.120. See 'honey' 05.840.
3	823	wasp	alsin; neškomeh	
3	830	fly	moyo-t	*Aztecan *mooyoo-.
3	831	sandfly (midge), gnat	čakistle; moyo-c̷in	
3	832	mosquito	šahkal-moyo-t	*Aztecan *mooyoo-.
3	840	worm	okʷil-c̷in; tal-ihkočin; tal-kʷetaš-kol	tal is 'earth, dirt' 01.210; kʷetaš is 'skin' 04.120. Also kʷitkowat. A kind of worm is ihkočin.; tal is 'earth, dirt' 01.210; kʷetaš is 'skin' 04.120. Also kʷitkowat. A kind of worm is ihkočin.; tal is 'earth, dirt' 01.210; kʷetaš is 'skin' 04.120. Also kʷitkowat. A kind of worm is ihkočin.
3	850	snake	kowa-t	*Aztecan *koowa-.
3	920	butterfly	papalo-t; čawa-papalo-t	Latter is 'mariposa nocturna'.; Latter is 'mariposa nocturna'.
3	930	grasshopper	čapoli-n	
3	940	snail	šok-ti	
3	950	frog	kala-t; kʷeya; akʷeya	Also šošo-kala-t. 'Toad' is tamasolin.; Also šošo-kala-t. 'Toad' is tamasolin.; Also šošo-kala-t. 'Toad' is tamasolin.
3	960	lizard	maliguay; topeh; šilkʷowiši	'Iguana' is *Aztecan *kʷəc̷-.; 'Iguana' is *Aztecan *kʷəc̷-.; 'Iguana' is *Aztecan *kʷəc̷-.
4	110	body	i-naka-yo	Also means 'flesh; meat' 05.610.
4	120	skin, hide	kʷetaš; i-kʷetaš-yio; i-ewa-yo	See 'bark' 08.750. 'Pod (of bean)' is e-kʷetaš. *Aztecan *kʷətaš-.; See 'bark' 08.750. 'Pod (of bean)' is e-kʷetaš. *Aztecan *kʷətaš-.; See 'bark' 08.750. 'Pod (of bean)' is e-kʷetaš. *Aztecan *kʷətaš-.
4	130	flesh	i-naka-yo-h	
4	140	hair (head)	i-c̷on; c̷oon-ti	*Aztecan *c̷on-.; *Aztecan *c̷on-.
4	142	beard	i-ten-c̷on-yo	Lit. 'possessed-mouth-hair-human'.
4	144	body hair	i-tohmi-yo	Also means 'wool' 06.220.
4	146	dandruff	i-kʷa-ewa-yo	Cf. 'head' 04.200, 'skin' 04.120.
4	150	blood	es-ti; es-yoh	'Sangrar' is es-kisa; 'cause to be bloody' is -es-wi. *Aztecan *əs-.; 'Sangrar' is es-kisa; 'cause to be bloody' is -es-wi. *Aztecan *əs-.
4	160	bone	omi-t	*Aztecan *oomV-.
4	162	rib	i-elčikiw	
4	180	tail	i-kʷita-pil	pil is used as a diminutive; cf. 'child' 02.270. See 'defecate' 04.660.
4	190	back	i-kampa; i-kʷita-pan; i-kan	Cf. 'tail' 04.180; 'defecate' 04.660. *Aztecan *təpoc̷-, also 'shoulder'.; Cf. 'tail' 04.180; 'defecate' 04.660. *Aztecan *təpoc̷-, also 'shoulder'.; Cf. 'tail' 04.180; 'defecate' 04.660. *Aztecan *təpoc̷-, also 'shoulder'.
4	191	spine	i-kʷita-panomiyo	See 'defecate' 04.660.
4	200	head	i-c̷on-tekon; i-kʷa-ko	Cf. 'hair' 04.140; 'dandruff' 04.146. tekomat is 'jícara', a bowl/ container' 05.330. 'Dentro de su cabeza' is ikʷa-ihtik. *Aztecan *kʷaa(y)(V)-.; Cf. 'hair' 04.140; 'dandruff' 04.146. tekomat is 'jícara', a bowl/ container' 05.330. 'Dentro de su cabeza' is ikʷa-ihtik. *Aztecan *kʷaa(y)(V)-.
4	202	skull	mike-c̷on-tekoma-t	mike- is 'dead, corpse' 04.770. See 'head' 04.200. Also i-kʷa-kakawi-yo; i-kʷakakaw-yo.
4	203	brain	i-kʷa-tiš-yo	
4	204	face	i-iš-ko	Means place/location of the eye. Cf. 'eye' 04.210. *Aztecan *iiš-.
4	205	forehead	iš-kʷa-ko; iš-kʷa-y	Respectively: lit. 'eye-head-place/location; eye-head-person possessed'.; Respectively: lit. 'eye-head-place/location; eye-head-person possessed'.
4	208	cheek	i-kama-nakas-tan; i-kačeteh	Cf. 'flesh' 04.130; 'ear' 04.220.; Cf. 'flesh' 04.130; 'ear' 04.220.
4	210	eye	i-iš-tololo	Cf. 'seed' 08.311. See 'face' 04.204.
4	212	eyebrow	i-iš-tohmi-yo	Means 'eye-hair' 04.144.
4	213	eyelid	iš-pil-kʷetaš-yo	See 04.120 'skin'.
4	214	eyelash	iš-pil; iš-pilwi-yo	Also iš-pil-tohmi-yo, see 04.144 'body hair'.; Also iš-pil-tohmi-yo, see 04.144 'body hair'.
4	215	blink	ihkopi	
4	220	ear	i-nakas	'Su oído, auditivo' is i-nakas-koyok. *Aztecan *nakas-.
4	230	nose	yeka; i-yekac̷ol	*Aztecan *yaka-.; *Aztecan *yaka-.
4	231	nostril	i-yekac̷ol-koyo-k	Lit 'nose-hole' 12.850.
4	232	mucus (nasal)	i-yeka-kʷi-t	
4	240	mouth	i-ten; teem-; i-kamak	*Aztecan *teen-.; *Aztecan *teen-.; *Aztecan *teen-.
4	241	beak	i-tem-pil	
4	250	lip	i-ten-šipal	
4	260	tongue	i-nene-pil	
4	270	tooth	i-tan	
4	271	gums	i-kamanaka-yo	
4	272	molartooth	i-tan-koč	
4	280	neck	i-keč	*Aztecan *kəč-.
4	281	nape of neck	i-keč-kočta	'Pescuezo (de animal)' is i-keč-kʷow-yo.
4	290	throat	i-toskak	
4	300	shoulder	i-ahkol	See 'arriba' ahko 12.080.
4	310	arm	i-ahkol; i-ma-y; i-maka-yo	
4	312	armpit	i-sekatan	
4	320	elbow	i-molik	
4	321	wrist	i-ma-keč-tah; i-ma-keč-tan	Refers to hand-neck, 04.280. Also see 'ankle' 04.371.; Refers to hand-neck, 04.280. Also see 'ankle' 04.371.
4	330	hand	i-ma-y; -maa; mah	*Aztecan *maa(y)(V)-.; *Aztecan *maa(y)(V)-.; *Aztecan *maa(y)(V)-.
4	331	palm of hand	i-ma-iško; i-ma-kpal	
4	340	finger	i-ma-h-pil	
4	342	thumb	i-weyi ma-h-pil	Lit. 'possessed-large hand-diminutive (child)'.
4	344	fingernail	isti	*Aztecan *ɨstə-.
4	350	leg	i-kes; i-mec̷	'Canilla, espinilla' is i-mec̷aka-yo.; 'Canilla, espinilla' is i-mec̷aka-yo.
4	351	thigh	i-kes	
4	352	calf of leg	i-koc̷; i-koc̷-ko; i-koc̷i-kan	
4	360	knee	i-tan-kʷa-y	Cf. 'head' 04.200.
4	370	foot	i-mec̷	'To step on' is taksa; -iksa. 'Planta del pie' is i-mec̷-iš-ko; i-mec̷-tampa; i-mec̷-šokpal. *Aztecan *ɨkši-.
4	371	ankle	i-mec̷-keč-saliwiyan	Refers to the neck of the leg/foot; keč is 'neck' 04.280. Cf. 'wrist' 04.321.
4	372	heel	i-koc̷	
4	374	footprint	taksa-lis; tac̷oniksalis	See 'foot' 04.370. Also kitalia nimah-pil.; See 'foot' 04.370. Also kitalia nimah-pil.
4	380	toe	i-mec̷-ikši-pil	Cf. 'small (child)' 02.270.
4	392	wing	ahtapal	
4	393	feather	ihwi-t	
4	400	chest	i-el-pan	
4	410	breast (of woman)	i-čiči-wal	
4	430	navel	i-ši-k	*Aztecan *šiik-.
4	440	heart	yool; i-yolo	
4	441	lung	i-popoc̷o-a	
4	451	kidney	i-e-yo	Also means 'bean' 05.660.
4	460	stomach	i-poš	Also means 'womb' 04.470. 'Panzón, barrigón' is weyi i-poš.
4	461	intestines, guts	i-ihti-yo; i-kʷit-kowan	First form also means 'inside' 12.050. Also i-kʷita-škol; cf. 'defecate' 04.660.; First form also means 'inside' 12.050. Also i-kʷita-škol; cf. 'defecate' 04.660.
4	462	waist	i-tahko-yan	tahko is 'half' 13.240.
4	464	buttocks	i-c̷in-tan	
4	470	womb	i-poš	Also means 'stomach' 04.460.
4	510	breathe, breath	i-iyo-yo; iihyoyo; ihsika	Also mo-ihyoti-a; ihyoc̷akʷis.; Also mo-ihyoti-a; ihyoc̷akʷis.; Also mo-ihyoti-a; ihyoc̷akʷis.
4	520	yawn, gape	koč-kama-čalo-a	Lit. 'sleep' 04.610 + 'cheek' 04.208 + ?
4	521	hiccough	c̷ikno-a	
4	530	cough	tatasi	Noun is tatašis.
4	540	sneeze	ikšo-a; ikšo-lis	
4	550	perspire	mitoni-a	Cf. 'fever' 04.841. 'He is sweating himself in the bathhouse' mo-tema.
4	560	spit	ki-čihča; i-čihči; i-ten-a-yo	*Aztecan *čɨhčV-.; *Aztecan *čɨhčV-.; *Aztecan *čɨhčV-.
4	570	vomit	ta-kepa; mo-yoliš-kepa; mo-ihsota	kepa is 'return' 10.481.; kepa is 'return' 10.481.; kepa is 'return' 10.481.
4	580	bite	ki-kehc̷oma	
4	590	lick	ta-pahpalo-a; -pic̷ohtoya	*Aztecan *palowa.; *Aztecan *palowa.
4	591	dribble	čičipika; čipini	
4	610	sleep	koči; -koh-koči	'Sleepy' is koči-s-neki; 'dormilón' is koč-mihmil. *Aztecan *kočɨ.; 'Sleepy' is koči-s-neki; 'dormilón' is koč-mihmil. *Aztecan *kočɨ.
4	612	snore	sosolka	
4	620	dream	ta-koči-ta; koči-lis; -koh-koči-ta	
4	630	wake up	k-ihšiti-a; ihsa; ihsa-lis; ihsa-tok	
4	650	urinate	mo-šišiša	*Aztecan *šiiša.
4	660	defecate	kʷita-t	Noun form. 'Dung' is tapalan. *Aztecan *kʷitla-. *Aztecan *aapiic̷a 'have diarrhea', lit. 'water+blow'.
4	680	shiver	kʷekʷetaka; wiwiška; wiwiyoka	
4	690	bathe	ki-pahpaka	Also ki-tema; ki-altia. The sweatbath is temas-kal, 'stone-house'; see 'perspire' 04.550.
4	720	born (to be)	ta-yoliti-a; ki-taka-tilti-a	Also yooli-k; taskalti-a.; Also yooli-k; taskalti-a.
4	730	pregnant	oc̷titok	*Aztecan *ooc̷-.
4	740	live, living, life	yol-tok; nemi	yol is 'heart' 04.440.; yol is 'heart' 04.440.
4	750	die, dead	miki; -miki-tii	Past tense: miyi-k. Latter form is 'kill, cause to die'. *Aztecan *mɨki.; Past tense: miyi-k. Latter form is 'kill, cause to die'. *Aztecan *mɨki.
4	751	drowned	atohtoloa	
4	760	kill	-miki-tii; ki-mik-ti-ya	*Aztecan *mɨktia.; *Aztecan *mɨktia.
4	770	corpse	mike-t	
4	780	bury (the dead)	ki-toka; ki-tal-toka	Also means 'plant' 08.531. Also ki-pačo-a *Aztecan tooka, also 'plant'.; Also means 'plant' 08.531. Also ki-pačo-a *Aztecan tooka, also 'plant'.
4	790	grave, tomb	mike-koyo-k-ti; mike-tekoč	See 'hole' 12.850.; See 'hole' 12.850.
4	810	strong, mighty, powerful	čikawa-k; čikawalis; čikaw-tok	Also iliwis; welilis. *Aztecan *čika(awa)k.; Also iliwis; welilis. *Aztecan *čika(awa)k.; Also iliwis; welilis. *Aztecan *čika(awa)k.
4	820	weak	wiwis-ti-k; amo čikawa-k; kʷekʷetaka	
4	830	well, health	pak-tok; pahti-k ya	
4	840	sick, sickness	mo-koko-a; koko-lis; koko-š-kakʷi	*Aztecan *koko(wa) (?).; *Aztecan *koko(wa) (?).; *Aztecan *koko(wa) (?).
4	841	fever	totoni-k	Cf. 'perspire' 04.550. 'Paludismo' is ičtaka-tonawis.
4	843	cold (catarrh)	c̷ompil	
4	850	wound, sore	tatek-ti; koko-t	
4	852	bruise	šokolti-tok	Cf. 'blue' 15.670.
4	853	swelling	posawa-k; ki-posawa-l-ti-a	See 'pregnant' 04.730.; See 'pregnant' 04.730.
4	854	itch	ahwayowa; ahwayowalis; sawa-t	*Aztecan *kəškia.; *Aztecan *kəškia.; *Aztecan *kəškia.
4	855	blister	asoloni	'Blood blister' is es-tata.
4	857	pus	temal	
4	858	scar	i-tatek	
4	860	cure, heal	ki-pahti-a	
4	870	physician	te-pahtih-keh	
4	880	medicine, drug	-pah; pahti	
4	890	poison	ta-pahwi-lo-ni	Means 'negative-medicine (heal)'.
4	910	tired, weary	siowi-k; siow-tok; kʷač-ti-k; kʷaw-ti-k	*Aztecan *soota; *sVyawi.; *Aztecan *soota; *sVyawi.; *Aztecan *soota; *sVyawi.; *Aztecan *soota; *sVyawi.
4	912	rest	mo-sewi-a	
4	920	lazy	tac̷iwi; sonsoh	
4	930	bald	kʷa-šikal-ti-k	Lit. 'head-jícara (gourd container)-adj.'
4	940	lame	košo	Span. 'cojo'(?). Also mec̷-koko-š-keh; ki-koko-a i-mec̷; mec̷-kohkol-ti-k; mec̷-kotol-ti-k.
4	950	deaf	nakas-c̷ac̷a; nakas-tapal; nakas-c̷akʷi	nakas is 'ear' 04.220.; nakas is 'ear' 04.220.; nakas is 'ear' 04.220.
4	960	mute	amo wel-tahto-a; non-c̷in	The former, lit. 'negative able-talk'.; The former, lit. 'negative able-talk'.
4	970	blind	amo ta-ča	'Sight (vista)' is tačialis.
4	980	intoxicated	win-ti-tok; tawan-keh	*Aztecan *VwVnti.; *Aztecan *VwVnti.
4	990	naked, bare	šikal-ti-k; šitac̷-ti-k	šikal- is 'gourd (jícara)'.; šikal- is 'gourd (jícara)'.
5	110	eat	ta-kʷa; ta-kʷa-a	Lit. 'general, nonpersonal object-eat'. *Aztecan *kʷa.; Lit. 'general, nonpersonal object-eat'. *Aztecan *kʷa.
5	120	food	ta-kʷa-l; ta-kʷa-lo-ni	Also tapalo-l; 'tamales pintos' ešiši-tamal.; Also tapalo-l; 'tamales pintos' ešiši-tamal.
5	121	cooked	yoksi; ta-kʷa-l-čiwa	The latter means 'food-make'. *Aztecan *ɨkʷsik.; The latter means 'food-make'. *Aztecan *ɨkʷsik.
5	122	raw	šošo-wi-k	Cf. 'blue, green' 15.670.
5	123	ripe	yoksi	
5	124	green, unripe	šošo-wi-k	Also means the color green 15.680. 'Immature' is *Aztecan *səli-.
5	125	rotten	palak-ti-k; kihtakʷa; ihtakawi	Verbal form is pala-ni.; Verbal form is pala-ni.; Verbal form is pala-ni.
5	130	drink	tayi; ati	Latter is 'drink water'.; Latter is 'drink water'.
5	140	hunger	mayana; apis; apis-ti	
5	141	famine	apis-ti; mayaan-miki	
5	150	thirst	a-miki; amik; amik-ti	Lit. 'water-die'.; Lit. 'water-die'.; Lit. 'water-die'.
5	160	suck	ki-pipi-na; ki-pipi-c̷o-a	'To suckle' is čiči.; 'To suckle' is čiči.
5	180	chew	kic̷on-kʷahkʷa	kʷa is 'eat'.
5	181	swallow	ki-tolo-a	
5	190	choke	ki-keč-pac̷-ka; kihiyo-mik-ti-a	keč is 'neck'. 'Die of strangling' -keč-paac̷-miki. Also tasonewaltia; kihyo-mik-ti-a.; keč is 'neck'. 'Die of strangling' -keč-paac̷-miki. Also tasonewaltia; kihyo-mik-ti-a.
