chapter_id	entry_id	meaning	Ancient Aramaic_Phonemic	comment
4	351	thigh	šāqā; krāʁā	
4	360	knee	burkā; ʔarkubtā ̃ rkubtā	
4	370	foot	reglā	
4	371	ankle	ḳarsōlā ̃ ḳurṣlā	
4	372	heel	ʁeḳbā	
4	392	wing	gappā ̃ gadpā ̃ kenpā	
4	393	feather	ʔebrā; gelpānā	
4	400	chest	χadyā; χubbā	
4	410	breast (of woman)	tdā; daddā; χadyā	
4	412	nipple, teat	bezzā	
4	420	udder	bezzā	
4	430	navel	šerrā ̃ šurrā; ṭibbūra; knūšrā	
4	440	heart	lebbā	
4	441	lung	rātā	
4	450	liver	kabdā	
4	451	kidney	kōlītā	
4	452	spleen	ṭχālā	
4	460	stomach	karsā	
4	461	intestines, guts	mʁayyā	
4	463	hip	gessā; ʁaṭmā	
4	464	buttocks	ʔešštā; špōlā	
4	470	womb	mʁayyā; raχmā; beṭnā	
4	490	testicle	ʔešktā	
4	492	penis	dekrā	Literally, 'male' or 'ram'. There appears to be no single technical term. Common euphemisms are: 'arm', 'hand', 'flesh', 'vault', 'reed'.
4	510	breathe, breath	npaš; nšam	
4	520	yawn, gape	pahhar	
4	530	cough	šʁal	
4	540	sneeze	ʁṭaš	
4	550	perspire	dʁet; dayyet	
4	560	spit	raḳ	
4	570	vomit	gsā; gʁaṭ; gʁam; ʔtīb	
4	580	bite	nkat	
4	590	lick	lχak	
4	610	sleep	dmok; nām	
4	612	snore	nχar	
4	620	dream	χlam	
4	630	wake up	ʁār; ḳām	
4	640	break wind	ʁraṭ	
4	650	urinate	tān; štan	
4	660	defecate	zabbel; χrā; ʔappeḳ	
4	670	have sexual intercourse	bʁal; ʔezdamman; ʔeštawtap	
4	680	shiver	zaʁ	
4	690	bathe	sχā	
4	710	beget (of father)	ylad; ʔawled	
4	720	born (to be)	ʔetyled	
4	730	pregnant	mʁabbrā; bṭīnā; ṭʁīnā	
4	732	conceive	bṭen; hrā; ʁrā	
4	740	live, living, life	χay; χayyīn	respectively 'alive', 'life' = 'alive' pl.; respectively 'alive', 'life' = 'alive' pl.
4	750	die, dead	mīt	
4	751	drowned	ʔetχannaḳ; ʔeṭṭabbaʁ	
4	760	kill	ḳṭal	
4	770	corpse	pagrā	
4	780	bury (the dead)	qbar	
4	790	grave, tomb	ḳabrā	
4	810	strong, mighty, powerful	šarrīr; zrīz; χassīn; ʁazīz; ʁaššīn	
4	820	weak	dwē; bṣīr; χalaš; nsīs; paχχīχ; rpē; tšīš	
4	830	well, health	šlem; χlīm	
4	840	sick, sickness	mraʁ	
4	841	fever	ʔešštā; dlīḳtā; ṣemrā	
4	843	cold (catarrh)	dawbā; ḳaršā	
4	850	wound, sore	mχōtā; xbārtā; šūmtā	
4	852	bruise	ṣlāptā; ḳebyǟnā; ḳūsḳāsā	
4	853	swelling	nuppāχā	
4	854	itch	garbā	
4	856	boil (noun)	nuppāχā	
4	857	pus	massyūtā; mūglā; tamsūtā; rehlā	
4	858	scar	kwāyā; šūmtā	
4	860	cure, heal	ʔassī; ʔaχlem; sawsī; ʁaṣṣeb; rappī	
4	870	physician	ʔāsyā	
4	880	medicine, drug	sammā; ʔāsyūtā	
4	890	poison	χemmtā; sammā dmawtā	
4	910	tired, weary	ʁayyīp; ḳhē; tʁīš	
4	912	rest	nāχ	
4	920	lazy	baṭṭāl; bāṭlānā; rpē; špel	
4	930	bald	ḳrāχ	
4	940	lame	χgīr	
4	950	deaf	χreš; ʔaṭṭīm	
4	960	mute	χreš	
4	970	blind	smē	The euphemism saggī-nūhrā 'much enlightened one' is often used.
4	980	intoxicated	rawwāy	
4	990	naked, bare	ʁarṭīlāy	
5	110	eat	ʔkal	
5	120	food	mēklā; māzōnā; ʔuklā; laχmā	
5	121	cooked	baššīl	lit. 'boiled, ripe'. Normally, the type of preparation is specified: 'fried', 'boiled', 'roasted', etc.
5	122	raw	χay	
5	123	ripe	baššil	
5	124	green, unripe	rgē	
5	125	rotten	msē; pāχōχ; taχχīχ	
5	130	drink	ʔeštī	
5	140	hunger	kapnā	
5	141	famine	kapnā	
5	150	thirst	ṣhūtā; ṣahyūtā	
5	160	suck	maṣ; mṣā; maṣmeṣ	
5	180	chew	lʁas	
5	181	swallow	blaʁ	
5	190	choke	ʔetχneḳ	
5	210	cook	bšal	
5	220	boil (vb)	rtaχ; ʔgīχ	
5	230	roast, fry	ṭwā; ṣlā; ḳlā	
5	240	bake	ʔpā	
5	250	oven	tinnūrā; ʔattūna	
5	260	pot, cooking vessel	dūdā; ḳedrā	
5	270	kettle	dūdā	
5	280	pan	kappā; ṭignā	the former rounded, the latter flat; the former rounded, the latter flat
5	310	dish	kappā; pīnkā	the latter < Gk. pinaks.; the latter < Gk. pinaks.
5	330	bowl	ʔaggānā	Generally such vessels are referred to by function rather than shape.
5	340	pitcher, jug	ḳūltā; lgīnā	
5	350	cup, drinking vessel	kāsā	
5	360	saucer	mēḳītā	
5	370	spoon	kappā	
5	380	knife (2)	sakkīnā	
5	390	fork (2)	mašlyā	
5	391	tongs	kalbtā; malḳtā	
5	410	meal (a)	šērūtā ̃ šārūtā	
5	460	peel	paṣṣel; ḳlap	
5	480	scrape	grad	
5	490	stir, mix	mzag	
5	510	bread	laχmā	
5	530	dough	ʔāṣūtā; layšā	
5	540	knead	gbal; lāš	
5	550	meal, flour	ḳamχā	
5	560	crush, grind	ṭχan; šχaḳ; daḳḳek	
5	570	mill	raχyā; ṭuχntā	
5	580	mortar (2)	ʔasettā; madduktā; mdakktā	
5	590	pestle	bukkānā; dāḳōḳā	
5	610	meat	besrā	
5	640	soup, broth	būšālā; zōmā	
5	650	vegetables	yarḳā	
5	660	bean	pūlā	So in Jewish Aramaic. Otherwise, there are many words for different kinds of beans.
5	710	fruit	ʔebbā	
5	712	bunch	ʔetklā; mēsartā	
5	750	fig	tēnā; tēttā	
5	760	grape	ʁenbā	
5	770	nut	gawzā; gawztā	
5	780	olive	zaytā	
5	790	oil	mešχā	
5	791	grease, fat	mešχā; šammīnā	
5	810	salt	melχā	
5	820	pepper	pelplā	
5	840	honey	debšā	
5	850	sugar	šakkrā	
5	860	milk (noun)	χelbā	
5	870	milk (vb)	χlab	
5	880	cheese	gbettā	
5	890	butter	χemʔtā; χēwtā	
5	900	beverage, drink	mzāgā; šāḳūtā; mašḳītā; šeḳyā	
5	910	mead	šakkrā	
5	920	wine	χamrā	
5	930	beer	šakrā	
5	940	fermented drink	šakrā	
5	970	egg	bēʁtā	
5	971	egg yolk	yūrāḳā; mōḳrā	
6	110	put on (clothes)	lbeš; �ʔetlbeš	
6	120	clothing, clothes	lbāšā; talbuštā	
6	130	tailor	χayyāṭā	
6	220	wool	ʁamrā	
6	230	linen, flax	kettānā; būṣā	resp. 'linen', 'fine linen'; resp. 'linen', 'fine linen'
6	240	cotton	ʁamar-gupnā	lit. 'vine wool'
6	250	silk	mīṭaḳsā	< Gk. metaxa
6	270	felt	gušpā; lebdā; pīlōṭā	
6	280	fur	meškā	
6	290	leather	geldā; meškā	
6	310	spin	ʁzal; dawwel; dal; ṭwā; bkat	
6	320	spindle	maʁzālā; sarnā	
6	330	weave	ʔrag; mχā; sbak; ʁarzel; paššel	
6	340	loom	nawlā	
6	350	sew	χāṭ	
6	360	needle	mχaṭṭā	
6	370	awl	marṣʁā; maḳbā	
6	380	thread	χūṭā; dūlā; bīnā	
6	390	dye	ṣebʁā; sammā	
6	410	cloak	ʁṭāpā; gūltā; marṭūṭā	
6	440	shirt	χlūḳā; gūltā; kittōnītā	
6	450	collar	zīrā	
6	460	skirt	kenpā	
6	480	trousers	ʔabarqsīn; sarblā	
6	510	shoe	msānā	
6	540	shoemaker, cobbler	ʔeškǟpā	
6	570	belt, girdle	ʔesārā; hemyānā; zōnārā	
6	590	veil	rdīdā; šuššeppā	
6	610	pocket	kīsā	usually, a separate purse
6	630	pin	ḳlīdā; dʁāṣā	
6	710	ornament, adornment	takšīṭā; ṣubbātā	
6	720	jewel	ʔabnā	
6	730	ring (for finger)	ʁezḳtā; zīrā	
6	740	bracelet	šērā	
6	750	necklace	zīrā	
6	760	bead	χumrā	
6	770	earring	ḳdāšā	
6	780	headband, headdress	maṣnaptā; burzinḳā	
6	810	handkerchief, rag	blaytā	
6	820	towel	suddārā	
6	910	comb	masrḳā	
6	921	braid	gdal	
6	930	razor	gallābā	
6	940	ointment	šyāptā	
6	950	soap	ṣabbōn	
6	960	mirror	maχzītā; nawrā	
7	110	dwell, live	yteb; šrā	
7	120	house	baytā	
7	130	hut	mṭalltā	
7	131	garden-house	bītānā	
7	140	tent	mašknā	
7	150	yard, court	tarbṣā	
7	170	cookhouse	bēt-ṭabbāχā	
7	210	room	ḳayṭōnā; tawwānā	
7	220	door, gate	daššā; tarʁā	
7	221	doorpost, jamb	mzūzītā; prostdā	
7	231	latch, door-bolt	ʔχādā	
7	240	key	maptχā; ḳlīdā	
7	250	window	kawtā	
7	260	floor	ʔarʁā	
7	270	wall	šūrā	
7	310	fireplace	tpāyā	
7	320	stove	tinnūrā; ʔattūnā	
7	330	chimney	bēt-nūrā	
7	370	ladder	sebbeltā	
7	420	bed	ʁarsā	
7	430	chair	kursyā	
7	440	table	paššūrā	
7	450	lamp, torch	būṣīnā; lampēdā; pānsā; nabreštā	
7	460	candle	ḳandēlā	
7	480	trough	ʔaṣūtā; gūrnā; šeḳyā	
7	510	roof	ʔeggārā	
7	540	rafter	gšūrā ̃ kšūrā	
7	550	beam	gšūrā; kšūrā	
7	560	post, pole	ḳāymā	
7	570	board	dappā	
7	580	arch	kepptā	
7	610	mason	ʔargūblā	
7	620	brick	lbettā	
7	630	mortar	mlāṭā	
8	110	farmer	ʔakkārā; χakkōrā; pallāχā	respectively: 'farmer', 'tenant farmer', 'peasant'; respectively: 'farmer', 'tenant farmer', 'peasant'; respectively: 'farmer', 'tenant farmer', 'peasant'
8	120	field (for cultivation)	χaḳlā	
8	130	garden	bustānā; ginnā	
8	150	cultivate, till	rdā; χraš	
8	160	fence	gdērā	
8	170	ditch	χrīṣtā	
8	210	plow	paddānā	
8	212	furrow	krābā; telmā; ʔummānā	
8	220	dig	χṭaṭ; χpar; χrat; krā; nḳab; nḳar	
8	230	spade	magrōpītā	
8	240	shovel	passā; rapšā	
8	250	hoe	marrā	
8	260	fork	mašlyā	
8	270	rake	mātōrā	
8	310	sow	zraʁ	
8	311	seed	bazrā; bar-zarʁā; zarʁōnā	
8	320	mow, reap	χṣad	
8	330	sickle, scythe	magglā; maggaltā	
8	340	thresh	dāš	
8	350	threshing-floor	ʔeddrā	
8	410	crop, harvest	ʁlaltā; χṣādā	
8	420	grain (barley, oats etc)	ʁbūrā	
8	430	wheat	χeṭṭē	
8	440	barley	sʁārē	
8	480	rice	ʔorzā; rōzā	
8	510	grass	ʁesbā; detʔā tēdʔā; χṣīrtā	
8	520	hay	ʁmīrā; ʁupyā	
8	530	plant (noun)	ṣemχā	
8	531	plant (vb)	nṣab	
8	540	root	ʁeḳḳārā	
8	550	branch	ʁnāpā; sawkā; sawktā	also specialized words for branches of different trees.; also specialized words for branches of different trees.; also specialized words for branches of different trees.
8	560	leaf	ṭarpā	
8	570	flower	parχā; perʁā; ʁupyā	
8	600	tree	ʔīlānā	
8	610	oak	ballūṭā	
8	640	pine	ʔarzā	
8	650	fir	ʔarzā	
8	660	acorn	ballūṭā	
8	670	vine	gupnā; karmā	
8	720	tree stump	gardōmā	
8	730	tree trunk	guzʁā; sarnā	
8	750	bark	ḳalptā	
8	810	palm tree	deḳlā	
8	830	citrus fruit	ṭrongā; ṭruggā	
8	930	gourd	paḳḳūʁā; ḳaṭṭūtā	
8	931	pumpkin, squash	būṣṣīnā	
8	970	nettle	χkākā	
9	110	do, make	ʁbad	
9	120	work	plaχ	
9	140	bend	gχan; knaʁ; kpā; kap; ṣlā; ʔetrken	
9	150	fold	ʁāp	
9	160	tie, bind	kpat	
9	161	untie	šarrī	
9	180	chain	ʔasūrā; ʔsārā; kablā; ʁraḳtā; šūrā; šēšaltā	
9	190	rope, cord	χablā; ʔešlā; gdīltā	
9	192	knot (noun)	ḳeṭrā	
9	210	strike (hit, beat)	mχā	
9	211	pound with fist	ktaš; χbaṭ	
9	220	cut	ḳṭaʁ	
9	221	cut down	χbaṭ; ḳṭam	
9	222	chop, hew	ḳaṣ	
9	223	stab	nḳab	
9	230	knife	sakkīnā	
9	240	scissors, shears	masprā	
9	250	ax	χaṣṣīnā; kūlbā; magzrā; nārgā; sīḳḳūrā; pelḳā	
9	260	break	tbar	
9	261	broken	tbīr	
9	270	split	bzaʁ; saddeḳ; pṣal	
9	280	tear	ḳraʁ	
9	290	flay, skin	sarreḳ	
9	310	rub, wipe	mraḳ; šāp	
9	320	stretch	mtaχ; ngad	
9	330	pull	mtaχ	
9	340	spread out	ʔetnged; praχ; ṭpaχ	first two intrans.; latter trans.; first two intrans.; latter trans.; first two intrans.; latter trans.
9	341	hang up	tlā	
9	342	press	dχaḳ; zrab; χbaṣ; kbaš; ʁṣar; ʔalleṣ; ʔnas	
9	343	squeeze, wring	mṣā; maṣṣī	
9	350	pour	nsak; ʔšad; ʔaχχet	
9	360	wash	sχā; ʔasseχ	
9	370	sweep	grap; knaš	
9	380	broom	mabbīnā; maknaštā	
9	422	tool	mānā	
9	430	carpenter	naggārā	
9	440	build	bnā	
9	460	bore	nḳab	
9	461	hollow out	χalχel	
9	480	saw	massārā; msērā	
9	490	hammer	ḳurnāsā; marzaptā	
9	500	nail	sekktā	
9	560	glue	debḳā; gīrā	
9	600	smith, blacksmith	χāšōlā ̃ χaššālā	
9	610	forge	χlaš	
9	620	anvil	saddānā	
9	630	cast (metals)	nsak	
9	640	gold	dahbā	
9	650	silver	kaspā	
9	660	copper, bronze	nχāšā	
9	670	iron	parzlā	
9	680	lead (noun)	ʔabbārā; ʔānkā	
9	690	tin, tinplate	ʔānkā	
9	710	potter	paχχārā	
9	720	mold (clay etc)	gbal	
9	730	clay	χaspā ̃ χeṣpā	
9	740	glass	zgūgītā ̃ zkūkītā	
9	750	weave, plait	ʔaštī; ʁarzel; sbak; nwal; mχā; lāp	
9	760	basket	sallā; zabbīlā; msantā	
9	770	mat	bōryā; šṭīχā; ṣeptā	
9	771	rug	ṭāpīṭā	loanword
9	780	netbag	mādīḳā	
9	790	fan (noun)	madryā; napyā; rapšā	
9	791	fan (vb)	rpaš; nap	
9	810	carve	glap; ṣār	
9	820	sculptor	gallāpā	
9	830	statue	ḳayyemtā; ʔandarṭā; ṣalmā; dmūtā	
9	840	chisel	maḳḳārā	
9	880	paint (noun)	ṣbāʁā; sammā	
10	110	move	zāʁ; nād	
10	120	turn over	ʔpak	
10	130	turn around	tāb; χzar	
10	140	wind, wrap	krak	
10	150	roll	galgel	
10	160	drop (vb)	rmā; arpī; ʔappel; ʔattar; ʔaχχet	
10	170	twist	gdal	
10	210	rise	sleḳ	
10	220	raise, lift	salleḳ	
10	230	fall	npal	
10	240	drip	nṭap; dlap	
10	250	throw	zraḳ; ʔaddī; rmā	
10	252	catch (ball)	ʔχad	
10	260	shake	zaʁzaʁ	
10	320	flow	dāb; ngad	
10	330	sink	ṭbaʁ	
10	340	float	ṭāp	
10	350	swim	sχā; šāṭ ̃ šʁaṭ	
10	352	splash	zlaχ; rsas	
10	370	fly (vb)	ṭās; praχ	
10	380	blow	npaχ; nšab; nšam; nšap	
10	410	creep, crawl	rχaš	
10	412	kneel	brak	
10	413	crouch	rbaʁ	
10	430	jump, leap	šār	
10	431	kick	bʁaṭ	
10	440	dance	rḳad	
10	450	walk	hallek	
10	451	limp	χgar; ṭlaʁ	
10	460	run	rhaṭ	
10	470	go	ʔzal; hlak	
10	471	go up	sleḳ	
10	472	climb	rkab; ṭarpes	
10	473	go down	nχet	
10	474	go out	npaḳ	
10	480	come	ʔetā	
10	481	come back	tāb; χzar	
