#swadesh 207 id	part-of-speech	English	Proto-Germanic	Old English	Old English IPA	Scots 	West Frisian 	Dutch 	Afrikaans 	Low Saxon 	Limburgish 	Central Franconian 	Luxembourgish 	German 	Yiddish 	Old Norse	Danish 	Swedish 	Faroese 	Icelandic 	Norwegian (bokmål) 	Norwegian (nynorsk) 	Gothic
27	adjective	big	*mikilaz	miċel 	/ˈmit͡ʃel/	big, great, muckle, stuir 	grut 	groot 	groot 	groot 	groet 	jruß, gruß, jroß 	grouss 	groß 	גרויס‎ (groys) 	stórr	stor 	stor 	stórur 	stór 	stor 	stor 	𐌼𐌹𐌺𐌹𐌻𐍃 (mikils)
28	adjective	long	*langaz	lang 	/lɒŋɡ/	lang 	lang 	lang 	lank, lang 	lang 	lank 	lang, lank, langk 	laang 	lang 	לאַנג‎ (lang) 	langr	lang 	lång 	langur 	langur 	lang 	lang 	𐌻𐌰𐌲𐌲𐍃 (laggs)
29	adjective	wide	*wīdaz, *braidaz	wīd, brād 	/wiːd/, /brɑːd/	braid, wide 	breed, wiid 	breed, wijd 	wyd 	breet, wiet 	wied 	breet, bräät, breit 	breet 	breit, weit 	ברייט‎ (breyt) 	víðr	bred, vid 	bred, vid 	breiður 	breiður / víður 	bred, brei, vid 	brei, vid 	𐌱𐍂𐌰𐌹𐌸𐍃 (braiþs)
30	adjective	thick	*þekuz	þicce 	/ˈθik.ke/	thick 	dik 	dik 	dik 	dick 	dik 	deck 	déck 	dick 	דיק‎ (dik) 	þykkr	tyk 	tjock 	tjúkkur 	þykkur 	tykk, tjukk 	tjukk 	*𐌳𐌹𐌲𐍂𐍃 (*digrs)
31	adjective	heavy	*kuruz, *swēraz	hefiġ 	/ˈhevij/	hivy 	swier 	zwaar 	swaar 	swoor 	zjwaor 	schwär 	schwéier 	schwer 	שווער‎ (shver) 	þungr	tung 	tung 	tungur 	þungur 	tung 	tung 	𐌺𐌰𐌿𐍂𐌿𐍃 (kaurus)
32	adjective	small	*smalaz, *lītilaz	lȳtel 	/ˈlyːtel/	little, smaw, wee 	lyts 	klein 	klein 	lütt, kleen 	klein 	kleen, klään, klein 	kleng 	klein 	קליין‎ (kleyn) 	lítill, smalr	lille 	liten, små (plural) 	lítil 	lítill 	liten, lille (definite), små (plural) 	liten, litle/lisle/vesle (definite), små/småe (plural) 	𐌻𐌴𐌹𐍄𐌹𐌻𐍃 (leitils)
33	adjective	short	*skurtaz	sċort 	/ʃorˠt/	short, cuttie 	koart 	kort 	kort 	kort 	kórt 	kurt, koot, kurz 	kuerz 	kurz 	קורץ‎ (kurts) 	stuttr, kortr	kort 	kort 	stuttur 	stuttur 	kort, stutt 	kort, stutt 	[Term?]
34	adjective	narrow	*anguz, *narwaz	nearu 	/ˈnæɑ̯ru/	nairae, smaw 	smel 	smal, nauw 	nou, smal 	small, drang, nau, eng 	sjmaal 	schmal 	schmuel 	eng, schmal 	ענג‎ (eng), שמאָל‎ (shmol) 	mjór, þrǫngr	trang, snæver 	trång, smal 	trongur 	þröngur, krappur 	smal, trang 	smal, trong 	𐌰𐌲𐌲𐍅𐌿𐍃 (aggwus)
35	adjective	thin	*þunnuz	þynne 	/ˈθyn.ne/	thin 	tin 	dun 	dun 	dünn 	dön 	dönn, denn 	dënn 	dünn 	דין‎ (din) 	þunnr	tynd 	tunn 	klænur, tunnur 	þunnur 	tynn 	tynn, tunn 	[Term?]
36	noun	woman	*kwenǭ	wīf n 	/wiːf/	wumman 	frou 	vrouw 	vrou 	Fro 	vrouw 	Frau, Frou 	Fra 	Frau 	פֿרוי‎ (froy) 	kona, kvinna	kvinde 	kvinna 	kona, kvinna 	kona 	kvinne, kvinnfolk 	kvinne, kvinna, kvinnfolk 	𐌵𐌹𐌽𐍉 (qinō)
37	noun	man	*gumô, *weraz	wer m 	/wer/	man 	man 	man 	man 	Mann 	man 	Mann 	Mann 	Mann 	מאַן‎ (man) 	karl, kall	mand 	man 	maður 	karl / karlmaður 	mann, kar 	mann, kar, kall 	𐌼𐌰𐌽𐌽𐌰 (manna), 𐌲𐌿𐌼𐌰 (guma), 𐍅𐌰𐌹𐍂 (wair)
38	noun	human	*manô	mann m 	/mɒnː/	man, body 	minske 	mens 	mens 	Minsch 	minsj 	Mensch, Minsch 	Mënsch 	Mensch 	מענטש‎ (mentsh) 	maðr, menskr (late)	menneske 	människa, mänska (dialectal or archaic) 	menniskja 	maður / manneskja 	menneske 	menneske, menneskje (human kind) 	𐌼𐌰𐌽𐌽𐌰 (manna)
39	noun	child	*barną, *kinþą	ċild n, bearn n 	/t͡ʃild/, /bæɑ̯rˠn/	bairn 	bern 	kind 	kind 	Kind 	kèndj 	Kenk, Kend, Kond, Panz 	Kand 	Kind 	קינד‎ (kind) 	barn	barn 	barn 	barn 	barn 	barn, unge 	barn, unge 	𐌱𐌰𐍂𐌽 (barn)
40	noun	wife	*kwēniz	wīf f 	/wiːf/	guidwife 	frou, wiif 	vrouw, echtgenote 	vrou, gade, eggenoot 	Fro, Ehfro, Wief (derogatory) 	vrouw (wief) 	Frau (Wiev, Weiv), Frou, Madamm, Ihefrou 	Fra 	Frau, Ehefrau 	ווײַב‎ (vayb), פֿרוי‎ (froy) 	kona, kván, kvæn	hustru, kone, viv (archaic) 	hustru, maka, fru, viv (archaic) 	kona, vív, húsfrú, húsfrúgv, hústrú 	eiginkona 	kone, hustru, viv (poetic) 	kone, kona, hustru, viv (poetic) 	𐌵𐌴𐌽𐍃 (qēns)
41	noun	husband	*brūdigumô, *weraz, *abô	wer m, ċeorl m 	/wer/, /ˈt͡ʃeorˠl̩/	guidman 	man 	man, echtgenoot 	man, gade, eggenoot 	Mann, Ehmann 	man (echgenoet) 	Mann, Ihemann 	Mann 	Mann, Ehemann 	מאַן‎ (man) 	bóndi	ægtemand, mand, husbond (archaic) 	man, make 	maður, húsbóndi 	eiginmaður 	mann, husbond (archaic) 	mann 	𐌰𐌱𐌰 (aba)
42	noun	mother	*mōdēr	mōdor f 	/ˈmoːdor/	mither 	mem 	moeder 	moeder 	Moder 	moder 	Mamm, (Motter, rare), Moder, Mutter 	Mamm 	Mutter 	מוטער‎ (muter), מאַמע‎ (mame) 	móðir	mor,moder (archaic) 	mamma, mor, moder (archaic) 	móðir, mamma 	móðir 	mor, moder (poetic), mamma 	mor, moder (poetic), mamma 	𐌰𐌹𐌸𐌴𐌹 (aiþei)
43	noun	father	*fadēr, *attô	fæder m 	/ˈfæder/	faither 	heit 	vader 	vader 	Vader 	vader 	Papp, Vatter, Vader, Bap 	Papp 	Vater 	פֿאָטער‎ (foter), טאַטע‎ (tate) 	faðir	far, fader (archaic) 	pappa, far, fader (archaic) 	faðir, pápi, babba 	faðir 	far, fader (poetic), pappa 	far, fader (poetic), pappa 	𐌰𐍄𐍄𐌰 (atta), 𐍆𐌰𐌳𐌰𐍂 (fadar)
44	noun	animal	*deuzą	nīeten n 	/ˈniːy̯ten/	beast 	bist 	dier, beest 	dier 	Deert 	deer, bies 	Dier, Deer 	Déier 	Tier 	חיה‎ (khaye) 	dýr, djór	dyr 	djur 	djór, dýr 	dýr 	dyr 	dyr 	𐌳𐌹𐌿𐍃 (dius)
45	noun	fish	*fiskaz	fisċ m 	/fiʃ/	fish 	fisk 	vis 	vis 	Fisch 	vèsj 	Fesch 	Fësch 	Fisch 	פֿיש‎ (fish) 	fiskr	fisk 	fisk 	fiskur 	fiskur 	fisk 	fisk 	𐍆𐌹𐍃𐌺𐍃 (fisks)
46	noun	bird	*fuglaz	fugol m 	/ˈfuɣol/	foul 	fûgel 	vogel 	voël 	Vagel 	vogel 	Vuggel, Vuul, Vurrel (r pronounced as Voiced velar fricative) 	Vull 	Vogel 	פֿויגל‎ (foygl) 	fogl, fugl (late)	fugl 	fågel 	fuglur 	fugl 	fugl 	fugl 	𐍆𐌿𐌲𐌻𐍃 (fugls)
47	noun	dog	*hundaz	hund m 	/hund/	dug, hoond/hund 	hûn 	hond 	hond 	Hund 	hóndj 	Honk, Hond, Hungk 	Hond, Mupp 	Hund 	הונט‎ (hunt) 	hundr	hund 	hund 	hundur 	hundur 	hund 	hund 	𐌷𐌿𐌽𐌳𐍃 (hunds)
48	noun	louse	*lūs	lūs f 	/luːs/	loose 	lús, biter 	luis 	luis 	Luus 	loes 	Luus, Lous 	Laus 	Laus 	לויז‎ (loyz) 	lús	lus 	lus 	lús 	lús 	lus 	lus 	[Term?]
49	noun	snake	*snakô, *slangô, *nadraz	nǣdre f 	/ˈnæːdre/	snake 	slang 	slang 	slang 	Snaak, Slang 	sjlang 	Schlang 	Schlaang 	Schlange 	שלאַנג‎ (shlang) 	ormr, snókr, snákr (poetic)	slange 	orm 	slanga, ormur 	snákur, ormur, slanga 	orm, slange 	orm, slange 	𐍅𐌰𐌿𐍂𐌼𐍃 (waurms)
50	noun	worm	*wurmiz	wyrm f 	/wyrˠm/	wirm 	wjirm 	worm 	wurm 	Worm 	wörm 	Worm, Wurm 	Wuerm 	Wurm 	וואָרעם‎ (vorem) 	ormr, maðkr	orm 	mask 	ormur, maðkur 	maðkur, ormur 	mark, orm 	makk, orm 	𐌼𐌰𐌸𐌰 (maþa)
51	noun	tree	*trewą	trēow n 	/treːo̯w/	tree 	beam 	boom 	boom 	Boom 	boum 	Boom, Baum, Boum 	Bam 	Baum 	בוים‎ (boym) 	tré	træ 	träd 	træ 	tré 	tre 	tre 	𐌱𐌰𐌲𐌼𐍃 (bagms), 𐍄𐍂𐌹𐌿 (triu)
52	noun	forest	*furhiþą, *walþuz, *furhō, *skōgaz, *widuz	wudu m 	/ˈwudu/	wid 	wâld, bosk 	woud, bos 	woud 	Woold 	bósj 	Bösch, Besch 	Bësch 	Wald 	וואַלד‎ (vald) 	skógr	skov 	skog 	skógur, skóg 	skógur 	skog, skau 	skog 	[Term?]
53	noun	stick	*stikkô, *stukkaz	sticca m 	/ˈstik.kɑ/	stick, staff 	stok 	stok 	stok 	Stock 	sjtek 	Steck, Stock 	Bengel 	Stock 	שטעקן‎ (shtekn) 	kvistr, stafr, pinni (late)	kæp, pind 	pinne 	keppur, stavur, prukka, puttur 	stafur / prik 	pinne, kjepp, kvist 	pinne, kjepp, kvist 	𐍄𐍂𐌹𐌿 (triu)
54	noun	fruit	*akraną, *ubatją	wæstm m 	/ˈwæstm̩/	fruit 	fruit, frucht 	fruit, vrucht 	vrug 	Frucht, Aavt 	vröch 	Frooch, Frocht 	Fruucht 	Frucht, Obst 	פֿרוכט‎ (frukht) 	ávǫxtr, fruktr (late)	frugt 	frukt 	frukt, ávøkstur 	ávöxtur 	frukt 	frukt 	𐌰𐌺𐍂𐌰𐌽 (akran)
55	noun	seed	*sēdiz, *sēmô	sǣd n 	/sæːd/	seed 	sied 	zaad 	saad 	Saat 	zaod 	Some, (Same), Som, Sot 	Som 	Samen 	זוימען‎ (zoymen) 	fræ	frø 	frö, säd (uncountable, grain) 	fræ 	fræ / sæði (sperm) 	frø, sæd (sperm) 	frø, sæd (sperm) 	*𐍃𐌴𐌸𐍃 (*sēþs), 𐌺𐌰𐌿𐍂𐌽 (kaurn)
56	noun	leaf	*laubą	lēaf n 	/læːɑ̯f/	blade, leaf 	blêd, loaf 	blad 	blaar 	Blatt 	blaad 	Blatt, Blaat, Bladd 	Blat 	Blatt 	בלאַט‎ (blat) 	lauf	blad, løv 	löv, blad 	blað, leyv 	laufblað / lauf / blað 	blad, løv, lauv 	blad, lauv 	𐌻𐌰𐌿𐍆𐍃 (laufs)
57	noun	root	*wrōts	wyrttruma m 	/ˈwyrˠtˌtrumɑ/	ruit 	woartel 	wortel 	wortel 	Wortel 	wórtel 	Wurzel, Woozel 	Wuerzel 	Wurzel 	וואָרצל‎ (vortsl) 	rót	rod 	rot 	rót 	rót 	rot 	rot 	𐍅𐌰𐌿𐍂𐍄𐍃 (waurts)
58	noun	bark	*barkuz, *rindǭ	rind f 	/rind/	baurk 	bast 	schors, bast 	bas 	Bork, Bünn, Rinn 	sjèl 	Schal, Rind 	Schuel 	Rinde 	קאָרע‎ (kore) 	bǫrkr	bark 	bark, näver (bark of birch) 	børkur 	börkur 	bark, never (bark of birch) 	bork, never (bark of birch) 	[Term?]
59	noun	flower	*blōmô	blōstma m 	/ˈbloːstmɑ/	flouer, bluim 	blom 	bloem 	blom 	Bloom 	blóm 	Blom, Blum 	Blumm 	Blume 	בלום‎ (blum) 	blóm	blomst 	blomma 	blóma 	blóm 	blomst 	blome, blom 	𐌱𐌻𐍉𐌼𐌰 (blōma)
60	noun	grass	*grasą	gærs n 	/ɣærˠs/	gress, girse 	gers 	gras 	gras 	Gras 	graas 	Jras, Gras 	Gras 	Gras 	גראָז‎ (groz) 	gras	græs 	gräs 	gras 	gras 	gress, gras 	gras 	𐌷𐌰𐍅𐌹 (hawi)
61	noun	rope	*raipaz	rāp m 	/rɑːp/	raip, towe 	tou 	touw, koord 	tou, koord 	Reep, Seel 	touw 	Seel, Sääl, Seil 	Seel 	Seil 	שטריק‎ (shtrik), שנור‎ (shnur) 	reip, tog, festr	reb, tov 	rep 	reip, band, lína, tog 	reipi 	rep, tau 	reip, tog, tau 	(possibly *𐍃𐌰𐌹𐌻 (*sail), in 𐌹𐌽𐍃𐌰𐌹𐌻𐌾𐌰𐌽 (insailjan))
62	noun	skin	*fellą	hȳd f 	/hyːd/	skin (hide) 	hûd 	huid 	vel 	Huut 	vel 	Hock, Huck, Haut 	Haut 	Haut 	הויט‎ (hoyt) 	húð	hud 	hud, skinn 	húð 	húð 	hud, skinn (animal skin) 	hud, skinn (animal skin) 	*𐍆𐌹𐌻𐌻𐌹 (*filli) (in 𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌹 (faurafilli))
63	noun	meat	*mimzą	flǣsċ n 	/flæːʃ/	flesh 	fleis 	vlees 	vleis 	Fleesch 	vleisj 	Fleesch, Flääsch, Fleisch 	Fleesch 	Fleisch 	פֿלייש‎ (fleysh) 	kjǫt	kød 	kött 	kjøt 	kjöt 	kjøtt 	kjøtt, kjøt 	𐌼𐌰𐍄𐍃 (mats)
64	noun	blood	*blōþą	blōd n 	/bloːd/	bluid 	bloed 	bloed 	bloed 	Bloot 	blood 	Blot, Blut, Blod 	Blutt 	Blut 	בלוט‎ (blut) 	blóð	blod 	blod 	blóð 	blóð 	blod 	blod 	𐌱𐌻𐍉𐌸 (blōþ)
65	noun	bone	*bainą	bān n 	/bɑːn/	bane 	bonke 	been, bot 	been 	Knaken, Been 	knaok 	Knoche 	Schank 	Knochen, Bein (leg) 	ביין‎ (beyn) 	bein	ben, knogle 	ben 	bein 	bein 	bein 	bein 	[Term?]
66	noun	fat	*faitą, *smultą	rysel m 	/ˈryzel/	fat 	fet 	vet 	vet 	Fett 	vet 	Fett 	Fett 	Fett 	פֿעץ‎ (fets), שמאַלץ‎ (shmalts) (in food) 	mǫrr	fedt 	fett 	feitt, fiti 	fita 	fett 	feitt 	[Term?]
67	noun	egg	*ajją	ǣġ n 	/æːj/	egg 	aai 	ei 	eier 	Ei 	ei 	Ei 	Ee 	Ei 	איי‎ (ey) 	egg	æg 	ägg 	egg 	egg 	egg 	egg 	[Term?]
68	noun	horn	*hurną	horn m 	/horˠn/	horn 	hoarn 	hoorn 	horing 	Hoorn 	hore 	Hoon, Hor 	Har 	Horn 	האָרן‎ (horn) 	horn	horn 	horn 	horn 	horn 	horn 	horn 	𐌷𐌰𐌿𐍂𐌽 (haurn)
69	noun	tail	*stertaz	tæġl m, steort m 	/ˈtæjl̩/, /ˈsteo̯rˠt/	tail 	sturt 	staart 	stert 	Steert 	sjtart 	Stätz, Stääz, Schwanz 	Schwanz 	Schwanz 	עק‎ (ek) 	hali	hale 	svans 	hali 	hali / skott / rófa / sporður / dindill 	hale, svans 	hale 	(unattested, but note the cognate 𐍄𐌰𐌲𐌻 (tagl, “tail”))
70	noun	feather	*feþrō	feþer f 	/ˈfeðer/	feather 	fear 	veer 	veer 	Fedder 	vaer 	Fedder, Fäder 	Fieder, Plomm 	Feder 	פֿעדער‎ (feder) 	fjǫðr	fjer 	fjäder 	fjøður 	fjöður 	fjær, fjør 	fjør 	[Term?]
71	noun	hair	*hērą, *taglą	hǣr n 	/hæːr/	hair 	hier 	haar 	haar 	Hoor 	haor 	Hoor 	Hoer 	Haar 	האָר‎ (hor) 	hár	hår 	hår 	hár 	hár 	hår 	hår 	[Term?]
72	noun	head	*haubudą	hēafod n 	/ˈhæːɑ̯vod/	heid 	holle 	hoofd, kop 	kop 	Kopp, Hööft 	huid, kop 	Kopp 	Kapp 	Kopf, Haupt 	קאָפּ‎ (kop) 	hǫfuð	hoved 	huvud 	høvd, høvur 	höfuð / haus 	hode, hue 	hovud 	𐌷𐌰𐌿𐌱𐌹𐌸 (haubiþ)
73	noun	ear	*ausô	ēare n 	/æːɑ̯re/	ear, lug 	ear 	oor 	oor 	Ohr 	oer 	Uhr 	Ouer 	Ohr 	אויער‎ (oyer) 	eyra	øre 	öra 	oyra 	eyra 	øre 	øyre, øyra 	𐌰𐌿𐍃𐍉 (ausō)
74	noun	eye	*augô	ēage n 	/ˈæːɑ̯ɣe/	ee 	each 	oog 	oog 	Oog 	oug 	Ooch, Auch, Oug 	A 	Auge 	אויג‎ (oyg) 	auga	øje 	öga 	eyga 	auga 	øye 	auga 	𐌰𐌿𐌲𐍉 (augō)
75	noun	nose	*nusō, *nasō	nosu f 	/ˈnozu/	nose, neb 	noas 	neus 	neus 	Nees 	naas 	Nas 	Nues 	Nase 	נאָז‎ (noz) 	nef	næse 	näsa, nos (of an animal) 	nøs 	nef 	nese 	nase 	[Term?]
76	noun	mouth	*munþaz	mūþ m 	/muːθ/	mooth 	mûle 	mond 	mond 	Mund 	móndj 	Muul, Moul, Schnüss, (Monk), Mungk 	Mond 	Mund 	מויל‎ (moyl) 	munnr	mund 	mun 	munnur, muður 	munnur 	munn 	munn 	𐌼𐌿𐌽𐌸𐍃 (munþs)
