犬 	 noun 	 canine 	 dog; canine
車 	 noun 	 wheelbarrow 	 nocap=1|nodot=1|sort=くるま|手車 : a handcart, a wheelbarrow
車 	 noun 	 sitting 	 nocap=1|nodot=1|sort=くるま|車座 : sitting in a circle
車 	 noun 	 circle 	 nocap=1|nodot=1|sort=くるま|車座 : sitting in a circle
車 	 noun 	 prostitute 	 during the Edo period, in the red-light district in Ōsaka, a prostitute whose services cost four tr=monme and three tr=bun
車 	 noun 	 red-light district 	 during the Edo period, in the red-light district in Ōsaka, a prostitute whose services cost four tr=monme and three tr=bun
aa 	 noun 	 ASCII art 	 tr=asukī āto||ASCII art
new 	 noun 	 new 	 new
いぬ 	 noun 	 dog 	 狗 dog
いぬ 	 verb 	 sleep 	 寝ぬ to sleep
いぬ 	 verb 	 leave 	 往ぬ to leave
月 	 noun 	 moon 	 the moon
月 	 noun 	 satellite 	 a natural satellite
月 	 noun 	 natural 	 a natural satellite
月 	 noun 	 moonlight 	 moonlight, moonbeam
月 	 noun 	 moonbeam 	 moonlight, moonbeam
月 	 noun 	 family 	 a tr=kamon||family crest with various designs of the moon
月 	 noun 	 crest 	 a tr=kamon||family crest with various designs of the moon
月 	 noun 	 design 	 a tr=kamon||family crest with various designs of the moon
月 	 noun 	 major arcana 	 the Moon, the eighteenth trump or major arcana card in most traditional Tarot decks
月 	 noun 	 traditional 	 the Moon, the eighteenth trump or major arcana card in most traditional Tarot decks
月 	 noun 	 trump 	 the Moon, the eighteenth trump or major arcana card in most traditional Tarot decks
月 	 noun 	 card 	 the Moon, the eighteenth trump or major arcana card in most traditional Tarot decks
月 	 noun 	 deck 	 the Moon, the eighteenth trump or major arcana card in most traditional Tarot decks
月 	 noun 	 month 	 a month
月 	 noun 	 monthly 	 tr=tsukigakoi|dot=:|sort=つき a mistress on a monthly allowance
月 	 noun 	 allowance 	 tr=tsukigakoi|dot=:|sort=つき a mistress on a monthly allowance
月 	 noun 	 mistress 	 tr=tsukigakoi|dot=:|sort=つき a mistress on a monthly allowance
月 	 noun 	 cause 	 a menstrual cycle, menstruation believed to be caused by the moon
月 	 noun 	 believe 	 a menstrual cycle, menstruation believed to be caused by the moon
月 	 noun 	 menstruation 	 a menstrual cycle, menstruation believed to be caused by the moon
月 	 noun 	 menstrual cycle 	 a menstrual cycle, menstruation believed to be caused by the moon
月 	 noun 	 Monday 	 tr=getsuyōbi|dot=:|sort=けつ Monday
月 	 noun 	 rank 	 during the Edo period, a low rank of low-end prostitute
月 	 noun 	 low 	 during the Edo period, a low rank of low-end prostitute
月 	 noun 	 prostitute 	 during the Edo period, a low rank of low-end prostitute
月 	 adjective 	 crude 	 crude, unrefined, hickish
月 	 adjective 	 hickish 	 crude, unrefined, hickish
月 	 adjective 	 unrefined 	 crude, unrefined, hickish
ac 	 noun 	 arcade 	 |arcade, establishment with coin-operated games
es 	 noun 	 application form 	 tr=entorī shīto|t=application form
mt 	 noun 	 manual 	 manual transmission
mt 	 noun 	 transmission 	 manual transmission
pr 	 noun 	 public relations 	 tr=paburikku rirēshonzu||public relations; PR
cm 	 noun 	 commercial 	 commercial message: a commercial or ad on television
cm 	 noun 	 ad 	 commercial message: a commercial or ad on television
cm 	 noun 	 television 	 commercial message: a commercial or ad on television
cm 	 noun 	 message 	 commercial message: a commercial or ad on television
cm 	 noun 	 advertisement 	 こう%こく: advertisement
sl 	 noun 	 steam locomotive 	 tr=jōki kikansha||steam locomotive
ky 	 adjective 	 kūki yomenai 	 kūki yomenai
ok 	 noun 	 approval 	 agreement; approval; okay
ok 	 noun 	 okay 	 agreement; approval; okay
ok 	 noun 	 agreement 	 agreement; approval; okay
ok 	 adjective 	 fine 	 OK; all right; fine
ok 	 adjective 	 OK 	 OK; all right; fine
ok 	 adjective 	 all right 	 OK; all right; fine
あい 	 noun 	 worn 	 tr=あいふく, aifuku|t=clothing worn in spring or autumn
あい 	 noun 	 clothing 	 tr=あいふく, aifuku|t=clothing worn in spring or autumn
あい 	 noun 	 interval 	 interval of time or space; time; during; between; leisure
あい 	 noun 	 between 	 interval of time or space; time; during; between; leisure
あい 	 noun 	 during 	 interval of time or space; time; during; between; leisure
あい 	 noun 	 space 	 interval of time or space; time; during; between; leisure
あい 	 noun 	 leisure 	 interval of time or space; time; during; between; leisure
あい 	 noun 	 time 	 interval of time or space; time; during; between; leisure
あい 	 noun 	 terms 	 relation; relationship; terms
あい 	 noun 	 relationship 	 relation; relationship; terms
あい 	 noun 	 relation 	 relation; relationship; terms
あか 	 noun 	 rufescent 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 scarlet 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 blood 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 gules 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 claret 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 cherry 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 coral 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 vermilion 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 brick 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 auburn 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 crimson 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 rufous 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 cinnabar 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 cardinal 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 carmine 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 russet 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 cochineal 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 ruby 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 maroon 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 rose 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 cerise 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 wine 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 rust 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 red 	 緋  red , scarlet, crimson, vermilion , cinnabar, ruby-red , cherry-red, cerise, cardinal-red, carmine, wine-red, claret-red, blood-red , coral-red, cochineal-red, rose-red , brick-red, maroon, rust-red , rufous-red, gules-red, rufescent, auburn, russet
あか 	 noun 	 grime 	 垢 dirt, grime
あか 	 noun 	 dirt 	 垢 dirt, grime
あか 	 noun 	 copper 	 銅 copper
あか 	 noun 	 bilge 	 淦 bilge
あか 	 noun 	 water 	 閼伽 water offered to a buddha
あか 	 noun 	 offer 	 閼伽 water offered to a buddha
あか 	 noun 	 buddha 	 閼伽 water offered to a buddha
あか 	 noun 	 subfamily 	 亜科 subfamily
そう 	 adverb 	 so 	 so, like that, in such a way
そう 	 interjection 	 yeah 	 yes, yeah; it's like that; that's how it is; I see
そう 	 interjection 	 yes 	 yes, yeah; it's like that; that's how it is; I see
そう 	 adjective 	 manly 	 壮 vibrant, manly, brave
そう 	 adjective 	 brave 	 壮 vibrant, manly, brave
そう 	 adjective 	 vibrant 	 壮 vibrant, manly, brave
そう 	 noun 	 pair 	 双 pair
そう 	 noun 	 prime of life 	 壮 vibrancy, powerfulness; the prime of life
そう 	 noun 	 powerfulness 	 壮 vibrancy, powerfulness; the prime of life
そう 	 noun 	 vibrancy 	 壮 vibrancy, powerfulness; the prime of life
そう 	 noun 	 performance 	 奏 a statement made to the emperor; a document or writing of such a statement; a musical performance
そう 	 noun 	 writing 	 奏 a statement made to the emperor; a document or writing of such a statement; a musical performance
そう 	 noun 	 musical 	 奏 a statement made to the emperor; a document or writing of such a statement; a musical performance
そう 	 noun 	 statement 	 奏 a statement made to the emperor; a document or writing of such a statement; a musical performance
そう 	 noun 	 document 	 奏 a statement made to the emperor; a document or writing of such a statement; a musical performance
そう 	 noun 	 emperor 	 奏 a statement made to the emperor; a document or writing of such a statement; a musical performance
そう 	 noun 	 dimension 	 相 aspect, phase, dimension
そう 	 noun 	 phase 	 相 aspect, phase, dimension
そう 	 noun 	 aspect 	 相 aspect, phase, dimension
そう 	 noun 	 draft 	 草 draft, rough copy
そう 	 noun 	 manor 	 庄 manor
そう 	 noun 	 burial 	 葬 burial
そう 	 noun 	 binding 	 装 clothing; binding of a book
そう 	 noun 	 book 	 装 clothing; binding of a book
そう 	 noun 	 clothing 	 装 clothing; binding of a book
そう 	 noun 	 monk 	 僧 priest, monk, bonze
そう 	 noun 	 priest 	 僧 priest, monk, bonze
そう 	 noun 	 bonze 	 僧 priest, monk, bonze
そう 	 noun 	 thought 	 想 idea, thought
そう 	 noun 	 idea 	 想 idea, thought
そう 	 noun 	 layer 	 層 stratum, layer, seam, tier
そう 	 noun 	 tier 	 層 stratum, layer, seam, tier
そう 	 noun 	 seam 	 層 stratum, layer, seam, tier
そう 	 noun 	 stratum 	 層 stratum, layer, seam, tier
そう 	 noun 	 quarrel 	 争 conflict, quarrel
そう 	 noun 	 conflict 	 争 conflict, quarrel
そう 	 noun 	 noise 	 騒 noise
そう 	 noun 	 right 	 左右 left and right
そう 	 noun 	 left 	 左右 left and right
そう 	 noun 	 sparse 	 疏雨 sparse rain
そう 	 noun 	 rain 	 疏雨 sparse rain
そう 	 verb 	 accompany 	 副う to accompany; to comply with
そう 	 verb 	 comply 	 副う to accompany; to comply with
そう 	 verb 	 along 	 沿う to follow; to run along
そう 	 verb 	 follow 	 沿う to follow; to run along
そう 	 verb 	 run 	 沿う to follow; to run along
そう 	 verb 	 do 	 候  be, do
そう 	 verb 	 be 	 候  be, do
ぞう 	 noun 	 elephant 	 象 elephant
ぞう 	 noun 	 statue 	 像 figure, statue, image
ぞう 	 noun 	 image 	 像 figure, statue, image
ぞう 	 noun 	 figure 	 像 figure, statue, image
ぞう 	 noun 	 miscellany 	 雑 miscellany
愛 	 noun 	 love 	 love
愛 	 noun 	 affection 	 affection
愛 	 noun 	 tenderness 	 tenderness
愛 	 noun 	 agapeNoun 	 agape
愛 	 noun 	 erotic 	 love, generally more passionate or erotic こい, れんあい
愛 	 noun 	 passionate 	 love, generally more passionate or erotic こい, れんあい
愛 	 noun 	 dear 	 something dear or loved
愛 	 noun 	 loved 	 something dear or loved
間 	 noun 	 interval 	 interval
青 	 noun 	 blue 	 blue
青 	 noun 	 primary color 	 one of three primary colors
青 	 noun 	 blue green 	 a shade of blue to blue green
青 	 noun 	 shade 	 a shade of blue to blue green
青 	 noun 	 color 	 tr=ao-shingō|nodot=1|sort=あお: green traffic light color, as the color of plants
青 	 noun 	 plant 	 tr=ao-shingō|nodot=1|sort=あお: green traffic light color, as the color of plants
青 	 noun 	 traffic light 	 tr=ao-shingō|nodot=1|sort=あお: green traffic light color, as the color of plants
青 	 noun 	 green 	 tr=ao-shingō|nodot=1|sort=あお: green traffic light color, as the color of plants
青 	 noun 	 color 	 the black, bluish color of a horse's hair; also, such a horse
青 	 noun 	 horse 	 the black, bluish color of a horse's hair; also, such a horse
青 	 noun 	 bluish 	 the black, bluish color of a horse's hair; also, such a horse
青 	 noun 	 black 	 the black, bluish color of a horse's hair; also, such a horse
青 	 noun 	 hair 	 the black, bluish color of a horse's hair; also, such a horse
青 	 noun 	 hanafuda 	 tr=aotan|nodot=1|sort=あお: one of the three hanafuda cards bearing a blue tr=tanzaku||narrow card used for poetry; a tr=yaku of the three aotan cards, worth 3 points
青 	 noun 	 narrow 	 tr=aotan|nodot=1|sort=あお: one of the three hanafuda cards bearing a blue tr=tanzaku||narrow card used for poetry; a tr=yaku of the three aotan cards, worth 3 points
青 	 noun 	 poetry 	 tr=aotan|nodot=1|sort=あお: one of the three hanafuda cards bearing a blue tr=tanzaku||narrow card used for poetry; a tr=yaku of the three aotan cards, worth 3 points
青 	 noun 	 card 	 tr=aotan|nodot=1|sort=あお: one of the three hanafuda cards bearing a blue tr=tanzaku||narrow card used for poetry; a tr=yaku of the three aotan cards, worth 3 points
青 	 noun 	 color 	 the color blue
青 	 noun 	 blue 	 the color blue
青 	 noun 	 w:Yamaguchi prefecture 	 a beast that looks like a weasel, and is said to have lived in present-day Fukuoka and Yamaguchi prefectures
青 	 noun 	 w:Fukuoka prefecture 	 a beast that looks like a weasel, and is said to have lived in present-day Fukuoka and Yamaguchi prefectures
青 	 noun 	 weasel 	 a beast that looks like a weasel, and is said to have lived in present-day Fukuoka and Yamaguchi prefectures
青 	 noun 	 prefecture 	 a beast that looks like a weasel, and is said to have lived in present-day Fukuoka and Yamaguchi prefectures
青 	 noun 	 beast 	 a beast that looks like a weasel, and is said to have lived in present-day Fukuoka and Yamaguchi prefectures
青 	 noun 	 wolf 	 a beast that looks like a wolf, and is said to have appeared around Mount Yoshino
青 	 noun 	 beast 	 a beast that looks like a wolf, and is said to have appeared around Mount Yoshino
赤 	 noun 	 red 	 red color
赤 	 noun 	 communism 	 communism, socialism
赤 	 noun 	 socialism 	 communism, socialism
赤 	 noun 	 communist 	 a communist
秋 	 noun 	 fall 	 autumn, fall
秋 	 noun 	 autumn 	 autumn, fall
明日 	 noun 	 tomorrow 	 tomorrow
明日 	 noun 	 tomorrow 	 tomorrow
明日 	 noun 	 future 	 the near future
明日 	 noun 	 near 	 the near future
明日 	 noun 	 tomorrow 	 tomorrow
明日 	 noun 	 tomorrow 	 tomorrow
朝 	 noun 	 morning 	 the morning
朝 	 noun 	 morn 	 the morning, morn
朝 	 noun 	 morning 	 the morning, morn
朝 	 noun 	 morrow 	 the morrow, next morning
朝 	 noun 	 next 	 the morrow, next morning
朝 	 noun 	 morning 	 the morning
朝 	 noun 	 court 	 an imperial court
朝 	 noun 	 imperial 	 an imperial court
朝 	 noun 	 reign 	 an imperial reign or dynasty
朝 	 noun 	 dynasty 	 an imperial reign or dynasty
朝 	 noun 	 country 	 a country governed by a monarch
朝 	 noun 	 monarch 	 a country governed by a monarch
朝 	 noun 	 govern 	 a country governed by a monarch
朝 	 noun 	 bustling 	 a bustling place, such as downtown
朝 	 noun 	 downtown 	 a bustling place, such as downtown
朝 	 noun 	 place 	 a bustling place, such as downtown
新しい 	 adjective 	 novel 	 new, novel
新しい 	 adjective 	 new 	 new, novel
新しい 	 adjective 	 recent 	 latest, recent
新しい 	 adjective 	 latest 	 latest, recent
新しい 	 adjective 	 modern 	 modern
新しい 	 adjective 	 fresh 	 fresh
蟻 	 noun 	 ant 	 ant
蟻 	 noun 	 a stitch in time saves nine 	 あり の いっけつ: “a single ant-hole” → a metaphor for the way a tiny thing can cause grave consequences; compare a stitch in time saves nine
蟻 	 noun 	 a stitch in time saves nine 	 あり の あな から つつみ も くずれる, あり の あな より つつみ の くずれ: “even a dike can fall apart due to an ant-hole” → a metaphor for the way a tiny thing can cause grave consequences; compare a stitch in time saves nine
蟻 	 noun 	 like a moth to a flame 	 あり の あまき に つく ごとし: “just like ants drawn to a sweet” → a metaphor for the way that people are drawn to profitable things; compare like a moth to a flame, of nearly opposite meaning
蟻 	 noun 	 humble 	 あり の おもい も てん に とどく, あり の おもい も てん に のぼる: “even an ant's thoughts can reach / rise to the heavens” → no matter how humble or lowly, if one tries hard enough, one's wishes can still be heard by the gods in heaven; compare where there's a will, there's a way
蟻 	 noun 	 where there's a will, there's a way 	 あり の おもい も てん に とどく, あり の おもい も てん に のぼる: “even an ant's thoughts can reach / rise to the heavens” → no matter how humble or lowly, if one tries hard enough, one's wishes can still be heard by the gods in heaven; compare where there's a will, there's a way
蟻 	 noun 	 lowly 	 あり の おもい も てん に とどく, あり の おもい も てん に のぼる: “even an ant's thoughts can reach / rise to the heavens” → no matter how humble or lowly, if one tries hard enough, one's wishes can still be heard by the gods in heaven; compare where there's a will, there's a way
蟻 	 noun 	 a journey of a thousand miles begins with a single step 	 あり の とう を くむ ごとし: “just like building an ant tower ” → even great deeds can be accomplished through patient work; compare a journey of a thousand miles begins with a single step
蟻 	 noun 	 wing 	 an ant, particularly one without wings
蟻 	 noun 	 ant 	 an ant, particularly one without wings
蟻 	 noun 	 egg 	 an ant egg or larva
蟻 	 noun 	 larva 	 an ant egg or larva
安心 	 noun 	 relief 	 relief
安心 	 noun 	 lack 	 lack of worry, peace of mind
安心 	 noun 	 peace of mind 	 lack of worry, peace of mind
安心 	 noun 	 worry 	 lack of worry, peace of mind
安心 	 noun 	 equanimity 	 equanimity
安心 	 verb 	 at ease 	 to have one's heart at ease, to feel easy, to be relieved
安心 	 verb 	 easy 	 to have one's heart at ease, to feel easy, to be relieved
安心 	 verb 	 relieved 	 to have one's heart at ease, to feel easy, to be relieved
安全 	 noun 	 security 	 safety; security
安全 	 noun 	 safety 	 safety; security
猫 	 noun 	 cat 	 a cat
猫 	 noun 	 cat 	 a cat
人 	 noun 	 person 	 a person, human
人 	 noun 	 human 	 a person, human
人 	 noun 	 individual 	 an individual
人 	 noun 	 mankind 	 mankind, people
人 	 noun 	 people 	 mankind, people
人 	 noun 	 character 	 character, personality
人 	 noun 	 personality 	 character, personality
人 	 noun 	 average 	 an average person
人 	 noun 	 adult 	 an adult
人 	 noun 	 else 	 someone else
人 	 noun 	 someone 	 someone else
人 	 pronoun 	 you 	 second-person personal pronoun: you
人 	 pronoun 	 personal pronoun 	 second-person personal pronoun: you
人 	 pronoun 	 second-person 	 second-person personal pronoun: you
人 	 noun 	 personality 	 a personality
人 	 noun 	 role 	 the role of that person
人 	 noun 	 person 	 the role of that person
水 	 noun 	 water 	 water sometimes cold and/or fresh
水 	 noun 	 fresh 	 water sometimes cold and/or fresh
水 	 noun 	 cold 	 water sometimes cold and/or fresh
水 	 noun 	 drinking water 	 drinking water
水 	 noun 	 liquid 	 a fluid, liquid
水 	 noun 	 fluid 	 a fluid, liquid
水 	 noun 	 flood 	 a flood
水 	 noun 	 halt 	 tr=mizuiri|dot=:|sort=みず halting
水 	 noun 	 bout 	 tr=chikara mizu|dot=: water offered to sumo wrestlers before a bout
水 	 noun 	 wrestler 	 tr=chikara mizu|dot=: water offered to sumo wrestlers before a bout
水 	 noun 	 offer 	 tr=chikara mizu|dot=: water offered to sumo wrestlers before a bout
