𓀀	A1 	seated man
𓁻	D6 	eye with painted upper lid 
𓁼	D7 	eye with painted lower lid 
𓁽	D8 	eye enclosed in sandy tract 
𓁾	D8A 	eye with painted lower lid enclosed in sandy tract 
𓁿	D9 	eye with flowing tears 
𓂀	D10 	Eye of Horus 
𓂁	D11 	left part of the eye of Horus 
𓂂	D12 	pupil
𓂃	D13 	eyebrow 
𓂄	D14 	right part of eye of Horus 
𓂅	D15 	diagonal marking of eye of Horus 
𓂆	D16 	vertical marking of eye of Horus 
𓂇	D17 	diagonal and vertical markings of eye of Horus 
𓂈	D18 	ear 
𓂉	D19 	nose, eye and cheek
𓂊	D20 	nose, eye and cheek (cursive) 
𓂋	D21 	mouth
𓂌	D22 	mouth with two strokes 
𓂍	D23 	mouth with three strokes 
𓂎	D24 	upper lip with teeth 
𓂏	D25 	lips 
𓂐	D26 	liquid issuing from lips 
𓂑	D27 	small breast 
𓂒	D27A 	large breast 
𓂓	D28 	two arms upraised
𓂔	D29 	combination of hieroglyphs D28 and R12 
𓂕	D30 	two arms upraised with tail 
𓂖	D31 	arms embracing club 
𓂗	D31A 	two arms uppraised and club 
𓂘	D32 	arms embracing 
𓂙	D33 	arms rowing
𓂚	D34 	arms with shield and battle axe
𓂛	D34A 	arms with shield and mace 
𓂜	D35 	arms in gesture of negation 
𓂝	D36 	forearm (palm upwards)
𓂞	D37 	
𓂟	D38 	
𓂠	D39 	forearm with bowl
𓂡	D40 	forearm with stick 
𓂢	D41 	forearm with palm down and bent upper arm
𓂣	D42 	arm, cubit symbol 
𓂤	D43 	forearm with flail
𓂥	D44 	arm with sekhem scepter
𓂦	D45 	arm with wand
𓂧	D46 	hand 
𓂨	D46A 	liquid falling from hand 
𓂩	D47 	hand with palm up 
𓂪	D48 	hand without thumb 
𓂫	D48A 	'''hand holding egg''' 
𓂬	D49 	fist 
𓂭	D50 	one finger 
𓂮	D50A 	two fingers 
𓂯	D50B 	three fingers 
𓂰	D50C 	four fingers 
𓂱	D50D 	five fingers 
𓂲	D50E 	six fingers 
𓂳	D50F 	seven fingers 
𓂴	D50G 	eight fingers 
𓂵	D50H 	nine fingers 
𓂶	D50I 	five fingers (row) 
𓂷	D51 	one finger (horizontal) 
𓂸	D52 	phallus 
𓂹	D52A 	phallus with folded cloth 
𓂺	D53 	phallus with emission
𓂻	D54 	legs walking 
𓂼	D54A 	hieratic legs walking 
𓂽	D55 	legs walking backwards 
𓂾	D56 	leg 
𓂿	D57 	leg with knife 
𓃀	D58 	qid= Q3160823
𓃁	D59 	foot and forearm 
𓃂	D60 	foot under vase from which water flows 
𓃃	D61 	three toes oriented leftward 
𓃄	D62 	three toes oriented rightward 
𓃅	D63 	two toes oriented leftward 
𓃆	D64 	hand with palm down 
𓃇	D65 	lock of hair 
𓃈	D66 	arm with reed pen 
𓃉	D67 	one dot 
𓃊	D67A 	two dots 
𓃋	D67B 	three dots 
𓃌	D67C 	four dots 
𓃍	D67D 	five dots 
𓃎	D67E 	six dots 
𓃏	D67F 	seven dots 
𓃐	D67G 	eight dots 
𓃑	D67H 	nine dots 
𓃒	E1 	bull
𓃓	E2 	bull charging 
𓃔	E3 	calf 
𓃕	E4 	sacred cow 
𓃖	E5 	cow suckling calf 
𓃗	E6 	horse
𓃘	E7 	donkey 
𓃙	E8 	Kid (goat)
𓃚	E8A 	kid jumping 
𓃛	E9 	newborn hartebeest 
𓃜	E9A 	mature bovine lying down 
𓃝	E10 	ram 
𓃞	E11 	ram 
𓃟	E12 	pig
𓃠	E13 	cat
𓃡	E14 	dog 
𓃢	E15 	lying canine 
𓃣	E16 	lying canine on shrine 
𓃤	E16A 	lying canine on shrine with flagellum 
𓃥	E17 	jackal 
𓃦	E17A 	jackal looking back 
𓃧	E18 	wolf on standard 
𓃨	E19 	wolf on standard with mace 
𓃩	E20 	Set-animal 
𓃪	E20A 	Set-animal on basket 
𓃫	E21 	lying Set-animal 
𓃬	E22 	lion
𓃭	E23 	lying lion 
𓃮	E24 	panther 
𓃯	E25 	hippopotamus
𓃰	E26 	elephant
𓃱	E27 	giraffe
𓃲	E28 	oryx
𓃳	E28A 	oryx with irrigation system 
𓃴	E29 	gazelle 
𓃵	E30 	ibex 
𓃶	E31 	goat with collar 
𓃷	E32 	baboon
𓃸	E33 	monkey 
𓃹	E34 	hare
𓃺	E34A 	hare (low) 
𓃻	E36 	baboon 
𓃼	E37 	baboon with receptacle and basket 
𓃽	E38 	long-horned bull 
𓃾	F1 	ox head 
𓃿	F1A 	bovine head 
𓄀	F2 	charging ox head 
𓄁	F3 	hippopotamus head
𓄂	F4 	forepart of lion 
𓄃	F5 	hartebeest head 
𓄄	F6 	forepart of hartebeest 
𓄅	F7 	ram head 
𓄆	F8 	forepart of ram 
𓄇	F9 	leopard head 
𓄈	F10 	head and neck of animal 
𓄉	F11 	head and neck of animal 
𓄊	F12 	head and neck of animal 
𓄋	F13 	horns
𓄌	F13A 	horns 
𓄍	F14 	horns with palm branch
𓄎	F15 	horns with palm branch and sun 
𓄏	F16 	horn 
𓄐	F17 	horn and vase from which water flows 
𓄑	F18 	tusk 
𓄒	F19 	lower jaw-bone of ox 
𓄓	F20 	tongue
𓄔	F21 	ear of bovine 
𓄕	F21A 	hieratic ear of bovine 
𓄖	F22 	hind-quarters of lion
𓄗	F23 	foreleg of ox
𓄘	F24 	F23 reversed 
𓄙	F25 	leg of ox
𓄚	F26 	skin of goat 
𓄛	F27 	skin of cow with bent tail 
𓄜	F28 	skin of cow with straight tail 
𓄝	F29 	cow's skin pierced by arrow
𓄞	F30 	water- skin
𓄟	F31 	three skins tied together
𓄠	F31A 	three skins tied together 
𓄡	F32 	animal's belly 
𓄢	F33 	tail
𓄣	F34 	heart
𓄤	F35 	heart and windpipe
𓄥	F36 	lung and windpipe
𓄦	F37 	backbone and ribs and spinal cord
𓄧	F37A 	backbone and ribs 
𓄨	F38 	backbone and ribs 
𓄩	F38A 	backbone and ribs and spinal cord 
𓄪	F39 	backbone and spinal cord 
𓄫	F40 	backbone and spinal cords
𓄬	F41 	vertebrae 
𓄭	F42 	rib 
𓄮	F43 	ribs 
𓄯	F44 	Bone-with-meat 
𓄰	F45 	uterus 
𓄱	F45A 	uterus 
𓄲	F46 	intestine
𓄳	F46A 	intestine 
𓄴	F47 	intestine 
𓄵	F47A 	intestine 
𓄶	F48 	intestine 
𓄷	F49 	intestine 
𓄸	F50 	combination of F46 and S29
𓄹	F51 	piece of flesh 
𓄺	F51A 	three pieces of flesh horizontally 
𓄻	F51B 	three pieces of flesh vertically 
𓄼	F51C 	F51 reversed 
𓄽	F52 	excrement
𓄾	F53 	divine rod with ram head 
𓄿	G1 	Egyptian vulture
𓅀	G2 	two Egyptian vultures 
𓅁	G3 	combination of Egyptian vulture and sickle 
𓅂	G4 	buzzard 
𓅃	G5 	falcon
𓅄	G6 	combination of falcon and flaggellum 
𓅅	G6A 	falcon on basket 
𓅆	G7 	falcon on standard 
𓅇	G7A 	falcon in boat 
𓅈	G7B 	falcon in boat 
𓅉	G8 	falcon on collar of beads 
𓅊	G9 	falcon with sun on head 
𓅋	G10 	falcon in Sokar barque 
𓅌	G11 	image of falcon 
𓅍	G11A 	image of falcon on standard 
𓅎	G12 	combination of image of falcon and flagellum 
𓅏	G13 	image of falcon with two plumes 
𓅐	G14 	vulture 
𓅑	G15 	combination of vulture and flagellum 
𓅒	G16 	vulture and cobra each on a basket 
𓅓	G17 	owl
𓅔	G18 	two owls 
𓅕	G19 	combination of owl and forearm with conical loaf 
𓅖	G20 	combination of owl and forearm 
𓅗	G20A 	combination of owl and mouth 
𓅘	G21 	Guineafowl
𓅙	G22 	hoopoe 
𓅚	G23 	lapwing 
𓅛	G24 	lapwing with twisted wings 
𓅜	G25 	northern bald ibis
𓅝	G26 	African sacred ibis
𓅞	G26A 	sacred Ibis 
𓅟	G27 	flamingo 
𓅠	G28 	glossy ibis
𓅡	G29 	saddle-billed stork 
𓅢	G30 	three saddle-billed storks 
𓅣	G31 	heron
𓅤	G32 	heron on perch 
𓅥	G33 	cattle egret 
𓅦	G34 	ostrich 
𓅧	G35 	cormorant 
𓅨	G36 	qid=Q3136285
𓅩	G36A 	swallow (low) 
𓅪	G37 	sparrow 
𓅫	G37A 	sparrow (low) 
𓅬	G38 	white-fronted goose
𓅭	G39 	Northern pintail
𓅮	G40 	pintail flying
𓅯	G41 	pintail alighting 
𓅰	G42 	Wigeon
𓅱	G43 	quail chick
𓅲	G43A 	combination of quail chick and flat loaf 
𓅳	G44 	two quail chicks 
𓅴	G45 	combination of quail chick and forearm 
𓅵	G45A 	combination of quail chick and forearm with conical loaf 
𓅶	G46 	combination of quail chick and sickle 
𓅷	G47 	duckling
𓅸	G48 	three ducklings in nest 
𓅹	G49 	three ducklings in pool 
𓅺	G50 	two plovers 
𓅻	G51 	bird pecking at fish 
𓅼	G52 	goose picking up grain 
𓅽	G53 	human-headed bird with bowl with smoke 
𓅾	G54 	plucked bird
𓅿	H1 	head of pintail 
𓆀	H2 	head of crested bird
𓆁	H3 	head of spoonbill 
𓆂	H4 	head of vulture 
𓆃	H5 	wing
𓆄	H6 	feather
𓆅	H6A 	hieratic feather 
𓆆	H7 	claw 
𓆇	H8 	egg 
𓆈	I1 	gecko
𓆉	I2 	turtle 
𓆊	I3 	crocodile 
𓆋	I4 	crocodile on shrine 
𓆌	I5 	crocodile with curved tail 
𓆍	I5A 	image of crocodile 
𓆎	I6 	crocodile scales 
𓆏	I7 	frog
𓆐	I8 	tadpole 
𓆑	I9 	horned viper 
𓆒	I9A 	horned viper crawling out of enclosure 
𓆓	I10 	cobra
𓆔	I10A 	cobra with feather 
𓆕	I11 	two cobras 
𓆖	I11A 	combination of cobra, flat loaf and sandy tract 
𓆗	I12 	qid=Q2981158
𓆘	I13 	erect cobra on basket 
𓆙	I14 	snake 
𓆚	I15 	snake 
𓆛	K1 	Nile tilapia
𓆜	K2 	Barbel (fish)
𓆝	K3 	Mullet (fish)
𓆞	K4 	Elephantsnout fish
𓆟	K5 	Petrocephalus bane 
𓆠	K6 	fish scale 
𓆡	K7 	Pufferfish
𓆢	K8 	catfish 
𓆣	L1 	dung beetle 
𓆤	L2 	bee 
𓆥	L2A 	combination of bee, sedge and two flat loafs 
𓆦	L3 	fly 
𓆧	L4 	locust 
𓆨	L5 	centipede 
𓆩	L6 	shell 
𓆪	L6A 	L6 reversed 
𓆫	L7 	scorpion 
𓆬	L8 	
𓆭	M1 	tree 
𓆮	M1A 	combination of tree and branch 
𓆯	M1B 	combination of tree and horned viper 
𓆰	M2 	plant
𓆱	M3 	branch 
𓆲	M3A 	combination of owl and branch 
𓆳	M4 	palm branch 
𓆴	M5 	combination of palm branch and flat loaf 
𓆵	M6 	combination of palm branch and mouth 
𓆶	M7 	combination of palm branch and stool 
𓆷	M8 	pool with lotus flowers
𓆸	M9 	lotus flower
𓆹	M10 	lotus bud with straight stem 
𓆺	M10A 	lotus bud with winding stem 
𓆻	M11 	flower on long twisted stalk
𓆼	M12 	one lotus plant
𓆽	M12A 	two lotus plants 
𓆾	M12B 	three lotus plants 
𓆿	M12C 	four lotus plants 
𓇀	M12D 	five lotus plants 
𓇁	M12E 	six lotus plants 
𓇂	M12F 	seven lotus plants 
𓇃	M12G 	eight lotus plants 
𓇄	M12H 	nine lotus plants 
𓇅	M13 	papyrus stem 
𓇆	M14 	combination of papyrus and cobra 
𓇇	M15 	clump of papyrus with buds 
𓇈	M15A 	combination of clump of papyrus with buds and village 
𓇉	M16 	clump of papyrus 
𓇊	M16A 	combination of clump of papyrus and village 
𓇋	M17 	reed
𓇌	M17A 	two reeds 
𓇍	M18 	combination of reed and legs walking
𓇎	M19 	heaped conical cakes between reed and club 
𓇏	M20 	field of reeds 
𓇐	M21 	reeds with root 
𓇑	M22 	rush
𓇒	M22A 	two rushes 
𓇓	M23 	sedge 
𓇔	M24 	combination of sedge and mouth 
𓇕	M24A 	lily 
𓇖	M25 	combination of flowering sedge and mouth 
𓇗	M26 	flowering sedge
𓇘	M27 	combination of flowering sedge and forearm 
𓇙	M28 	combination of flowering sedge and hobble 
𓇚	M28A 	three lilies on village 
𓇛	M29 	seed-pod
𓇜	M30 	root 
𓇝	M31 	rhizome 
𓇞	M31A 	tree in vase 
𓇟	M32 	rhizome 
𓇠	M33 	3 grains horizontally 
𓇡	M33A 	3 grains vertically 
𓇢	M33B 	3 grains in triangular arrangement 
𓇣	M34 	ear of emmer 
𓇤	M35 	stack (of grain)
𓇥	M36 	bundle of flax
𓇦	M37 	bundle of flax 
𓇧	M38 	wide bundle of flax 
𓇨	M39 	basket of fruit or grain
𓇩	M40 	bundle of reeds 
𓇪	M40A 	bundle of reeds 
𓇫	M41 	piece of wood 
𓇬	M42 	flower 
𓇭	M43 	vine on trellis 
𓇮	M44 	thorn
𓇯	N1 	sky
𓇰	N2 	sky with sceptre 
𓇱	N3 	sky with sceptre 
𓇲	N4 	sky with rain 
𓇳	N5 	sun 
𓇴	N6 	sun with uraeus 
𓇵	N7 	combination of sun and butcher's block 
𓇶	N8 	sunshine 
𓇷	N9 	moon with lower half obscured 
𓇸	N10 	moon with lower section obscured 
𓇹	N11 	crescent moon
𓇺	N12 	crescent moon 
𓇻	N13 	combination of crescent moon and star 
𓇼	N14 	star
𓇽	N15 	star in circle 
𓇾	N16 	land with grains 
𓇿	N17 	land 
𓈀	N18 	sandy tract 
𓈁	N18A 	combination of sandy tract and ripple of water 
𓈂	N18B 	combination of roll of bread and bolt 
𓈃	N19 	two sandy tracts 
𓈄	N20 	tongue of land 
𓈅	N21 	short tongue of land 
𓈆	N22 	broad tongue of land 
𓈇	N23 	irrigation canal 
𓈈	N24 	land, irrigated 
𓈉	N25 	three hills 
𓈊	N25A 	three hills (low) 
𓈋	N26 	two hills
𓈌	N27 	sun over mountain
𓈍	N28 	rays of sun over hill
𓈎	N29 	slope of hill 
𓈏	N30 	mound of earth 
𓈐	N31 	road with shrubs 
𓈑	N32 	lump of clay 
𓈒	N33 	grain 
𓈓	N33A 	three grains 
𓈔	N34 	ingot of metal 
𓈕	N34A 	ingot of metal 
𓈖	N35 	ripple of water 
𓈗	N35A 	three ripples of water 
𓈘	N36 	canal 
𓈙	N37 	Pool-lake-basin 
𓈚	N37A 	pool 
𓈛	N38 	deep pool 
𓈜	N39 	pool with water 
𓈝	N40 	pool with legs
𓈞	N41 	well with ripple of water
𓈟	N42 	well with line of water 
𓈠	NL1	1st Nome of Lower Egypt , Inebu-Hedj
𓈡	NL2	2nd Nome of Lower Egypt 
𓈢	NL3	3rd Nome of Lower Egypt 
𓈣	NL4	4th Nome of Lower Egypt 
𓈤	NL5	5th Nome of Lower Egypt 
𓈥	NL5a 	5th Nome of Lower Egypt
𓈦	NL6	6th Nome of Lower Egypt , Khaset (nome)
𓈧	NL7	7th Nome of Lower Egypt 
𓈨	NL8	8th Nome of Lower Egypt 
𓈩	NL9	9th Nome of Lower Egypt 
𓈪	NL10	10th Nome of Lower Egypt 
𓈫	NL11	11th Nome of Lower Egypt 
𓈬	NL12	12th Nome of Lower Egypt 
𓈭	NL13	13th Nome of Lower Egypt , Heliopolite Nome
𓈮	NL14	14th Nome of Lower Egypt 
𓈯	NL15	15th Nome of Lower Egypt 
𓈰	NL16	16th Nome of Lower Egypt 
𓈱	NL17	17th Nome of Lower Egypt 
𓈲	NL17a	17th Nome of Lower Egypt
𓈳	NL18 	18th Nome of Lower Egypt 
𓈴	NL19	19th Nome of Lower Egypt 
𓈵	NL20	20th Nome of Lower Egypt 
𓈶	NU1	1st Nome of Upper Egypt , Ta-Seti
𓈷	NU2	2nd Nome of Upper Egypt , Wetjes-Hor
𓈸	NU3	3rd Nome of Upper Egypt , Nekhen (nome)
𓈹	NU4	4th Nome of Upper Egypt  
𓈺	NU5	5th Nome of Upper Egypt , Nomos of Harawî
𓈻	NU6	6th Nome of Upper Egypt , Iqer
𓈼	NU7	7th Nome of Upper Egypt 
𓈽	NU8	8th Nome of Upper Egypt , Ta-wer
𓈾	NU9	9th Nome of Upper Egypt 
𓈿	NU10	10th Nome of Upper Egypt , Aphroditopolite Nome
𓉀	NU10a	10th Nome of Upper Egypt , Aphroditopolite Nome
𓉁	NU11	11th Nome of Upper Egypt 
𓉂	NU11a	11th Nome of Upper Egypt 
𓉃	NU12	12th Nome of Upper Egypt 
𓉄	NU13	13th Nome of Upper Egypt 
𓉅	NU14	14th Nome of Upper Egypt 
𓉆	NU15	15th Nome of Upper Egypt , Hare nome
𓉇	NU16	16th Nome of Upper Egypt , Oryx nome
𓉈	NU17	17th Nome of Upper Egypt 
𓉉	NU18	18th Nome of Upper Egypt 
𓉊	NU18a	18th Nome of Upper Egypt 
𓉋	NU19	19th Nome of Upper Egypt 
𓉌	NU20	20th Nome of Upper Egypt 
𓉍	NU21	21st Nome of Upper Egypt 
𓉎	NU22	22nd Nome of Upper Egypt 
𓉏	NU22a	22nd Nome of Upper Egypt 
𓉐	O1 	pr
𓉑	O1A	combination of house and ankh
𓉒	O2 	combination of house and mace with round head 
𓉓	O3 	combination of house, oar, tall loaf and beer jug 
𓉔	O4 	reed shelter 
𓉕	O5 	winding wall from upper-left corner 
𓉖	O5A 	winding wall from lower-left corner 
𓉗	O6 	enclosure
𓉘	O6A 	opening of Hathor
𓉙	O6B 	opening of ḥwt-enclosure 
𓉚	O6C 	opening of ḥwt-enclosure 
𓉛	O6D 	closing of ḥwt-enclosure 
𓉜	O6E 	closing of ḥwt-enclosure 
𓉝	O6F 	closing of ḥwt-enclosure 
𓉞	O7 	combination of enclosure and flat loaf 
𓉟	O8 	combination of enclosure, flat loaf and wooden column 
𓉠	O9 	combination of enclosure, flat loaf and basket 
𓉡	O10 	combination of enclosure and falcon 
𓉢	O10A 	combination of enclosure and ankh
𓉣	O10B 	combination of enclosure and bee 
𓉤	O10C 	combination of shrine in profile and face 
𓉥	O11 	palace
𓉦	O12 	combination of palace and forearm 
𓉧	O13 	battlemented enclosure 
𓉨	O14 	part of battlemented enclosure 
𓉩	O15 	enclosure with cup and flat loaf 
𓉪	O16 	gateway with serpents 
𓉫	O17 	open gateway with serpents 
𓉬	O18 	shrine in profile 
𓉭	O19 	shrine with fence 
𓉮	O19A 	shrine 
𓉯	O20 	shrine 
𓉰	O20A 	shrine 
𓉱	O21 	façade of shrine 
𓉲	O22 	booth with pole 
𓉳	O23 	double platform 
𓉴	O24 	pyramid 
𓉵	O24A 	pedestal of sun temple 
𓉶	O25 	obelisk
𓉷	O25A 	obelisk and pedestal of sun temple 
𓉸	O26 	stela
𓉹	O27 	hall of columns 
𓉺	O28 	column 
𓉻	O29 	horizontal wooden column 
𓉼	O29A 	vertical wooden column 
𓉽	O30 	support 
𓉾	O30A 	four supports 
𓉿	O31 	door
𓊀	O32 	gateway 
𓊁	O33 	façade of palace 
𓊂	O33A 	closing of Serekh
𓊃	O34 	door bolt (s hieroglyph)
𓊄	O35 	combination of bolt and legs 
𓊅	O36 	wall
𓊆	O36A 	opening of oval fortified wall enclosure 
𓊇	O36B 	closing of oval fortified wall enclosure 
𓊈	O36C 	opening of square fortified wall enclosure 
𓊉	O36D 	closure of square fortified wall enclosure 
𓊊	O37 	falling wall 
𓊋	O38 	corner of wall 
𓊌	O39 	stone 
𓊍	O40 	stair-single 
𓊎	O41 	double stairway
𓊏	O42 	fence
𓊐	O43 	low fence 
𓊑	O44 	emblem of Min
𓊒	O45 	domed building 
𓊓	O46 	domed building 
𓊔	O47 	enclosed mound 
𓊕	O48 	enclosed mound
𓊖	O49 	village 
𓊗	O50 	threshing floor
𓊘	O50A 	hieratic threshing floor 
𓊙	O50B 	O50A reversed 
𓊚	O51 	pile of grain 
𓊛	P1 	boat 
𓊜	P1A 	boat upside down 
𓊝	P2 	ship under sail 
𓊞	P3 	sacred barque 
𓊟	P3A 	sacred barque without steering oar 
𓊠	P4 	boat with net 
𓊡	P5 	sail 
𓊢	P6 	mast 
𓊣	P7 	combination of mast and forearm 
𓊤	P8 	oar
𓊥	P9 	combination of oar and horned viper 
𓊦	P10 	rudder
𓊧	P11 	mooring post
𓊨	Q1 	seat throne 
𓊩	Q2 	carrying chair
𓊪	Q3 	stool 
𓊫	Q4 	headrest
𓊬	Q5 	chest 
𓊭	Q6 	sarcophagus
𓊮	Q7 	Brazier 
𓊯	R1 	high table with offerings 
𓊰	R2 	table with slices of bread 
𓊱	R2A 	high table with offerings 
𓊲	R3 	low table with offerings 
𓊳	R3A 	low table 
𓊴	R3B 	low table with offerings (simplified) 
𓊵	R4 	loaf on mat
𓊶	R5 	narrow censer 
𓊷	R6 	broad censer 
𓊸	R7 	bowl with smoke 
𓊹	R8 	Cloth on pole 
𓊺	R9 	combination of cloth on pole and bag 
𓊻	R10 	combination of cloth on pole, butcher's block and slope of hill 
𓊼	R10A 	combination of cloth on pole and butcher's block 
𓊽	R11 	reed column
𓊾	R12 	standard 
𓊿	R13 	falcon and feather on standard 
𓋀	R14 	Emblem of the West 
𓋁	R15 	spear, Emblem of the East
𓋂	R16 	sceptre with feathers and string 
𓋃	R16A 	sceptre with feathers 
𓋄	R17 	wig on pole 
𓋅	R18 	combination of wig on pole and irrigation canal system 
𓋆	R19 	scepter with feather 
𓋇	R20 	flower with horns 
𓋈	R21 	flower with horns 
𓋉	R22 	two narrow belemnites 
𓋊	R23 	two broad belemnites 
𓋋	R24 	two bows tied horizontally
𓋌	R25 	two bows tied vertically 
𓋍	R26 	combination of land, lung and windpipe, lily, and papyrus 
𓋎	R27 	two arrows crossed over a shield 
𓋏	R28 	Bat (goddess)
𓋐	R29 	niche with serpent 
𓋑	S1 	white crown 
𓋒	S2 	combination of white crown and basket 
𓋓	S2A 	combination of white crown and village 
𓋔	S3 	red crown
𓋕	S4 	combination of red crown and basket 
𓋖	S5 	Pschent Crown
𓋗	S6 	combination of Pschent Crown and basket 
𓋘	S6A 	combination of red crown and village 
𓋙	S7 	blue crown
𓋚	S8 	atef crown 
𓋛	S9 	shuti hieroglyph (two-feather adornment)
𓋜	S10 	headband 
𓋝	S11 	Usekh collar
𓋞	S12 	collar of beads 
𓋟	S13 	combination of collar of beads and foot 
𓋠	S14 	combination of collar of beads and mace with round head 
𓋡	S14A 	combination of collar of beads and sceptre
𓋢	S14B 	combination of collar of beads and sceptre 
𓋣	S15 	pectoral
𓋤	S16 	pectoral 
𓋥	S17 	pectoral 
𓋦	S17A 	girdle 
𓋧	S18 	"""menat necklace and counterpoise"""
𓋨	S19 	seal with necklace
𓋩	S20 	necklace with seal
𓋪	S21 	ring 
𓋫	S22 	shoulder-knot 
𓋬	S23 	two whips with shen ring 
𓋭	S24 	girdle knot
𓋮	S25 	garment with ties 
𓋯	S26 	apron 
𓋰	S26A 	apron 
𓋱	S26B 	apron 
𓋲	S27 	cloth with two strands 
𓋳	S28 	cloth with fringe on top and folded cloth 
𓋴	S29 	folded cloth
