                                            
I am                                        	ego sum           
you were being loved                        	tū amābāris       
it was being loved                          	id amābātur       
we were being loved                          	nōs amābāmur      
you all were being loved                    	vōs amābāminī     
they were being loved                       	ea amābantur      
                                            
I was loved                                 	ego amātus sum    
you were loved                              	tū amātus es      
it was loved                                	id amātus est     
we were loved                                	nōs amātī sumus   
you all were loved                          	vōs amātī estis   
they were loved                             	ea amātī sunt     
                                            
I will have been loved                      	ego amātus erō    
you will have been loved                    	tū amātus eris    
it will have been loved                     	id amātus erit    
we will have been loved                     	nōs amātī erimus  
you all will have been loved                	vōs amātī eritis  
they will have been loved                   	ea amātī erunt    
                                            
I had been loved                            	ego amātus eram   
you had been loved                          	tū amātus erās    
it had been loved                           	id amātus erat    
we had been loved                           	nōs amātī erāmus  
you all had been loved                      	vōs amātī erātis  
they had been loved                         	ea amātī erant    
                                            
[may it be that] I am loved                 	ego amer          
[may it be that] you are loved              	tūamēris          
[may it be that] it is loved                	id amētur         
[may it be that] we are loved               	nōs amēmur        
[may it be that] you all are loved          	vōs amēminī       
[may it be that] they♂ are loved            	eī amentur        
[may it be that] they♀ are loved            	eae amentur       
[may it be that] they⚲ are loved            	ea amentur        
                                            
[may it be that] I was being loved          	ego amārer        
[may it be that] you were being loved       	tūamārēris        
[may it be that] it was being loved         	id amārētur       
[may it be that] we were being loved         	nōs amārēmur      
[may it be that] you all were being loved   	vōs amārēminī     
[may it be that] they♂ were being loved     	eī amārentur      
[may it be that] they♀ were being loved     	eae amārentur     
[may it be that] they⚲ were being loved     	ea amārentur      
                                            
[may it be that] I was loved                	ego amātus sim    
[may it be that] you were loved             	tūamātus sīs      
[may it be that] it was loved               	id amātus sit     
[may it be that] we were loved               	nōs amātī sīmus   
[may it be that] you all were loved         	vōs amātī sītis   
[may it be that] they♂ were loved           	eī amātī sint     
[may it be that] they♀ were loved           	eae amātī sint    
[may it be that] they⚲ were loved           	ea amātī sint     
                                            
[may it be that] I had been loved           	ego amātus essem  
[may it be that] you had been loved         	tūamātus essēs    
[may it be that] it had been loved          	id amātus esset   
[may it be that] we had been loved          	nōs amātī essēmus 
[may it be that] you all had been loved     	vōs amātī essētis 
[may it be that] they♂ had been loved       	eī amātī essent   
[may it be that] they♀ had been loved       	eae amātī essent  
[may it be that] they⚲ had been loved       	ea amātī essent   
                                            
I advise                                    	ego moneō         
you advise                                  	tū monēs          
it advises                                  	id monet          
we advise                                   	nōs monēmus       
you all advise                              	vōs monitis       
they advise                                 	ea monent         
                                            
I will advise                               	ego monēbō        
you will advise                             	tū monēbis        
it will advise                              	id monēbit        
we will advise                              	nōs monēbimus     
you all will advise                         	vōs monēbitis     
they will advise                            	ea monēbunt       
                                            
I was advising                              	ego monēbam       
you were advising                           	tū monēbās        
it was advising                             	id monēbat        
we were advising                             	nōs monēbāmus     
you all were advising                       	vōs monēbātis     
they were advising                          	ea monēbant       
                                            
I advised                                   	ego monuī         
you advised                                 	tū monuistī       
it advised                                  	id monuit         
we advised                                  	nōs monuimus      
you all advised                             	vōs monuistis     
they advised                                	ea monuērunt/-ēre 
                                            
I will have advised                         	ego monuerō       
you will have advised                       	tū monuerīs       
it will have advised                        	id monuerit       
we will have advised                        	nōs monuerīmus    
you all will have advised                   	vōs monuerītis    
they will have advised                      	ea monuerint      
                                            
I had advised                               	ego monueram      
you had advised                             	tū monuerās       
it had advised                              	id monuerat       
we had advised                              	nōs monuerāmus    
you all had advised                         	vōs monuerātis    
they had advised                            	ea monuerant      
                                            
[may it be that] I advise                   	ego moneam        
[may it be that] you advise                 	tūmoneās          
[may it be that] it advises                 	id moneat         
[may it be that] we advise                  	nōs moneāmus      
[may it be that] you all advise             	vōs moneātis      
[may it be that] they♂ advise               	eī moneant        
[may it be that] they♀ advise               	eae moneant       
[may it be that] they⚲ advise               	ea moneant        
                                            
[may it be that] I was advising             	ego monērem       
[may it be that] you were advising          	tūmonērēs         
[may it be that] it was advising            	id monēret        
[may it be that] we were advising            	nōs monērēmus     
[may it be that] you all were advising      	vōs monērētis     
[may it be that] they♂ were advising        	eī monērent       
[may it be that] they♀ were advising        	eae monērent      
[may it be that] they⚲ were advising        	ea monērent       
                                            
[may it be that] I advised                  	ego monuerim      
[may it be that] you advised                	tūmonuerīs        
[may it be that] it advised                 	id monuerit       
[may it be that] we advised                 	nōs monuerīmus    
[may it be that] you all advised            	vōs monuerītis    
[may it be that] they♂ advised              	eī monuerint      
[may it be that] they♀ advised              	eae monuerint     
[may it be that] they⚲ advised              	ea monuerint      
                                            
[may it be that] I had advised              	ego monuissem     
[may it be that] you had advised            	tūmonuissēs       
[may it be that] it had advised             	id monuisset      
[may it be that] we had advised             	nōs monuissēmus   
[may it be that] you all had advised        	vōs monuissētis   
[may it be that] they♂ had advised          	eī monuissent     
[may it be that] they♀ had advised          	eae monuissent    
[may it be that] they⚲ had advised          	ea monuissent     
                                            
I am advised                                	ego moneor        
you are advised                             	tū monēris        
it is advised                               	id monētur        
we are advised                              	nōs monēmur       
you all are advised                         	vōs monēminī      
they are advised                            	ea monēntur       
                                            
I will be advised                           	ego monēbor       
you will be advised                         	tū monēberis      
it will be advised                          	id monēbitur      
we will be advised                          	nōs monēbimur     
you all will be advised                     	vōs monēbiminī    
they will be advised                        	ea monēbuntur     
                                            
I was being advised                         	ego monēbar       
you were being advised                      	tū monēbāris      
it was being advised                        	id monēbātur      
we were being advised                        	nōs monēbāmur     
you all were being advised                  	vōs monēbāminī    
they were being advised                     	ea monēbantur     
                                            
I was advised                               	ego monitus sum   
you were advised                            	tū monitus es     
it was advised                              	id monitus est    
we were advised                              	nōs monitī sumus  
you all were advised                        	vōs monitī estis  
they were advised                           	ea monitī sunt    
                                            
I will have been advised                    	ego monitus erō   
you will have been advised                  	tū monitus eris   
it will have been advised                   	id monitus erit   
we will have been advised                   	nōs monitī erimus 
you all will have been advised              	vōs monitī eritis 
they will have been advised                 	ea monitī erunt   
                                            
I had been advised                          	ego monitus eram  
you had been advised                        	tū monitus erās   
it had been advised                         	id monitus erat   
we had been advised                         	nōs monitī erāmus 
you all had been advised                    	vōs monitī erātis 
they had been advised                       	ea monitī erant   
                                            
[may it be that] I am advised               	ego monear        
[may it be that] you are advised            	tūmoneāris        
[may it be that] it is advised              	id moneātur       
[may it be that] we are advised             	nōs moneāmur      
[may it be that] you all are advised        	vōs moneāminī     
[may it be that] they♂ are advised          	eī moneantur      
[may it be that] they♀ are advised          	eae moneantur     
[may it be that] they⚲ are advised          	ea moneantur      
                                            
[may it be that] I was being advised        	ego monērer       
[may it be that] you were being advised     	tūmonērēris       
[may it be that] it was being advised       	id monērētur      
[may it be that] we were being advised       	nōs monērēmur     
[may it be that] you all were being advised 	vōs monērēminī    
[may it be that] they♂ were being advised   	eī monērentur     
[may it be that] they♀ were being advised   	eae monērentur    
[may it be that] they⚲ were being advised   	ea monērentur     
                                            
[may it be that] I was advised              	ego monitus sim   
[may it be that] you were advised           	tūmonitus sīs     
[may it be that] it was advised             	id monitus sit    
[may it be that] we were advised             	nōs monitī sīmus  
[may it be that] you all were advised       	vōs monitī sītis  
[may it be that] they♂ were advised         	eī monitī sint    
[may it be that] they♀ were advised         	eae monitī sint   
[may it be that] they⚲ were advised         	ea monitī sint    
                                            
[may it be that] I had been advised         	ego monitus essem 
[may it be that] you had been advised       	tūmonitus essēs   
[may it be that] it had been advised        	id monitus esset  
[may it be that] we had been advised        	nōs monitī essēmus
[may it be that] you all had been advised   	vōs monitī essētis
[may it be that] they♂ had been advised     	eī monitī essent  
[may it be that] they♀ had been advised     	eae monitī essent 
[may it be that] they⚲ had been advised     	ea monitī essent  
                                            
I direct                                    	ego dūcō          
you direct                                  	tū dūcis          
it direct                                   	id dūcit          
we direct                                   	nōs dūcimus       
you all direct                              	vōs dūcitis       
they direct                                 	ea dūcunt         
                                            
I will direct                               	ego dūcam         
you will direct                             	tū dūcēs          
it will direct                              	id dūcet          
we will direct                              	nōs dūcēmus       
you all will direct                         	vōs dūcētis       
they will direct                            	ea dūcent         
                                            
I was directing                             	ego dūcēbam       
you were directing                          	tū dūcēbās        
it was directing                            	id dūcēbat        
we were directing                            	nōs dūcēbāmus     
you all were directing                      	vōs dūcēbātis     
they were directing                         	ea dūcēbant       
                                            
I directed                                  	ego dūxī          
you directed                                	tū dūxistī        
it directed                                 	id dūxit          
we directed                                 	nōs dūximus       
you all directed                            	vōs dūxistis      
they directed                               	ea dūxērunt/-ēre  
                                            
I will have directed                        	ego dūxerō        
you will have directed                      	tū dūxerīs        
it will have directed                       	id dūxerit        
we will have directed                       	nōs dūxerīmus     
you all will have directed                  	vōs dūxerītis     
they will have directed                     	ea dūxerint       
                                            
I had directed                              	ego dūxeram       
you had directed                            	tū dūxerās        
it had directed                             	id dūxerat        
we had directed                             	nōs dūxerāmus     
you all had directed                        	vōs dūxerātis     
they had directed                           	ea dūxerant       
                                            
[may it be that] I direct                   	ego dūcam         
[may it be that] you direct                 	tūdūcās           
[may it be that] it direct                  	id dūcat          
[may it be that] we direct                  	nōs dūcāmus       
[may it be that] you all direct             	vōs dūcātis       
[may it be that] they♂ direct               	eī dūcant         
[may it be that] they♀ direct               	eae dūcant        
[may it be that] they⚲ direct               	ea dūcant         
                                            
[may it be that] I was directing            	ego dūcerem       
[may it be that] you were directing         	tūdūcerēs         
[may it be that] it was directing           	id dūceret        
[may it be that] we were directing           	nōs dūcerēmus     
[may it be that] you all were directing     	vōs dūcerētis     
[may it be that] they♂ were directing       	eī dūcerent       
[may it be that] they♀ were directing       	eae dūcerent      
[may it be that] they⚲ were directing       	ea dūcerent       
                                            
[may it be that] I directed                 	ego dūxerim       
[may it be that] you directed               	tūdūxerīs         
[may it be that] it directed                	id dūxerit        
[may it be that] we directed                	nōs dūxerīmus     
[may it be that] you all directed           	vōs dūxerītis     
[may it be that] they♂ directed             	eī dūxerint       
[may it be that] they♀ directed             	eae dūxerint      
[may it be that] they⚲ directed             	ea dūxerint       
                                            
[may it be that] I had directed             	ego dūxissem      
[may it be that] you had directed           	tūdūxissēs        
[may it be that] it had directed            	id dūxisset       
[may it be that] we had directed            	nōs dūxissēmus    
[may it be that] you all had directed       	vōs dūxissētis    
[may it be that] they♂ had directed         	eī dūxissent      
[may it be that] they♀ had directed         	eae dūxissent     
[may it be that] they⚲ had directed         	ea dūxissent      
                                            
I am directed                               	ego dūcor         
you are directed                            	tū dūceris        
it is directed                              	id dūcitur        
we are directed                             	nōs dūcimur       
you all are directed                        	vōs dūciminī      
they are directed                           	ea dūcuntur       
                                            
I will be directed                          	ego dūcar         
you will be directed                        	tū dūcēris        
it will be directed                         	id dūcētur        
we will be directed                         	nōs dūcēmur       
you all will be directed                    	vōs dūcēminī      
they will be directed                       	ea dūcentur       
                                            
I was being directed                        	ego dūcēbar       
you were being directed                     	tū dūcēbāris      
it was being directed                       	id dūcēbātur      
we were being directed                       	nōs dūcēbāmur     
you all were being directed                 	vōs dūcēbāminī    
they were being directed                    	ea dūcēbantur     
                                            
I was directed                              	ego ductus sum    
you were directed                           	tū ductus es      
it was directed                             	id ductus est     
we were directed                             	nōs ductī sumus   
you all were directed                       	vōs ductī estis   
they were directed                          	ea ductī sunt     
                                            
I will have been directed                   	ego ductus erō    
you will have been directed                 	tū ductus eris    
it will have been directed                  	id ductus erit    
we will have been directed                  	nōs ductī erimus  
you all will have been directed             	vōs dūctī eritis  
they will have been directed                	ea ductī erunt    
                                            
I had been directed                         	ego ductus eram   
you had been directed                       	tū ductus erās    
it had been directed                        	id ductus erat    
we had been directed                        	nōs ductī erāmus  
you all had been directed                   	vōs ductī erātis  
they had been directed                      	ea ductī erant    
                                            
[may it be that] I am directed              	ego dūcar         
[may it be that] you are directed           	tūdūcāris         
[may it be that] it is directed             	id dūcātur        
[may it be that] we are directed            	nōs dūcāmur       
[may it be that] you all are directed       	vōs dūcāminī      
[may it be that] they♂ are directed         	eī dūcantur       
[may it be that] they♀ are directed         	eae dūcantur      
[may it be that] they⚲ are directed         	ea dūcantur       
                                            
[may it be that] I was being directed       	ego dūcerer       
[may it be that] you were being directed    	tūdūcerēris       
[may it be that] it was being directed      	id dūcerētur      
[may it be that] we were being directed      	nōs dūcerēmur     
[may it be that] you all were being directed	vōs dūcerēminī    
[may it be that] they♂ were being directed  	eī dūcerentur     
[may it be that] they♀ were being directed  	eae dūcerentur    
[may it be that] they⚲ were being directed  	ea dūcerentur     
                                            
[may it be that] I was directed             	ego ductus sim    
[may it be that] you were directed          	tūductus sīs      
[may it be that] it was directed            	id ductus sit     
[may it be that] we were directed            	nōs ductī sīmus   
[may it be that] you all were directed      	vōs ductī sītis   
[may it be that] they♂ were directed        	eī ductī sint     
[may it be that] they♀ were directed        	eae ductī sint    
[may it be that] they⚲ were directed        	ea ductī sint     
                                            
[may it be that] I had been directed        	ego ductus essem  
[may it be that] you had been directed      	tūductus essēs    
[may it be that] it had been directed       	id ductus esset   
[may it be that] we had been directed       	nōs ductī essēmus 
[may it be that] you all had been directed  	vōs ductī essētis 
[may it be that] they♂ had been directed    	eī ductī essent   
[may it be that] they♀ had been directed    	eae ductī essent  
[may it be that] they⚲ had been directed    	ea ductī essent   
                                            
I hear                                      	ego audiō         
you hear                                    	tū audīs          
it hear                                     	id audit          
we hear                                     	nōs audīmus       
you all hear                                	vōs audītis       
they hear                                   	ea audiunt        
                                            
I will hear                                 	ego audiam        
you will hear                               	tū audiēs         
it will hear                                	id audiet         
we will hear                                	nōs audiēmus      
you all will hear                           	vōs audiētis      
they will hear                              	ea audient        
                                            
I was hearing                               	ego audiēbam      
you were hearing                            	tū audiēbās       
it was hearing                              	id audiēbat       
we were hearing                              	nōs audiēbāmus    
you all were hearing                        	vōs audiēbātis    
they were hearing                           	ea audiēbant      
                                            
I heard                                     	ego audīvī        
you heard                                   	tū audīstī        
it heard                                    	id audīvit        
we heard                                    	nōs audīvimus     
you all heard                               	vōs audīstis      
they heard                                  	ea audiērunt/-ēre 
                                            
I will have heard                           	ego audierō       
you will have heard                         	tū audierīs       
it will have heard                          	id audierit       
we will have heard                          	nōs audierīmus    
you all will have heard                     	vōs audierītis    
they will have heard                        	ea audierint      
                                            
I had heard                                 	ego audieram      
you had heard                               	tū audierās       
it had heard                                	id audierat       
we had heard                                	nōs audierāmus    
you all had heard                           	vōs audierātis    
they had heard                              	ea audierant      
                                            
[may it be that] I hear                     	ego audiam        
[may it be that] you hear                   	tū audiās         
[may it be that] it hear                    	id audiat         
[may it be that] we hear                    	nōs audiāmus      
[may it be that] you all hear               	vōs audiātis      
[may it be that] they♂ hear                 	eī audiant        
[may it be that] they♀ hear                 	eae audiant       
[may it be that] they⚲ hear                 	ea audiant        
                                            
