a 	 interjection 	 hah 	 hah!
non 	 adjective 	 tender 	 young, tender, green
non 	 adjective 	 new 	 new
non 	 adjective 	 mild 	 mild
non 	 adjective 	 premature 	 premature
non 	 adjective 	 not 	 not up to the mark
non 	 adjective 	 mark 	 not up to the mark
non 	 noun 	 mountain 	 mountain
men 	 noun 	 yeast 	 yeast
men 	 noun 	 enzyme 	 enzyme
men 	 noun 	 alcohol 	 alcohol
men 	 noun 	 enamel 	 enamel
men 	 verb 	 approach 	 to approach, to go along
men 	 verb 	 go along 	 to approach, to go along
tan 	 verb 	 melt 	 to melt
tan 	 verb 	 dissolve 	 to dissolve, dissipate
tan 	 verb 	 dissipate 	 to dissolve, dissipate
tin 	 verb 	 believe 	 to believe or to trust
tin 	 verb 	 trust 	 to believe or to trust
tin 	 noun 	 news 	 news
hi 	 verb 	 teeth 	 to bare one's teeth
hi 	 verb 	 bare 	 to bare one's teeth
ai 	 pronoun 	 who 	 who
ai 	 pronoun 	 whoever 	 whoever
ai 	 pronoun 	 else 	 someone else
ai 	 pronoun 	 someone 	 someone else
ai 	 pronoun 	 onePronoun 	 one, a person
ai 	 pronoun 	 person 	 one, a person
ai 	 pronoun 	 nobody 	 nobody
ba 	 noun 	 father 	 father
ba 	 numeral 	 three 	 cardinal numbers three
ba 	 adjective 	 secondborn 	 ordinal numbers  secondborn
ba 	 determiner 	 some 	 some, an indefinite quantity greater than one
ban 	 noun 	 branch 	 branch of administration in the feudal court
ban 	 noun 	 feudal 	 branch of administration in the feudal court
ban 	 noun 	 administration 	 branch of administration in the feudal court
ban 	 noun 	 court 	 branch of administration in the feudal court
ban 	 noun 	 committee 	 group ; band; board; squad; committee
ban 	 noun 	 board 	 group ; band; board; squad; committee
ban 	 noun 	 squad 	 group ; band; board; squad; committee
ban 	 noun 	 band 	 group ; band; board; squad; committee
ban 	 noun 	 group 	 group ; band; board; squad; committee
ban 	 noun 	 shift 	 shift; work period
ban 	 noun 	 period 	 shift; work period
ban 	 noun 	 work 	 shift; work period
ban 	 noun 	 time 	 time period; section of the day
ban 	 noun 	 day 	 time period; section of the day
ban 	 noun 	 section 	 time period; section of the day
ban 	 noun 	 period 	 time period; section of the day
ban 	 noun 	 department 	 subject;  department
ban 	 noun 	 subject 	 subject;  department
ban 	 noun 	 rash 	 rash
ban 	 noun 	 ball 	 ball
ban 	 verb 	 confer 	 to confer on; to bestow
ban 	 verb 	 bestow 	 to confer on; to bestow
ban 	 verb 	 announce 	 to announce; to herald; to proclaim
ban 	 verb 	 herald 	 to announce; to herald; to proclaim
ban 	 verb 	 proclaim 	 to announce; to herald; to proclaim
mc 	 noun 	 host 	 a host
mc 	 noun 	 người 	 người dẫn
mc 	 noun 	 dẫn 	 người dẫn
so 	 verb 	 compare 	 to compare
so 	 verb 	 pair up 	 to pair up
so 	 verb 	 straighten 	 to straighten one's shoulders, as if to compare one's height to another's
so 	 verb 	 compare 	 to straighten one's shoulders, as if to compare one's height to another's
so 	 verb 	 shoulders 	 to straighten one's shoulders, as if to compare one's height to another's
so 	 adjective 	 firstborn 	 firstborn
song 	 noun 	 rattan 	 big rattan
song 	 noun 	 big 	 big rattan
song 	 noun 	 window 	 window
song 	 noun 	 railing 	 |upright post in a paling or railing
song 	 noun 	 upright 	 |upright post in a paling or railing
song 	 noun 	 paling 	 |upright post in a paling or railing
song 	 noun 	 post 	 |upright post in a paling or railing
song 	 adverb 	 however 	 however
song 	 adverb 	 but 	 but
ben 	 noun 	 dump truck 	 dump truck
me 	 noun 	 tamarind 	 tamarind
me 	 noun 	 mother 	 mother
安心 	 verb 	 reassured 	 to be reassured
安全 	 noun 	 safety 	 safety
hay 	 verb 	 learn 	 to know; to get to know; to learn
hay 	 verb 	 get 	 to know; to get to know; to learn
hay 	 verb 	 know 	 to know; to get to know; to learn
hay 	 adjective 	 good 	 exciting, interesting, good
hay 	 adjective 	 interesting 	 exciting, interesting, good
hay 	 adjective 	 exciting 	 exciting, interesting, good
hay 	 conjunction 	 or 	 or
ke 	 noun 	 drool 	 saliva/drool that flows out when sleeping
ke 	 noun 	 out 	 saliva/drool that flows out when sleeping
ke 	 noun 	 saliva 	 saliva/drool that flows out when sleeping
ke 	 noun 	 flow 	 saliva/drool that flows out when sleeping
ke 	 noun 	 sleep 	 saliva/drool that flows out when sleeping
kali 	 noun 	 potassium 	 potassium
lam 	 noun 	 louver 	 louvers, blinds, shutters vi
lam 	 noun 	 shutter 	 louvers, blinds, shutters vi
lam 	 noun 	 blind 	 louvers, blinds, shutters vi
pin 	 noun 	 battery 	 a battery
pin 	 noun 	 amount 	 the amount of electricity that a battery holds
pin 	 noun 	 electricity 	 the amount of electricity that a battery holds
go 	 noun 	 weft 	 woof, weft
go 	 noun 	 woof 	 woof, weft
hang 	 noun 	 cave 	 cave
hang 	 noun 	 den 	 den
hung 	 adjective 	 violent 	 violent when getting angry
hung 	 adjective 	 angry 	 violent when getting angry
hung 	 adverb 	 very much 	 very much; a lot
hung 	 adverb 	 a lot 	 very much; a lot
lay 	 verb 	 shake 	 to shake
位置 	 noun 	 location 	 location
億 	 noun 	 million 	 a hundred million, 10
億 	 noun 	 hundred 	 a hundred million, 10
sin 	 noun 	 sine 	 sine
then 	 noun 	 peg 	 bar, peg
then 	 noun 	 bar 	 bar, peg
then 	 noun 	 latch 	 latch
rang 	 verb 	 roast 	 roast
rang 	 verb 	 pop 	 pop
rung 	 verb 	 motion 	 to put in motion; to shake; to agitate; to ring
rung 	 verb 	 ring 	 to put in motion; to shake; to agitate; to ring
rung 	 verb 	 put 	 to put in motion; to shake; to agitate; to ring
rung 	 verb 	 shake 	 to put in motion; to shake; to agitate; to ring
rung 	 verb 	 agitate 	 to put in motion; to shake; to agitate; to ring
run 	 verb 	 tremble 	 to tremble, to shiver
run 	 verb 	 shiver 	 to tremble, to shiver
ran 	 verb 	 widely 	 to resound; to spread widely
ran 	 verb 	 resound 	 to resound; to spread widely
ran 	 verb 	 spread 	 to resound; to spread widely
sang 	 adjective 	 expensive 	 expensive, luxurious
sang 	 adjective 	 luxurious 	 expensive, luxurious
sang 	 verb 	 cross 	 to go over, to come over, to cross
sang 	 verb 	 over 	 to go over, to come over, to cross
sang 	 verb 	 go 	 to go over, to come over, to cross
sang 	 verb 	 come 	 to go over, to come over, to cross
sang 	 verb 	 transfer 	 to transfer
sung 	 noun 	 sycamore 	 sycamore
bi 	 noun 	 marble 	 a marble spherical ball
bi 	 noun 	 ball 	 a ball
bi 	 noun 	 ball 	 a ball testicle
ven 	 noun 	 side 	 shore; bank; side
ven 	 noun 	 shore 	 shore; bank; side
ven 	 noun 	 bank 	 shore; bank; side
ven 	 noun 	 vein 	 vein
ram 	 noun 	 spring roll 	 spring roll
lem 	 adjective 	 soiled 	 smudged, soiled
lem 	 adjective 	 smudged 	 smudged, soiled
du 	 verb 	 walk 	 to walk
long 	 adjective 	 loose 	 loose
long 	 noun 	 dragon 	 dragon
e 	 verb 	 fear 	 to fear; to be apprehensive, to be afraid
e 	 verb 	 afraid 	 to fear; to be apprehensive, to be afraid
e 	 verb 	 apprehensive 	 to fear; to be apprehensive, to be afraid
e 	 verb 	 ashamed 	 to be slightly ashamed
san 	 verb 	 flatten 	 to flatten
san 	 verb 	 equal 	 to make equal
bo 	 noun 	 boron 	 boron
bo 	 verb 	 leave 	 |to leave a tip
bo 	 verb 	 tip 	 |to leave a tip
u 	 noun 	 mother 	 mother; mom
u 	 noun 	 mom 	 mother; mom
u 	 noun 	 excrescence 	 excrescence; protuberance; swelling
u 	 noun 	 protuberance 	 excrescence; protuberance; swelling
u 	 noun 	 swelling 	 excrescence; protuberance; swelling
u 	 noun 	 tumor 	 tumor
u 	 verb 	 swell 	 to get bumpy; to swell
u 	 verb 	 get 	 to get bumpy; to swell
u 	 verb 	 bumpy 	 to get bumpy; to swell
人造 	 adjective 	 man-made 	 artificial, man-made
人造 	 adjective 	 artificial 	 artificial, man-made
萬 	 noun 	 ten thousand 	 ten thousand
loan 	 noun 	 phoenix 	 hen-phoenix
loan 	 noun 	 hen 	 hen-phoenix
南 	 adjective 	 south 	 south, southern
南 	 adjective 	 southern 	 south, southern
女神 	 noun 	 goddess 	 goddess
仙 	 noun 	 fairy 	 fairy
俣 	 adjective 	 doltish 	 stupid; doltish; foolish
俣 	 adjective 	 foolish 	 stupid; doltish; foolish
俣 	 adjective 	 stupid 	 stupid; doltish; foolish
偖 	 noun 	 -er 	 -er, -ist, one who ..., person involved in
偖 	 noun 	 -ist 	 -er, -ist, one who ..., person involved in
卜 	 verb 	 ăn bốc 	 ăn bốc
卩 	 noun 	 tiết 	 tiết
卩 	 verb 	 tiết 	 tiết
厂 	 noun 	 xưởng 	 xưởng
咁 	 verb 	 resentment 	 to bear resentment against
啊 	 interjection 	 oh 	 Used in the beginning of a sentence to indicate questioning: ah, oh, ha
啊 	 interjection 	 ah 	 Used in the beginning of a sentence to indicate questioning: ah, oh, ha
啊 	 interjection 	 ha 	 Used in the beginning of a sentence to indicate questioning: ah, oh, ha
啊 	 interjection 	 khốn 	 tr=A khốn tôi !|Ha! I'm so unlucky!
啊 	 interjection 	 tôi 	 tr=A khốn tôi !|Ha! I'm so unlucky!
囻 	 noun 	 state 	 nation, state, country
囻 	 noun 	 nation 	 nation, state, country
囻 	 noun 	 country 	 nation, state, country
坦 	 noun 	 soil 	 earth; soil; dirt
坦 	 noun 	 dirt 	 earth; soil; dirt
坦 	 noun 	 earth 	 earth; soil; dirt
坦 	 noun 	 land 	 land
坦 	 verb 	 break off 	 to break off; to be cut off
坦 	 verb 	 cut off 	 to break off; to be cut off
奵 	 verb 	 burn 	 to burn
奵 	 verb 	 s:vi:Hịch đánh Trịnh 	 * 18th century: Nguyễn Hữu Chỉnh, "Hịch đánh Trịnh&quot
奵 	 verb 	 w:Nguyễn Hữu Chỉnh 	 * 18th century: Nguyễn Hữu Chỉnh, "Hịch đánh Trịnh&quot
than 	 noun 	 coal 	 coal
than 	 verb 	 complain 	 to complain
將 	 noun 	 commander 	 general; commander
將 	 noun 	 black 	 將 in black
將 	 adverb 	 soon 	 soon; in the near future
將 	 adverb 	 near 	 soon; in the near future
將 	 adverb 	 future 	 soon; in the near future
hun 	 verb 	 smoke 	 to smoke  for consumption by treating with smoke)
強 	 adverb 	 comparative 	 With a comparative or verb phrase, establishes a parallel with one or more other such comparatives
強 	 adverb 	 w:Hồ Xuân Hương 	 * 18th–19th century: Hồ Xuân Hương, "Vịnh quạt&quot
強 	 adverb 	 s:vi:Vịnh cái quạt 	 * 18th–19th century: Hồ Xuân Hương, "Vịnh quạt&quot
強 	 adverb 	 all the less 	 all the more, all the less
強 	 adverb 	 all the more 	 all the more, all the less
德 	 noun 	 virtue 	 virtue; righteousness
德 	 noun 	 righteousness 	 virtue; righteousness
德 	 adjective 	 German 	 German
愚 	 adjective 	 doltish 	 stupid; doltish; foolish
愚 	 adjective 	 foolish 	 stupid; doltish; foolish
愚 	 adjective 	 stupid 	 stupid; doltish; foolish
lui 	 verb 	 retreat 	 to step back; to recede; to move backward; to retreat
lui 	 verb 	 move 	 to step back; to recede; to move backward; to retreat
lui 	 verb 	 step back 	 to step back; to recede; to move backward; to retreat
lui 	 verb 	 backward 	 to step back; to recede; to move backward; to retreat
lui 	 verb 	 recede 	 to step back; to recede; to move backward; to retreat
lui 	 verb 	 back 	 to  back
lui 	 verb 	 abate 	 to abate; to decrease
lui 	 verb 	 decrease 	 to abate; to decrease
lui 	 verb 	 postpone 	 |to postpone
櫗 	 noun 	 jack fruit 	 jack fruit
櫸 	 noun 	 zelkova 	 zelkova
炟 	 verb 	 fry 	 to fry
畜 	 noun 	 livestock 	 livestock
矢 	 noun 	 arrow 	 arrow
稳 	 noun 	 pig 	 pig
窮 	 adjective 	 crazy 	 crazy
窮 	 noun 	 pincer 	 nipper, pincer
窮 	 noun 	 nipper 	 nipper, pincer
箭 	 noun 	 arrow 	 arrow
ha 	 noun 	 hectare 	 |hectare
ha 	 particle 	 amirite 	 yes?; no?; m'kay?; amirite?
ha 	 particle 	 yes 	 yes?; no?; m'kay?; amirite?
ha 	 particle 	 m'kay 	 yes?; no?; m'kay?; amirite?
ha 	 particle 	 no 	 yes?; no?; m'kay?; amirite?
ha 	 interjection 	 ha 	 ha laughter
聖 	 adjective 	 sacred 	 holy, saint, sacred
聖 	 adjective 	 saint 	 holy, saint, sacred
聖 	 adjective 	 holy 	 holy, saint, sacred
聖 	 noun 	 saint 	 saint
腦 	 noun 	 brain 	 brain
艚 	 noun 	 boat 	 boat, ship, vessel
艚 	 noun 	 ship 	 boat, ship, vessel
艚 	 noun 	 vessel 	 boat, ship, vessel
艚 	 adjective 	 Chinese 	 often derogatory Chinese
ham 	 adjective 	 greedy 	 greedy
ham 	 adjective 	 keen 	 eager; keen
ham 	 adjective 	 eager 	 eager; keen
蔘 	 noun 	 ginseng 	 ginseng
ni 	 determiner 	 this 	 this
ni 	 adverb 	 here 	 here
薑 	 noun 	 ginger 	 ginger
藝 	 noun 	 art 	 art
藝 	 noun 	 trade 	 craft, trade
藝 	 noun 	 craft 	 craft, trade
藝 	 noun 	 ability 	 talent, ability
藝 	 noun 	 talent 	 talent, ability
藻 	 noun 	 algae 	 algae
蜜 	 noun 	 honey 	 honey
tre 	 noun 	 bamboo 	 bamboo
蟡 	 noun 	 cicada 	 cicada
ta 	 pronoun 	 me 	 me
ta 	 pronoun 	 we 	 we; us
ta 	 pronoun 	 us 	 we; us
ta 	 adjective 	 Vietnamese 	 "our", Vietnamese, as opposed to |Western, |Chinese or |Siamese
ta 	 adjective 	 our 	 "our", Vietnamese, as opposed to |Western, |Chinese or |Siamese
con 	 noun 	 child 	 a child
con 	 noun 	 toadlet 	 A toadlet is an offspring of a toad
con 	 noun 	 son 	 a son
con 	 noun 	 small 	 a small thing
con 	 noun 	 thing 	 a small thing
con 	 pronoun 	 me 	 I/me, your child
軿 	 noun 	 wheel 	 wheel
mu 	 noun 	 pubes 	 pubes, the pubic region
mu 	 noun 	 pubic region 	 pubes, the pubic region
mu 	 noun 	 shell 	 the shells of some animals
mu 	 noun 	 animal 	 the shells of some animals
鈘 	 noun 	 iron 	 iron club
鈘 	 verb 	 stretch 	 to stretch
鈘 	 verb 	 stretch out 	 to stretch out
鈙 	 verb 	 stretch 	 to stretch
鈙 	 verb 	 stretch out 	 to stretch out
dam 	 noun 	 crab 	 field crab; freshwater crab
dam 	 noun 	 freshwater 	 field crab; freshwater crab
dam 	 noun 	 field 	 field crab; freshwater crab
neon 	 noun 	 neonEnglish 	 neon element
xenon 	 noun 	 xenonEnglish 	 xenon
em 	 noun 	 sibling 	 a younger sibling
em 	 noun 	 younger 	 a younger sibling
em 	 pronoun 	 me 	 /me, someone who's presumably a little younger than you, or old enough relative to you to be your younger sibling
em 	 pronoun 	 wife 	 I/me, your girlfriend or wife
em 	 pronoun 	 girlfriend 	 I/me, your girlfriend or wife
em 	 pronoun 	 you 	 you, someone who's presumably a little younger than me, or old enough relative to me to be my younger sibling
em 	 adjective 	 smaller 	 small; smaller
em 	 adjective 	 small 	 small; smaller
li 	 noun 	 cup 	 cup, glass
li 	 noun 	 glass 	 cup, glass
阥 	 adverb 	 slopingly 	 slopingly
au 	 adjective 	 bright 	 bright and cheerful
au 	 adjective 	 cheerful 	 bright and cheerful
餅 	 noun 	 noodle 	 pastry, cake, bread, dumpling, noodle, wafer, or pudding
餅 	 noun 	 cake 	 pastry, cake, bread, dumpling, noodle, wafer, or pudding
餅 	 noun 	 pudding 	 pastry, cake, bread, dumpling, noodle, wafer, or pudding
餅 	 noun 	 bread 	 pastry, cake, bread, dumpling, noodle, wafer, or pudding
餅 	 noun 	 pastry 	 pastry, cake, bread, dumpling, noodle, wafer, or pudding
餅 	 noun 	 wafer 	 pastry, cake, bread, dumpling, noodle, wafer, or pudding
餅 	 noun 	 dumpling 	 pastry, cake, bread, dumpling, noodle, wafer, or pudding
餅 	 noun 	 s:vi:Cư trần lạc đạo phú/Đệ cửu hội 	 * year=13th century|author=Trần Nhân Tông|section="Đệ cửu hội"|title=Cư trần lạc đạo phú|text=trà Triệu lão, bánh Thiều Dương / bầy thiền tử hãy còn đói khát|t=Old man Trieu’s tea, Thieu Duong cakes
餅 	 noun 	 s:vi:Cư trần lạc đạo phú 	 * year=13th century|author=Trần Nhân Tông|section="Đệ cửu hội"|title=Cư trần lạc đạo phú|text=trà Triệu lão, bánh Thiều Dương / bầy thiền tử hãy còn đói khát|t=Old man Trieu’s tea, Thieu Duong cakes
na 	 noun 	 sugar apple 	 sugar apple
si 	 noun 	 Ficus 	 certain members of the Mallotus and Ficus genera
si 	 noun 	 Mallotus 	 certain members of the Mallotus and Ficus genera
ca 	 noun 	 mug 	 mug
ca 	 noun 	 mug 	 mug
ca 	 verb 	 praise 	 to praise
ca 	 verb 	 scold 	 to scold
ca 	 noun 	 case 	 case
ca 	 noun 	 shift 	 shift change of workers
ti 	 noun 	 department 	 department, division of a ministry
ti 	 noun 	 ministry 	 department, division of a ministry
ti 	 noun 	 division 	 department, division of a ministry
co 	 verb 	 shrink 	 to shrink
ga 	 noun 	 train station 	 train station
ga 	 noun 	 gas 	 gas used for a gas stove
ga 	 noun 	 gas stove 	 gas used for a gas stove
ga 	 noun 	 carbonated drink 	 carbon dioxide used for a carbonated drink
ga 	 noun 	 carbon dioxide 	 carbon dioxide used for a carbonated drink
ga 	 noun 	 lighter fluid 	 lighter fluid
馭 	 noun 	 horse 	 horse
titan 	 noun 	 titanium 	 titanium
sả 	 noun 	 lemongrass 	 lemongrass
sả 	 verb 	 chop 	 to cut into pieces, to chop up
sả 	 verb 	 cut 	 to cut into pieces, to chop up
sả 	 verb 	 piece 	 to cut into pieces, to chop up
la 	 verb 	 cry 	 to cry, to shout
la 	 verb 	 shout 	 to cry, to shout
la 	 verb 	 scold 	 to reprimand, to scold
la 	 verb 	 reprimand 	 to reprimand, to scold
la 	 noun 	 hinny 	 a horse-donkey hybrid; a mule or a hinny
la 	 noun 	 donkey 	 a horse-donkey hybrid; a mule or a hinny
la 	 noun 	 horse 	 a horse-donkey hybrid; a mule or a hinny
la 	 noun 	 hybrid 	 a horse-donkey hybrid; a mule or a hinny
la 	 noun 	 mule 	 a horse-donkey hybrid; a mule or a hinny
ho 	 verb 	 cough 	 to cough
lu 	 noun 	 vase 	 big vase used to contain water
lu 	 noun 	 water 	 big vase used to contain water
黨 	 noun 	 party 	 party
ra 	 verb 	 go out 	 to go out, to leave
ra 	 verb 	 leave 	 to go out, to leave
ra 	 verb 	 northwards 	 to go northwards in Vietnam
ra 	 verb 	 Vietnam 	 to go northwards in Vietnam
ra 	 verb 	 out 	 to be released, to be published, to be out, to come out
ra 	 verb 	 release 	 to be released, to be published, to be out, to come out
ra 	 verb 	 publish 	 to be released, to be published, to be out, to come out
ra 	 verb 	 come out 	 to be released, to be published, to be out, to come out
ra 	 noun 	 bed sheet 	 bed sheet
am 	 noun 	 pagoda 	 small Buddhist temple, small pagoda, hermitage, secluded hut, cottage
am 	 noun 	 cottage 	 small Buddhist temple, small pagoda, hermitage, secluded hut, cottage
am 	 noun 	 hermitage 	 small Buddhist temple, small pagoda, hermitage, secluded hut, cottage
am 	 noun 	 small 	 small Buddhist temple, small pagoda, hermitage, secluded hut, cottage
am 	 noun 	 hut 	 small Buddhist temple, small pagoda, hermitage, secluded hut, cottage
am 	 noun 	 temple 	 small Buddhist temple, small pagoda, hermitage, secluded hut, cottage
am 	 noun 	 secluded 	 small Buddhist temple, small pagoda, hermitage, secluded hut, cottage
am 	 noun 	 Buddhist 	 small Buddhist temple, small pagoda, hermitage, secluded hut, cottage
tu 	 verb 	 philosophy 	 to isolate oneself from other people to follow rules in a philosophy or religion
tu 	 verb 	 isolate 	 to isolate oneself from other people to follow rules in a philosophy or religion
tu 	 verb 	 religion 	 to isolate oneself from other people to follow rules in a philosophy or religion
tu 	 verb 	 drink 	 to drink directly from a bottle by holding bottle mouth in one's mouth
tu 	 verb 	 bottle 	 to drink directly from a bottle by holding bottle mouth in one's mouth
bia 	 noun 	 beer 	 beer
bia 	 noun 	 beer belly 	 a beer belly
bia 	 noun 	 tombstone 	 tombstone; gravestone; stele; monument
bia 	 noun 	 gravestone 	 tombstone; gravestone; stele; monument
bia 	 noun 	 monument 	 tombstone; gravestone; stele; monument
bia 	 noun 	 stele 	 tombstone; gravestone; stele; monument
bia 	 noun 	 bullseye 	 target ; bullseye
bia 	 noun 	 target 	 target ; bullseye
noi 	 verb 	 look 	 to follow; to look in respect
noi 	 verb 	 respect 	 to follow; to look in respect
noi 	 verb 	 follow 	 to follow; to look in respect
voi 	 noun 	 elephant 	 an elephant mammal
bang 	 noun 	 state 	 state
bang 	 verb 	 hit 	 to crash into; to collide with; to hit
bang 	 verb 	 collide 	 to crash into; to collide with; to hit
bang 	 verb 	 crash 	 to crash into; to collide with; to hit
bang 	 noun 	 French Indochina 	 community of overseas Chinese in French Indochina who emigrated from the same province of China
bang 	 noun 	 community 	 community of overseas Chinese in French Indochina who emigrated from the same province of China
bang 	 noun 	 overseas Chinese 	 community of overseas Chinese in French Indochina who emigrated from the same province of China
bang 	 noun 	 China 	 community of overseas Chinese in French Indochina who emigrated from the same province of China
bang 	 noun 	 Fukien 	 the Fukien Chinese expatriates' society
với 	 verb 	 reach 	 to reach
với 	 noun 	 hand 	 a stretch of the hand
với 	 noun 	 stretch 	 a stretch of the hand
với 	 particle 	 request 	 Used to indicate an earnest request
với 	 particle 	 earnest 	 Used to indicate an earnest request
với 	 particle 	 indicate 	 Used to indicate an earnest request
với 	 particle 	 stress 	 Used to express a blame, a reproach, or to stress a negation
với 	 particle 	 express 	 Used to express a blame, a reproach, or to stress a negation
với 	 particle 	 reproach 	 Used to express a blame, a reproach, or to stress a negation
với 	 particle 	 negation 	 Used to express a blame, a reproach, or to stress a negation
với 	 particle 	 blame 	 Used to express a blame, a reproach, or to stress a negation
và 	 conjunction 	 and 	 and
và 	 verb 	 chopsticks 	 To shovel food from a rice bowl into one's mouth using a pair of chopsticks
và 	 verb 	 shovel 	 To shovel food from a rice bowl into one's mouth using a pair of chopsticks
và 	 verb 	 rice bowl 	 To shovel food from a rice bowl into one's mouth using a pair of chopsticks
và 	 determiner 	 some 	 some
