δύο 	 numeral 	 two 	 cardinal numbers : two
ἀνήρ 	 noun 	 husband 	 husband
ἀνήρ 	 noun 	 human 	 human being, as opposed to a god
ὁ 	 pronoun 	 that 	 that
ὁ 	 pronoun 	 he 	 he, she, it, they
ὁ 	 pronoun 	 it 	 he, she, it, they
ὁ 	 pronoun 	 she 	 he, she, it, they
ὁ 	 pronoun 	 they 	 he, she, it, they
ὁ 	 pronoun 	 which 	 who, which, that
ὁ 	 pronoun 	 that 	 who, which, that
ὁ 	 pronoun 	 who 	 who, which, that
ἄγω 	 verb 	 bring 	 To lead, fetch, bring along , take with
ἄγω 	 verb 	 lead 	 To lead, fetch, bring along , take with
ἄγω 	 verb 	 fetch 	 To lead, fetch, bring along , take with
ἄγω 	 verb 	 captives 	 To carry off as captives or booty
ἄγω 	 verb 	 carry off 	 To carry off as captives or booty
ἄγω 	 verb 	 booty 	 To carry off as captives or booty
ἄγω 	 verb 	 command 	 To guide, command ; to march in war
ἄγω 	 verb 	 war 	 To guide, command ; to march in war
ἄγω 	 verb 	 guide 	 To guide, command ; to march in war
ἄγω 	 verb 	 march 	 To guide, command ; to march in war
ἄγω 	 verb 	 draw out 	 To draw out
ἄγω 	 verb 	 describe 	 To draw  or describe
ἄγω 	 verb 	 draw 	 To draw  or describe
ἄγω 	 verb 	 celebrate 	 To hold ; to celebrate or observe
ἄγω 	 verb 	 observe 	 To hold ; to celebrate or observe
ἄγω 	 verb 	 hold 	 To hold ; to celebrate or observe
ἄγω 	 verb 	 weight 	 To weigh down a scale by a certain amount, to have a certain weight
ἄγω 	 verb 	 weigh 	 To weigh down a scale by a certain amount, to have a certain weight
ἄγω 	 verb 	 scale 	 To weigh down a scale by a certain amount, to have a certain weight
ἄγω 	 verb 	 take 	 I take for myself
ἀλλά 	 conjunction 	 but 	 but
βασίλεια 	 noun 	 queen 	 princess, queen, noble woman
βασίλεια 	 noun 	 noble 	 princess, queen, noble woman
βασίλεια 	 noun 	 princess 	 princess, queen, noble woman
γῆ 	 noun 	 earth 	 land, earth
γῆ 	 noun 	 land 	 land, earth
γῆ 	 noun 	 country 	 country
γῆ 	 noun 	 soil 	 soil
εἰ 	 conjunction 	 if 	 if
κόρη 	 noun 	 woman 	 girl, young woman, maiden
κόρη 	 noun 	 maiden 	 girl, young woman, maiden
κόρη 	 noun 	 girl 	 girl, young woman, maiden
κόρη 	 noun 	 wife 	 bride, young wife
κόρη 	 noun 	 bride 	 bride, young wife
κόρη 	 noun 	 puppet 	 doll, puppet
κόρη 	 noun 	 doll 	 doll, puppet
κόρη 	 noun 	 pupil 	 pupil
κόρη 	 noun 	 sleeve 	 A long sleeve reaching over the hand
κόρη 	 noun 	 drachma 	 The Attic drachma
κόρη 	 noun 	 Attic 	 The Attic drachma
ἄγγελος 	 noun 	 messenger 	 a messenger
ἄγγελος 	 noun 	 announce 	 one that announces
ἄγγελος 	 noun 	 heavenly 	 angel, heavenly spirit
ἄγγελος 	 noun 	 angel 	 angel, heavenly spirit
ἄγγελος 	 noun 	 spirit 	 angel, heavenly spirit
ἄνθρωπος 	 noun 	 person 	 human being, person ; man, woman
ἄνθρωπος 	 noun 	 human being 	 human being, person ; man, woman
ἄνθρωπος 	 noun 	 humanity 	 man, humanity
ἄνθρωπος 	 noun 	 mankind 	 all human beings, mankind
ἄνθρωπος 	 noun 	 slave 	 female slave
κυριακή 	 noun 	 Lord's Day 	 Sunday, Lord's Day
κυριακή 	 noun 	 Sunday 	 Sunday, Lord's Day
φόβος 	 noun 	 terror 	 fear, terror, alarm, fright, panic
φόβος 	 noun 	 fright 	 fear, terror, alarm, fright, panic
φόβος 	 noun 	 alarm 	 fear, terror, alarm, fright, panic
φόβος 	 noun 	 fear 	 fear, terror, alarm, fright, panic
φόβος 	 noun 	 panic 	 fear, terror, alarm, fright, panic
φόβος 	 noun 	 retreat 	 the act of fleeing: flight, retreat
φόβος 	 noun 	 flight 	 the act of fleeing: flight, retreat
φόβος 	 noun 	 awe 	 awe, reverence
φόβος 	 noun 	 reverence 	 awe, reverence
φόβος 	 noun 	 terror 	 that which causes fear: terror
ἄστρον 	 noun 	 fixed star 	 fixed star
ἄστρον 	 noun 	 planet 	 planet
ἄστρον 	 noun 	 sun 	 the sun
ἄστρον 	 noun 	 constellation 	 constellation
ἄλφα 	 noun 	 Ancient Greek 	 alpha, the name for the first letter ,  of the Ancient Greek alphabet
ἄλφα 	 noun 	 alpha 	 alpha, the name for the first letter ,  of the Ancient Greek alphabet
ι 	 numeral 	 w:Greek numerals 	 The number one in Greek numerals resp. Attic numerals
ι 	 numeral 	 w:Attic numerals 	 The number one in Greek numerals resp. Attic numerals
πνεῦμα 	 noun 	 air 	 air
πνεῦμα 	 noun 	 wind 	 wind
πνεῦμα 	 noun 	 breath 	 breath
πνεῦμα 	 noun 	 breathing 	 breathing
πνεῦμα 	 noun 	 life 	 life
πνεῦμα 	 noun 	 spirit 	 spirit, soul
πνεῦμα 	 noun 	 soul 	 spirit, soul
πνεῦμα 	 noun 	 angel 	 spiritual being: spirit, angel
πνεῦμα 	 noun 	 spirit 	 spiritual being: spirit, angel
πνεῦμα 	 noun 	 genius 	 inspiration , genius
πνεῦμα 	 noun 	 inspiration 	 inspiration , genius
κύριος 	 adjective 	 ruling 	 ruling, governing, having power
κύριος 	 adjective 	 governing 	 ruling, governing, having power
κύριος 	 adjective 	 authorized 	 decisive, critical, authorized, valid, legal, entitled
κύριος 	 adjective 	 valid 	 decisive, critical, authorized, valid, legal, entitled
κύριος 	 adjective 	 critical 	 decisive, critical, authorized, valid, legal, entitled
κύριος 	 adjective 	 legal 	 decisive, critical, authorized, valid, legal, entitled
κύριος 	 adjective 	 decisive 	 decisive, critical, authorized, valid, legal, entitled
κύριος 	 adjective 	 entitled 	 decisive, critical, authorized, valid, legal, entitled
κύριος 	 adjective 	 set 	 fixed, set, appointed
κύριος 	 adjective 	 appointed 	 fixed, set, appointed
κύριος 	 adjective 	 fixed 	 fixed, set, appointed
κύριος 	 adjective 	 literal 	 literal
κύριος 	 adjective 	 major 	 main, major, primary, principal
κύριος 	 adjective 	 main 	 main, major, primary, principal
κύριος 	 adjective 	 primary 	 main, major, primary, principal
κύριος 	 adjective 	 principal 	 main, major, primary, principal
κύριος 	 noun 	 owner 	 lord, master, guardian, ruler, owner
κύριος 	 noun 	 ruler 	 lord, master, guardian, ruler, owner
κύριος 	 noun 	 lord 	 lord, master, guardian, ruler, owner
κύριος 	 noun 	 guardian 	 lord, master, guardian, ruler, owner
κύριος 	 noun 	 master 	 lord, master, guardian, ruler, owner
κύριος 	 noun 	 sir 	 sir
κύριος 	 noun 	 Septuagint 	 Greek translation of the Tetragrammaton in the Septuagint
κύριος 	 noun 	 Tetragrammaton 	 Greek translation of the Tetragrammaton in the Septuagint
θεός 	 adjective 	 divine 	 divine
θεός 	 noun 	 God 	 a deity, a god, God
θεός 	 noun 	 god 	 a deity, a god, God
θεός 	 noun 	 deity 	 a deity, a god, God
θεός 	 noun 	 title 	 title of a ruler
θεός 	 noun 	 ruler 	 title of a ruler
θεός 	 noun 	 goddess 	 sometimes feminine : a goddess
ἅγιος 	 adjective 	 devoted 	 devoted to the gods
ἅγιος 	 adjective 	 god 	 devoted to the gods
ἅγιος 	 adjective 	 sacred 	 of things: sacred, holy
ἅγιος 	 adjective 	 holy 	 of things: sacred, holy
ἅγιος 	 adjective 	 pious 	 of people: holy, pious, pure
ἅγιος 	 adjective 	 holy 	 of people: holy, pious, pure
ἅγιος 	 adjective 	 pure 	 of people: holy, pious, pure
ἅγιος 	 adjective 	 accursed 	 accursed
ἅγιος 	 noun 	 Christian 	 A Christian
ἅγιος 	 noun 	 saint 	 a saint
θάνατος 	 noun 	 death 	 death
θάνατος 	 noun 	 corpse 	 corpse
ἔθνος 	 noun 	 family 	 group of people: tribe, family
ἔθνος 	 noun 	 tribe 	 group of people: tribe, family
ἔθνος 	 noun 	 flock 	 group of animals: flock, herd
ἔθνος 	 noun 	 herd 	 group of animals: flock, herd
ἔθνος 	 noun 	 nation 	 country, nation
ἔθνος 	 noun 	 country 	 country, nation
ἔθνος 	 noun 	 gentiles 	 gentiles, heathen
ἔθνος 	 noun 	 heathen 	 gentiles, heathen
ἔθνος 	 noun 	 class 	 class, caste
ἔθνος 	 noun 	 caste 	 class, caste
σοφία 	 noun 	 prudence 	 skill related to everyday life: sound judgment, prudence
σοφία 	 noun 	 wisdom 	 knowledge of a higher kind: learning, wisdom
σοφία 	 noun 	 learning 	 knowledge of a higher kind: learning, wisdom
λόγος 	 noun 	 word 	 That which is said: word, sentence, speech, story, debate, utterance
λόγος 	 noun 	 debate 	 That which is said: word, sentence, speech, story, debate, utterance
λόγος 	 noun 	 sentence 	 That which is said: word, sentence, speech, story, debate, utterance
λόγος 	 noun 	 utterance 	 That which is said: word, sentence, speech, story, debate, utterance
λόγος 	 noun 	 speech 	 That which is said: word, sentence, speech, story, debate, utterance
λόγος 	 noun 	 story 	 That which is said: word, sentence, speech, story, debate, utterance
λόγος 	 noun 	 reason 	 That which is thought: reason, consideration, computation, reckoning
λόγος 	 noun 	 consideration 	 That which is thought: reason, consideration, computation, reckoning
λόγος 	 noun 	 reckoning 	 That which is thought: reason, consideration, computation, reckoning
λόγος 	 noun 	 computation 	 That which is thought: reason, consideration, computation, reckoning
λόγος 	 noun 	 explanation 	 An account, explanation, or narrative
λόγος 	 noun 	 narrative 	 An account, explanation, or narrative
λόγος 	 noun 	 account 	 An account, explanation, or narrative
λόγος 	 noun 	 New Testament 	 The word or wisdom of God, identified with Jesus in the New Testament, by whom the world was created; God the Son
λόγος 	 noun 	 God the Son 	 The word or wisdom of God, identified with Jesus in the New Testament, by whom the world was created; God the Son
λόγος 	 noun 	 Jesus 	 The word or wisdom of God, identified with Jesus in the New Testament, by whom the world was created; God the Son
λόγος 	 noun 	 wisdom 	 The word or wisdom of God, identified with Jesus in the New Testament, by whom the world was created; God the Son
λόγος 	 noun 	 God 	 The word or wisdom of God, identified with Jesus in the New Testament, by whom the world was created; God the Son
λόγος 	 noun 	 w:Gospel of John 	 * Gospel of John, 1:1
ἀγάπη 	 noun 	 esteem 	 love, affection, esteem
ἀγάπη 	 noun 	 affection 	 love, affection, esteem
ἀγάπη 	 noun 	 love 	 love, affection, esteem
ἰατρός 	 noun 	 surgeon 	 physician, surgeon, medical doctor
ἰατρός 	 noun 	 physician 	 physician, surgeon, medical doctor
ἰατρός 	 noun 	 medical doctor 	 physician, surgeon, medical doctor
νέος 	 adjective 	 young 	 young
νέος 	 adjective 	 youthful 	 pertaining to young people youthful
νέος 	 adjective 	 new 	 new, fresh
νέος 	 adjective 	 fresh 	 new, fresh
νέος 	 adjective 	 unexpected 	 unexpected, strange, evil
νέος 	 adjective 	 strange 	 unexpected, strange, evil
νέος 	 adjective 	 evil 	 unexpected, strange, evil
ὀλίγος 	 adjective 	 few 	 Of small amount: few, little
ὀλίγος 	 adjective 	 little 	 Of small amount: few, little
ὀλίγος 	 adjective 	 small 	 Of small size: little, small
ὀλίγος 	 adjective 	 little 	 Of small size: little, small
ὀλίγος 	 adjective 	 slight 	 Of small degree: slight
ἡδονή 	 noun 	 delight 	 delight, pleasure, enjoyment
ἡδονή 	 noun 	 pleasure 	 delight, pleasure, enjoyment
ἡδονή 	 noun 	 enjoyment 	 delight, pleasure, enjoyment
ἡδονή 	 noun 	 taste 	 taste, smell, flavor
ἡδονή 	 noun 	 flavor 	 taste, smell, flavor
ἡδονή 	 noun 	 smell 	 taste, smell, flavor
ἡδονή 	 noun 	 desires 	 desires
καρδία 	 noun 	 heart 	 heart
καρδία 	 noun 	 mind 	 mind
καρδία 	 noun 	 stomach 	 stomach
καρδία 	 noun 	 vessel 	 any hollow vessel
καρδία 	 noun 	 hollow 	 any hollow vessel
καρδία 	 noun 	 depth 	 center or inner part: pith , depth
καρδία 	 noun 	 pith 	 center or inner part: pith , depth
πλῆθος 	 noun 	 majority 	 majority, main portion
πλῆθος 	 noun 	 throng 	 specifically: a large group of people: crowd, multitude, throng, mob
πλῆθος 	 noun 	 crowd 	 specifically: a large group of people: crowd, multitude, throng, mob
πλῆθος 	 noun 	 mob 	 specifically: a large group of people: crowd, multitude, throng, mob
πλῆθος 	 noun 	 multitude 	 specifically: a large group of people: crowd, multitude, throng, mob
πλῆθος 	 noun 	 people 	 populace, people, general public
πλῆθος 	 noun 	 populace 	 populace, people, general public
πλῆθος 	 noun 	 size 	 magnitude, size, extent
πλῆθος 	 noun 	 extent 	 magnitude, size, extent
πλῆθος 	 noun 	 magnitude 	 magnitude, size, extent
πλῆθος 	 noun 	 amount 	 amount, quantity
πλῆθος 	 noun 	 quantity 	 amount, quantity
πλῆθος 	 noun 	 length 	 length
τρεῖς 	 numeral 	 three 	 cardinal numbers three
ἀρχή 	 noun 	 origin 	 beginning, origin
ἀρχή 	 noun 	 beginning 	 beginning, origin
ἀρχή 	 noun 	 sovereignty 	 sovereignty, dominion, authority
ἀρχή 	 noun 	 dominion 	 sovereignty, dominion, authority
ἀρχή 	 noun 	 authority 	 sovereignty, dominion, authority
ἀρχή 	 noun 	 stick 	 the end of a rope or stick, the corner of a sheet
ἀρχή 	 noun 	 corner 	 the end of a rope or stick, the corner of a sheet
ἀρχή 	 noun 	 sheet 	 the end of a rope or stick, the corner of a sheet
ἀρχή 	 noun 	 end 	 the end of a rope or stick, the corner of a sheet
ἀρχή 	 noun 	 rope 	 the end of a rope or stick, the corner of a sheet
ἑπτά 	 numeral 	 seven 	 cardinal numbers seven
ἐκκλησία 	 noun 	 assembly 	 assembly
ἐκκλησία 	 noun 	 congregation 	 congregation, church
ἐκκλησία 	 noun 	 church 	 congregation, church
ἐρυθρός 	 adjective 	 red 	 reddish, red
ἐρυθρός 	 adjective 	 reddish 	 reddish, red
καιρός 	 noun 	 fitness 	 measure; proportion; fitness
καιρός 	 noun 	 proportion 	 measure; proportion; fitness
καιρός 	 noun 	 measure 	 measure; proportion; fitness
καιρός 	 noun 	 period 	 period ; season; time
καιρός 	 noun 	 season 	 period ; season; time
καιρός 	 noun 	 time 	 period ; season; time
καιρός 	 noun 	 prime 	 proper time, opportunity; prime, the right moment, the fatal spot
καιρός 	 noun 	 opportunity 	 proper time, opportunity; prime, the right moment, the fatal spot
καιρός 	 noun 	 profit 	 advantage, profit
καιρός 	 noun 	 advantage 	 advantage, profit
ἀγαπάω 	 verb 	 greet 	 to greet affectionately
ἀγαπάω 	 verb 	 affectionately 	 to greet affectionately
ἀγαπάω 	 verb 	 show 	 to show affection for the dead
ἀγαπάω 	 verb 	 dead 	 to show affection for the dead
ἀγαπάω 	 verb 	 treat 	 to treat with affection, be fond of, love
ἀγαπάω 	 verb 	 affection 	 to treat with affection, be fond of, love
ἀγαπάω 	 verb 	 fond 	 to treat with affection, be fond of, love
ἀγαπάω 	 verb 	 love 	 to treat with affection, be fond of, love
ἀγαπάω 	 verb 	 beloved 	 to be beloved
ἀγαπάω 	 verb 	 pet 	 to caress, pet
ἀγαπάω 	 verb 	 caress 	 to caress, pet
ἀγαπάω 	 verb 	 pleasure 	 I am pleased with, take pleasure in, like
ἀγαπάω 	 verb 	 pleased 	 I am pleased with, take pleasure in, like
ἀγαπάω 	 verb 	 like 	 I am pleased with, take pleasure in, like
ἀγαπάω 	 verb 	 agape 	 to show brotherly love or agape to
ἀγαπάω 	 verb 	 brotherly love 	 to show brotherly love or agape to
ὀφθαλμός 	 noun 	 eye 	 eye
ὀφθαλμός 	 noun 	 sight 	 sight
ὀφθαλμός 	 noun 	 understanding 	 understanding
ὀφθαλμός 	 noun 	 bud 	 the bud of a plant
πεντηκοστή 	 noun 	 Shavuot 	 Pentecost - From the feast called Shavuot, which means "Festival of Weeks" and is the "fiftieth day" after Passover
πεντηκοστή 	 noun 	 Pentecost 	 Pentecost - From the feast called Shavuot, which means "Festival of Weeks" and is the "fiftieth day" after Passover
πεντηκοστή 	 noun 	 Passover 	 Pentecost - From the feast called Shavuot, which means "Festival of Weeks" and is the "fiftieth day" after Passover
ἰουδαία 	 noun 	 Jewess 	 Jewess
ψυχή 	 noun 	 animal 	 The animating principle of a human or animal body, vital spirit, soul, life
ψυχή 	 noun 	 soul 	 The animating principle of a human or animal body, vital spirit, soul, life
ψυχή 	 noun 	 principle 	 The animating principle of a human or animal body, vital spirit, soul, life
ψυχή 	 noun 	 vital 	 The animating principle of a human or animal body, vital spirit, soul, life
ψυχή 	 noun 	 animating 	 The animating principle of a human or animal body, vital spirit, soul, life
ψυχή 	 noun 	 body 	 The animating principle of a human or animal body, vital spirit, soul, life
ψυχή 	 noun 	 human 	 The animating principle of a human or animal body, vital spirit, soul, life
ψυχή 	 noun 	 spirit 	 The animating principle of a human or animal body, vital spirit, soul, life
ψυχή 	 noun 	 life 	 The animating principle of a human or animal body, vital spirit, soul, life
ψυχή 	 noun 	 blood 	 Life-breath, life-blood
ψυχή 	 noun 	 breath 	 Life-breath, life-blood
ψυχή 	 noun 	 source 	 Animating principle in primary substances, the source of life and consciousness
ψυχή 	 noun 	 consciousness 	 Animating principle in primary substances, the source of life and consciousness
ψυχή 	 noun 	 substance 	 Animating principle in primary substances, the source of life and consciousness
ψυχή 	 noun 	 primary 	 Animating principle in primary substances, the source of life and consciousness
ψυχή 	 noun 	 possession 	 Animate existence, viewed as a possession, one’s life
ψυχή 	 noun 	 one’s 	 Animate existence, viewed as a possession, one’s life
ψυχή 	 noun 	 animate 	 Animate existence, viewed as a possession, one’s life
ψυχή 	 noun 	 existence 	 Animate existence, viewed as a possession, one’s life
ψυχή 	 noun 	 death 	 The spirit or soul thought of as distinct from the body and leaving it at death
ψυχή 	 noun 	 body 	 The spirit or soul thought of as distinct from the body and leaving it at death
ψυχή 	 noun 	 leaving 	 The spirit or soul thought of as distinct from the body and leaving it at death
ψυχή 	 noun 	 distinct 	 The spirit or soul thought of as distinct from the body and leaving it at death
ψυχή 	 noun 	 disembodied 	 A disembodied spirit, a shade or ghost
ψυχή 	 noun 	 ghost 	 A disembodied spirit, a shade or ghost
ψυχή 	 noun 	 shade 	 A disembodied spirit, a shade or ghost
ψυχή 	 noun 	 emotion 	 Spirit , conscious self, personality as centre of emotions, desires and affections, heart
ψυχή 	 noun 	 desire 	 Spirit , conscious self, personality as centre of emotions, desires and affections, heart
ψυχή 	 noun 	 personality 	 Spirit , conscious self, personality as centre of emotions, desires and affections, heart
ψυχή 	 noun 	 conscious 	 Spirit , conscious self, personality as centre of emotions, desires and affections, heart
ψυχή 	 noun 	 affection 	 Spirit , conscious self, personality as centre of emotions, desires and affections, heart
ψυχή 	 noun 	 self 	 Spirit , conscious self, personality as centre of emotions, desires and affections, heart
ψυχή 	 noun 	 heart 	 Spirit , conscious self, personality as centre of emotions, desires and affections, heart
ψυχή 	 noun 	 centre 	 Spirit , conscious self, personality as centre of emotions, desires and affections, heart
ψυχή 	 noun 	 movement 	 The spirit of the universe, the immaterial principle of movement and life
ψυχή 	 noun 	 universe 	 The spirit of the universe, the immaterial principle of movement and life
ψυχή 	 noun 	 immaterial 	 The spirit of the universe, the immaterial principle of movement and life
ψυχή 	 noun 	 mind 	 The mind ,  reason
ψυχή 	 noun 	 reason 	 The mind ,  reason
ψυχή 	 noun 	 butterfly 	 Butterfly
ὅλος 	 adjective 	 complete 	 whole, entire, perfect, complete
ὅλος 	 adjective 	 whole 	 whole, entire, perfect, complete
ὅλος 	 adjective 	 perfect 	 whole, entire, perfect, complete
ὅλος 	 adjective 	 entire 	 whole, entire, perfect, complete
ὅλος 	 adjective 	 utter 	 absolute, utter
ὅλος 	 adjective 	 absolute 	 absolute, utter
ὅλος 	 adjective 	 on the whole 	 generally, on the whole
ὅλος 	 adjective 	 generally 	 generally, on the whole
ὅλος 	 adjective 	 actually 	 actually
ἀπόστολος 	 noun 	 ambassador 	 messenger, envoy, ambassador
ἀπόστολος 	 noun 	 envoy 	 messenger, envoy, ambassador
ἀπόστολος 	 noun 	 messenger 	 messenger, envoy, ambassador
ἀπόστολος 	 noun 	 apostle 	 apostle
ἀσθένεια 	 noun 	 weakness 	 weakness
ἀσθένεια 	 noun 	 sickness 	 sickness
ἀσθένεια 	 noun 	 moral 	 moral weakness, depravity
ἀσθένεια 	 noun 	 depravity 	 moral weakness, depravity
μάχαιρα 	 noun 	 dirk 	 large knife, short sword, dirk, dagger
μάχαιρα 	 noun 	 short sword 	 large knife, short sword, dirk, dagger
μάχαιρα 	 noun 	 dagger 	 large knife, short sword, dirk, dagger
μάχαιρα 	 noun 	 knife 	 large knife, short sword, dirk, dagger
ἕλλην 	 noun 	 Greek 	 Greek, one who is from Greece or speaks Greek
ἕλλην 	 noun 	 Greece 	 Greek, one who is from Greece or speaks Greek
ἕλλην 	 noun 	 gentile 	 Often used in Jewish and Christian literature as referring to any non-Jew: Gentile / gentile
ἕλλην 	 noun 	 Gentile 	 Often used in Jewish and Christian literature as referring to any non-Jew: Gentile / gentile
ἕλλην 	 noun 	 pagan 	 pagan
βάρβαρος 	 adjective 	 Greek 	 non-Greek-speaking, foreign
βάρβαρος 	 adjective 	 foreign 	 non-Greek-speaking, foreign
βάρβαρος 	 adjective 	 Persians 	 Medes or Persians
βάρβαρος 	 adjective 	 Medes 	 Medes or Persians
βάρβαρος 	 adjective 	 barbaric 	 barbaric, brutal, rude
βάρβαρος 	 adjective 	 brutal 	 barbaric, brutal, rude
βάρβαρος 	 adjective 	 rude 	 barbaric, brutal, rude
ἡμέρα 	 noun 	 day 	 day
ζωή 	 noun 	 living 	 a living, property
ζωή 	 noun 	 property 	 a living, property
ζωή 	 noun 	 life 	 life
ἰουδαῖος 	 noun 	 Judean 	 Jew or Judean
ἰουδαῖος 	 noun 	 Jew 	 Jew or Judean
ἀγαθός 	 adjective 	 noble 	 good, brave, noble, moral
ἀγαθός 	 adjective 	 good 	 good, brave, noble, moral
ἀγαθός 	 adjective 	 brave 	 good, brave, noble, moral
ἀγαθός 	 adjective 	 moral 	 good, brave, noble, moral
ἀγαθός 	 adjective 	 lucky 	 fortunate, lucky
ἀγαθός 	 adjective 	 fortunate 	 fortunate, lucky
ἀγαθός 	 adjective 	 useful 	 useful
νόμος 	 noun 	 usage 	 usage, custom
νόμος 	 noun 	 custom 	 usage, custom
νόμος 	 noun 	 ordinance 	 law, ordinance
νόμος 	 noun 	 law 	 law, ordinance
νόμος 	 noun 	 strain 	 melody, strain
νόμος 	 noun 	 melody 	 melody, strain
νόμος 	 noun 	 song 	 ancient type of song
νόμος 	 noun 	 coin 	 kind of coin
νόμος 	 noun 	 masonry 	 course of masonry
νόμος 	 noun 	 course 	 course of masonry
ἀλήθεια 	 noun 	 lie 	 not a lie
ἀλήθεια 	 noun 	 truth 	 truth
ἀλήθεια 	 noun 	 Thummim 	 the Thummim
σάρξ 	 noun 	 creature 	 The material which covers the bones of a creature; flesh
σάρξ 	 noun 	 material 	 The material which covers the bones of a creature; flesh
σάρξ 	 noun 	 flesh 	 The material which covers the bones of a creature; flesh
σάρξ 	 noun 	 cover 	 The material which covers the bones of a creature; flesh
σάρξ 	 noun 	 bone 	 The material which covers the bones of a creature; flesh
σάρξ 	 noun 	 body 	 body
σάρξ 	 noun 	 fruit 	 the edible flesh of a fruit
σάρξ 	 noun 	 edible 	 the edible flesh of a fruit
σάρξ 	 noun 	 immoral 	 The seat of animalistic, immoral desires and thoughts, such as lust
σάρξ 	 noun 	 desire 	 The seat of animalistic, immoral desires and thoughts, such as lust
σάρξ 	 noun 	 thought 	 The seat of animalistic, immoral desires and thoughts, such as lust
σάρξ 	 noun 	 lust 	 The seat of animalistic, immoral desires and thoughts, such as lust
σάρξ 	 noun 	 animalistic 	 The seat of animalistic, immoral desires and thoughts, such as lust
σάρξ 	 noun 	 order 	 The physical or natural order, which is opposed to the spiritual
σάρξ 	 noun 	 natural 	 The physical or natural order, which is opposed to the spiritual
σάρξ 	 noun 	 physical 	 The physical or natural order, which is opposed to the spiritual
σάρξ 	 noun 	 spiritual 	 The physical or natural order, which is opposed to the spiritual
ὕπνος 	 noun 	 slumber 	 sleep, slumber
ὕπνος 	 noun 	 sleep 	 sleep, slumber
ὕπνος 	 noun 	 death 	 death
πρωτοτόκος 	 adjective 	 firstborn 	 having her firstborn
οὐρανός 	 noun 	 sky 	 the vaulted sky, on which the stars were attached and the sun traveled: sky, heaven
οὐρανός 	 noun 	 vaulted 	 the vaulted sky, on which the stars were attached and the sun traveled: sky, heaven
οὐρανός 	 noun 	 heaven 	 the vaulted sky, on which the stars were attached and the sun traveled: sky, heaven
οὐρανός 	 noun 	 tent 	 anything shaped like the sky: vaulted ceiling, tent
οὐρανός 	 noun 	 vaulted 	 anything shaped like the sky: vaulted ceiling, tent
ἀμήν 	 adverb 	 truly 	 truly, certainly
ἀμήν 	 adverb 	 certainly 	 truly, certainly
ἀμήν 	 adverb 	 so be it 	 so be it
φαρισαῖος 	 noun 	 Pharisee 	 Pharisee, a member of an ancient religious sect of Judaism
ἀκούω 	 verb 	 hear 	 I hear means=something, means=someone
ἀκούω 	 verb 	 learn 	 I hear about, learn
ἀκούω 	 verb 	 listen 	 I listen, pay attention to, heed
ἀκούω 	 verb 	 heed 	 I listen, pay attention to, heed
ἀκούω 	 verb 	 pay attention 	 I listen, pay attention to, heed
ἀκούω 	 verb 	 understand 	 I understand
ἀκούω 	 verb 	 obey 	 I obey
