gratis 	 adverb 	 free 	 free, without charge
ass 	 noun 	 letter 	 an insured letter; assurerat
shit 	 interjection 	 wow 	 shit, wow, oh, oh my God, said when surprised or shocked
shit 	 interjection 	 oh my God 	 shit, wow, oh, oh my God, said when surprised or shocked
shit 	 interjection 	 oh 	 shit, wow, oh, oh my God, said when surprised or shocked
shit 	 interjection 	 English 	 shit, wow, oh, oh my God, said when surprised or shocked
hand 	 noun 	 card 	 A hand; the set of cards held by a player
hand 	 noun 	 player 	 A hand; the set of cards held by a player
hand 	 noun 	 set 	 A hand; the set of cards held by a player
hand 	 noun 	 English 	 A hand; the set of cards held by a player
prick 	 adverb 	 exactly 	 exactly, sharp, on the spot
prick 	 adverb 	 sharp 	 exactly, sharp, on the spot
prick 	 noun 	 spot 	 a dot, small spot
prick 	 noun 	 dot 	 a dot, small spot
prick 	 noun 	 remark 	 a remark, a stain
prick 	 noun 	 stain 	 a remark, a stain
prick 	 noun 	 guy 	 a guy, person; especially about a particularly nice or funny one
prick 	 noun 	 seamark 	 a floating seamark in the form of a painted pole, possibly with cones, lights and reflectors
el 	 noun 	 electric 	 electricity, electric current or power; elektricitet or elektrisk
el 	 noun 	 current 	 electricity, electric current or power; elektricitet or elektrisk
el 	 noun 	 electricity 	 electricity, electric current or power; elektricitet or elektrisk
el 	 noun 	 power 	 electricity, electric current or power; elektricitet or elektrisk
el 	 noun 	 w:sv:Håkan Winberg 	 * 1975, Håkan Winberg , speaking in the Riksdag on May 27
fall 	 noun 	 English 	 a fall the act of falling
fall 	 noun 	 bankruptcy 	 a fall, loss of greatness or wealth, a bankruptcy
fall 	 noun 	 waterfall 	 a slope, a waterfall, the height of a slope or waterfall
fall 	 noun 	 slope 	 a slope, a waterfall, the height of a slope or waterfall
fall 	 noun 	 case 	 a  case
lama 	 noun 	 llama 	 llama
yacht 	 noun 	 English 	 yacht Watercraft
myriad 	 noun 	 English 	 a myriad
arm 	 noun 	 body part 	 arm; the body part
arm 	 noun 	 extend 	 arm; something extending from a body
arm 	 noun 	 body 	 arm; something extending from a body
arm 	 adjective 	 pity 	 poor; to be pitied
arm 	 adjective 	 poor 	 poor; to be pitied
arm 	 adjective 	 possessions 	 poor; with no possessions or money
arm 	 adjective 	 poor 	 poor; with no possessions or money
arm 	 adjective 	 money 	 poor; with no possessions or money
art 	 noun 	 species 	 species
as 	 noun 	 carrion 	 Carrion, carcass
as 	 noun 	 carcass 	 Carrion, carcass
as 	 noun 	 contemptible 	 An inconsiderate or otherwise contemptible person
as 	 noun 	 inconsiderate 	 An inconsiderate or otherwise contemptible person
as 	 noun 	 Æsir 	 One of the Æsir, a Norse God
son 	 noun 	 male 	 son; someone's male child
son 	 noun 	 child 	 son; someone's male child
niece 	 noun 	 English 	 niece
hot 	 noun 	 threat 	 a threat
not 	 noun 	 note 	 note
not 	 noun 	 note 	 a short message; note
not 	 noun 	 seine 	 seine
finger 	 noun 	 English 	 a finger
men 	 conjunction 	 but 	 but; introducing a clause that contrasts with the preceding clause, sentence or common belief
men 	 conjunction 	 but 	 yet, but, however
men 	 conjunction 	 however 	 yet, but, however
men 	 conjunction 	 yet 	 yet, but, however
men 	 noun 	 handicap 	 a handicap, long-time remnant of a physical or mental injury, which affects a person negatively
men 	 noun 	 injury 	 a handicap, long-time remnant of a physical or mental injury, which affects a person negatively
astronaut 	 noun 	 English 	 an astronaut
experiment 	 noun 	 English 	 experiment
cyan 	 noun 	 chemical 	 Almost any chemical compound containing a cyanide group; especially if this compound is in gaseous state
cyan 	 noun 	 cyanide 	 Almost any chemical compound containing a cyanide group; especially if this compound is in gaseous state
cyan 	 noun 	 gaseous 	 Almost any chemical compound containing a cyanide group; especially if this compound is in gaseous state
cyan 	 noun 	 compound 	 Almost any chemical compound containing a cyanide group; especially if this compound is in gaseous state
homonym 	 noun 	 English 	 homonym
hut 	 noun 	 reason 	 decency, good manners, politeness, reason, common sense; only in a few expressions
hut 	 noun 	 decency 	 decency, good manners, politeness, reason, common sense; only in a few expressions
hut 	 noun 	 good manners 	 decency, good manners, politeness, reason, common sense; only in a few expressions
hut 	 noun 	 common sense 	 decency, good manners, politeness, reason, common sense; only in a few expressions
hut 	 noun 	 politeness 	 decency, good manners, politeness, reason, common sense; only in a few expressions
sill 	 noun 	 herring 	 a herring
boss 	 noun 	 supervisor 	 boss, supervisor; someone who oversees work
city 	 noun 	 inner city 	 inner city, the commercial centre of a medium-sized or larger city
city 	 noun 	 centre 	 inner city, the commercial centre of a medium-sized or larger city
civil 	 adjective 	 English 	 civil; having to do with people and organizations outside military or police, sometimes also outside of other team-based activities, such as a professional sports team
minister 	 noun 	 English 	 a minister
minister 	 noun 	 English 	 a minister
grape 	 noun 	 grapefruit 	 grapefruit
fascist 	 noun 	 English 	 fascist
om 	 conjunction 	 if 	 if
om 	 particle 	 again 	 specifies that a verb is done again, compare English "re-&quot
om 	 particle 	 re- 	 specifies that a verb is done again, compare English "re-&quot
egg 	 noun 	 edge 	 The sharp edge of a cutting tool
al 	 noun 	 alder 	 alder
del 	 noun 	 part 	 part of a whole; share
del 	 noun 	 share 	 part of a whole; share
adel 	 noun 	 aristocracy 	 nobility, aristocracy
adel 	 noun 	 nobility 	 nobility, aristocracy
ag 	 noun 	 Cladium 	 the genus Cladium
ag 	 noun 	 sedge 	 various sedges and rushes outside genus Cladium, e.g. genus Schoenus; bog rush in genus Juncus
ag 	 noun 	 Schoenus 	 various sedges and rushes outside genus Cladium, e.g. genus Schoenus; bog rush in genus Juncus
ag 	 noun 	 Juncus 	 various sedges and rushes outside genus Cladium, e.g. genus Schoenus; bog rush in genus Juncus
ag 	 noun 	 rush 	 various sedges and rushes outside genus Cladium, e.g. genus Schoenus; bog rush in genus Juncus
ag 	 noun 	 Cladium 	 various sedges and rushes outside genus Cladium, e.g. genus Schoenus; bog rush in genus Juncus
god 	 adjective 	 good 	 good , kind
god 	 adjective 	 kind 	 good , kind
god 	 adjective 	 fine 	 good , fine, useful
god 	 adjective 	 useful 	 good , fine, useful
bad 	 noun 	 bath 	 a bath, the act of bathing
kind 	 noun 	 cheek 	 cheek; a part of the face
bal 	 noun 	 bale 	 bale, bundle
bal 	 noun 	 bundle 	 bale, bundle
bal 	 noun 	 ball 	 Formal gathering for dance, ball
tamp 	 noun 	 rope 	 The end, or end piece, of a rope
ädel 	 adjective 	 noble 	 noble; honourable
ädel 	 adjective 	 honourable 	 noble; honourable
mc 	 noun 	 motorcycle 	 motorcycle; motorcykel
so 	 noun 	 sow 	 sow, female pig
so 	 noun 	 pig 	 sow, female pig
talk 	 noun 	 talc 	 talc
ben 	 noun 	 leg 	 leg; a body part
ben 	 noun 	 body part 	 leg; a body part
ben 	 noun 	 leg 	 leg; part of trousers which covers the legs
ben 	 noun 	 furniture 	 the part of a piece furniture on which it stands
ben 	 noun 	 endoskeleton 	 bone; any of the components of an endoskeleton
ben 	 noun 	 bone 	 bone; any of the components of an endoskeleton
ben 	 noun 	 bone 	 bone; the material of the endoskeleton
nv 	 noun 	 north-west 	 north-west; nordväst
nv 	 noun 	 sciences 	 sciences, in particular as a branch of education; naturvetenskap
ok 	 adverb 	 okay 	 OK, okay
ok 	 adverb 	 English 	 OK, okay
ok 	 adjective 	 okay 	 OK, okay
ok 	 adjective 	 English 	 OK, okay
ok 	 interjection 	 okay 	 OK, okay
ok 	 interjection 	 English 	 OK, okay
positron 	 noun 	 English 	 positron
vers 	 noun 	 poetry 	 verse, poetry, rhyme
vers 	 noun 	 verse 	 verse, poetry, rhyme
vers 	 noun 	 rhyme 	 verse, poetry, rhyme
vers 	 noun 	 poem 	 a poem
from 	 adjective 	 pious 	 pious; being religious in a quiet and serious way
from 	 adjective 	 charitable 	 charitable
graffiti 	 noun 	 English 	 graffiti; a form of vandalism involving painted text or images in public places
graffiti 	 noun 	 English 	 graffiti; any graffiti art produced as a result of that act of vandalism
slang 	 noun 	 pipe 	 hose, tube, flexible pipe
slang 	 noun 	 tube 	 hose, tube, flexible pipe
slang 	 noun 	 hose 	 hose, tube, flexible pipe
slang 	 noun 	 English 	 slang
he 	 verb 	 put 	 to put
leg 	 adjective 	 quack 	 certified, authorized; indicating an authorized medical doctor, not a quack. legitimerad
leg 	 adjective 	 authorized 	 certified, authorized; indicating an authorized medical doctor, not a quack. legitimerad
leg 	 adjective 	 certified 	 certified, authorized; indicating an authorized medical doctor, not a quack. legitimerad
leg 	 noun 	 ID card 	 ID card showing the owner's age; nocap=1
slug 	 adjective 	 cunning 	 cunning
lampa 	 noun 	 lamp 	 lamp
haj 	 noun 	 shark 	 shark
road 	 adjective 	 amused 	 amused, entertained
road 	 adjective 	 entertained 	 amused, entertained
sy 	 verb 	 sew 	 to sew
itu 	 adverb 	 apart 	 apart
itu 	 adverb 	 uti 	 uti
musik 	 noun 	 music 	 music
dua 	 verb 	 du 	 to choose to use the more informal word du as the second person, singular nominative pronoun to someone
tak 	 noun 	 roof 	 roof
tak 	 noun 	 ceiling 	 ceiling
rata 	 verb 	 reject 	 to reject
tiga 	 verb 	 nothing 	 to keep quiet, to say absolutely nothing
tiga 	 verb 	 keep quiet 	 to keep quiet, to say absolutely nothing
tiga 	 verb 	 say 	 to keep quiet, to say absolutely nothing
tiga 	 verb 	 shut up 	 to shut up
lam 	 adjective 	 lame 	 lame, unable to move any limbs
preposition 	 noun 	 English 	 a preposition
pin 	 adjective 	 embarrasing 	 embarrasing
pin 	 noun 	 pain 	 pain, torment
pin 	 noun 	 torment 	 pain, torment
pin 	 adverb 	 really 	 very, really, super-
pin 	 adverb 	 super- 	 very, really, super-
pin 	 adverb 	 very 	 very, really, super-
larva 	 verb 	 ridiculously 	 to behave flippantly, childishly or ridiculously; to tramp, to footle
larva 	 verb 	 childishly 	 to behave flippantly, childishly or ridiculously; to tramp, to footle
larva 	 verb 	 behave 	 to behave flippantly, childishly or ridiculously; to tramp, to footle
larva 	 verb 	 footle 	 to behave flippantly, childishly or ridiculously; to tramp, to footle
larva 	 verb 	 flippantly 	 to behave flippantly, childishly or ridiculously; to tramp, to footle
larva 	 verb 	 tramp 	 to behave flippantly, childishly or ridiculously; to tramp, to footle
darmstadtium 	 noun 	 English 	 darmstadtium
human 	 adjective 	 compassionate 	 humane, decent, compassionate
human 	 adjective 	 humane 	 humane, decent, compassionate
human 	 adjective 	 decent 	 humane, decent, compassionate
human 	 adjective 	 reasonable 	 reasonable
er 	 pronoun 	 you 	 you
er 	 pronoun 	 your 	 your, yours
er 	 pronoun 	 yours 	 your, yours
er 	 pronoun 	 yourselves 	 reflexive of ni; compare yourselves
er 	 pronoun 	 ni 	 reflexive of ni; compare yourselves
bred 	 adjective 	 width 	 broad, wide; having great width
bred 	 adjective 	 wide 	 broad, wide; having great width
bred 	 adjective 	 broad 	 broad, wide; having great width
dig 	 pronoun 	 you 	 you objective case, singular
dig 	 pronoun 	 du 	 reflexive case of du: compare yourself
dig 	 pronoun 	 yourself 	 reflexive case of du: compare yourself
driven 	 adjective 	 operated 	 driven, operated
driven 	 adjective 	 English 	 driven, operated
blond 	 adjective 	 English 	 blond; of light hair colour
blond 	 adjective 	 English 	 blond; of light complexion
fly 	 verb 	 flee 	 to flee, to run away, to escape
fly 	 verb 	 run away 	 to flee, to run away, to escape
fly 	 verb 	 escape 	 to flee, to run away, to escape
fly 	 verb 	 pass 	 to pass, to go by
fly 	 verb 	 go by 	 to pass, to go by
fly 	 verb 	 w:Sven-Ingvars 	 * 1965, Sven-Ingvars, Börja om från början
syntax 	 noun 	 grammar 	 a syntax, a  grammar
syntax 	 noun 	 English 	 a syntax, a  grammar
tundra 	 noun 	 English 	 a tundra
get 	 noun 	 goat 	 goat
given 	 adjective 	 English 	 given
given 	 adjective 	 go without saying 	 which goes without saying, which is obvious
given 	 adjective 	 obvious 	 which goes without saying, which is obvious
grind 	 noun 	 gate 	 A gate; door-like structure outside a building
grind 	 noun 	 logical 	 A gate, logical pathway
grind 	 noun 	 pathway 	 A gate, logical pathway
hit 	 adverb 	 here 	 here; to this place, hither
hit 	 adverb 	 this 	 here; to this place, hither
hit 	 adverb 	 hither 	 here; to this place, hither
led 	 adjective 	 bored 	 tired; bored
led 	 adjective 	 tired 	 tired; bored
led 	 noun 	 joint 	 joint; the part of a limb where it can bend; such as a knee or a wrist; phalanx
led 	 noun 	 knee 	 joint; the part of a limb where it can bend; such as a knee or a wrist; phalanx
led 	 noun 	 bend 	 joint; the part of a limb where it can bend; such as a knee or a wrist; phalanx
led 	 noun 	 phalanx 	 joint; the part of a limb where it can bend; such as a knee or a wrist; phalanx
led 	 noun 	 limb 	 joint; the part of a limb where it can bend; such as a knee or a wrist; phalanx
led 	 noun 	 wrist 	 joint; the part of a limb where it can bend; such as a knee or a wrist; phalanx
led 	 noun 	 queue 	 A queue; a row of people
led 	 noun 	 term 	 term
led 	 noun 	 stage 	 stage
led 	 noun 	 walk 	 track, route; along which one may walk; go by bike
led 	 noun 	 route 	 track, route; along which one may walk; go by bike
led 	 noun 	 bike 	 track, route; along which one may walk; go by bike
led 	 noun 	 track 	 track, route; along which one may walk; go by bike
lie 	 noun 	 scythe 	 scythe; an instrument for mowing grass, grain, or the like
lit 	 noun 	 trust 	 trust
make 	 noun 	 husband 	 a spouse, a husband, a married man
make 	 noun 	 man 	 a spouse, a husband, a married man
make 	 noun 	 spouse 	 a spouse, a husband, a married man
back 	 noun 	 crate 	 crate; storage of bottles
back 	 noun 	 bottle 	 crate; storage of bottles
back 	 noun 	 English 	 back; position behind most players on the team
back 	 noun 	 reverse 	 reverse; car gear
bog 	 noun 	 shoulder 	 shoulder
bog 	 noun 	 bow 	 bow
mal 	 noun 	 moth 	 moth
mal 	 noun 	 wels catfish 	 wels catfish
hår 	 noun 	 hair 	 hair
pommes frites 	 noun 	 chips 	 french fries ; chips
pommes frites 	 noun 	 french fries 	 french fries ; chips
central 	 adjective 	 centralized 	 central, centralized, situated at the centre
central 	 adjective 	 English 	 central, centralized, situated at the centre
central 	 adjective 	 important 	 central, important
central 	 noun 	 centre 	 a central, a centre, a central station, a junction, a connection point, an electrical switchboard
central 	 noun 	 switchboard 	 a central, a centre, a central station, a junction, a connection point, an electrical switchboard
central 	 noun 	 English 	 a central, a centre, a central station, a junction, a connection point, an electrical switchboard
ideal 	 noun 	 English 	 ideal; perfect standard
ideal 	 noun 	 ring 	 ideal; special subsets of a ring
ideal 	 noun 	 English 	 ideal; special subsets of a ring
hamstring 	 noun 	 hoarding 	 hoarding, the act of gathering or hoarding consumables in anticipation of a shortage
bra 	 adjective 	 good 	 good
bra 	 adverb 	 well 	 well
sin 	 pronoun 	 its 	 his , her , its , their . Reflexive possessive third person pronoun
sin 	 pronoun 	 her 	 his , her , its , their . Reflexive possessive third person pronoun
sin 	 pronoun 	 their 	 his , her , its , their . Reflexive possessive third person pronoun
sin 	 pronoun 	 his 	 his , her , its , their . Reflexive possessive third person pronoun
bag 	 noun 	 duffel bag 	 A kind of large bag; a duffel bag
basket 	 noun 	 basketball 	 basketball
butter 	 adjective 	 grumpy 	 grumpy
bridge 	 noun 	 Etymology_2 	 bridge
redo 	 adjective 	 prepared 	 ready; prepared to face whatever is coming one's way
redo 	 adjective 	 ready 	 ready; prepared to face whatever is coming one's way
ring 	 noun 	 circular 	 ring; a circular piece of material
sent 	 adverb 	 late 	 late
set 	 noun 	 English 	 a set
shot 	 noun 	 English 	 shot; measure of alcohol
show 	 noun 	 entertainment 	 show; a play, dance, or other entertainment
show 	 noun 	 play 	 show; a play, dance, or other entertainment
show 	 noun 	 dance 	 show; a play, dance, or other entertainment
show 	 noun 	 English 	 show; a play, dance, or other entertainment
slit 	 noun 	 toil 	 toil, labour
slit 	 noun 	 labour 	 toil, labour
split 	 noun 	 discord 	 discord, strife, dissension
split 	 noun 	 dissension 	 discord, strife, dissension
split 	 noun 	 strife 	 discord, strife, dissension
split 	 noun 	 English 	 a split
split 	 noun 	 side split 	 a side split, a straddle split
split 	 noun 	 straddle split 	 a side split, a straddle split
stick 	 noun 	 sting 	 a sting; a bite from an insect
stick 	 noun 	 trick 	 a trick
stank 	 noun 	 stink 	 stink, stench
stank 	 noun 	 stench 	 stink, stench
stank 	 noun 	 w:Ludvig Nordström 	 * 1938, Ludvig Nordström
string 	 noun 	 thong 	 G-string, thong
string 	 noun 	 G-string 	 G-string, thong
torn 	 noun 	 tower 	 tower
torn 	 noun 	 rook 	 rook
torn 	 noun 	 thorn 	 thorn
era 	 pronoun 	 your 	 your, yours
era 	 pronoun 	 yours 	 your, yours
era 	 pronoun 	 you 	 you
charm 	 noun 	 English 	 charm; the ability to persuade, delight, or arouse admiration
bi 	 noun 	 bee 	 bee
bi 	 adjective 	 bisexual 	 bisexual
bi 	 adverb 	 by 	 by
sot 	 noun 	 soot 	 soot
sot 	 noun 	 disease 	 disease, sickness
sot 	 noun 	 sickness 	 disease, sickness
bitter 	 adjective 	 acrid 	 bitter; having an acrid taste
bitter 	 adjective 	 hateful 	 bitter; hateful
bitter 	 adjective 	 resentful 	 bitter; resentful
by 	 noun 	 village 	 village
