SortOrder,Egyptian,Transliteration,Translation,SignCodes,GroupWritingScore,Error
39,𓄿𓂝𓂝𓏲𓁻,ꜣꜥꜥ,foreigner,G1-D36-D36-Z7-D6,0,0
40,𓄿𓂝𓂝𓌙𓄑𓀁,ꜣꜥꜥ,foreigner,G1-D36-D36-T14-F18-A2,0,0
41,𓄿𓂝𓂝𓄑𓀁𓀀,ꜣꜥꜥ,foreigner,G1-D36-D36-F18-A2-A1,0,0
42,𓄿𓂝𓂝𓏯𓏯𓏯𓀁𓀀,ꜣꜥꜥ,foreigner,G1-D36-D36-Z5-Z5-Z5-A2-A1,0,0
43,𓄿𓂝𓂝𓆮,ꜣꜥꜥ,Aaa tree,G1-D36-D36-M1A,0,0
44,𓄿𓂝𓂝𓈖𓏭𓄛𓅆,ꜣꜥꜥn,baboon,G1-D36-D36-N35-Z4-F27-G7,0,0
45,𓄿𓂝𓂝𓈖𓅱𓄛𓀭,ꜣꜥꜥn,baboon,G1-D36-D36-N35-G43-F27-A40,0,0
46,𓄿𓂝𓂝𓈖𓏭𓄛𓏫,ꜣꜥꜥn,baboon,G1-D36-D36-N35-Z4-F27-Z3A,0,0
47,𓄿𓂝𓂝𓏏𓏭𓇯,ꜣꜥꜥt,to fly aloft,G1-D36-D36-X1-Z4-N1,0,0
48,𓄿𓂝𓂝𓅱𓏏𓏋,ꜣꜥꜥwt,"jar, container",G1-D36-D36-G43-X1-W23,0,0
49,𓄿𓂝𓂝𓏋𓏫,ꜣꜥꜥt,"jar, container",G1-D36-D36-W23-Z3A,0,0
50,𓄿𓂝𓅱𓄛,ꜣꜥw,container,G1-D36-G43-F27,0,0
52,𓄿𓂝𓅱𓉬,ꜣꜥw,container (for papyri),G1-D36-G43-O18,0,0
53,𓄿𓂝𓂝𓅱𓂡,ꜣꜥw,constructing  (a boat),G1-D36-D36-G43-D40,0,0
54,𓄿𓂝𓃀𓏏𓅪,ꜣꜥbt,oppression,G1-D36-D58-X1-G37,0,0
55,𓄿𓂝𓃀𓏏𓄐𓅪𓏥,ꜣꜥbt,oppression,G1-D36-D58-X1-F17-G37-Z2,0,0
56,𓄫𓅱𓏛,ꜣw,"long (of space, time)",F40-G43-Y1V,0,0
57,𓄫𓏛,ꜣw,"long (of space, time)",F40-Y1,0,0
58,𓄫𓅱,ꜣw,"long, length (of space, time)",F40-G43,0,0
59,𓄫𓅱𓂢,ꜣw,length (of space),F40-G43-D41,0,0
60,𓄫𓅱𓏛𓏥,ꜣw,length (of space),F40-G43-Y1-Z2,0,0
61,𓄫𓏛𓄣𓏤,ꜣw jb,joyful,F40-Y1-F34-Z1,0,0
62,𓄫𓏏𓄣,ꜣwt jb,"gladness, joy",F40-X1-F34,0,0
63,𓄫𓄣𓏏,ꜣwt jb,happiness,F40-F34-X1,0,0
64,𓄫𓏛𓁷𓏤,ꜣw ḥr,farsighted,F40-Y1-D2-Z1,0,0
65,𓄫𓏛𓂧𓏏𓏤,ꜣw ḏrt,generous,F40-Y1-D46-X1-Z1,0,0
66,𓂋𓄫𓅱𓆑,r ꜣw.f,"all, entire",D21-F40-G43-I9,0,0
67,𓄫𓏏𓏛,ꜣwt,"length (of time, of space)",F40-X1-Y1,0,0
68,𓄫𓏲𓏏𓏛,ꜣwt,stretch (of foot),F40-Z7-X1-Y1,0,0
69,𓅓𓄫𓏏𓏛𓆓𓏏𓇾,m ꜣwt ḏt,in perpetutity,G17-F40-X1-Y1-I10-X1-N16,0,0
70,𓄫𓏏𓅱𓏛𓏛𓏛,ꜣwt,"length (of time, of space)",F40-X1-G43-Y1-Y1-Y1,0,0
71,𓄫𓏏𓅱𓏛𓏥,ꜣwt,gifts,F40-X1-G43-Y1-Z2,0,0
72,𓄫𓏏𓅱𓈀,ꜣwt,"gifts, food",F40-X1-G43-N18,0,0
73,𓄫𓏏𓏐𓏖𓏊,ꜣwt,gifts,F40-X1-X2-X6-W22,0,0
74,𓄫𓏏,ꜣwt,gifts,F40-X1,0,0
75,𓄫𓅱𓏏𓂝𓏤𓏛𓏥,ꜣwt ꜥ,gifts,F40-G43-X1-D36-Z1-Y1-Z2,0,0
76,𓄫𓏲𓏛,ꜣwj,"to stretch, to extend",F40-Z7-Y1,0,0
77,𓄫𓏲𓏭𓂢,ꜣwj,"to stretch, to extend",F40-Z7-Z4-D41,0,0
78,𓄫𓅱𓇋𓇋𓀜,ꜣwy,arouse (oneself),F40-G43-M17-M17-A24,0,0
79,𓄫𓏲𓂡,ꜣwy,arouse (oneself),F40-Z7-D40,0,0
80,𓄫𓅱𓇋𓇋𓀜,ꜣwy,"extend (the arm), present (an offering), announce (someone)",F40-G43-M17-M17-A24,0,0
81,𓄫𓅱𓇋𓇋𓂡,ꜣwy,"to address, announce (someone)",F40-G43-M17-M17-D40,0,0
82,𓄫𓏲𓂡,ꜣwy,"extend (the arm), present (an offering), announce (someone)",F40-Z7-D40,0,0
83,𓄿𓄫𓅱,ꜣwy,announce (someone),G1-F40-G43,0,0
84,𓄫𓏲𓏏𓂝,ꜣwy,extend (the arm),F40-Z7-X1-D36,0,0
85,𓄫𓅱𓅱,ꜣwy,"arouse (oneself), masturbate",F40-G43-G43,0,0
86,𓄫𓏯𓏯𓀜,ꜣwy,to open up,F40-Z5-Z5-A24,0,0
87,𓄫𓅱𓇋𓇋𓀜𓂧𓏏𓏤,ꜣwy ḏrt,lay hands on,F40-G43-M17-M17-A24-D46-X1-Z1,0,0
88,𓄫𓅱𓇋𓇋𓂡𓂧𓏏𓏤,ꜣwy ḏrt,lay hands on,F40-G43-M17-M17-D40-D46-X1-Z1,0,0
89,𓄫𓏯𓇋𓇋𓏴𓂝𓂧𓏏𓏤,ꜣwy ḏrt,lay hands on,F40-Z5-M17-M17-Z9-D36-D46-X1-Z1,0,0
90,𓄫𓏯𓏯𓏛𓀜𓂧𓏏𓏤,ꜣwy ḏrt,"to attack, to break in",F40-Z5-Z5-Y1-A24-D46-X1-Z1,0,0
91,𓄫𓏭𓅱𓏛𓄣𓏤,ꜣwy jb,"to be joyful, glad, full, to rejoice",F40-Z4-G43-Y1V-F34-Z1,0,0
92,𓄫𓏭𓅱𓄣𓏤,ꜣwy jb,"to be joyful, glad, full, to rejoice",F40-Z4-G43-F34-Z1,0,0
93,𓄫𓏲𓏱,ꜣw,death,F40-Z7-Z6,0,0
94,𓄫𓅱𓏛,ꜣw,"evil, dread",F40-G43-Y1V,0,0
95,𓄫𓏲𓏛𓏥,ꜣw,"evil, dread",F40-Z7-Y1-Z2,0,0
96,𓄫𓅱𓏏𓌪,ꜣwt,long knife,F40-G43-X1-T30,0,0
97,𓄫𓍯𓅱𓂋𓏏𓊖,ꜣwrt,Buto,F40-V4-G43-D21-X1-O49,0,0
98,𓄫𓅱𓎛𓀜,ꜣwḥ,do violence,F40-G43-V28-A24,0,0
99,𓍋𓃀𓂻,ꜣb,"tarry, stray",U23-D58-D54,0,0
100,𓍋𓃀𓂻,ꜣb,"avoid, cease",U23-D58-D54,0,0
101,𓋁𓃀𓏯𓂻,ꜣb,"to stop, to cease",R15-D58-Z5-D54,0,0
102,𓍋𓃀𓏭𓂻,ꜣb,"to stop, to cease",U23-D58-Z4-D54,0,0
103,𓍋𓃀𓅱𓂻,ꜣbw,cessation,U23-D58-G43-D54,0,0
104,𓋁𓃀𓏲𓂢𓂻,ꜣbw,"cessation, ceasing",R15-D58-Z7-D41-D54,0,0
105,𓋁𓃀𓅱𓂻,ꜣbw,"cessation, ceasing",R15-D58-G43-D54,0,0
106,𓍋𓂻𓃀,ꜣbw,separation,U23-D54-D58,0,0
107,𓍋𓃀𓅱𓊮,ꜣbw,"brand, scorch",U23-D58-G43-Q7,0,0
108,𓋁𓃀𓏲𓊮,ꜣb,"brand, scorch",R15-D58-Z7-Q7,0,0
109,𓍋𓃀𓅱𓌪,ꜣbw,"brand (slaves, cattle)",U23-D58-G43-T30,0,0
110,𓍋𓃀𓏲𓊮,ꜣbw,brander,U23-D58-Z7-Q7,0,0
111,𓍋𓃀𓏏𓏟𓋣,ꜣbt,brand,U23-D58-X1-Y4-S15,0,0
112,𓍋𓃀𓏏𓏞𓌪,ꜣbt,brand ,U23-D58-X1-Y3-T30,0,0
113,𓍋𓃀𓏲𓊮𓈔𓏫,ꜣbw,"brand, brand marks, branding iron",U23-D58-Z7-Q7-N34-Z3A,0,0
114,𓍋𓃀𓏏𓋭𓀀𓁐𓏥,ꜣbt,family,U23-D58-X1-S24-A1-B1-Z2,0,0
115,𓍋𓃀𓏏𓋭,ꜣbt,family,U23-D58-X1-S24,0,0
116,𓍋𓃀𓏏𓌪𓀀𓁐𓏥,ꜣbt,family,U23-D58-X1-T30-A1-B1-Z2,0,0
117,𓍋𓃀𓏏𓅱𓌪𓀀𓁐,ꜣbt,family,U23-D58-X1-G43-T30-A1-B1,0,0
118,𓍋𓃀𓏏𓅱𓄿𓀀𓁐𓏥,ꜣbt,member of tribe,U23-D58-X1-G43-G1-A1-B1-Z2,0,0
119,𓍋𓃀𓅱𓌪𓏏𓀀𓁐𓏥,ꜣbt,family,U23-D58-G43-T30-X1-A1-B1-Z2,0,0
120,𓍋𓃀𓏲𓏏𓌪𓀀𓁐𓏫,ꜣbt,family,U23-D58-Z7-X1-T30-A1-B1-Z3A,0,0
121,𓍋𓃀𓀁,ꜣbj,"to desire, wish for, to love, to long for, to covert",U23-D58-A2,0,0
122,𓍋𓃀𓏲𓀁,ꜣbj,"to desire, wish for, to love, to long for, to covert",U23-D58-Z7-A2,0,0
123,𓋁𓃀𓃀𓀁𓏪,ꜣbj,"to desire, wish for, to love, to long for, to covert",R15-D58-D58-A2-Z3,0,0
124,𓋁𓃀𓏲𓇋𓇋𓀁,ꜣbj,"to desire, wish for, to love, to long for, to covert",R15-D58-Z7-M17-M17-A2,0,0
125,𓋁𓃀,ꜣbj,"desire, wish for",R15-D58,0,0
126,𓍋𓃀𓏲𓀁𓏥,ꜣbw,"desire, pleasure, wish, volition",U23-D58-Z7-A2-Z2,0,0
127,𓋁𓃀𓇋𓇋𓀁,ꜣbw,"desire, pleasure, wish, volition",R15-D58-M17-M17-A2,0,0
129,𓍋𓃀𓏲𓀁,ꜣbj,"to trifle, to ridicule",U23-D58-Z7-A2,0,0
130,𓍋𓃀𓍋𓃀𓀁,ꜣbꜣb,be delighted,U23-D58-U23-D58-A2,0,0
131,𓍋𓃀𓏏𓈉,ꜣbt,heaven,U23-D58-X1-N25,0,0
132,𓃮,ꜣby,"panther, leopard",E24,0,0
133,𓍋𓃀𓇋𓇋𓃮,ꜣby,"panther, leopard",U23-D58-M17-M17-E24,0,0
134,𓋁𓃀𓇋𓇋𓃮,ꜣby,"panther, leopard",R15-D58-M17-M17-E24,0,0
135,𓋁𓃀𓇋𓇋𓄛𓏫,ꜣby,"panther, leopard",R15-D58-M17-M17-F27-Z3A,0,0
136,𓍋𓃀𓇋𓇋𓄛𓏤𓏫,ꜣby,"panther, leopard",U23-D58-M17-M17-F27-Z1-Z3A,0,0
137,𓋁𓃀𓇋𓇋𓄛𓏤𓏫,ꜣby,"panther, leopard",R15-D58-M17-M17-F27-Z1-Z3A,0,0
138,𓍋𓃀𓇋𓇋𓄛,ꜣby,"panther, leopard",U23-D58-M17-M17-F27,0,0
139,𓍋𓃀𓃮,ꜣby,"panther, leopard",U23-D58-E24,0,0
140,𓍋𓅱𓃰,ꜣbw,elephant,U23-G43-E26,0,0
141,𓍋𓃀𓅱𓃰,ꜣbw,elephant,U23-D58-G43-E26,0,0
142,𓍋𓃀𓅱𓌟,ꜣbw,ivory,U23-D58-G43-T19,0,0
143,𓍋𓃀𓏲𓌟𓄹𓏥,ꜣbw,ivory,U23-D58-Z7-T19B-F51B-Z2,0,0
144,𓍋𓃀𓏲𓌟𓆱,ꜣbw,ivory,U23-D58-Z7-T19B-M3,0,0
145,𓋁𓃀𓅱𓈒𓌟,ꜣbw,ivory,R15-D58-G43-N33A-T19,0,0
146,𓍋𓃀𓌟,ꜣbw,ivory,U23-D58-T19,0,0
147,𓍋𓃀𓅱𓄑,ꜣbw,ivory,U23-D58-G43-F18,0,0
148,𓍋𓃀𓃰𓅱𓎵𓈉,ꜣbw,Elephantine,U23-D58-E26-G43-W6-N25,0,0
149,𓍋𓃀𓏲𓎵𓈉,ꜣbw,Elephantine,U23-D58-Z7-W6-N25,0,0
150,𓍋𓃀𓎵𓈉,ꜣbw,Elephantine,U23-D58-W6-N25,0,0
151,𓍋𓃀𓋭𓊖,ꜣbw,Elephantine,U23-D58-S24-O49,0,0
152,𓍋𓅱𓊖,ꜣbw,Elephantine,U23-G43-O49,0,0
153,𓍋𓃀𓏲𓐎𓈉,ꜣbw,Elephantine,U23-D58-Z7-Aa2-N25,0,0
154,𓍋𓃀𓐎𓈉𓊖,ꜣbw,Elephantine,U23-D58-Aa2-N25-O49,0,0
155,𓍋𓎵𓃀,ꜣbw,Elephantine,U23-W6-D58,0,0
156,𓋭𓊖,ꜣbw,Elephantine,S24-O49,0,0
157,𓍋𓃀𓅱𓐏𓈉𓏁𓏛,ꜣbw,Elephantine,U23-D58-G43-Aa3-N25-W15A-Y1V,0,0
158,𓋁𓃀𓐏𓈋,ꜣbw,Elephantine,R15A-D58-Aa3-N26,0,0
159,𓍋𓃀𓅱𓏏𓀾𓏛𓏥,ꜣbwt,"appearance, aspect, outward form",U23-D58-G43-X1-A53-Y1-Z2,0,0
160,𓋁𓏲𓃀𓏏𓀾𓏛𓏪,ꜣbwt,"appearance, aspect, outward form",R15-Z7-D58-X1-A53-Y1V-Z3,0,0
161,𓋁𓃀𓏲𓏏𓀾𓏛𓏪,ꜣbwt,beauty,R15-D58-Z7-X1-A53-Y1V-Z3,0,0
162,𓍋𓃀𓅱𓏏𓀾𓀁,ꜣbwt,charm,U23-D58-G43-X1-A53-A2,0,0
163,𓍋𓃀𓃀𓏯𓂻,ꜣbb,"to separate, to move away, to keep apart",U23-D58-D58-Z5-D54,0,0
164,𓋁𓃀𓃀𓏯𓂻,ꜣbb,"to separate, to move away, to keep apart",R15-D58-D58-Z5-D54,0,0
165,𓍋𓃀𓈖𓏭𓈖𓏭𓅭,ꜣbnn,Abnn  bird,U23-D58-N35-Z4-N35-Z4-G39,0,0
166,𓍋𓃀𓐍𓂝,ꜣbḫ,"unite, mix, link, join, mingle, be merged, engage",U23-D58-Aa1-D36,0,0
167,𓄿𓃀𓐍,ꜣbḫ,link (arms),G1-D58-Aa1,0,0
168,𓍋𓐍𓃀𓏴𓏛,ꜣbḫ,join (a god),U23-Aa1-D58-Z9-Y1,0,0
169,𓍋𓃀𓏴𓏛,ꜣbḫ,"unite, mix, mingle",U23-D58-Z9-Y1,0,0
170,𓍋𓃀𓐍𓏏𓏴𓀁,ꜣbḫ,"unite, mix, mingle",U23-D58-Aa1-X1-Z9-A2,0,0
171,𓋁𓃀𓅱𓐍𓏴𓏛,ꜣbḫ,"unite, mix, mingle",R15-D58-G43-Aa1-Z9-Y1,0,0
172,𓋁𓃀𓐍𓏏𓏯𓀁,ꜣbḫ,"unite, mix, mingle",R15-D58-Aa1-X1-Z5A-A2,0,0
173,𓋁𓃀𓐍𓏴𓂡,ꜣbḫ,to imbue,R15-D58-Aa1-Z9-D40,0,0
174,𓇹,ꜣbd,month,N11,0,0
175,𓇹𓇼𓂧𓇳𓏤,ꜣbd,month,N11-N14-D46-N5-Z1,0,0
176,𓇹𓇼𓂧𓏲𓇳,ꜣbd,month,N11-N14-D46-Z7-N5,0,0
177,𓇹𓇼𓏤𓂧𓇳𓏤,ꜣbd,month,N11-N14-Z1-D46-N5-Z1,0,0
178,𓇹𓇼𓂧𓎳,ꜣbd,monthly festival,N11-N14-D46-W4,0,0
179,𓇹𓇼𓂧𓏒,ꜣbd,monthly festival,N11-N14-D46-X4,0,0
180,𓍋𓃀𓈋𓊖,ꜣbḏw,Abydos,U23-D58-N26-O49,0,0
181,𓍋𓈋𓊖,ꜣbḏw,Abydos,U23-N26-O49,0,0
182,𓍋𓈋𓈈,ꜣbḏw,Abydos,U23-N26-N24,0,0
183,𓋁𓃀𓈋𓅱𓆛,ꜣbḏw,a fish,R15-D58-N26-G43-K1,0,0
184,𓋁𓃀𓂧𓏲𓆛,ꜣbḏw,a fish,R15-D58-D46-Z7-K1,0,0
185,𓍋𓃀𓈋𓅱𓆛𓏤,ꜣbḏw,a fish,U23-D58-N26-G43-K1-Z1,0,0
186,𓄿𓊪𓎛𓏯,ꜣpḥ,"swine, pigs",G1-Q3-V28-Z5,0,0
187,𓄿𓊪𓂧𓅬,ꜣpd,"duck, bird",G1-Q3-D46-G38,0,0
188,𓅭,ꜣpd,"duck, bird (in general)",G39,0,0
189,𓅿,ꜣpd,"duck, bird (in general)",H1,0,0
190,𓇋𓊪𓏏𓅯𓏥,ꜣpd,"bird, fowl",M17-Q3-X1-G41-Z2,0,0
191,𓄿𓊪𓂧𓏲𓅭𓏥,ꜣpd,"bird, fowl",G1-Q3-D46-Z7-G39-Z2,0,0
192,𓄿𓊪𓂧𓏲𓅯𓏥,ꜣpd,"bird, fowl",G1-Q3-D46-Z7-G41-Z2,0,0
193,𓄿𓊪𓂧𓅱𓅯𓏥𓅮𓏪,ꜣpd,"bird, fowl",G1-Q3-D46-G43-G41-Z2-G40-Z3,0,0
194,𓄿𓊪𓂧𓏲𓅯𓏥,ꜣpd,duck,G1-Q3-D46-Z7-G41-Z2,0,0
195,𓄿𓊪𓂧𓂻,ꜣpd,rush forward,G1-Q3-D46-D54,0,0
196,𓄿𓆑𓂝𓃲,ꜣfꜥ,gluttony,G1-I9-D36-E28,0,0
197,𓄿𓆑𓂝𓃲𓀀,ꜣfꜥ,glutton,G1-I9-D36-E28-A1,0,0
198,𓄿𓆑𓂋𓇋𓇋𓊮,ꜣfry,boil,G1-I9-D21-M17-M17-Q7,0,0
199,𓄿𓆑𓂧𓂾,ꜣfd,part of animal leg,G1-I9-D46-D56,0,0
200,𓄿𓅓𓊮,ꜣm,"burn, burn up",G1-G17-Q7,0,0
201,𓄿𓍿𓊡,ꜣm ṯꜣw,burning of breath,G1-V13-P5,0,0
202,𓄿𓏇𓇋𓀜,ꜣmj,mix,G1-W19-M17-A24,0,0
203,𓄿𓅓𓂝𓅬,ꜣmꜥ,a perching bird,G1-G17-D36-G38,0,0
204,𓄿𓅓𓂝𓏏𓂡,ꜣmꜥt,"ramus (of jaw), fork (of bone), hinged bone",G1-G17-D36-X1-D40,0,0
205,𓄿𓅓𓂝𓏏𓂝,ꜣmꜥt,"ramus (of jaw), fork (of bone)",G1-G17-D36-X1-D36,0,0
206,𓄿𓅓𓂝𓅱𓏏𓂡,ꜣmꜥt,"ramus (of jaw), fork (of bone)",G1-G17-D36-G43-X1-D40,0,0
207,𓄿𓅓𓅓𓂬,ꜣmm,"seize, grasp, attack",G1-G17-G17-D49,0,0
208,𓄿𓅓𓐝𓂡,ꜣmm,"seize, grasp, attack",G1-G17-Aa15-D40,0,0
209,𓄿𓅓𓅓𓏏𓂬,ꜣmmt,grasp,G1-G17-G17-X1-D49,0,0
210,𓄿𓅓𓅓𓏏𓂬,ꜣmmt,fist,G1-G17-G17-X1-D49,0,0
211,𓄿𓅓𓅓𓅱𓂝𓏥,ꜣmmw,gripings (medical),G1-G17-G17-G43-D36-Z2,0,0
212,𓄿𓄟𓋴𓅪𓏥,ꜣms,falsehood,G1-F31-S29-G37-Z2,0,0
213,𓄿𓄟𓋴𓌄,ꜣms,"club, mace, wield the 'Ams'",G1-F31-S29-S44,0,0
214,𓇋𓄟𓃖𓄣𓏤,ꜣms,"be friendly, pleasant, affable",M17-F31-E5-F34-Z1,0,0
215,𓄿𓄟𓋴𓃖𓊃𓄣𓏤,ꜣms jb,"make glad, be pleased",G1-F31-S29-E5-O34-F34-Z1,0,0
216,𓄟𓋴𓏯𓂻𓄣𓏤𓄹𓏥,ꜣms jb,"make glad, be pleased",F31-S29-Z5A-D54-F34-Z1-F51-Z2,0,0
217,𓂋𓄿𓌗𓀜,ꜣr,"drive away, oppress",D21-G1-T12-A24,0,0
218,𓇋𓂋𓌗𓂡,ꜣr,drive away (from),M17-D21-T12-D40,0,0
219,𓄿𓇋𓂋𓌗𓀜,ꜣr,oppress (the poor),G1-M17-D21-T12-A24,0,0
220,𓄿𓂋𓇋𓇋𓏏𓌃,ꜣryt,staff,G1-D21-M17-M17-X1-S43,0,0
221,𓄿𓂋𓏏𓇯,ꜣrt,"heaven, sky",G1-D21-X1-N1,0,0
222,𓄿𓉔𓇋𓇋𓂻,ꜣhy,descend,G1-O4-M17-M17-D54,0,0
223,𓄿𓉔𓅱𓅪,ꜣhw,"misery, trouble, injury, pain, illness",G1-O4-G43-G37,0,0
224,𓄿𓉔𓅪,ꜣhw,"misery, trouble",G1-O4-G37,0,0
225,𓇋𓉔𓏲𓅪𓏥,ꜣhw,"misery, trouble",M17-O4-Z7-G37-Z2,0,0
226,𓇋𓉔𓐎𓅪,ꜣhw,pain,M17-O4-Aa2-G37,0,0
227,𓄿𓉔𓐎𓅪,ꜣhw,pain,G1-O4-Aa2-G37,0,0
228,𓇋𓉔𓅪,ꜣhw,injury,M17-O4-G37,0,0
229,𓇋𓉔𓁣𓏯,ꜣhw,illness,M17-O4-C7-Z5,0,0
230,𓄿𓉔𓏲𓅪𓀀,ꜣhw,sufferer,G1-O4-Z7-G37-A1,0,0
231,𓄿𓉔𓐝𓏏𓅪𓏥,ꜣhmt,sorrow,G1-O4-Aa15-X1-G37-Z2,0,0
232,𓄿𓉔𓂧𓅪,ꜣhd,"quiver, palpitate, be weak",G1-O4-D46-G37,0,0
233,𓄿𓉔𓂧𓀁,ꜣhd,be weak,G1-O4-D46-A2,0,0
234,𓄿𓉔𓂧𓏴𓅪,ꜣhd,weak,G1-O4-D46-Z9-G37,0,0
235,𓄿𓎛𓈀𓏥,ꜣḥ,type of bread,G1-V28-N18-Z2,0,0
236,𓎛𓄿𓏳,ꜣḥ,type of bread,V28-G1-Z8,0,0
237,𓄿𓎛𓏏𓈇,ꜣḥt,"field, arable land, earth, mould",G1-V28-X1-N23,0,0
238,𓄿𓎛𓏯𓏯𓏯𓀜,ꜣḥt,"field, arable land, earth",G1-V28-Z5-Z5-Z5-A24,0,0
239,𓄿𓎛𓏲𓏲𓏏𓈇𓏤𓏫,ꜣḥt,"field, arable land, earth",G1-V28-Z7-Z7-X1-N23-Z1-Z3A,0,0
240,𓄿𓎛𓏯𓏪,ꜣḥwt,"fields, arable lands, soil",G1-V28-Z5A-Z3,0,0
241,𓎛𓄿𓏏𓈅𓏥,ꜣḥwt,"fields, arable lands, earth, mould",V28-G1-X1-N21-Z2,0,0
242,𓄿𓎛𓏏𓈇𓏤𓏪,ꜣḥt,"holding (land, property)",G1-V28-X1-N23-Z1-Z3,0,0
243,𓄿𓎛𓌸𓉗𓏏𓉐,ꜣḥ ḥwt,tomb shaft,G1-V28-U6-O6-X1-O1,0,0
244,𓄿𓎛𓇋𓇋𓈗,ꜣḥy,wave (flood),G1-V28-M17-M17-N35A,0,0
245,𓆷𓐍𓏏,ꜣḫt,inundation season,M8-Aa1-X1,0,0
246,𓆷𓏏𓇳,ꜣḫt,inundation season,M8-X1-N5,0,0
247,𓄿𓆷𓐍𓏏,ꜣḫt,inundation season,G1-M8-Aa1-X1,0,0
248,𓄿𓐍𓇇,ꜣḫ,papyrus thicket,G1-Aa1-M15,0,0
249,𓅜𓐍𓏲𓇋𓇋𓆰𓏫,ꜣḫy,papyrus thicket,G25-Aa1-Z7-M17-M17-M2-Z3A,0,0
250,𓇇𓆤𓏏𓊖,ꜣḫ bjt,Chemmis,M15-L2-X1-O49,0,0
251,𓄿𓐍𓇇𓆤𓏏𓊖,ꜣḫ bjt,Chemmis,G1-Aa1-M15-L2-X1-O49,0,0
