pie 	 adverb 	 piously 	 piously
alo 	 noun 	 ala 	 side of the nostril, ala of the nose
alo 	 noun 	 nose 	 side of the nostril, ala of the nose
alo 	 noun 	 nostril 	 side of the nostril, ala of the nose
alo 	 noun 	 side 	 side of the nostril, ala of the nose
alo 	 noun 	 wing 	 wing of a building
alo 	 noun 	 branch 	 wing, flank, branch of a party, army, etc
alo 	 noun 	 wing 	 wing, flank, branch of a party, army, etc
alo 	 noun 	 flank 	 wing, flank, branch of a party, army, etc
alo 	 noun 	 wing 	 flank, wing
alo 	 noun 	 flank 	 flank, wing
familia 	 adjective 	 family 	 familial; family
familia 	 adjective 	 familial 	 familial; family
gracia 	 adjective 	 graceful 	 graceful
cicisbeo 	 noun 	 English 	 cicisbeo
plata 	 adjective 	 flat 	 flat
he 	 interjection 	 hey 	 interjection used to attract someone's attention, hey
pico 	 noun 	 pizza 	 pizza
kara 	 adjective 	 dear 	 dear
magia 	 adjective 	 magical 	 magical
moro 	 noun 	 mores 	 custom, mores
moro 	 noun 	 custom 	 custom, mores
pato 	 noun 	 pan 	 pan
do 	 adverb 	 however 	 therefore, then, so , indeed, however
do 	 adverb 	 then 	 therefore, then, so , indeed, however
do 	 adverb 	 so 	 therefore, then, so , indeed, however
do 	 adverb 	 therefore 	 therefore, then, so , indeed, however
do 	 adverb 	 indeed 	 therefore, then, so , indeed, however
dia 	 adjective 	 gods 	 godly, of or pertaining to God or gods, divine
dia 	 adjective 	 God 	 godly, of or pertaining to God or gods, divine
dia 	 adjective 	 divine 	 godly, of or pertaining to God or gods, divine
dia 	 adjective 	 godly 	 godly, of or pertaining to God or gods, divine
ke 	 conjunction 	 that 	 that
sana 	 adjective 	 healthy 	 healthy enjoying health and vigor of body, mind, or spirit
dua 	 adjective 	 second 	 ordinal numbers second
rato 	 noun 	 rat 	 rat
sama 	 adjective 	 equal 	 equal
sama 	 adjective 	 same 	 same; alike
sama 	 adjective 	 alike 	 same; alike
sama 	 adjective 	 unvarying 	 unvarying
dodo 	 noun 	 dodoEnglish 	 dodo
simile 	 adverb 	 similarly 	 similarly
simple 	 adverb 	 simply 	 simply
limo 	 noun 	 limit 	 limit, boundary
limo 	 noun 	 boundary 	 limit, boundary
limo 	 noun 	 border 	 border
vero 	 noun 	 truth 	 truth
vero 	 noun 	 reality 	 reality
vole 	 adverb 	 voluntarily 	 voluntarily
mole 	 adverb 	 softly 	 softly
du 	 numeral 	 two 	 two
live 	 adverb 	 the 	 on the left
live 	 adverb 	 on 	 on the left
live 	 adverb 	 left 	 on the left
sal 	 interjection 	 hello 	 |hello
ano 	 noun 	 member 	 member
ano 	 noun 	 inhabitant 	 inhabitant
home 	 adverb 	 humanly 	 humanly
anime 	 adverb 	 soul 	 in one’s soul; spiritually
anime 	 adverb 	 spiritually 	 in one’s soul; spiritually
anime 	 adverb 	 mind 	 in one’s mind; mentally, psychologically
anime 	 adverb 	 mentally 	 in one’s mind; mentally, psychologically
anime 	 adverb 	 psychologically 	 in one’s mind; mentally, psychologically
lui 	 verb 	 rent 	 to rent something from someone
kies 	 pronoun 	 whom 	 whose, of whom, of which
kies 	 pronoun 	 which 	 whose, of whom, of which
kies 	 pronoun 	 whose 	 whose, of whom, of which
file 	 adverb 	 filially 	 filially
help 	 interjection 	 help 	 Help!
kata 	 adjective 	 feline 	 feline
ah 	 interjection 	 oh 	 ah, oh
ah 	 interjection 	 ahEnglish 	 ah, oh
ha 	 interjection 	 ah 	 ah
sango 	 noun 	 blood 	 blood
ni 	 pronoun 	 we 	 we
ni 	 pronoun 	 ourselves 	 ourselves
due 	 adverb 	 secondly 	 secondly
tre 	 adverb 	 very 	 very
nove 	 adverb 	 newly 	 newly
kimono 	 noun 	 English 	 kimono
duo 	 noun 	 pair 	 twosome, pair, couple
duo 	 noun 	 twosome 	 twosome, pair, couple
duo 	 noun 	 couple 	 twosome, pair, couple
acido 	 noun 	 acid 	 acid
floro 	 noun 	 flower 	 flower
libro 	 noun 	 book 	 a book
mielo 	 noun 	 honey 	 honey
eta 	 adjective 	 small 	 small, little, tiny, minuscule, slight
eta 	 adjective 	 little 	 small, little, tiny, minuscule, slight
eta 	 adjective 	 tiny 	 small, little, tiny, minuscule, slight
eta 	 adjective 	 slight 	 small, little, tiny, minuscule, slight
eta 	 adjective 	 minuscule 	 small, little, tiny, minuscule, slight
hm 	 interjection 	 hmm 	 hmm
ol 	 conjunction 	 than 	 than
li 	 pronoun 	 he 	 personal pronoun he
ne 	 particle 	 no 	 no
ne 	 particle 	 not 	 not
ne 	 particle 	 non- 	 non-
si 	 pronoun 	 herself 	 himself, herself, itself, themselves, oneself
si 	 pronoun 	 oneself 	 himself, herself, itself, themselves, oneself
si 	 pronoun 	 himself 	 himself, herself, itself, themselves, oneself
si 	 pronoun 	 themselves 	 himself, herself, itself, themselves, oneself
si 	 pronoun 	 itself 	 himself, herself, itself, themselves, oneself
se 	 conjunction 	 if 	 if
ho 	 interjection 	 oh 	 oh
sole 	 adverb 	 solely 	 solely
pa 	 interjection 	 pah 	 pah
tri 	 numeral 	 three 	 cardinal numbers three
tien 	 adverb 	 thither 	 thither, to there, demonstrative correlative of direction
tien 	 adverb 	 there 	 thither, to there, demonstrative correlative of direction
pure 	 adverb 	 purely 	 purely
strange 	 adverb 	 strangely 	 strangely
mega 	 adjective 	 millionth 	 ordinal numbers  millionth
kaj 	 conjunction 	 and 	 and
multi 	 verb 	 many 	 to be many, be numerous
multi 	 verb 	 numerous 	 to be many, be numerous
multi 	 verb 	 be 	 to be many, be numerous
mep 	 noun 	 membro 	 membro de la Eŭropa Parlamento
mep 	 noun 	 Eŭropa Parlamento 	 membro de la Eŭropa Parlamento
flue 	 adverb 	 fluently 	 fluently
negro 	 noun 	 Negro 	 a Negro
slave 	 adverb 	 language 	 In a Slavic language; Slavically
slave 	 adverb 	 Slavic 	 In a Slavic language; Slavically
slave 	 adverb 	 Slavically 	 In a Slavic language; Slavically
feta 	 adjective 	 fetal 	 fetal
destino 	 noun 	 fate 	 destiny, fate
destino 	 noun 	 destiny 	 destiny, fate
bari 	 verb 	 block 	 to bar, block, obstruct, dam
bari 	 verb 	 obstruct 	 to bar, block, obstruct, dam
bari 	 verb 	 dam 	 to bar, block, obstruct, dam
bari 	 verb 	 bar 	 to bar, block, obstruct, dam
bari 	 verb 	 exclude 	 to exclude
bari 	 verb 	 stem 	 to stem
pole 	 adverb 	 in 	 in Polish
pole 	 adverb 	 Polish 	 in Polish
tie 	 adverb 	 there 	 there
insula 	 adjective 	 insular 	 insular
forte 	 adverb 	 strongly 	 strongly
judo 	 noun 	 Jew 	 a Jew
kava 	 adjective 	 concave 	 hollow, concave
kava 	 adjective 	 hollow 	 hollow, concave
ruse 	 adverb 	 Russian 	 in the Russian language
ruse 	 adverb 	 Russian 	 in the manner of a Russian person
ido 	 noun 	 child 	 child born to a parent; offspring; young of an animal
ido 	 noun 	 offspring 	 child born to a parent; offspring; young of an animal
ido 	 noun 	 young 	 child born to a parent; offspring; young of an animal
flamingo 	 noun 	 gas 	 gas burner
flamingo 	 noun 	 burner 	 gas burner
fare 	 adverb 	 effort 	 by the action, by the initiative, by the effort, by order
fare 	 adverb 	 action 	 by the action, by the initiative, by the effort, by order
fare 	 adverb 	 the 	 by the action, by the initiative, by the effort, by order
fare 	 adverb 	 order 	 by the action, by the initiative, by the effort, by order
fare 	 adverb 	 by 	 by the action, by the initiative, by the effort, by order
fare 	 adverb 	 initiative 	 by the action, by the initiative, by the effort, by order
dio 	 noun 	 god 	 a god
mane 	 adverb 	 by hand 	 by hand
pare 	 adverb 	 pairwise 	 pairwise
pirate 	 adverb 	 piratically 	 piratically
sumo 	 noun 	 sum 	 sum
harmonia 	 adjective 	 harmonious 	 harmonious
mango 	 noun 	 mangoEnglish 	 mango
juni 	 verb 	 young 	 to be young
ursa 	 adjective 	 ursine 	 ursine
opero 	 noun 	 opera 	 opera
homo 	 noun 	 person 	 a human being, person
homo 	 noun 	 hominid 	 gloss=hominid
homo 	 noun 	 woman 	 femino, homino, gloss=woman
homo 	 noun 	 man 	 gloss=man
homo 	 noun 	 child 	 homido, gloss=child
homo 	 noun 	 humanity 	 gloss=humanity
volo 	 noun 	 volition 	 volition
volo 	 noun 	 wish 	 what one desires or wishes, a gift of peace, one's wish
vendo 	 noun 	 sale 	 sale
via 	 determiner 	 yours 	 your, yours
via 	 determiner 	 your 	 your, yours
vetera 	 adjective 	 weather 	 weather attributive
vetero 	 noun 	 weather 	 weather
lanterna 	 adjective 	 lantern 	 of or related to lanterns
lento 	 noun 	 lentil 	 lentil seed
mano 	 noun 	 hand 	 hand
pugno 	 noun 	 fist 	 fist
danke 	 adverb 	 thankfully 	 thankfully
danke 	 interjection 	 thanks 	 thanks
nur 	 adverb 	 just 	 only, just
nur 	 adverb 	 only 	 only, just
vane 	 adverb 	 in vain 	 in vain
agi 	 verb 	 act 	 to act, do something
semi 	 verb 	 sow 	 to sow
ja 	 adverb 	 indeed 	 indeed
same 	 adverb 	 equally 	 equally
alternative 	 adverb 	 alternatively 	 alternatively
puso 	 noun 	 pus 	 pus
fuga 	 adjective 	 fugal 	 fugal
simia 	 adjective 	 apish 	 apish
mode 	 adverb 	 fashionably 	 fashionably
rana 	 adjective 	 frog 	 Of, relating to or similar to frogs; frogly
hola 	 interjection 	 oi 	 hey, oi
hola 	 interjection 	 hey 	 hey, oi
trio 	 noun 	 threesome 	 threesome, trio
jam 	 adverb 	 already 	 already
abrupta 	 adjective 	 abrupt 	 abrupt
luna 	 adjective 	 lunar 	 lunar
lago 	 noun 	 lake 	 lake
lupo 	 noun 	 wolf 	 wolf
fik 	 interjection 	 fuck 	 fuck
historia 	 adjective 	 historical 	 historical
historia 	 adjective 	 historic 	 historic
natura 	 adjective 	 natural 	 natural
barbe 	 adverb 	 beard 	 in the manner of beards, beardically
admire 	 adverb 	 admiringly 	 admiringly
ada 	 adjective 	 continual 	 continual
nei 	 verb 	 deny 	 to deny
sono 	 noun 	 sound 	 sound
ordinare 	 adverb 	 ordinarily 	 ordinarily, usually
ordinare 	 adverb 	 usually 	 ordinarily, usually
ritmo 	 noun 	 rhythm 	 rhythm
haste 	 adverb 	 hastily 	 hastily
ago 	 noun 	 act 	 act, action
ago 	 noun 	 action 	 act, action
nun 	 adverb 	 now 	 now
lobo 	 noun 	 lobe 	 lobe
ĵaŭdo 	 noun 	 Thursday 	 Thursday
fio 	 noun 	 phi 	 phi
fieri 	 verb 	 proud 	 to take pride, be proud
fieri 	 verb 	 take pride 	 to take pride, be proud
fieri 	 verb 	 be 	 to take pride, be proud
private 	 adverb 	 privately 	 privately
anglo 	 noun 	 English 	 a person from England, an English person
anglo 	 noun 	 England 	 a person from England, an English person
koti 	 verb 	 muddy 	 to muddy, get mud on, cover in mud
koti 	 verb 	 poop 	 to defecate, poop
koti 	 verb 	 defecate 	 to defecate, poop
juna 	 adjective 	 young 	 young
urso 	 noun 	 bear 	 bear
urso 	 noun 	 carnivore 	 gloss=a carnivore
urso 	 noun 	 male 	 gloss=male bear
urso 	 noun 	 bear cub 	 gloss=bear cub
urso 	 noun 	 female 	 gloss=female bear
urso 	 noun 	 sleuth 	 gloss=a sleuth of bears
sata 	 adjective 	 full 	 satiated, full
sata 	 adjective 	 satiated 	 satiated, full
sata 	 adjective 	 satisfied 	 satisfied
sano 	 noun 	 health 	 health
sano 	 noun 	 san 	 san
numero 	 noun 	 serial number 	 number identifying one thing from another ex. ticket number, page number, house number, telephone number; serial number
numero 	 noun 	 number 	 number identifying one thing from another ex. ticket number, page number, house number, telephone number; serial number
numero 	 noun 	 issue 	 issue of a periodical
deci 	 verb 	 fitting 	 be fitting
deci 	 verb 	 proper 	 be proper
tera 	 adjective 	 terrestrial 	 earthen, telluric, terrestrial
tera 	 adjective 	 telluric 	 earthen, telluric, terrestrial
tera 	 adjective 	 earthen 	 earthen, telluric, terrestrial
vento 	 noun 	 wind 	 wind
vera 	 adjective 	 true 	 true
vino 	 noun 	 wine 	 wine
caro 	 noun 	 tsar 	 tsar, czar
caro 	 noun 	 czar 	 tsar, czar
oni 	 pronoun 	 one 	 one
ani 	 verb 	 belong 	 to be a member, belong
ani 	 verb 	 member 	 to be a member, belong
lumi 	 verb 	 shine 	 to shine
centre 	 adverb 	 centrally 	 centrally
bistro 	 noun 	 bistre 	 bistre
deka 	 adjective 	 tenth 	 ordinal numbers tenth
nano 	 noun 	 dwarf 	 dwarf
fame 	 adverb 	 famously 	 famously
odo 	 noun 	 ode 	 ode
malina 	 adjective 	 masculine 	 male; masculine
malina 	 adjective 	 male 	 male; masculine
profeta 	 adjective 	 prophetic 	 prophetic
torni 	 verb 	 turn 	 to turn, rotate
torni 	 verb 	 rotate 	 to turn, rotate
ilo 	 noun 	 tool 	 tool
veli 	 verb 	 sail 	 to sail
pace 	 adverb 	 peacefully 	 peacefully
pasto 	 noun 	 dough 	 dough
pasto 	 noun 	 pasta 	 pasta
kuba 	 adjective 	 cubical 	 cubical
kuba 	 adjective 	 Cuban 	 Cuban
domo 	 noun 	 house 	 house
legato 	 noun 	 legate 	 legate
legato 	 noun 	 English 	 legato
ek 	 interjection 	 let's go 	 let's go
psikologia 	 adjective 	 psychological 	 psychological
ablativo 	 noun 	 ablative 	 ablative
media 	 adjective 	 environmental 	 environmental
colo 	 noun 	 inch 	 inch
amare 	 adverb 	 bitterly 	 bitterly
brave 	 interjection 	 bravo 	 bravo
brave 	 adverb 	 valiantly 	 bravely, valiantly
brave 	 adverb 	 bravely 	 bravely, valiantly
brave 	 adverb 	 bravo 	 bravo
radii 	 verb 	 radiate 	 to radiate
alto 	 noun 	 altitude 	 height; elevation; altitude
alto 	 noun 	 height 	 height; elevation; altitude
alto 	 noun 	 elevation 	 height; elevation; altitude
agro 	 noun 	 land 	 field, piece of arable land
agro 	 noun 	 field 	 field, piece of arable land
agro 	 noun 	 arable 	 field, piece of arable land
anima 	 adjective 	 soul 	 of the soul; spiritual
anima 	 adjective 	 spiritual 	 of the soul; spiritual
anima 	 adjective 	 mind 	 of the mind, mental, psychological, inner
anima 	 adjective 	 psychological 	 of the mind, mental, psychological, inner
anima 	 adjective 	 mental 	 of the mind, mental, psychological, inner
anima 	 adjective 	 inner 	 of the mind, mental, psychological, inner
albino 	 noun 	 pigment 	 albino: person or animal congenitally lacking melanin pigmentation in the skin, eyes, and hair or feathers ; one afflicted with albinism
albino 	 noun 	 albinism 	 albino: person or animal congenitally lacking melanin pigmentation in the skin, eyes, and hair or feathers ; one afflicted with albinism
albino 	 noun 	 melanin 	 albino: person or animal congenitally lacking melanin pigmentation in the skin, eyes, and hair or feathers ; one afflicted with albinism
albino 	 noun 	 congenital 	 albino: person or animal congenitally lacking melanin pigmentation in the skin, eyes, and hair or feathers ; one afflicted with albinism
listo 	 noun 	 list 	 list
dike 	 adverb 	 thickly 	 thickly
pirata 	 adjective 	 piratical 	 piratical
mono 	 noun 	 money 	 money
para 	 adjective 	 even 	 even
geometria 	 adjective 	 geometric 	 geometric
io 	 pronoun 	 something 	 something
vice 	 adverb 	 in 	 in rows
vice 	 adverb 	 rows 	 in rows
vampire 	 adverb 	 vampirically 	 vampirically
balai 	 verb 	 sweep 	 to sweep
metro 	 noun 	 metre 	 metre unit of measurement
metro 	 noun 	 metrum 	 metrum of poetry
unco 	 noun 	 ounce 	 ounce
longa 	 adjective 	 long 	 long
longa 	 adjective 	 w:L. L. Zamenhof 	 * 1915, L. L. Zamenhof , Malnova Testamento, Eliro 2:23
eno 	 noun 	 yen 	 yen
poro 	 noun 	 pore 	 pore
fine 	 adverb 	 finally 	 finally, at last; at the end
fine 	 adverb 	 at last 	 finally, at last; at the end
fine 	 adverb 	 done 	 in the final analysis, when all's said and done
fine 	 adverb 	 in 	 in the final analysis, when all's said and done
fine 	 adverb 	 's 	 in the final analysis, when all's said and done
fine 	 adverb 	 final 	 in the final analysis, when all's said and done
fine 	 adverb 	 when 	 in the final analysis, when all's said and done
fine 	 adverb 	 said 	 in the final analysis, when all's said and done
fine 	 adverb 	 all 	 in the final analysis, when all's said and done
fine 	 adverb 	 analysis 	 in the final analysis, when all's said and done
fine 	 adverb 	 and 	 in the final analysis, when all's said and done
fine 	 adverb 	 the 	 in the final analysis, when all's said and done
ero 	 noun 	 bit 	 A bit, a single element, piece, or component of a large mass or collection
ero 	 noun 	 element 	 A bit, a single element, piece, or component of a large mass or collection
ero 	 noun 	 component 	 A bit, a single element, piece, or component of a large mass or collection
ero 	 noun 	 piece 	 A bit, a single element, piece, or component of a large mass or collection
plu 	 adverb 	 further 	 further, longer, more
plu 	 adverb 	 more 	 further, longer, more
plu 	 adverb 	 longer 	 further, longer, more
facile 	 adverb 	 easily 	 easily
idiota 	 adjective 	 idiotic 	 idiotic
historio 	 noun 	 history 	 history
historio 	 noun 	 story 	 story
vagina 	 adjective 	 vaginal 	 vaginal
spite 	 adverb 	 in spite of 	 in spite of
spite 	 adverb 	 defiantly 	 defiantly
mute 	 adverb 	 speechlessly 	 mutely, speechlessly
mute 	 adverb 	 mutely 	 mutely, speechlessly
ave 	 adverb 	 grandfatherly 	 grandfatherly
nome 	 adverb 	 namely 	 namely
nia 	 determiner 	 our 	 our
tio 	 pronoun 	 that 	 that
tia 	 determiner 	 that 	 that kind of, such a
logika 	 adjective 	 logical 	 logical
politika 	 adjective 	 political 	 political
enigma 	 adjective 	 enigmatic 	 enigmatic
merda 	 adjective 	 shitty 	 shitty
matematika 	 adjective 	 mathematical 	 mathematical
serene 	 adverb 	 serenely 	 calmly, serenely
serene 	 adverb 	 calmly 	 calmly, serenely
des 	 particle 	 the 	 the; used with ju and either |more or |less to form the second half of a coordinated comparative
paca 	 adjective 	 disturbed 	 peaceful, not at war or disturbed by strife or turmoil
paca 	 adjective 	 strife 	 peaceful, not at war or disturbed by strife or turmoil
paca 	 adjective 	 peaceful 	 peaceful, not at war or disturbed by strife or turmoil
paca 	 adjective 	 turmoil 	 peaceful, not at war or disturbed by strife or turmoil
paca 	 adjective 	 war 	 peaceful, not at war or disturbed by strife or turmoil
paca 	 adjective 	 motionless 	 peaceful, motionless and calm
paca 	 adjective 	 peaceful 	 peaceful, motionless and calm
paca 	 adjective 	 calm 	 peaceful, motionless and calm
grave 	 adverb 	 seriously 	 seriously, gravely
grave 	 adverb 	 gravely 	 seriously, gravely
lace 	 adverb 	 wearily 	 wearily
tubo 	 noun 	 tube 	 tube
ujo 	 noun 	 container 	 container for something, receptacle
ujo 	 noun 	 receptacle 	 container for something, receptacle
ujo 	 noun 	 country 	 country inhabited mostly / established  by some nation
karoo 	 noun 	 suit 	 The suit of diamonds, marked with the symbol
karoo 	 noun 	 diamonds 	 The suit of diamonds, marked with the symbol
ok 	 numeral 	 eight 	 cardinal numbers eight
pere 	 adverb 	 by 	 by means
pere 	 adverb 	 means 	 by means
oko 	 noun 	 eightsome 	 eightsome, a set of eight of something
oko 	 noun 	 eight 	 eightsome, a set of eight of something
misa 	 adjective 	 failed 	 failed, wrong, amiss, faulty
misa 	 adjective 	 faulty 	 failed, wrong, amiss, faulty
misa 	 adjective 	 wrong 	 failed, wrong, amiss, faulty
misa 	 adjective 	 amiss 	 failed, wrong, amiss, faulty
teo 	 noun 	 tea 	 tea
rojo 	 noun 	 rivulet 	 brook, rivulet
rojo 	 noun 	 brook 	 brook, rivulet
pala 	 adjective 	 sallow 	 pale; sallow
pala 	 adjective 	 pale 	 pale; sallow
araba 	 adjective 	 Arabic 	 Arabic
araba 	 adjective 	 Asian 	 gloss=Asian
nuo 	 noun 	 nu 	 nu
gea 	 adjective 	 both 	 both sexes, mixed
gea 	 adjective 	 sexes 	 both sexes, mixed
gea 	 adjective 	 mixed 	 both sexes, mixed
dingo 	 noun 	 young 	 gloss=a young dingo, a dingo pup
dingo 	 noun 	 pup 	 gloss=a young dingo, a dingo pup
dingo 	 noun 	 female 	 gloss=a female dingo
nana 	 adjective 	 dwarf 	 dwarf
polo 	 noun 	 Pole 	 a Pole
polo 	 noun 	 European 	 gloss=a European
rp 	 phrase 	 rest in peace 	 |rest in peace/RIP
rp 	 phrase 	 RIP 	 |rest in peace/RIP
algo 	 noun 	 alga 	 alga
septembro 	 noun 	 September 	 September
femina 	 adjective 	 feminine 	 feminine , women's
femina 	 adjective 	 women 	 feminine , women's
amo 	 noun 	 love 	 love
paro 	 noun 	 pair 	 couple, pair
paro 	 noun 	 couple 	 couple, pair
emo 	 noun 	 inclination 	 tendency, inclination
emo 	 noun 	 tendency 	 tendency, inclination
boa 	 adjective 	 marriage 	 Related by marriage
faro 	 noun 	 deed 	 deed
fermi 	 verb 	 shut 	 to close, to shut
fermi 	 verb 	 close 	 to close, to shut
mire 	 adverb 	 awe 	 in surprise, in awe, in an amazed way
mire 	 adverb 	 surprise 	 in surprise, in awe, in an amazed way
mire 	 adverb 	 amazed 	 in surprise, in awe, in an amazed way
romano 	 noun 	 novel 	 novel
romano 	 noun 	 Roman 	 Roman
rondo 	 noun 	 circle 	 circle
sago 	 noun 	 arrow 	 arrow
sago 	 noun 	 dart 	 dart
servo 	 noun 	 service 	 service
trompe 	 adverb 	 deceptively 	 deceptively
diverse 	 adverb 	 diversely 	 diversely
embargo 	 noun 	 embargoEnglish 	 embargo
finance 	 adverb 	 financially 	 financially
lame 	 adverb 	 lamely 	 lamely
ree 	 adverb 	 again 	 again
sane 	 adverb 	 healthily 	 healthily
stimuli 	 verb 	 stimulate 	 to stimulate
aĉeto 	 noun 	 purchase 	 a purchase or item available for purchase
aĉeti 	 verb 	 purchase 	 to buy; to purchase
aĉeti 	 verb 	 buy 	 to buy; to purchase
supra 	 adjective 	 upper 	 upper
cetera 	 adjective 	 remaining 	 remaining
nova 	 adjective 	 new 	 new
mem 	 particle 	 -self 	 -self, -selves
mem 	 particle 	 -selves 	 -self, -selves
mem 	 pronoun 	 itself 	 itself
mato 	 noun 	 mat 	 mat
sia 	 pronoun 	 subject 	 belonging to the subject of the sentence
karaoke 	 adverb 	 English 	 in a karaoke manner
diablo 	 noun 	 devil 	 devil
fungo 	 noun 	 fungus 	 fungus
fungo 	 noun 	 ĉampinjono 	 ĉampinjono
onda 	 adjective 	 wavy 	 wavy, waved
onda 	 adjective 	 waved 	 wavy, waved
onda 	 adjective 	 wave 	 of, from or pertaining to waves or wave phenomena
normale 	 adverb 	 normally 	 normally
ege 	 adverb 	 greatly 	 greatly
biro 	 noun 	 bearing 	 bearing
robota 	 adjective 	 robotic 	 robotic
cito 	 noun 	 quotation 	 quotation, citation
cito 	 noun 	 citation 	 quotation, citation
sala 	 adjective 	 salty 	 salty
ametista 	 adjective 	 amethyst 	 amethyst
firma 	 adjective 	 firm 	 firm
valo 	 noun 	 vale 	 valley, vale
valo 	 noun 	 valley 	 valley, vale
melodia 	 adjective 	 melodious 	 melodious, tuneful
melodia 	 adjective 	 tuneful 	 melodious, tuneful
homa 	 adjective 	 human 	 human
suv 	 noun 	 English 	 Sporta Utiligebla Veturilo; SUV
humane 	 adverb 	 humanely 	 humanely
fore 	 adverb 	 far away 	 far away
