pronoun 	 я 	 me; i 	  	 i; me
conjunction 	 ли 	 if 	 whether, if 	 whether; if
particle 	 ли 	 yes-no 	  	 yes-no
pronoun 	 наш 	 ours 	 our, ours 	 ours
interjection 	 давай 	  	 let's 	 
interjection 	 эй 	 ho 	 hey! 	 ho
interjection 	 того 	  	 you know, um a hesitation marker 	 
conjunction 	 ни 	 nor 	 neither, nor 	 nor
particle 	 ни 	  	 not a 	 
preposition 	 об 	 about 	  	 about
interjection 	 правда 	 eh 	 sure enough, indeed, actually, as a matter of fact, in point of fact 	 eh
conjunction 	 правда 	  	 though, however, but 	 
pronoun 	 кото́рый 	 which; who; what 	  	 who; which; that; what
pronoun 	 свой 	 its 	 one's own; my, his, her, its, our, your, their ' 	 its; one's
preposition 	 без 	 to 	  	 to; out of; without
pronoun 	 сам 	 oneself 	 self, -self 	 oneself; himself
pronoun 	 кто 	 who 	  	 who; whom
preposition 	 после 	 in the wake of 	  	 in the wake of
preposition 	 во 	  	  	 
particle 	 во 	  	 * year=1982|author=Сергей Донатович Довлатов |title=Зона |title2=The Zone: A Prison Camp Guard's Story|passage=— Во мужи́к, гоноре́и не зна́ет! Да трипа́к же, трипа́к!|newversion=translated as|translation="That's a peasant for you, doesn't know what gonorrhoea is! It's the clap, the clap!"|translator2=Anne Frydman|publisher2=A.A. Knopf|year2=1985|page2=74 	 
interjection 	 ведь 	  	 after all 	 
conjunction 	 ведь 	 because 	 as, because 	 because
preposition 	 через 	 in 	  	 in
pronoun 	 себя́ 	 myself; yourself 	  	 oneself; himself; myself; yourself; yourselves; itself; ourselves; themselves; herself
particle 	 себе 	  	 keep on 	 
interjection 	 назад 	  	 get back 	 
preposition 	 назад 	  	  	 
preposition 	 под 	 under 	  	 below; underneath; under; beneath
interjection 	 точно 	  	 exactly!, yes!, bingo! 	 
conjunction 	 точно 	  	 as though, as if 	 
determiner 	 тот 	 last; that 	 that, those 	 last; that
interjection 	 прости 	  	 sorry 	 
interjection 	 именно 	  	 indeed, rather; used to emphasize the agreement or confirmation 	 
interjection 	 ага 	  	 yep, yeah, uh-huh 	 
interjection 	 давайте 	  	 let us, let's 	 
interjection 	 черт 	  	  	 
preposition 	 про 	 about 	  	 about
pronoun 	 оно 	  	 it third-person neuter singular pronoun 	 
preposition 	 перед 	 prior to 	  	 prior to
pronoun 	 нее 	  	  	 
particle 	 ж 	  	  	 
interjection 	 итак 	  	 so, then 	 
preposition 	 против 	  	  	 
preposition 	 при 	 during 	  	 during
preposition 	 ко 	  	  	 
pronoun 	 никто́ 	 anyone 	  	 no one; none; neither; anyone
preposition 	 ради 	 on account of 	  	 on account of
preposition 	 над 	 over 	  	 above; over
preposition 	 между 	  	  	 
interjection 	 господи 	  	 oh my God, oh my Lord 	 
conjunction 	 хоть 	 but 	 although 	 but; although
particle 	 хоть 	  	 at least, if only 	 
preposition 	 насчет 	  	  	 
pronoun 	 мое 	  	  	 
preposition 	 кроме 	  	  	 
interjection 	 серьезно 	  	  	 
interjection 	 чёрт 	 damn!, hell! 	 damn!, hell! 	 goddamn; sheesh; damn; man; crap; hell; shoot
interjection 	 ох 	 oh 	 oh, ah 	 oops; oh; yikes; ouch; oh dear
interjection 	 ах 	 oh 	 ah!, oh! 	 oh; yikes; aah; oh dear; alas
pronoun 	 твое 	  	  	 
preposition 	 обо 	  	  	 
interjection 	 ой 	 oh 	 oh! ' 	 yikes; oops; oh; ouch
pronoun 	 свое 	  	  	 
interjection 	 вон 	  	 out, get out! 	 
interjection 	 внимание 	  	 attention! ' 	 
pronoun 	 нем 	  	  	 
particle 	 угодно 	  	 anyone, anybody, whomever one likes 	 
interjection 	 ту 	  	 the sound of a train horn 	 
preposition 	 около 	 toward 	  	 toward
particle 	 б 	  	  	 
particle 	 добро 	  	 okay 	 
conjunction 	 либо 	  	 either...or 	 
preposition 	 вместо 	  	  	 
pronoun 	 са́мый 	  	  	 
interjection 	 серьёзно 	  	 indeed, really 	 
interjection 	 окей 	  	 OK, okay 	 
preposition 	 насчёт 	 in terms of 	  	 in terms of
interjection 	 тихо 	  	 be quiet! 	 
interjection 	 э 	 well 	 hey; an exclamation to get attention 	 well
interjection 	 ух 	  	 ooh!, gosh!, oof! 	 
interjection 	 спокойно 	  	 quiet! 	 
interjection 	 ы 	  	 lol, used to express laughter. Usually used as "ы-ы-ы", to show the crying sound you make after you were laughing for too long 	 
preposition 	 среди 	  	  	 
interjection 	 ок 	  	  	 
interjection 	 хм 	 hmm 	 hmm, hum 	 meh; hmm; humph
preposition 	 благодаря 	  	  	 
interjection 	 блядь 	 fucking hell 	 interjection ; compare for fuck's sake!, shit!, etc 	 fucking hell; crap
interjection 	 шутка 	  	 I’m kidding! 	 
particle 	 де 	  	 says used informally to mark reported speech 	 
preposition 	 вне 	 outside 	  	 outside; out of
interjection 	 сука 	  	 shit!, fuck! 	 
interjection 	 чай 	  	 methinks, must be, may be, hopefully, probably 	 
interjection 	 супер 	 all right 	 great! super! cool! 	 all right
preposition 	 мимо 	  	  	 
interjection 	 чудесно 	  	 wonderful!, marvelous! 	 
pronoun 	 чё 	  	 t=What, seriously? 	 
interjection 	 угу 	  	 uh-huh, yep, yeah 	 
preposition 	 позади 	  	  	 
interjection 	 ура 	  	 hoorah, hooray 	 
interjection 	 гей 	 ho 	 hey! 	 ho; giddyup
interjection 	 кошмар 	  	 it's terrible! 	 
interjection 	 браво 	 bravo! 	 bravo! 	 all right
interjection 	 ужас 	  	 it's terrible! 	 
preposition 	 напротив 	  	  	 
interjection 	 ай 	 yikes 	 ouch! 	 yikes; ouch
interjection 	 фу 	 yuck 	 pew!, ew!, yuck! 	 yuck; ugh; ew; meh; pshaw; boo; bah
pronoun 	 се 	  	  	 
interjection 	 точка 	  	 enough! 	 
pronoun 	 каково́й 	  	  	 
interjection 	 каков 	  	 just look! 	 
interjection 	 е 	  	 yeah!, yo!, oh yeah! 	 
preposition 	 изо 	  	  	 
interjection 	 дьявол 	  	 dammit 	 
interjection 	 хо 	  	 ha 	 
interjection 	 приём 	 over 	 over, do you copy? 	 over
pronoun 	 че 	  	  	 
interjection 	 бум 	 bang 	 thud, crash 	 kaboom; bang
pronoun 	 чей 	  	 whose 	 
interjection 	 эх 	  	 alas!, oh!, uh 	 
pronoun 	 чо 	  	 what, nocap=1, nocap=1 	 
interjection 	 марш 	  	 forward! 	 
pronoun 	 таков 	  	 such 	 
particle 	 таки 	  	 still, after all, in spite of 	 
interjection 	 проклятие 	  	 dammit!, damnation! 	 
interjection 	 мотор 	  	 action! 	 
conjunction 	 али 	  	 or 	 
determiner 	 сей 	 this 	 this, this here 	 this
interjection 	 ау 	  	 hello? 	 
interjection 	 хуя 	  	 nodot=1: holy shit 	 
interjection 	 спасите 	  	 help! 	 
conjunction 	 благо 	  	 since, now that 	 
interjection 	 лады 	  	 same as ладно 	 
interjection 	 фи 	 yuck 	 Used to show  lack of admiration, interest, or inspiration: meh, whatever 	 yuck; ugh; ew; meh; pshaw
conjunction 	 нежели 	  	 than 	 
interjection 	 чао 	  	 goodbye 	 
interjection 	 упс 	 oops 	 oops 	 oops
pronoun 	 не́кого 	  	  	 
interjection 	 бах 	 kaboom 	 kaboom 	 kaboom; boom; bang
interjection 	 мур 	 purr 	 purr 	 purr
particle 	 даёшь 	  	 let there be ...!, we want ...! 	 
interjection 	 бам 	 bang 	 bang 	 bang
interjection 	 уф 	 ugh 	 phew! 	 ugh
preposition 	 пред 	 before 	  	 before; in front of
interjection 	 салют 	  	 hello 	 
interjection 	 топ 	  	 stamp 	 
interjection 	 оп 	  	 oops 	 
preposition 	 ото 	  	  	 
conjunction 	 коль 	  	  	 
particle 	 мол 	  	 he says, they say used informally to mark reported speech 	 
interjection 	 зараза 	  	 damn it 	 
interjection 	 му 	 moo 	 imitative moo 	 moo
interjection 	 вольно 	  	 at ease 	 
pronoun 	 шо 	  	 what, nocap=1 	 
interjection 	 чур 	  	 avaunt, away 	 
determiner 	 кой 	  	 how, which, who, what 	 
preposition 	 объ 	  	  	 
conjunction 	 ль 	  	  	 
particle 	 ль 	  	  	 
conjunction 	 коли 	  	 if 	 
interjection 	 бай 	  	 bye 	 
interjection 	 кыш 	 shoo 	 shoo! 	 shoo
pronoun 	 некого 	  	  	 
interjection 	 алё 	 hello 	  	 hello
interjection 	 мяу 	  	 imitative meow 	 
preposition 	 сверх 	 over 	  	 over
preposition 	 меж 	 between 	  	 between
particle 	 хули 	  	 so what?! so fucking what?! of course! ' 	 
interjection 	 шалом 	  	 shalom 	 
conjunction 	 почем 	  	  	 
interjection 	 але 	  	  	 
interjection 	 кар 	 caw 	 caw cry of a crow or raven 	 caw
interjection 	 айда 	  	 let's go, c'mon 	 
preposition 	 подо 	  	  	 
interjection 	 ша 	 shh 	 shush!, shhh! 	 shh
conjunction 	 почём 	  	 how 	 
pronoun 	 аз 	 i 	  	 i
interjection 	 бабах 	 boom 	 kaboom 	 boom
pronoun 	 тя 	  	  	 
pronoun 	 ся 	  	  	 
pronoun 	 сей 	  	  	 
interjection 	 ст 	  	 shhh!, silence! 	 
pronoun 	 вся́кий 	 everyone; anyone; everybody 	  	 everybody; anyone; everyone; any
