*	*	*	*	nominative	oblique	#	"""is X"" genitive"									
demonstrative	medial	dual	feminine	those two women [by you]	those two women [by you]	#										
demonstrative	medial	dual	neuter	those two [by you]	those two [by you]	#										
demonstrative	medial	trial	gendered	those three people [by you]	those three people [by you]	#										
demonstrative	medial	trial	masculine	those three men [by you]	those three men [by you]	#										
demonstrative	medial	trial	feminine	those three women [by you]	those three women [by you]	#										
demonstrative	medial	trial	neuter	those three [by you]	those three [by you]	#										
demonstrative	medial	paucal	gendered	those few people [by you]	those few people [by you]	#										
demonstrative	medial	paucal	masculine	those few men [by you]	those few men [by you]	#										
demonstrative	medial	paucal	feminine	those few women [by you]	those few women [by you]	#										
demonstrative	medial	paucal	neuter	those few [by you]	those few [by you]	#										
demonstrative	medial	plural	gendered	those people [by you]	those people [by you]	#										
demonstrative	medial	plural	masculine	those men [by you]	those men [by you]	#										
demonstrative	medial	plural	feminine	those women [by you]	those women [by you]	#										
demonstrative	medial	plural	neuter	those [by you]	those [by you]	#										
demonstrative	medial	superplural	gendered	that lot of people [by you]	that lot of people [by you]	#										
demonstrative	medial	superplural	masculine	that lot of men [by you]	that lot of men [by you]	#										
demonstrative	medial	superplural	feminine	that lot of women [by you]	that lot of women [by you]	#										
demonstrative	medial	superplural	neuter	that lot [by you]	that lot [by you]	#										
demonstrative	distal	singular	gendered	that person	that person	#										
demonstrative	distal	singular	masculine	that man	that man	#										
demonstrative	distal	singular	feminine	that woman	that woman	#										
demonstrative	distal	singular	neuter	that	that	#										
demonstrative	distal	dual	gendered	those two people	those two people	#										
demonstrative	distal	dual	masculine	those two men	those two men	#										
demonstrative	distal	dual	feminine	those two women	those two women	#										
demonstrative	distal	dual	neuter	those two	those two	#										
demonstrative	distal	trial	gendered	those three people	those three people	#										
demonstrative	distal	trial	masculine	those three men	those three men	#										
demonstrative	distal	trial	feminine	those three women	those three women	#										
demonstrative	distal	trial	neuter	those three	those three	#										
demonstrative	distal	paucal	gendered	those few people	those few people	#										
demonstrative	distal	paucal	masculine	those few men	those few men	#										
demonstrative	distal	paucal	feminine	those few women	those few women	#										
demonstrative	distal	paucal	neuter	those few	those few	#										
demonstrative	distal	plural	gendered	those people	those people	#										
demonstrative	distal	plural	masculine	those men	those men	#										
demonstrative	distal	plural	feminine	those women	those women	#										
demonstrative	distal	plural	neuter	those	those	#										
demonstrative	distal	superplural	gendered	that lot of people	that lot of people	#										
demonstrative	distal	superplural	masculine	that lot of men	that lot of men	#										
demonstrative	distal	superplural	feminine	that lot of women	that lot of women	#										
demonstrative	distal	superplural	neuter	that lot	that lot	#										
