chapter_id	entry_id	meaning	Hawaiian_Phonemic	comment
1	580	storm	ʔino	
1	590	rainbow	ānue-nue	
1	610	light (noun)	ao; lama; malama; kukui; kukuna	
1	620	darkness	pōʔele; pōʔeleʔele; pāʔele; uli; hāuli; lāuli; māuli; pouli; polohiwa	
1	630	shade, shadow	malu; māmalu; aka; huaka; ʔūmalu	
1	640	dew	kēhau; hau	
1	710	air	ea; eaea; lewa	
1	720	wind	puhi; pā; papā; pā makani	A 'gale' is makani nui; kelawini. 'Windward' is ʔaoʔao koʔolau; ʔaoʔao makani; naʔe.; A 'gale' is makani nui; kelawini. 'Windward' is ʔaoʔao koʔolau; ʔaoʔao makani; naʔe.; A 'gale' is makani nui; kelawini. 'Windward' is ʔaoʔao koʔolau; ʔaoʔao makani; naʔe.; A 'gale' is makani nui; kelawini. 'Windward' is ʔaoʔao koʔolau; ʔaoʔao makani; naʔe.
1	730	cloud	ao; ʔōpua; ʔōmalu-malu	
1	740	fog	ʔohu; noe; ua noe; uhi-wai	
1	750	rain (noun)	ua	'Downpour' is loku; ua lanipili; hoʔoloku-loku; haʔa-loku-loku. 'Mist' is uhi-wai; noe; ʔohu; ehu.
1	760	snow (noun)	hau; hau kea	
1	770	ice	hau	
1	780	weather	ke ʔano o ka manawa	
1	810	fire	ahi; pau ahi	
1	820	flame (noun)	ula ahi; ula; lapa ahi	
1	830	smoke (noun)	uahi	
1	840	ashes	lehu; lehu ahi; lehu ane	
1	851	burn (vb trans)	ʔā; ʔaʔā; hōʔā; puhi; kuni; puhi ahi	
1	860	light, kindle, ignite	hōʔā; hoʔā; hōʔaʔā	
1	870	match (noun)	kūkaepele	
1	880	firewood	wahie	
1	890	charcoal	lānahu; nānahu	
2	100	person, human being	mea; kanaka; lāhui kanaka; kama	
2	210	man (vs. woman)	kanaka; kāne	Plural 'men' is kānaka.; Plural 'men' is kānaka.
2	220	woman	wahine; haku wahine	Plural form wāhine.; Plural form wāhine.
2	230	male	kāne	'Virile' is keʔa; pūkonakona.
2	240	female	wahine	
2	250	boy	keiki; keiki kāne; kama kāne	
2	260	girl	kaikamahine	
2	270	child	keiki	'Children' is kamaliʔi.
2	280	infant, baby	keiki; pēpē; kama-liʔi	
2	310	husband	kāne; pilikua	
2	320	wife	wahine; wahine male	
2	330	marry	male; moe; hoʔāo; noho	
2	340	marriage, wedding	male ʔana; moe; noho pū ʔana; hoʔāo	
2	341	divorce	ʔoki; hōʔoki; ʔoki male	
2	350	father	makua kāne; makua	
2	360	mother	makuahine; māmā	
2	370	parents	makua	
2	410	son	keiki kāne	
2	420	daughter	kaikamahine	
2	430	offspring (son or daughter)	keiki; hānau; pua; hua	
2	440	brother	kaikuaʔana	
2	444	older brother	kuaʔana	
2	445	younger brother	kaikaina; kaina	
2	450	sister	kaikuaʔana	
2	455	younger sister	kaikaina	
2	458	twins	māhoe; māhana	
2	460	grandfather	kupuna kāne; tūtū; kūkū; kūkū kāne	
2	461	old man	ʔelemakule	
2	470	grandmother	kupuna wahine; tūtū; kūkū; kūkū wahine	
2	471	old woman	luahine	
2	480	grandson	moʔopuna	
2	510	uncle	makua-kāne; ʔanakala	
2	520	aunt	makuahine; makuahine hanauna; ʔanakē	
2	530	nephew	keiki	
2	540	niece	kaikamahine	
2	550	cousin	hoahānau; kaukini	
2	560	ancestors	kupuna	
2	570	descendants	mamo; pua; moʔopuna; keiki pula-pula	
2	610	father-in-law (of a man)	makua-hūnōwai kāne	
2	620	mother-in-law (of a man)	makua-hūnōwai wahine	
2	630	son-in-law (of a man)	hūnōna kāne	
2	710	stepfather	makua kāne kōlea	
2	720	stepmother	makuahine kōlea	
2	750	orphan	keiki makua ʔole	
2	760	widow	wahine kāne make	
2	770	widower	kāne wahine make	
2	810	relatives, kinsmen	ʔohana; pili koko; pilikana	
2	820	family	ʔohana	
2	910	I	au	
2	920	you (singular)	ʔoe	
2	930	he/she/it	ia	
2	941	we (inclusive)	kā-kou; kā-ua	Latter form is dual.; Latter form is dual.
2	942	we (exclusive)	mā-kou; mā-ua	Latter form is dual.; Latter form is dual.
2	950	you (plural)	ʔou-kou; ʔo-lua	Latter form is dual.; Latter form is dual.
2	960	they	lā-kou; lā-ua	Latter form is dual.; Latter form is dual.
3	110	animal	holo-holona	
3	120	male (adj)	kāne; hoʔo-kāne	
3	150	livestock	pūʔā; kumu; pūʔā pipi; holo-holona hānai	
3	160	pasture	kula; pā holo-holona; kula holo-holona	
3	180	herdsman	kahu hipa	
3	200	cattle (bovine)	pipi; pūʔā pipi; kumu pipi	Latter form is 'herd'; see 'tree' 01.420.; Latter form is 'herd'; see 'tree' 01.420.; Latter form is 'herd'; see 'tree' 01.420.
3	210	bull	pipi kāne; pipi laho; pipi pulu; pulu	
3	230	cow	pipi wahine; pipi waiū	
3	240	calf	pipi keiki	
3	250	sheep	hipa	
3	260	ram	hipa kāne	
3	290	lamb	keiki hipa; hipa keiki; pua hipa	
3	350	pig	puaʔa	
3	360	goat	kao	
3	410	horse (equine)	lio	
3	460	ass, donkey	kēkake; ʔēkake	
3	470	mule	hoki; miula; piula	
3	500	fowl	moa; manu	
3	520	cock, rooster	moa kāne	
3	540	hen	moa wahine	
3	550	chicken	moa	
3	560	goose	nēnē	
3	570	duck	kakā; koloa	
3	580	nest	pūnana	
3	581	bird	manu	
3	582	seagull	nēnē-ʔau-kai	
3	583	heron	ʔaukuʔu	
3	585	hawk	ʔio	
3	591	bat	ʔōpeʔa-peʔa	
3	592	parrot	manu-aloha	
3	593	crow	ʔalalā	
3	594	dove	manu-kū; manu-nūnū; nūnū; kuhukukū	
3	596	owl	pueo	
3	610	dog	ʔīlio	
3	614	rabbit	lāpaki; ʔiole lāpaki	
3	620	cat	pōpoki; ʔowau; ʔoau	
3	630	mouse, rat	ʔiole	
3	650	fish	iʔa	
3	652	fin (dorsal)	lā	
3	653	fishscale	unahi	
3	655	shell	pū; ʔolē; ʔolē-ʔolē; pūpū; iwi	
3	661	shark	manō; lālākea; niuhi	
3	662	porpoise, dolphin	mahi-mahi; naiʔa	
3	663	whale	koholā; palaoa	
3	664	stingray	hāhālua; hīhī-manu; lupe	
3	665	freshwater eel	puhi	
3	710	wolf	ʔīlio hae; lupo	
3	720	lion	liona	
3	760	monkey	keko; mākinikā	
3	770	elephant	ʔelepane; ʔelepani	
3	810	insect	mū; puʔu; mea kolo	
3	811	louse	ʔuku; ona; ʔuku liʔi	
3	812	nit (louse egg)	liha; lia	
3	813	flea	ʔuku-lele	
3	815	scorpion	moʔo-niho-ʔawa	
3	816	cockroach	ʔelelū	
3	817	ant	nao-nao	
3	818	spider	lana-lana; nana-nana; kuʔu-kuʔu; pūnā-wele-wele	
3	819	spider web	pūnāwele-wele; hihi puna-wele-wele; ʔupena nana-nana	
3	820	bee	meli; nalo-meli	
3	822	beehive	pahu meli; pūnana meli	
3	823	wasp	hope-ʔō; kopena	
3	830	fly	nalo	
3	832	mosquito	makika	
3	840	worm	koʔe; ilo	
3	850	snake	moʔo; naheka; nahesa	
3	920	butterfly	pulelehua; lepe-lepe-o-hina	
3	930	grasshopper	ʔuhini; ʔūhini-ake-lika	
3	940	snail	kama-loli; hīhī-wai; wī; pūpū	
3	950	frog	poloka; lana	
3	960	lizard	moʔo; moʔo kiha	
3	980	turtle	honu	
4	110	body	kino	
4	120	skin, hide	ʔili	'Rind' is ʔili; ʔalu-ʔalu.
4	130	flesh	ʔiʔo	
4	140	hair (head)	lau-oho; oho; hulu	
4	142	beard	ʔumi-ʔumi	
4	144	body hair	hulu; hulu-hulu; huhula	
4	150	blood	koko	
4	151	vein, artery	aʔa; aʔa koko	'Nerve' is aʔa; aʔalolo; aʔalolo lohe.; 'Nerve' is aʔa; aʔalolo; aʔalolo lohe.
4	160	bone	iwi	
4	162	rib	iwi ʔao-ʔao	
4	170	horn	kiwi; hao; pepeiaohao	
4	180	tail	huelo; hiʔu; puapua; pupua; pola	Respectively: of animal; of fish and other sealife; of birds; of a kite.; Respectively: of animal; of fish and other sealife; of birds; of a kite.; Respectively: of animal; of fish and other sealife; of birds; of a kite.; Respectively: of animal; of fish and other sealife; of birds; of a kite.; Respectively: of animal; of fish and other sealife; of birds; of a kite.
4	190	back	kua; hope	
4	191	spine	iwi-kuamoʔo; kuamoʔo	
4	200	head	poʔo; poʔo kanaka	
4	201	side of head, temple	maha	
4	202	skull	iwi poʔo; poʔo kanaka; pūniu	
4	203	brain	lolo; lolo poʔo	
4	204	face	maka; hele-helena; alo	
4	205	forehead	lae	
4	207	jaw	ā; papa niho; papa ʔauwae	Latter form is 'lower jaw'.; Latter form is 'lower jaw'.; Latter form is 'lower jaw'.
4	208	cheek	papālina	
4	209	chin	ʔauwae	
4	210	eye	maka	'Pupil of eye' is ʔōnohi maka.
4	212	eyebrow	kuʔe-maka; kuʔe-kuʔe-maka; hulu kuʔe-maka	
4	213	eyelid	ʔūpoʔi maka; kuapoʔi-maka; lihi-lihi	
4	214	eyelash	lihi-lihi	
4	215	blink	ʔiʔimo; ʔōnini; hoʔolili; haʔalili; ʔamo	
4	220	ear	pepeiao	
4	230	nose	ihu	
4	231	nostril	puka-ihu	
4	232	mucus (nasal)	hūpē; ʔūpē; hākelo; wale	
4	240	mouth	waha	
4	241	beak	nuku; ihu	
4	250	lip	lehe; lehe-lehe	
4	260	tongue	alelo; elelo	
4	270	tooth	niho	'Tusk' is niho; kuʔi.
4	271	gums	ʔiʔo pale niho	
4	280	neck	ʔāʔī	
4	290	throat	puʔu; puʔu-moni	
4	300	shoulder	poʔohiwi; hokua	
4	301	shoulderblade	hoehoe; iwi hoehoe	
4	302	collarbone	īwilei	
4	310	arm	lima; uluna	Latter form is 'upper a'.; Latter form is 'upper a'.
4	312	armpit	pōʔaeʔae; kīpōʔaeʔae; napoʔo	
4	320	elbow	kuʔe-kuʔe; kuʔe-kuʔe lima; kuʔe-lima	
4	321	wrist	pūlima	
4	330	hand	lima; mana-mana	
4	331	palm of hand	poho; poho lima	
4	340	finger	mana-mana lima	
4	342	thumb	mana-mana lima nui	
4	344	fingernail	mikiʔao; maiʔao	
4	345	claw	mikiʔao; mānea; maiʔao	
4	350	leg	wāwae	'Shin' is lapa-wāwae.
4	351	thigh	ʔūhā	'Thighbone' is iwi hilo.
4	352	calf of leg	ʔolo; ʔolo-ʔolo wāwae; ʔolo wae	
4	360	knee	kuli	
4	370	foot	wāwae	'Hoof' is maiʔao holo-holona; mānea; māiʔuʔu. 'Paw' is kapuaʔi.
4	372	heel	kuʔe-kuʔe wāwae	
4	380	toe	mana-mana wāwae	
4	392	wing	ʔēheu	
4	393	feather	hulu	
4	400	chest	uma-uma	
4	410	breast (of woman)	ū; wai-ū	
4	412	nipple, teat	maka wai-ū; maka	
4	430	navel	piko	
4	440	heart	puʔuwai	
4	441	lung	akemāmā; akemakani	
4	450	liver	ake; ake-paʔa	
4	451	kidney	puʔupaʔa; kōnāhua	
4	460	stomach	ʔōpū; hakualo	
4	461	intestines, guts	naʔau; naʔa-naʔau	
4	463	hip	kīkala; pāpākole	
4	464	buttocks	lemu; ʔōkole; pāpā-kole; ʔēlemu; hope	
4	470	womb	pūʔao; ʔōpū	
4	490	testicle	hua; huahua; laho	
4	492	penis	ule	'Genital' is maʔi; piko; 'genital chant' is mele maʔi.
4	510	breathe, breath	hanu; aho; ea; eaea	
4	521	hiccough	mauliʔawa	
4	530	cough	kunu; ʔehē; ʔahē	
4	540	sneeze	kihe	
4	550	perspire	hou	
4	560	spit	kuha; hāʔae; ʔae; wale wai; pupuhi	
4	570	vomit	luaʔi; puaʔi	
4	580	bite	nahu; nanahu; ʔaki; ʔaʔaki; ʔakina	
4	590	lick	palu	
4	610	sleep	moe; hiamoe; moe hoʔolana	'Sleepy' is maka hiamoe.; 'Sleepy' is maka hiamoe.; 'Sleepy' is maka hiamoe.
4	612	snore	nonō; hohō; ʔolā-ʔolā ka ihu	
4	620	dream	moe-ʔuhane	
4	630	wake up	lana ka hiamoe; ala; makalahia; hoʔāla	
4	650	urinate	mimi	
4	660	defecate	kūkae; kae; lepo	
4	670	have sexual intercourse	ai; ei; hana maʔi; moe; piʔi; pani-pani; aina	
4	680	shiver	haʔukeke; naka; hulilī	
4	690	bathe	ʔauʔau	
4	720	born (to be)	hānau; loaʔa; hanauna; hoʔohānau	
4	730	pregnant	hāpai	
4	740	live, living, life	ola; ʔaoʔao	Latter form means 'way of life'.; Latter form means 'way of life'.
4	750	die, dead	make; make loa; moe-lepo	
4	751	drowned	piholo; hoʔo-piholo; hoʔopalemo	
4	760	kill	pepehi ā make; hoʔo-make; make; hana make	
4	770	corpse	kupapaʔu; kino wailua; kino make; heana	
4	780	bury (the dead)	kanu; kanu ʔana	
4	790	grave, tomb	īlina; pā ilina; pā kupapaʔu	
4	810	strong, mighty, powerful	ikaika; mana; lima ikaika; mahi; wīkani	
4	820	weak	nāwali-wali	
4	830	well, health	olakino; ola pono; ola	
4	840	sick, sickness	maʔi; ʔōmaʔi-maʔi; nāwali-wali	
4	841	fever	piwa; maʔi-kuni	
4	843	cold (catarrh)	anu; hanu paʔa	
4	850	wound, sore	ʔeha; palapū	
4	852	bruise	pohole; hoʔo-pohole; māhole; mōhole	
4	853	swelling	pehu; hū	
4	854	itch	maneʔo	
4	855	blister	pōʔolopū; hōʔolopū; ʔolopū; ʔōwela	
4	856	boil (noun)	maʔi hēhē; makalau; maka pala; palapū	
4	858	scar	ʔālina; lina-lina	
4	860	cure, heal	hoʔōla; lapaʔau; hoʔopola-pola; kōhi	
4	870	physician	kauka	
4	880	medicine, drug	lāʔau; lāʔau lapaʔau; wai lāʔau	
4	890	poison	lāʔau make	
4	910	tired, weary	luhi; māluhi-luhi	
4	912	rest	maha; hoʔomaha; mahana	
4	920	lazy	molowā	
4	930	bald	ʔōhule	
4	940	lame	ʔoʔopa; hapakuʔe; kīnā; kīʔopa; māʔulu-ʔulu	
4	950	deaf	kuli; hoʔokuli; pepeiao kuli	
4	960	mute	mumule	
4	970	blind	maka-pō; maka-ʔalā	
4	980	intoxicated	ʔona	
4	990	naked, bare	kohana	
5	110	eat	ʔai; ʔai iho; amu	
5	120	food	ʔai; mea-ʔai	
5	121	cooked	moʔa; pāpaʔa; pāpaʔapū	
5	122	raw	maka; maka-maka; kole-kole	
5	123	ripe	pala	
5	124	green, unripe	uli-uli; maka	
5	125	rotten	pilau; palahū; ʔino-ʔino; palahō; popopo	
5	130	drink	inu; inu-mia; pā	
5	140	hunger	pōloli; makeʔai	
5	141	famine	wī; pōloli	
5	150	thirst	make wai	
5	160	suck	omo; omōmo; mūkī	
5	180	chew	mama; nau	
5	181	swallow	ale; moni	
5	190	choke	ʔumi; laoa; puʔua; kalea	
5	210	cook	hoʔomoʔa; kuke; ʔōlala	Also pūlehu; lāwalu, respectively: on coals; in leaves.; Also pūlehu; lāwalu, respectively: on coals; in leaves.; Also pūlehu; lāwalu, respectively: on coals; in leaves.
5	230	roast, fry	palai; ʔoma; loke; ʔōhinu	
5	240	bake	kālua; hoʔomoʔa; ʔoma	
5	250	oven	imu; umu; ʔoma	
5	270	kettle	ipu hao; kikila	
5	280	pan	pā palai; pā hoʔolapa-lapa	
5	310	dish	pā; ipu	
5	320	plate	pā	
5	330	bowl	ʔumeke; ipu; pola	
5	340	pitcher, jug	ʔōmole waha nui; pika; kīʔaha; kīʔaha ʔoʔoma	
5	350	cup, drinking vessel	pola; ipu; kīʔaha; kīʔoʔe	
5	360	saucer	pā liʔi-liʔi	
5	370	spoon	puna	
5	380	knife (2)	pahi	
5	390	fork (2)	ʔō	
5	410	meal (a)	ʔaina; pāʔina	
5	420	breakfast	ʔaina kakahiaka	
5	430	lunch	ʔaina awakea	
5	440	dinner	ʔaina ahi-ahi; papa ʔaina; pāʔina	
5	450	supper	ʔaina ahi-ahi; pāʔina ahi-ahi	
5	460	peel	maʔihi; koli	To 'husk' is pulu.; To 'husk' is pulu.
5	470	sieve, strain	kānana; kālana	
5	480	scrape	waʔu; wawaʔu; waʔu-waʔu; koe; kūai; kahi	
5	490	stir, mix	hoʔohui; hoʔowali; ʔoni; kāwili	
5	510	bread	palaoa; pelena	
5	530	dough	palaoa hoʔowali ʔia; pelena moʔa ʔole	
5	540	knead	kūpele; hoʔo-pele; pele; poho; ʔōpā; kaʔawili	
5	550	meal, flour	palaoa maka	
5	560	crush, grind	lomi; hoʔoūpē; hoʔopē; hoʔomaūi; pākī; wili; ʔuwī	
5	570	mill	wili; hale wili	
5	610	meat	ʔiʔo; ʔiʔo holo-holona; iʔa	
5	630	sausage	naʔaukake	
5	640	soup, broth	kai; kupa	
5	650	vegetables	lau; lau ʔai ʔia	
5	700	potato	ʔuala-kahiki	
5	710	fruit	hua; hua-ʔai	
5	712	bunch	ʔāhui; keʔa	
5	750	fig	piku	
5	770	nut	kukui-haole	
5	790	oil	ʔaila; hinu	
5	791	grease, fat	ʔaila; ʔaila hamo; hinu; ʔōhinu	
5	810	salt	paʔakai	
5	820	pepper	pepa; nīoi	
5	821	chili pepper	nioi	
5	840	honey	meli; wai meli; wai pua; pīlali	
5	850	sugar	kōpaʔa	
5	860	milk (noun)	wai-ū	
5	890	butter	waiūpaka; paka	
5	900	beverage, drink	mea-inu; poi; ʔai	
5	920	wine	waina	
5	930	beer	pia; bia	
5	940	fermented drink	wekeke; wai-keke	
5	970	egg	hua; hua-moa	
6	110	put on (clothes)	komo; komo lole	
6	120	clothing, clothes	lole; ʔaʔahu; kapa komo; lole komo	
6	130	tailor	kela; kela lole	
6	210	cloth	lole	
6	220	wool	hulu; pili	
6	240	cotton	pulu; pulu-pulu; maʔo	
6	250	silk	kilika; kalika	
6	280	fur	hulu	
6	290	leather	ʔili; ʔili holo-holona; ʔili pipi	
6	310	spin	niniu; hoʔoniniu	
6	350	sew	humu-humu; hono; kuʔi	
6	360	needle	kui; kui kele; kui humu-humu; mānai	'Thorn' is kukū; ʔoiʔoi; kākala.; 'Thorn' is kukū; ʔoiʔoi; kākala.; 'Thorn' is kukū; ʔoiʔoi; kākala.; 'Thorn' is kukū; ʔoiʔoi; kākala.
6	380	thread	kaula; aho; ʔaha; lopi	
6	390	dye	wai; wai-hoʔoluʔu; wai ʔele; wai ʔeleʔele	
6	410	cloak	kīhei; ʔahu; kīpuka; koloka	'Feather cape' is ʔahuʔula. 'Shawl' is kīhei.; 'Feather cape' is ʔahuʔula. 'Shawl' is kīhei.; 'Feather cape' is ʔahuʔula. 'Shawl' is kīhei.; 'Feather cape' is ʔahuʔula. 'Shawl' is kīhei.
6	420	woman's dress	lole; ʔaʔahu	
6	430	coat	kuka; ʔahu; lakeke	
6	440	shirt	pālule; ʔahu	
6	450	collar	ʔāʔī kala; kala	
6	460	skirt	palekoki	
6	480	trousers	lole wāwae; malo	Latter means 'loincloth'.; Latter means 'loincloth'.
6	490	stocking, sock	kākini	
6	510	shoe	kāmaʔa; kāmaʔa hāwele; pale wāwae	Latter forms mean 'sandal'.; Latter forms mean 'sandal'.; Latter forms mean 'sandal'.
6	550	hat, cap	kapu; pāpale kapu	
6	570	belt, girdle	kuapo; ʔili kuapo; kuapo ʔōpū; kāʔai	
6	580	glove	mikini lima; miki lima	
6	610	pocket	pākeke; paʔeke; ʔeke-ʔeke; ʔeke	
6	620	button	pihi	
6	710	ornament, adornment	hoʔohiwahiwa; wehi; kāhiko; kīnohi	
6	720	jewel	pōhaku maka-mae; lako kula; mea hoʔonani kino	
6	730	ring (for finger)	komo; apo	
6	740	bracelet	kūpeʔe; kūpeʔe lima; apo; apo lima	
6	750	necklace	lei	
6	770	earring	kula-pepeiao	
6	790	tattoo	kākau	
6	810	handkerchief, rag	welu	
6	820	towel	kāwele	
6	910	comb	kahi	
6	920	brush	palaki; hulu; palaki ʔānai	
6	921	braid	hilo; hili; pahili; ulana	
6	930	razor	pahi ʔumi-ʔumi	
6	940	ointment	mea hamo; ʔaila hamo; lāʔau hamo; hinu	
6	950	soap	kopa; kopa pauka	
6	960	mirror	ani-ani; ani-ani kilohi	
7	110	dwell, live	noho-na	
7	120	house	hale; kau-hale	
7	130	hut	pupupu hale; pāpaʔi; hale ʔuʔuku	
7	131	garden-house	mahi; māla	Means 'garden'.; Means 'garden'.
7	140	tent	hale lole; hale peʔa	
7	150	yard, court	pā	
7	220	door, gate	puka; puka hale; puka pā; puka komo; ʔīpuka; pani	
7	230	lock (noun)	laka	
7	240	key	kī	
7	250	window	puka-ani-ani; puka hale	
7	260	floor	papa-hele; papa keʔehina; papa	
7	270	wall	pā; paia	
7	310	fireplace	kapu-ahi	
7	320	stove	kapuahi	
7	370	ladder	alapiʔi; alahaka; haka	
7	420	bed	moe; moena; wahi moe	
7	421	pillow	uluna; ʔaki; ʔope-ʔope	
7	422	blanket	kapa moe; hulu-hulu; kapa hulu-hulu	
7	430	chair	noho; noho lōʔihi; papa noho	
7	440	table	pākaukau	
7	450	lamp, torch	kukui; ipukukui; kukui pōhaku; lama; lamakū	
7	460	candle	īhoiho; ihoiho kukui	
7	470	shelf	haka; haka kau; papa	
7	480	trough	holowaʔa	
7	510	roof	kaupoku; kaupaku	
7	520	thatch	ako; pili	
7	530	ridgepole	kaupoku; kauhuhu	
7	540	rafter	kua; oʔa	
7	560	post, pole	pou; lāʔau; kia	
7	570	board	papa; papa lāʔau	
7	580	arch	piʔo; pāpiʔo; hoaka	
7	620	brick	uwinihapa	
8	110	farmer	mahiʔai	
8	150	cultivate, till	mahi	
8	160	fence	pā; pā lāʔau	Latter form is 'wooden fence'.; Latter form is 'wooden fence'.
8	170	ditch	ʔauwaha; hā; ʔāwaʔa; ʔau-wai	Latter form is 'water ditch'.; Latter form is 'water ditch'.; Latter form is 'water ditch'.; Latter form is 'water ditch'.
8	210	plow	ʔōʔō hao; ʔōʔō palau; ʔōʔō hou; palau	
8	220	dig	ʔeli	
8	230	spade	ʔōʔō; peki	
8	240	shovel	kopalā	
8	260	fork	mana	
8	270	rake	kope; ʔōʔō kope	
8	311	seed	ʔano-ʔano; hua	
8	320	mow, reap	ʔoki	
8	330	sickle, scythe	pahi kākiwi; pahi kekeʔe	
8	410	crop, harvest	loaʔa; wā ʔohi; mea hoʔoūlu	
8	420	grain (barley, oats etc)	huna	
8	430	wheat	huika; huapalaoa	
8	450	rye	lai; rai	
8	470	maize, corn	kūlina; kūlina ʔono	
8	480	rice	laiki	
8	510	grass	mauʔu; weu-weu	
8	530	plant (noun)	lāʔau; mea ulu; lau nahele	
8	531	plant (vb)	kanu	
8	540	root	aʔa; mole; weli	
8	550	branch	lālā; mana; ʔohā	
8	560	leaf	lau	
8	570	flower	pua	
8	600	tree	lāʔau; kumu-lāʔau; kumu	
8	640	pine	lāʔau paina; paina	
8	670	vine	lāʔau hihi	
8	680	tobacco	paka	
8	690	smoke (tobacco)	puhi paka	
8	691	pipe	ipu paka	
8	720	tree stump	ʔōmuku	
8	750	bark	ʔili; ʔili lāʔau; ʔili luna	Latter form is 'outer b'.; Latter form is 'outer b'.; Latter form is 'outer b'.
8	760	sap	kohu; wai; wale; wale hau; wai lāʔau	
8	810	palm tree	pāma; pālama	
8	820	coconut	niu	
8	830	citrus fruit	lemi	
8	840	banana tree	maiʔa	Refers to fruit.
8	910	sweet potato	ʔuala	
8	912	yam	uhi	
8	920	tapioca, manioc, cassava	manioka; kapioka	
8	930	gourd	ʔumeke; ipu; pā ipu; hue; pōhue	
8	931	pumpkin, squash	palaʔai; ipu-pū; pū	
8	940	bamboo	ʔohe	
8	941	sugar cane	kō	
8	980	mushroom	kūkaelio; māmalu	
9	110	do, make	hana; lawe-lawe	
9	120	work	hana	
9	140	bend	pelu; hoʔopiʔo; hoʔokeʔe; hoʔokekeʔe	
9	150	fold	ʔopi; pelu; ʔopi-ʔopi; pelu-pelu; ʔōwili	
9	160	tie, bind	hīkiʔi; nīkiʔi; lawa; hele; hoa; paʔi; hīpuʔu; hana paʔa	
9	161	untie	wehe; ʔuwehe; kala	
9	180	chain	kaula; kaula hao	
9	190	rope, cord	kaula	
9	192	knot (noun)	hīpuʔu; kīpuʔu; nīpuʔu	'Slipknot' is pikoholo.; 'Slipknot' is pikoholo.; 'Slipknot' is pikoholo.
9	210	strike (hit, beat)	pepehi; kuʔi; paʔi; hahau; kū; kā; pā	
9	220	cut	ʔoki; hōʔoki; moku; mō	
9	223	stab	hou; ʔō; puka	'Pierce' is ʔō; hou; pahu; ʔōʔō.; 'Pierce' is ʔō; hou; pahu; ʔōʔō.; 'Pierce' is ʔō; hou; pahu; ʔōʔō.
9	240	scissors, shears	ʔūpā	
9	250	ax	kipikua	
9	251	adze	koʔi; lipi	
9	270	split	wahī	
9	280	tear	hae; nahae; haehae	
9	290	flay, skin	ʔili	
9	310	rub, wipe	ʔānai; kuai; kuolo; hoana; kāwele; holoi; hāleu	
9	320	stretch	kīkoʔo-koʔo	
9	330	pull	ʔume; huki; ʔuʔu	
9	340	spread out	hoʔopuehu; lū; lūlū	
9	341	hang up	hoʔolewa-lewa; lewa-lewa; kau	
