pronoun     	tôi   	me                  	me                                                                                                               	i; me; mine                
interjection	biến  	get lost            	I shall transform with magic                                                                                     	get lost                   
preposition 	trái  	                    	                                                                                                                 	                           
pronoun     	trò   	                    	you, a student in my class where I'm the teacher                                                                 	                           
determiner  	mỗi   	every               	each; every                                                                                                      	every                      
particle    	hôn   	                    	                                                                                                                 	                           
pronoun     	chàng 	                    	you, my beloved man                                                                                              	                           
interjection	nè    	                    	hey!                                                                                                             	                           
particle    	dậy   	                    	                                                                                                                 	                           
pronoun     	nghỉ  	                    	he; him                                                                                                          	                           
preposition 	giữa  	amongst; between    	                                                                                                                 	amongst; between           
pronoun     	già   	                    	/me/you, a village/tribe elder or elderly person                                                                 	                           
pronoun     	thầy  	                    	                                                                                                                 	                           
conjunction 	phi   	                    	if it isn't                                                                                                      	                           
pronoun     	nàng  	                    	you, my beloved woman                                                                                            	                           
pronoun     	thị   	                    	she/her, that criminal                                                                                           	                           
preposition 	quanh 	                    	                                                                                                                 	                           
preposition 	mãi   	                    	                                                                                                                 	                           
pronoun     	cưng  	                    	you kid; kiddo; honey; dear; darling; sweetheart                                                                 	                           
pronoun     	chi   	                    	                                                                                                                 	                           
preposition 	ngoại 	                    	                                                                                                                 	                           
pronoun     	chế   	                    	                                                                                                                 	                           
pronoun     	chả   	                    	he/him, that dude                                                                                                	                           
interjection	ê     	                    	hey                                                                                                              	                           
interjection	phù   	phew                	phew                                                                                                             	phew; whew                 
conjunction 	kì    	                    	until; till                                                                                                      	                           
pronoun     	huynh 	                    	you refers to the male senior among the speakers                                                                 	                           
conjunction 	cộng  	                    	plus                                                                                                             	                           
preposition 	cạnh  	by                  	                                                                                                                 	by                         
particle    	nha   	                    	                                                                                                                 	                           
pronoun     	mi    	you                 	you                                                                                                              	thou                       
interjection	khổ   	                    	enough already; geez                                                                                             	                           
pronoun     	e     	                    	                                                                                                                 	                           
particle    	ờ     	yes; yeah           	                                                                                                                 	yeah; yes; uh-huh          
interjection	ờ     	uh; er              	uh; er                                                                                                           	you know                   
pronoun     	ả     	                    	she/her, that little slut                                                                                        	                           
pronoun     	đệ    	                    	you refers to the male junior among the speakers                                                                 	                           
interjection	cú    	                    	hoot                                                                                                             	                           
particle    	dạ    	yes                 	                                                                                                                 	yes                        
conjunction 	miễn  	as long as          	provided, as long as, if                                                                                         	as long as                 
interjection	cóc   	                    	no                                                                                                               	                           
interjection	ha    	                    	ha laughter                                                                                                      	                           
particle    	ha    	                    	yes?; no?; m'kay?; amirite?                                                                                      	                           
pronoun     	cụ    	                    	you, Sir, Madam, Mr, Mrs                                                                                         	                           
conjunction 	tuy   	                    	although; though                                                                                                 	                           
particle    	đương 	                    	                                                                                                                 	                           
pronoun     	bồ    	                    	you, my pal/mate/buddy                                                                                           	                           
pronoun     	mô    	                    	where                                                                                                            	                           
interjection	đéo   	                    	no, like fuck                                                                                                    	                           
interjection	cút   	get lost            	Beat it!; Take a hike!; Get lost!                                                                                	get lost                   
interjection	cứt   	                    	Bullshit!; Rubbish!                                                                                              	                           
conjunction 	ví    	                    	supposing ; if                                                                                                   	                           
interjection	be    	                    	bleat; baa                                                                                                       	                           
preposition 	mũ    	                    	                                                                                                                 	                           
pronoun     	muội  	                    	you refers to the female junior among the speakers                                                               	                           
conjunction 	nhi   	                    	and, and then, and yet                                                                                           	                           
interjection	cu    	                    	coo                                                                                                              	                           
preposition 	kém   	to                  	                                                                                                                 	to                         
interjection	tùng  	                    	                                                                                                                 	                           
interjection	bê    	                    	                                                                                                                 	                           
interjection	ái    	                    	ow; ouch                                                                                                         	                           
interjection	xí    	                    	Indicating mild discontent or disgust: ugh! huh! fie! hell!                                                      	                           
particle    	đê    	                    	                                                                                                                 	                           
determiner  	muôn  	                    	all                                                                                                              	                           
pronoun     	đẳng  	                    	that side; that place; that way                                                                                  	                           
pronoun     	toa   	                    	you                                                                                                              	                           
pronoun     	ngộ   	                    	me                                                                                                               	                           
conjunction 	ngộ   	                    	|in case of; if by chance                                                                                        	                           
pronoun     	tê    	                    	that; there; those                                                                                               	                           
interjection	hù    	boo                 	boo                                                                                                              	boo                        
particle    	há    	                    	isn't it                                                                                                         	                           
interjection	mợ    	                    	|fuck                                                                                                            	                           
interjection	địt   	                    	Shit!; Fuck!                                                                                                     	                           
conjunction 	le    	                    	but; however                                                                                                     	                           
interjection	hí    	                    	neigh                                                                                                            	                           
determiner  	í     	                    	|that|from=northern Vietnam                                                                                      	                           
particle    	í     	                    	                                                                                                                 	                           
pronoun     	ace   	                    	                                                                                                                 	                           
conjunction 	kẻo   	                    	for fear that; otherwise; in case of                                                                             	                           
pronoun     	út    	                    	you, my youngest sibling                                                                                         	                           
determiner  	ni    	                    	this                                                                                                             	                           
interjection	chíp  	                    	chirp; peep                                                                                                      	                           
conjunction 	dẫu   	                    	although; despite; in spite of                                                                                   	                           
preposition 	thâu  	                    	                                                                                                                 	                           
pronoun     	nao   	                    	|which                                                                                                           	                           
interjection	méo   	                    	                                                                                                                 	                           
preposition 	vs    	                    	                                                                                                                 	                           
interjection	dô    	                    	A common toast used when drinking in company                                                                     	                           
interjection	úi    	                    	An expression of surprise                                                                                        	                           
interjection	hơ    	                    	                                                                                                                 	                           
pronoun     	khứa  	                    	he; that bloke                                                                                                   	                           
interjection	chài  	                    	                                                                                                                 	                           
pronoun     	min   	                    	me                                                                                                               	                           
interjection	keng  	                    	clank; clang; clink                                                                                              	                           
particle    	dzô   	                    	                                                                                                                 	                           
interjection	dzô   	                    	                                                                                                                 	                           
interjection	gâu   	                    	bark; ruff; arf; woof; au au; bow-wow                                                                            	                           
conjunction 	hễ    	if                  	if; whenever; each time                                                                                          	if                         
interjection	meo   	meow                	meow; miaow                                                                                                      	meow                       
interjection	chít  	                    	squeak; eek; brux                                                                                                	                           
interjection	ứ     	                    	nuh-uh                                                                                                           	                           
interjection	chậc  	tut tut             	tsk; tut                                                                                                         	tut tut                    
conjunction 	đặng  	                    	in order to, so that                                                                                             	                           
particle    	đặng  	                    	                                                                                                                 	                           
interjection	cạch  	                    	                                                                                                                 	                           
pronoun     	choa  	                    	we; us                                                                                                           	                           
interjection	thịch 	                    	                                                                                                                 	                           
pronoun     	tau   	                    	                                                                                                                 	                           
interjection	hic   	hic                 	sob                                                                                                              	hic                        
determiner  	ghe   	                    	many, much; a lot                                                                                                	                           
pronoun     	thẩy  	                    	|he; him                                                                                                         	                           
interjection	nghé  	                    	                                                                                                                 	                           
interjection	ực    	                    	glug; gulp                                                                                                       	                           
pronoun     	bậu   	                    	you                                                                                                              	                           
interjection	quạc  	                    	                                                                                                                 	                           
interjection	hix   	hic                 	                                                                                                                 	hic                        
interjection	éc    	                    	squeal                                                                                                           	                           
interjection	啊     	                    	Used in the beginning of a sentence to indicate questioning: ah, oh, ha                                          	                           
interjection	ẳng   	                    	                                                                                                                 	                           
            
