dictionary	dictiōnārium
deceptive	captiōsus
andorra	Andorra
afghanistan	Afgania
afghanistan	Ariana
armenia	Armenia
angola	Angolia
argentina	Argentina
argentina	Argentína
brazil	Brasilia
bahamas	Insulae Bahamenses
canada	Canada
switzerland	Helvētia
chile	Cile
chile	Chile
cyprus	Cyprus
sect	cultus
political	polīticus
pseudonym	pseudonymum
false	falsus
false	mendax
false	fictus
spain	Hispania
ethiopia	Aethiopia
aids	SCDI
disease	morbus
disease	aegror
disease	infirmitas
disease	languor
epidemic	luēs
equatorial guinea	Guinea Aequinoctialis
hungary	Hungaria
indonesia	Indonesia
ireland	Hibernia
india	India
iran	Irania
italy	Ītalia
italy	Latina
kenya	Kenia
early	matutinus
early	praecox
welcome	volens
welcome	acceptus
welcome	amicus
welcome	salve
welcome	salvete
welcome	benevente!
welcome	beneventi!
welcome	alicuius adventu festum agere
welcome	alicuius adventu festum ago
welcome	adventu festum ago
lebanon	Libanus
madagascar	Madagascaria
marshall islands	Insulae Marsalienses
mongolia	Mongolia
malta	Melita
malta	Melitē
mozambique	Mozambicum
namibia	Namibia
translation	trānslātiō
translation	interpretātiō
translation	translatio
translation	traductio
french	lingua Francogallica
french	Galli
french	Francogalli
french	francogallicus
french	Gallicus
standard	norma
standard	vexillum
peru	Peru
peru	Perua
peru	Peruvia
peru	Peruvium
portugal	Lusitania
portugal	Portugallia
portugal	Portus Cale
qatar	Quataria
slovenia	Slovenia
san marino	Sanctus Marinus
san marino	Marinum
thailand	Thailandia
turkey	gallopāvō
tanzania	Tanzania
ukraine	Ucraina
united states	Civitates Foederatae Americae
yemen	Iemenia
skillful	perītus
skillful	sollers
mortar	mortārium
mortar	pīsō
current	flumen
current	cursus
current	aestus
financial	pecūniārius
pollution	contaminatio
automatic	automatus
software	programmatura
interlingua	Interlingua
computer	computatrum
computer	ordinatrum
computer	computador
computer	Colombia
computer	computadora
computer	ordenador
spanish	hispanicus
spanish	hispanica
spanish	hispanicum
spanish	lingua Hispanicus
lol	corrideō
portuguese	lusitanus
absence	absentia
absurd	absurdus
abyss	barāthrum
abyss	vorāgō
acceleration	accelerātiō
acceleration	acceleratio
accomplish	patrō
accomplish	perpetrō
accomplish	peragō
accomplice	correus
accompany	comitō
greek	lingua graeca
greek	graecē
greek	Graecus
greek	Graeca
accost	affor
accredit	accustor
accreditation	accreditatio
accuse	accūsō
accuse	criminor
accustom	assuefacio
australia	Australia
bosnia and herzegovina	Bosnia et Herzegovia
bosnia and herzegovina	Bosnia et Herzegovina
barbados	Barbāta
benin	Beninum
belarus	Ruthenia Alba
belarus	Belorussia
belarus	Russia Alba
belarus	Albarussia
uzbekistan	Usbecia
burp	erugo
acerbity	acerbitās
achieve	pervenio
general	generālis
general	generalis
general	imperator
general	dux
choir	chorus
choir	concentus
map	charta
map	tabula
map	itinerārium
index	index
afghan	afghanicus
wales	Cambria
tajikistan	Tadzikistania
turks and caicos islands	Īnsulae Turcensēs et Caicensēs
sri lanka	Taprobane
russia	Russia
russia	Ruthenia
kyrgyzstan	Chirgisia
indo-european	Indo-Europaeus
indo-european	indogermanicus
money	paras
money	pecunia
money	dinero
money	cobres
money	lana
money	pasta
money	pisto
money	Guatemala
money	plata
money	real
money	pecūnia
night	nox
night	tenebrae
night	nocturna tempora
night	caligo
army	exercitus
army	vires
jupiter	Iuppiter
cook islands	Insulae de Cook
croatia	Croātia
guinea	Guinea
jordan	Iordania
jordan	Iordanus
puerto rico	Portus Dives
myanmar	Birmania
baby	infans
yes	etiam
yes	ita
yes	est
yes	ita vērō
yes	vērō
yes	sīc
yes	immō
yes	immō vērō
yes	eu
yes	euge
yes	evax
yes	iō
new caledonia	Nova Caledonia
skirmish	praecursiō
skirmish	escaramuza
skirmish	enfrentamiento
skirmish	refriega
skirmish	vēlitor
stand	stō
stand	surgo
stand	perpetior
pronunciation	prōnuntiātiō
icelandic	lingua Islandica
yiddish	Judaeo-Germanicus
id card	carnet de identidad
id card	cédula de identidad
id card	credencial
id card	DNI
macedonia	Macedonia
saint vincent and the grenadines	Sanctus Vincentius et Granatinae
vatican city	Civitas Vaticana
vatican city	Vȁtikān
vatican city	Svȇtā Stòlica
taiwan	Taivania
president	praesidēns
president	praepositus
security	securitas
thin	subtīlis
thin	tenuis
thin	vescus
thin	macer
thin	gracilis
o'clock	prima hora
o'clock	primae horae
create	creō
efficacy	efficacitas
after	post
after	secundum
after	ab
after	a
after	postquam
catalan	catalana
catalan	catalanus
catalan	catalanicus
banana	ariena
banana	ariera
banana	musa
banana	banana
banana	pala
bomb	pyrobolus
bomb	bomba
bomb	urbem tormentis verberare
bomb	bombardare
brazilian	brasilianus
kindling	fōmes
church	ecclesia
church	basilica
small	parvus
small	paulus
small	iuvenis
union of soviet socialist republics	Unio Rerum Publicarum Sovieticarum Socialisticarum
cherry	cerasum
cherry	cerasus
japanese	japonicus
japanese	Iapo
japanese	lingua Japonicus
japanese	lingua Iaponicus
magenta	magentibus
magenta	rubropurpureus
purple	purpura
purple	ostrum
purple	purpureus
purple	ostrīnus
violet	viola
violet	ljȕbičica
violet	ljúbica
violet	ianthinus
violet	violaceus
white	albus
yellow	flāvus
yellow	flāvescō
citrus	citrus
prime number	numerus primus
fourth	quartus
third	tertius
third	tertia
third	tertium
third	triens
fifth	quintus
ontology	ontologia
metaphysics	metaphysica
chinese	sinēnsis
chinese	sinica
chinese	Sinesis
chinese	Sinensis
trumpet	buccina
trumpet	trumpeta
trumpet	salpinx
trumpet	classicare
cane	canna
cane	virga
tempo	temporum intervalla
sixth	sextus
sixth	sextans
eighth	octavus
eighth	octans
eighth	octavum
ninth	nonus
ninth	nonum
tenth	decimus
tenth	decuma
tenth	decimum
italian	italicus
italian	italus
italian	italis
italian	italiciānus
italian	italiānus
italian	itala
italian	italī
italian	italae
italian	italidēs
italian	lingua italica
italian	italicum
musical	mūsicālis
musical	mūsicus
football	pedilūdium
yourself	tutemet
yourself	tute
yourself	vosmet
yours	tuus
yours	tui
yours	vestri
yours	vestrum
yours	vester
yours	voster
your	tuus
your	þīn
your	vester
your	inċer
your	ēower
young	iuvenis
young	puer
young	puella
young	adolescens
written	scrīptus
fruit tree	pōmus
edible	edūlis
edible	esculentus
throne	thronus
throne	solium
queen	rēgīna
sausage	botulus
sausage	tomāclum
sausage	farcīmen
sausage	hillae
sausage	tuccētum
sausage	salsicia
hawaiian	Havaiana
hawaiian	lingua havaiana
cast	iaciō
cast	iactus
cast	escayola
cast	yeso
midnight	media nox
midnight	intempestum
mouse	mūs
mouse	soricia
keyboard	plectrologium
dual	duālis
dual	dualis
age	natus
age	aetas
age	aetās
age	tempus
age	aera
age	senescō
weekday	feria
nickel	niccolum
nature	nātūra
nature	natura
nature	indoles
person	homō
present participle	participium praesentis
hebrew	hebraeus
hebrew	hebraea
turkish	turcicus
russian	ruthenicus
russian	russus
russian	lingua Ruthenica
russian	Ruthenica
swedish	lingua Suecica
flemish	flandricus
thirteen	tredecim
fourteen	quattuordecim
million	milliō
eleventh	undecimus
eleventh	undecimum
twelfth	duodecimus
twelfth	duodecimum
thirteenth	tertius decimus
thirteenth	terdecimus
thirteenth	terdecumus
thirteenth	tredecimus
thirteenth	tertium decimum
fourteenth	quartus decimus
fifteenth	quintus decimus
fifteenth	quintum decimum
perpendicular	perpendiculāris
triangle	triangulum
polygon	polygonum
square	quadrum
square	quadrātum
square	norma
square	forum
square	quadratum
square	quadrātus
square	quadrus
hemisphere	hēmisphaerium
fifteen	quīndecim
nineteen	ūndēvīgintī
thirty	triginta
fifty	quinquaginta
sixty	sexaginta
seventy	septuaginta
eighty	octōgintā
ninety	nonaginta
thousand	mīlle
thousand	mīlia
symbol	symbolum
eighteen	octōdecim
eighteen	duodēvīgintī
five hundred	quīngentī
some	quidam
some	aliqui
some	alii
percent	per centum
percent	pro centum
coin	nummus
coin	moneta
sieve	crībrum
too	etiam
too	quoque
too	et
too	et quidem
too	item
too	idem
too	nimis
too	nimium
toe	digitus
its	eius
its	suī
its	suae
its	suus
its	huius
its	illius
for	nam
for	quod
for	quĭă
for	ad
for	ob
for	pro
for	propter
for	e
for	ex
for	inter
for	in
this	hīc
this	is
this	taj
this	hic
this	hoc
handsome	pulcher
handsome	formōsus
handsome	scitulus
handsome	apuesto
handsome	guapo
handsome	de buen parecer
handsome	lindo
handsome	buenmozo
handsome	agraciado
epitaph	titulus
epitaph	epitaphium
deer	cervus
deer	cerva
deer	ciervo
deer	venado
reindeer	tarandrus
reindeer	tarandus
zebra	hippotīgris
white stork	ciconia
red deer	cervus
alpaca	Lama pacos
anarchy	anarchia
picture	pictūra
griffon vulture	Gyps fulvus
eagle owl	Bubo bubo
xylophone	xylophonium
hunt	vēnor
hunt	venatio
wiki	vici
to	-āre
to	-ēre
to	-ere
to	-īre
to	ad
to	ut
to	et
tree	arvolé
tree	arvol
tree	arbor
arabian oryx	Oryx leucoryx
asian lion	Panthera leo persica
grey wolf	lupus
grey wolf	Canis lupus
cockroach	blatta
slender-horned gazelle	Gazella leptoceros
example	exemplum
example	exemplar
demonstrative pronoun	pronomen demonstrativum
boy	puer
boy	adulescens
boy	catulaster
girl	puella
girl	pura
girl	puera
girl	adolescens
antecedent	antecēdēns
definite article	articulus definitus
relative pronoun	pronomen relativum
possessive pronoun	pronomen possessivum
her	suus
her	eius
her	illius
her	huius
her	eam
her	ei
her	ea
her	illi
her	illam
her	illa
her	hanc
her	huic
her	hac
our	noster
their	suus
their	illorum
their	illarum
their	eorum
their	earum
their	horum
their	harum
subordinate clause	sententia subordinata
genitive	genetīvus
genitive	cāsus genitīvus
genitive	genitīvus
genitive	casus possessīvus
genitive	genitive absolute
action	āctiō
action	āctus
cardinal number	cardinale
concrete	concretus
concrete	corporalis
dative	datīvus
dative	dativus
imperative	necessus
imperative	necessum
imperative	necessitās
imperative	opus
auxiliary verb	verbum auxiliare
vowel	vōcālis
direct object	res directa
passive voice	genus passivum
passive voice	passivum
indirect object	res obliqua
nominative case	casus nominativus
nominative case	nominativus
dative case	(casus) dativus
nominative	nōminātīvus
indefinite pronoun	pronomen indefinitum
intransitive verb	verbum intransitivum
irregular	inconditus
irregular	irrēgulāris
irregular	ēnormis
irregular	anomalus
conditional	(modus) conditionalis
conditional	condicionalis
conditional	conditionalis
conditional	condiciōnālis
neuter	neuter
neuter	neutrisch
neuter	sächlich
neuter	neutral
neuter	neutralis
neuter	intransitiv
neuter	verbum neutrum
regular	rectus
regular	legitimus
regular	legitima
declension	declinatio
spaniard	hispānus
spaniard	hispāna
englishman	Anglus
kiwi fruit	kivi
yeast	fermentum
leather	cutis
leather	corium
leather	alūta
again	dēnuō
again	iterum
again	rūrsus
advertisement	prescriptio
adjustment	accommodātiō
island	insula
quadruped	quadrupēs
quadrupedal	quadrupēs
prisoner of war	dēditīcius
mikado	imperator
mikado	2=was &quot;imperator -is&quot;
qualm	defectio
qualm	fastidium
qualm	nausea
quantity	quantitās
quantity	quantum
quantity	quantitas
quantity	quantitatis
montreal	Mons Rēgius
montreal	Mōns Rēgālis
montreal	Marianopolis
belly dance	cordax
all	omnes
all	omnia
almost	paene
almost	ferē
amusement	oblectāmen
amusement	oblectāmentum
ant	formīca
any	ullus
any	ūllus
approval	approbatio
argument	argumentum
argument	iurgium
argument	argumentatio
accident	temeritās
adore	adōrō
advice	cōnsilium
indonesian	indonesicus
north	boreās
north	septentriō
north	septentrionalis
north	borēus
north	borealis
east	oriēns
east	orientalis
south	meridies
south	auster
south	australis
west	occidens
west	occidentalis
korea	Corea
earth	terra
earth	humus
earth	solum
earth	mundus
earth	saeculum
snake	anguis
snake	serpēns
snake	vipera
snake	colūbra
snake	dracō
thick	crassus
northwest	caurus
beeswax	cera
beeswax	voskovarina
beeswax	pčelinji vosak
father	pater
father	genitor
father	parens
father	atta
sister	soror
child	filius
child	filia
child	dārako
child	praetextatus
child	impubes
daughter	filia
daughter	nata
grandmother	avia
grandchild	nepos
grandchild	neptis
grandson	nepōs
grandson	prōfīlius
granddaughter	neptis
aunt	amita
aunt	mātertera
nephew	filius fratris
nephew	filius sororis
nephew	nepos
niece	filia fratris
niece	filia sororis
cousin	sobrinus
cousin	sobrina
cousin	patruelis
in-law	politicus relativus
father-in-law	socer
father-in-law	patraster
mother-in-law	socrus
brother-in-law	lēvir
brother-in-law	levir
brother-in-law	leviri
brother-in-law	levirorum
sister-in-law	glos
sister-in-law	glōs
sister-in-law	frātria
son-in-law	gener
daughter-in-law	nurus
honey	myel
honey	mel
bathroom	balneum
wing	ala
hot	calidus
hot	igneus
hot	febriculosus
hot	acer
hot	mordax
temperature	febris
lukewarm	tepidus
thai	thailandicus
thai	lingua thai
quadruple	quadruplus
quadruple	quadruplex
quadruple	quadruplicō
rainbow	pluvius arcus
rainbow	arcus
other	alter
other	alius
not	non
not	nil
not	haud
not	hau
not	haut
not	nunquam
not	ne
not	nec
not	neque
that	ut
that	cui
that	iste
that	ille
that	is
that	ista
that	istud
that	ea
that	id
that	illa
that	illud
that	qui
men	homines
male	masculus
male	mās
male	mas
male	vir
female	femineus
female	fēmina
thumb	pollex (manūs)
forefinger	index
forefinger	digitus salūtāris
middle finger	digitus medius
middle finger	digitus tertius
little finger	digitulus
vegetable	planta
vegetable	holus
tulip	tulipa
tulip	tulipan
hers	suus
hers	eius
hers	illius
hers	huius
theirs	suus
theirs	eorum
theirs	earum
theirs	illorum
theirs	illarum
theirs	horum
theirs	harum
very	ipse
very	maximē
very	summē
very	valdē
very	per-
complete	finiō
complete	compleō
complete	integer
complete	complētus
complete	effectus
visit	vīsō
visit	vīsitō
experiment	experimentum
experiment	periculum
crimson	coccineus
afrikaans	lingua
chartreuse	galbinus
annuity	annuum
annually	quotannīs
monthly	menstruus
mortgage	pignus
mortgage	hypotheca
mortgage	хипотека
mortgage	pignerō
chocolate	cacaotica
chocolate	socolata
pigment	pigmentum
homonym	homonymum
finale	fīnis
finale	terminus
finale	exitus
finale	extrēmus
finale	perāctiō
finale	exodium
candidate	candidatus
available	parābilis
available	promptus
indigo	indicum
ivory	ebur
ivory	eburneus
vertebra	vertebra
bronze	aes
bronze	pyrōpus
unutterable	ineffābilis
unutterable	īnfandus
backbone	columna vertebralis
backbone	spina
antler	cornu (rāmōsum)
comet	comētēs
comet	stella crītīna
tadpole	ranunculus
tadpole	ranula
coral	corallium
ebony	hebeneus
ebony	hebenus
suffix	suffixum
suffix	affixum
travel	iter facio
travel	vio
travel	itineror
travel	ambulo
travel	relego
travel	iter
olive	olīva
olive	olea
saffron	crocus
saffron	safranum
saffron	title=Geoffrey Chaucer: Building the Fragments of the Canterbury Tales
tortoise	testūdō
pen	hara
pen	calamus
chair	sella
chair	sēdēs
chair	sedīle
chair	cathedra
chair	solium
salmon	salmō
tin	stannum
chain	catēna
chain	vinculum
chain	lanac
chain	veruga
chain	veriga
chain	verige
chain	catena
russet	russus
silly	stultus
silly	fatuus
silly	ineptus
silly	excors
fascism	fascismus
however	tamen
however	utut
vermilion	miniānus
helicopter	helicopterum
mosquito	culex
hello	salvē
hello	salvēte
hello	avē
hello	avēte
hello	audio
hello	dico
hello	aló
hello	bueno
hello	diga
hello	dígame
hello	hola
hello	Uruguay
hello	oigo
hello	¿sí?
goodbye	valē
goodbye	valēte
goodbye	bene ambulā
amber	succinum
amber	sūcinum
amber	glaesum
amber	ēlectrum
periodic table	systema periodicum
enough	satis
enough	affatim
enough	de hoc satis!
tangerine	citrus tangerina
city	urbs
city	civitas
civic	civilis
civil	civilis
priest	sacerdōs
priest	flāmen
priest	sacrārius
jehovah	Iehova
hallelujah	allelūia
mustard	sināpe
mustard	sināpi
strawberry	frāgum
strawberry	fragaria
scarlet	coccum
scarlet	coccinus
scarlet	puniceus
lemon	citreus
grape	uva
cinnamon	cinnamōmum
cinnamon	cinnamum
emerald	smaragdus
emerald	smaragdīnus
epilepsy	epilēpsia
equinox	aequinoctium
hazel	corylus
sapphire	sapphirus
chestnut	castanea
chestnut	spādīx
chestnut	spādix
charcoal	carbō
carmine	cocceus
amethyst	amethystus
unveil	dēvēlō
unveil	aperiō
whitewash	albārium
whitewash	dealbo
fortune	fortuna
gross domestic product	proventus domesticus grossus
plaza	platea
stamina	firmitās
luck	fortūna
luck	fors
guinea pig	Cavia porcellus
melancholy	melancholia
pancreas	pancreas
palace	rēgia
palace	palatium
handmaid	pedisequa
leaflet	libellus
duct	canālis
bucket	situla
bucket	hama
proverb	adagiō
proverb	adagium
proverb	paroemia
proverb	proverbium
proverb	sententia
new south wales	Nova Cambria Australis
northern territory	Territorium Septentrionale
victoria	Victoria
island state	civitas insularis
www	TTT
melburnian	Melburniensis
pronoun	prōnōmen
pronoun	prōvocābulum
upbraid	opprobrō
soak	imbuō
basin	alveus
basin	lābrum
basin	pelvis
basin	lebes
comely	venustus
listen	auscultō
listen	audiō
listen	exaudio
listen	ausculto
listen	exaudiō
listen	audio
bite	mordeō
bite	morsico
bite	īcō
bite	morsus
bite	ictus
song	kantiga
song	kantika
song	cantus
song	carmen
song	canor
sing	canō
sing	cantō
breathe	spiro
breathe	respiro
breathe	hālō
begin	incipiō
begin	ordior
begin	initiō
begin	committō
begin	ineō
begin	onġinnan
begin	beginnan
bran	acus
bran	āplūda
bran	canicae
safe and sound	sani salvique
safe and sound	incolumis
safe	tūtus
safe	securus
safe	fidus
safe	arca
payment	pensiō
ceará	Siara
rio de janeiro	Fluminis Ianuarii
rio de janeiro	Rivi Ianuarii
rio de janeiro	Urbs Fluminensis
são paulo	Sanctus Paulus
save	succurro
save	subvenio
save	iuvo
save	adiuvo
save	opitulor
save	auxilior
save	servo
-able	-baar
-able	-abel
-able	-bar
-able	-ābilis
-able	-abilis
-able	-ibilis
handful	manipulus
handful	pugillum
piece	pars
piece	fragmentum
piece	frustum
piece	mica
from	ab
from	a
from	ex
from	e
since	abhinc
since	ab
since	a
since	cum
since	quoniam
look	specto
look	video
look	tueor
look	obtueor
look	simulo
look	pareo
look	videor
look	quaero
look	do
look	expecto
look	spectare
look	age, agite (plural)
we	nōs
we	wit
we	wē
we	mi
she	ea
she	illa
she	haec
gaffe	metida de pata
gaffe	metedura de pata
gaffe	desliz
gaffe	pifia
gaffe	cagada
gaffe	gazapo
him	eī
him	illī
him	istī
him	huic
him	eum
him	illum
him	hunc
him	istum
him	eō
him	illō
him	hōc
him	istō
them	is
them	ille
them	hic
taiwanese	taiwanensis
talent	tălentum
talent	indoles
wisdom tooth	dēns sapientiae
hair	pilus
hair	coma
hair	capillus
hair	crinis
mouth	ōs
tongue	lengua
tongue	lingua
foot	pēs
knee	genu
knee	geniculum
neck	collum
neck	cervīx
canary	canaria fringilla
snail	cochlea
pizza	placenta neapolitana
pizza	pitta
mongrel	hibrida
millstone	mola
precise	exāctus
who	quis
who	qui
who	quae
who	quod
whose	cuius
whose	quorum
whose	quarum
whose	cūius
whom	quem
whom	quam
whom	cui
whom	quod
slim	gracilis
british columbia	Columbia Britannica
prince edward island	Insula principis Eduardi
northwest territories	Territoria Septentrio-Occidentalia
translate	trādūcō
translate	interpreto
translate	interpretor
translate	transfero
punjab	Pengabum
punjab	Pentapotamia
karnataka	Carnatica
grafting	insitiō
pyre	rogus
pyre	pyra
saying	dictum
saying	fatus
saying	ēlogium
lingua franca	lingua franca
goose	anser
goose	avica
ottawa	Ottavia
said and done	dictum et factum
street	via
street	vicus
street	platea
trail	vestīgia
trail	semita
trail	trāmes
traffic	transitus
traffic	tráfico
traffic	tránsito
traffic	circulación
traffic	commercium
motorway	autovia
gangway	agea
sidewalk	trotoar
sidewalk	pločnik
basque	Vasconicus
bulgarian	bulgaricus
bulgarian	lingua Bulgarica
given name	praenōmen
virtue	virtūs
arabic	arabicus
arabic	arabice
british	Britanniae
briton	Britannus
republic	repuvlika
republic	republika
republic	rēspūblica
republic	respublica
deem	opinor
usage	ūsus
weather	caelum
weather	status caeli
weather	tempestas
whether	utrum
although	quamquam
while	dum
thank you	gratiās
thank you	gratiās agō
thank you	gratiās tibi
thank you	gratiās vobis
thank you	tibi gratiās agō
thank you	benignē dīcis
thank you very much	gratias maximas ago
hard	dūrus
hard	difficilis
give birth	pariō
give birth	creo
georgetown	Georgiopolis
opportunity	opportūnitās
opportunity	ampla
gravity	gravitās
velocity	vēlōcitās
velocity	celeritās
