указ 	 noun 	 ukase 	 enactment, ordinance, decree, edict, ukase
масленица 	 noun 	 butter 	 butter churn
масленица 	 noun 	 churn 	 butter churn
скот 	 noun 	 livestock 	 cattle, livestock
скот 	 noun 	 cattle 	 cattle, livestock
скот 	 noun 	 beast 	 brute, beast
скот 	 noun 	 brute 	 brute, beast
произношение 	 noun 	 pronunciation 	 pronunciation
произношение 	 noun 	 articulation 	 articulation
мэр 	 noun 	 mayor 	 mayor
водка 	 noun 	 vodka 	 vodka
водка 	 noun 	 anisette 	 anisette
водка 	 noun 	 gin 	 gin
водка 	 noun 	 aqua regia 	 aqua regia
водка 	 noun 	 applejack 	 applejack
яблоко 	 noun 	 apple 	 apple
яблоко 	 noun 	 Adam's apple 	 t=Adam's apple
яблоко 	 noun 	 apple of discord 	 t=apple of discord
яблоко 	 noun 	 dappled 	 t=dappled
яблоко 	 noun 	 eyeball 	 eyeball глазно́е я́блоко
язык 	 noun 	 tongue 	 tongue
язык 	 noun 	 language 	 language
язык 	 noun 	 prisoner 	 prisoner for interrogation, canary, informer
язык 	 noun 	 canary 	 prisoner for interrogation, canary, informer
язык 	 noun 	 informer 	 prisoner for interrogation, canary, informer
язык 	 noun 	 clapper 	 clapper
царь 	 noun 	 emperor 	 tsar, Russian emperor
царь 	 noun 	 tsar 	 tsar, Russian emperor
царь 	 noun 	 king 	 king
царица 	 noun 	 tsarina 	 tsarina, tsaritsa
царица 	 noun 	 tsaritsa 	 tsarina, tsaritsa
царица 	 noun 	 queen 	 empress, queen
царица 	 noun 	 empress 	 empress, queen
царица 	 noun 	 queen 	 queen
вата 	 noun 	 cotton 	 absorbent cotton, cotton wool, wadding, batting
вата 	 noun 	 wadding 	 absorbent cotton, cotton wool, wadding, batting
вата 	 noun 	 cotton wool 	 absorbent cotton, cotton wool, wadding, batting
вата 	 noun 	 batting 	 absorbent cotton, cotton wool, wadding, batting
вата 	 noun 	 cotton 	 cloth drugstore cotton
лисица 	 noun 	 fox 	 fox
лисица 	 noun 	 vixen 	 vixen
гулаг 	 noun 	 gulag 	 |chief administration of correctional labor camps: gulag
где 	 adverb 	 where 	 where
где 	 conjunction 	 where 	 where
русский 	 adjective 	 Russian 	 Russian, related to Russian ethnicity, language, or culture
русский 	 adjective 	 vodka 	 Russian vodka
русский 	 adjective 	 muskrat 	 ver=161017) Russian desman, Russian muskrat
русский 	 adjective 	 desman 	 ver=161017) Russian desman, Russian muskrat
русский 	 adjective 	 lock 	 Russian lock, Sklifosovsky’s lock
русский 	 adjective 	 Russian sturgeon 	 ver=161017) Russian sturgeon
русский 	 adjective 	 rely 	 q=said about the alleged unconcern of Russians and their tendency to rely on luck
русский 	 adjective 	 alleged 	 q=said about the alleged unconcern of Russians and their tendency to rely on luck
русский 	 adjective 	 tendency 	 q=said about the alleged unconcern of Russians and their tendency to rely on luck
русский 	 adjective 	 luck 	 q=said about the alleged unconcern of Russians and their tendency to rely on luck
русский 	 adjective 	 unconcern 	 q=said about the alleged unconcern of Russians and their tendency to rely on luck
русский 	 adjective 	 ballet 	 Russian ballet
русский 	 adjective 	 hockey 	 Russian hockey
русский 	 adjective 	 Russian 	 Russian, related to the Russian state
русский 	 noun 	 Russian 	 a Russian, an ethnic Russian person россия́нин
русский 	 noun 	 Russian 	 a Russian a citizen or resident of Russia
русский 	 noun 	 language 	 the Russian language
лук 	 noun 	 onion 	 onion, onions
лук 	 noun 	 scallion 	 scallion
лук 	 noun 	 leek 	 leek
лук 	 noun 	 bow 	 bow
лук 	 noun 	 appearance 	 appearance, clothing style, look
ксилофон 	 noun 	 xylophone 	 xylophone
любовник 	 noun 	 lover 	 lover
любовник 	 noun 	 paramour 	 paramour
почти 	 adverb 	 nearly 	 almost, nearly
почти 	 adverb 	 almost 	 almost, nearly
весь 	 pronoun 	 whole 	 all, the whole, the whole of
весь 	 pronoun 	 all 	 all, the whole, the whole of
весь 	 pronoun 	 everything 	 everything, all
весь 	 pronoun 	 all 	 everything, all
весь 	 pronoun 	 everybody 	 everybody, everyone
весь 	 pronoun 	 everyone 	 everybody, everyone
весь 	 noun 	 village 	 village
она 	 pronoun 	 she 	 she, it third-person feminine singular pronoun
она 	 pronoun 	 it 	 she, it third-person feminine singular pronoun
она 	 pronoun 	 genitive 	 q=genitive|She’s not home
она 	 pronoun 	 dative 	 q=dative|She is unable to sleep
она 	 pronoun 	 accusative 	 q=accusative|I see her
она 	 pronoun 	 instrumental 	 q=instrumental|She owes five rubles
она 	 pronoun 	 prepositional 	 q=prepositional|He said it in her presence
как 	 adverb 	 how 	 how
как 	 adverb 	 what 	 what
как 	 adverb 	 much 	 as, however much
как 	 adverb 	 however 	 as, however much
как 	 adverb 	 as 	 as, however much
как 	 adverb 	 s:ru:Соборяне  	 * year=1872|author=Николай Семёнович Лесков |title=Соборяне|volume_plain=part 4, chapter 6|text=Как его́ ни упра́шивали хоть что́-нибудь вы́пить, он на все про́сьбы отвеча́л
как 	 adverb 	 suddenly 	 suddenly, all of a sudden
как 	 adverb 	 all of a sudden 	 suddenly, all of a sudden
как 	 adverb 	 like 	 like, as
как 	 adverb 	 as 	 like, as
как 	 conjunction 	 how 	 how
как 	 conjunction 	 what 	 what
как 	 conjunction 	 like 	 like, as
как 	 conjunction 	 as 	 like, as
птица 	 noun 	 bird 	 bird
птица 	 noun 	 fowl 	 t=poultry, fowl
птица 	 noun 	 poultry 	 t=poultry, fowl
спать 	 verb 	 sleep 	 to sleep
спать 	 verb 	 have sex 	 to have sex
погром 	 noun 	 massacre 	 pogrom, massacre
погром 	 noun 	 pogrom 	 pogrom, massacre
дом 	 noun 	 building 	 house, building
дом 	 noun 	 house 	 house, building
дом 	 noun 	 house 	 house, home as part of a name of an establishment
дом 	 noun 	 home 	 house, home as part of a name of an establishment
дом 	 noun 	 plot 	 plot
дом 	 noun 	 home 	 home
дом 	 noun 	 noble 	 dynasty, noble house
дом 	 noun 	 house 	 dynasty, noble house
дом 	 noun 	 dynasty 	 dynasty, noble house
её 	 pronoun 	 its 	 her, its
её 	 pronoun 	 her 	 her, its
её 	 pronoun 	 her 	 |acc: her, it
её 	 pronoun 	 it 	 |acc: her, it
её 	 pronoun 	 her 	 |gen: of her, of it
её 	 pronoun 	 of 	 |gen: of her, of it
её 	 pronoun 	 it 	 |gen: of her, of it
ёж 	 noun 	 hedgehog 	 hedgehog
ёж 	 noun 	 hedgehog 	 hedgehog
он 	 pronoun 	 he 	 third-person masculine singular pronoun: he, it
он 	 pronoun 	 it 	 third-person masculine singular pronoun: he, it
работа 	 noun 	 work 	 work
работа 	 noun 	 labor 	 labor, toil
работа 	 noun 	 toil 	 labor, toil
работа 	 noun 	 task 	 assignment, task
работа 	 noun 	 assignment 	 assignment, task
работа 	 noun 	 job 	 job, occupation
работа 	 noun 	 occupation 	 job, occupation
камера 	 noun 	 camera 	 camera
камера 	 noun 	 chamber 	 chamber, cell, compartment
камера 	 noun 	 compartment 	 chamber, cell, compartment
камера 	 noun 	 cell 	 chamber, cell, compartment
камера 	 noun 	 prison cell 	 prison cell, ward
камера 	 noun 	 ward 	 prison cell, ward
камера 	 noun 	 room 	 room, office
камера 	 noun 	 office 	 room, office
камера 	 noun 	 inner tube 	 inner tube
камера 	 noun 	 bladder 	 bladder
камера 	 noun 	 barrel 	 barrel
липа 	 noun 	 linden 	 lime tree, linden tree, wood, or flower
липа 	 noun 	 lime 	 lime tree, linden tree, wood, or flower
липа 	 noun 	 forgery 	 forgery, fake
липа 	 noun 	 fake 	 forgery, fake
да 	 adverb 	 yes 	 yes
да 	 conjunction 	 сочинительный 	 and (сочинительный, соединительный союз
да 	 conjunction 	 and 	 and (сочинительный, соединительный союз
да 	 conjunction 	 соединительный 	 and (сочинительный, соединительный союз
да 	 conjunction 	 союз 	 and (сочинительный, соединительный союз
да 	 conjunction 	 but 	 but
да 	 interjection 	 really 	 really
да 	 interjection 	 yes 	 yes
да 	 particle 	 let 	 let + verb
да 	 particle 	 may 	 may + verb
нет 	 adverb 	 not 	 not
нет 	 verb 	 there is 	 there is no, there are no
сера 	 noun 	 sulfur 	 sulphur, sulfur
сера 	 noun 	 sulphur 	 sulphur, sulfur
сера 	 noun 	 brimstone 	 brimstone
сера 	 noun 	 cerumen 	 earwax, cerumen
сера 	 noun 	 earwax 	 earwax, cerumen
вторник 	 noun 	 Tuesday 	 Tuesday
солнце 	 noun 	 sun 	 sun
мой 	 pronoun 	 my 	 my, mine
мой 	 pronoun 	 mine 	 my, mine
№ 	 noun 	 No. 	 No., number
№ 	 noun 	 number 	 No., number
карман 	 noun 	 pocket 	 Containers pocket
карман 	 noun 	 clipboard 	 clipboard
око 	 noun 	 eye 	 eye
обезьяна 	 noun 	 ape 	 monkey, ape
обезьяна 	 noun 	 monkey 	 monkey, ape
чай 	 noun 	 tea 	 tea
чай 	 noun 	 Camellia sinensis 	 tea plant Camellia sinensis, Thea sinensis
чай 	 noun 	 Thea sinensis 	 tea plant Camellia sinensis, Thea sinensis
чай 	 noun 	 tea plant 	 tea plant Camellia sinensis, Thea sinensis
чай 	 interjection 	 must be 	 methinks, must be, may be, hopefully, probably
чай 	 interjection 	 probably 	 methinks, must be, may be, hopefully, probably
чай 	 interjection 	 may be 	 methinks, must be, may be, hopefully, probably
чай 	 interjection 	 hopefully 	 methinks, must be, may be, hopefully, probably
чай 	 interjection 	 methinks 	 methinks, must be, may be, hopefully, probably
ручка 	 noun 	 hand 	 small hand
ручка 	 noun 	 crank 	 handle, crank
ручка 	 noun 	 handle 	 handle, crank
ручка 	 noun 	 knob 	 knob
ручка 	 noun 	 grip 	 grip
ручка 	 noun 	 chair 	 chair arm
ручка 	 noun 	 arm 	 chair arm
ручка 	 noun 	 lever 	 lever
ручка 	 noun 	 pen 	 Writing instruments pen
ручка 	 noun 	 pen 	 pen holder
ручка 	 noun 	 holder 	 pen holder
арба 	 noun 	 araba 	 araba
арба 	 noun 	 пыл 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 следовать 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 тронуться 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 и 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 ше́ствие 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 дорога 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 смирять 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 готовый 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 в 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 конь 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 она 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 за 	 * year=1829|title=Тазит|author=Alexander Pushkin|passage=В доро́гу ше́ствие гото́во, / И тро́нулась арба́. За ней / Адехи сле́дуют суро́во, / Смиря́я молча пыл коне́й...|translation=On the road the procession is ready and the cart has set off. The Adyge men follow grimly after it, silently subduing the ardor of the horses
арба 	 noun 	 s:The Duel /Chapter 6 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 :s:ru:Дуэль VI 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 когда́ 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 кричать 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 осёл 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 верхо́м 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 навстре́чу 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 попадаться 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 на 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 w:Novoye Vremya  	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 и́ли 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 во всё го́рло 	 * year=1891|author=Антон Павлович Чехов |title=Новое время|chapter=Дуэль|year2=2004|translators2=Larissa Volokhonsky; Richard Pevear|title2=The Complete Short Novels|chapter2=The Duel|passage=Пррава! — крича́л во всё го́рло Само́йленко, когда́ попада́лась навстре́чу арба́ и́ли абха́зец верхо́м на осле́.|translation="Keep r-r-right!" Samoilenko shouted at the top of his lungs whenever they met a native cart or an Abkhazian riding a donkey
арба 	 noun 	 окунуться 	 * year=1888|author=Антон Павлович Чехов |title=Новое время|chapter=Красавицы|year2=1920|translator2=Constance Garnett|title2=The Schoolmistress and other stories|chapter2=The Beauties|publisher2=Chatto &amp; Windus|url2=https://archive.org/details/cu31924014264661/page/n295 IA |page2=289|passage=... краси́во изгиба́ясь под тя́жестью хле́ба, она́ побежа́ла че́рез двор  гумну́, шмыгну́ла че́рез плете́нь , окуну́вшись  о́блако золоти́стой поло́вы, скры́лась за а́рбами.|translation=... swaying gracefully under the weight of the bread, she ran across the yard to the threshing-floor, darted over the hurdle, and, wrapt in a cloud of golden chaff, vanished behind the carts
арба 	 noun 	 :s:ru:Красавицы  	 * year=1888|author=Антон Павлович Чехов |title=Новое время|chapter=Красавицы|year2=1920|translator2=Constance Garnett|title2=The Schoolmistress and other stories|chapter2=The Beauties|publisher2=Chatto &amp; Windus|url2=https://archive.org/details/cu31924014264661/page/n295 IA |page2=289|passage=... краси́во изгиба́ясь под тя́жестью хле́ба, она́ побежа́ла че́рез двор  гумну́, шмыгну́ла че́рез плете́нь , окуну́вшись  о́блако золоти́стой поло́вы, скры́лась за а́рбами.|translation=... swaying gracefully under the weight of the bread, she ran across the yard to the threshing-floor, darted over the hurdle, and, wrapt in a cloud of golden chaff, vanished behind the carts
арба 	 noun 	 плете́нь 	 * year=1888|author=Антон Павлович Чехов |title=Новое время|chapter=Красавицы|year2=1920|translator2=Constance Garnett|title2=The Schoolmistress and other stories|chapter2=The Beauties|publisher2=Chatto &amp; Windus|url2=https://archive.org/details/cu31924014264661/page/n295 IA |page2=289|passage=... краси́во изгиба́ясь под тя́жестью хле́ба, она́ побежа́ла че́рез двор  гумну́, шмыгну́ла че́рез плете́нь , окуну́вшись  о́блако золоти́стой поло́вы, скры́лась за а́рбами.|translation=... swaying gracefully under the weight of the bread, she ran across the yard to the threshing-floor, darted over the hurdle, and, wrapt in a cloud of golden chaff, vanished behind the carts
арба 	 noun 	 под 	 * year=1888|author=Антон Павлович Чехов |title=Новое время|chapter=Красавицы|year2=1920|translator2=Constance Garnett|title2=The Schoolmistress and other stories|chapter2=The Beauties|publisher2=Chatto &amp; Windus|url2=https://archive.org/details/cu31924014264661/page/n295 IA |page2=289|passage=... краси́во изгиба́ясь под тя́жестью хле́ба, она́ побежа́ла че́рез двор  гумну́, шмыгну́ла че́рез плете́нь , окуну́вшись  о́блако золоти́стой поло́вы, скры́лась за а́рбами.|translation=... swaying gracefully under the weight of the bread, she ran across the yard to the threshing-floor, darted over the hurdle, and, wrapt in a cloud of golden chaff, vanished behind the carts
арба 	 noun 	 тяжесть 	 * year=1888|author=Антон Павлович Чехов |title=Новое время|chapter=Красавицы|year2=1920|translator2=Constance Garnett|title2=The Schoolmistress and other stories|chapter2=The Beauties|publisher2=Chatto &amp; Windus|url2=https://archive.org/details/cu31924014264661/page/n295 IA |page2=289|passage=... краси́во изгиба́ясь под тя́жестью хле́ба, она́ побежа́ла че́рез двор  гумну́, шмыгну́ла че́рез плете́нь , окуну́вшись  о́блако золоти́стой поло́вы, скры́лась за а́рбами.|translation=... swaying gracefully under the weight of the bread, she ran across the yard to the threshing-floor, darted over the hurdle, and, wrapt in a cloud of golden chaff, vanished behind the carts
