pronoun 	 mi 	 me 	 me; i 	 the one who is speaking, me, myself 	 i; myself; me
interjection 	 hura 	 yay 	 yay 	 hooray! 	 yay; hurrah; hooray
determiner 	 ĉies 	  	  	 belonging to everyone, everyone's 	 
pronoun 	 ies 	 someone's 	 someone's 	 someone's 	 somebody's
preposition 	 far 	 by 	 by 	  	 by
interjection 	 nedankinde 	 no problem 	 no problem 	 you're welcome 	 no problem; my pleasure
pronoun 	 ŝiajn 	  	  	  	 
conjunction 	 k 	  	  	 |and 	 
interjection 	 oho 	  	  	 oho, aha 	 
preposition 	 na 	  	  	  	 
pronoun 	 chiu 	  	  	  	 
determiner 	 chiu 	  	  	  	 
interjection 	 ach 	  	  	  	 
determiner 	 unu 	  	  	  	 
interjection 	 aĉ 	 yuck 	 yuck 	  	 yuck; dammit; ew; uh-oh; bother; ugh
preposition 	 laux 	  	  	  	 
pronoun 	 chio 	  	  	  	 
conjunction 	 minus 	  	  	  	 
preposition 	 che 	  	  	  	 
determiner 	 shia 	  	  	  	 
preposition 	 kontrau 	  	  	  	 
preposition 	 lau 	  	  	  	 
pronoun 	 shin 	  	  	  	 
interjection 	 hu 	 ooh 	 ooh 	 oh, ooh, oof, wow 	 ooh; boo
interjection 	 bv 	  	  	 |please 	 
conjunction 	 char 	  	  	  	 
pronoun 	 ŝ 	  	  	 |she 	 
particle 	 chi 	  	  	  	 
determiner 	 alies 	  	  	  	 
interjection 	 hola 	  	  	 hey, oi 	 
interjection 	 ŭaŭ 	 wow 	 wow 	 wow 	 wow
interjection 	 pa 	  	  	 pah 	 
particle 	 ĉ 	  	  	  	 
preposition 	 ĉ 	  	  	  	 
interjection 	 adiau 	  	  	  	 
determiner 	 chia 	  	  	  	 
determiner 	 ambau 	  	  	  	 
pronoun 	 iojn 	  	  	  	 
interjection 	 ŝŝ 	 shh 	 shh 	 shh 	 shh
preposition 	 cis 	 on this side of 	 on this side of 	  	 on this side of
