plurality	template	language	nominative-singular	accusative	dative	ablative	instrumental	locative	vocative	
singular	audible	en	reverberates	he hears	he turns towards	he retreats from	he navigates by way of	he was near	O {{noun}}!	
singular	audible	la	reverberat	audit	vertit	recedit	navigat	erat	O {{noun}}!	
singular	audible	emoji	{{noun}}🗯️	👂{{noun}}	{{noun}}🚶	←🚶{{noun}}	{{noun}}🚶	🚶{{noun}}	{{noun}}🚶💬!	
plural	audible	en	reverberate	he hears	he turns towards	he retreats from	he navigates by way of	he was near	O {{noun}}!	
plural	audible	la	reverberant	audit	vertit	recedit	navigat	erat	O {{noun}}!	
plural	audible	emoji	{{noun}}🗯️	👂{{noun}}	{{noun}}🚶	←🚶{{noun}}	{{noun}}🚶	🚶{{noun}}	{{noun}}🚶💬!	
singular	construction	en	is built	they build	he walks to 	he walks away from	it is fortified by way of	he walks by	O {{noun}}!	
singular	construction	la	aedificāvit	aedificant	ambulat	ambulat	mūnītur	ambulat	O {{noun}}!	
singular	construction	emoji	{{noun}}👷	{{noun}}👷	{{noun}}←🚶	←🚶{{noun}}	{{noun}}→🛡️	🚶{{noun}}	{{noun}}🚶💬!	
plural	construction	en	are built	they build	he walks to 	he walks away from	it is fortified by way of	he walks by	O {{noun}}!	
plural	construction	la	aedificāvērunt	aedificant	ambulat	ambulat	mūnītur	ambulat	O {{noun}}!	
plural	construction	emoji	{{noun}}👷	{{noun}}👷	{{noun}}←🚶	←🚶{{noun}}	{{noun}}→🛡️	🚶{{noun}}	{{noun}}🚶💬!	
singular	vine 	en	grows	he cuts	it grows toward	it grows from	it grows by way of	it grows near	O {{noun}}!	
singular	vine 	la	crēscit	secat	crēscit	crēscit	crēscit	crēscit	O {{noun}}!	
singular	vine 	emoji	{{noun}}	{{noun}}<sup>✂️</sup>	{{noun}}←🍇	{{noun}}🍇→	{{noun}}→🍇	{{noun}}🍇←	{{noun}}🚶💬!	
plural	vine 	en	grow	he cuts	it grows toward	it grows from	it grows by way of	it grows near	O {{noun}}!	
plural	vine 	la	crēscunt	secat	crēscit	crēscit	crēscit	crēscit	O {{noun}}!	
plural	vine 	emoji	{{noun}}	{{noun}}<sup>✂️</sup>	{{noun}}←🍇	{{noun}}🍇→	{{noun}}→🍇	{{noun}}🍇←	{{noun}}🚶💬!	
singular	atom	en	collides	it strikes	it draws close to	it emits from	it springs forth by way of	it occurs in	O wonderous {{noun}}!	
singular	atom	la	impingit	impingit	appropinquat	ēmittit	crēscit	accidit	O {{noun}} mīrābilis!	
singular	atom	emoji	{{noun}}	e⁻→💥←⚛️	e⁻→⚛️	e⁻←⚛️	⚛️→e⁻	⚛️🔍e⁻	{{noun}}🚶💬!	
plural	atom	en	collide	it strikes	it draws close to	it emits from	it springs forth by way of	it occurs in	O wonderous {{noun}}!	
plural	atom	la	impingunt	impingit	appropinquat	ēmittit	crēscit	accidit	O {{noun}} mīrābilēs!	
plural	atom	emoji	{{noun}}	e⁻→💥←⚛️	e⁻→⚛️	e⁻←⚛️	⚛️→e⁻	⚛️🔍e⁻	{{noun}}🚶💬!	
singular	hand	en	gestures	he washes	he puts it into	he takes it from	he gestures with	he holds it in	cursed {{noun}} of mine!	
singular	hand	la	gerit	lavat	mittit	prehendit	gerit	tenet	maledictum {{noun}} meum!	
singular	hand	emoji	👋	🧼{{noun}}	🍬→{{noun}}	{{noun}}🍬→	🙋	🍬{{noun}}	{{noun}}🚶🗯️!	
plural	hand	en	gesture	he washes	he puts it into	he takes it from	he gestures with	he holds it in	cursed {{noun}} of mine!	
plural	hand	la	gerunt	lavat	mittit	prehendit	gerit	tenet	maledicta {{noun}} mea!	
plural	hand	emoji	👋👋	🧼{{noun}}	🍬→{{noun}}	{{noun}}🍬→	🙅	🍬{{noun}}	"{{noun}}🚶🗯️!	"	
singular	name 	en	is familiar	he shouts	he draws attention to	he draws attention from	he refers to them by	he spoke regarding	cursed {{noun}} of mine!	
singular	name 	la	est nota	clamat	advertit	advertit	refert	loquitur	maledictum {{noun}} meum!	
singular	name 	emoji	{{noun}}	🧍🗯️{{noun}}!	🧍→{{noun}}	{{noun}}🧍→	🧍💬{{noun}}👫	🧍💬{{noun}}	{{noun}}🚶🗯️!	
plural	name 	en	are familiar	he shouts	he draws attention to	he draws attention from	he refers to them by	he spoke regarding	cursed {{noun}} of mine!	
plural	name 	la	sunt nota	clamat	advertit	advertit	refert	loquitur	maledicta {{noun}} mea!	
plural	name 	emoji	{{noun}}	🧍🗯️{{noun}}!	🧍→{{noun}}	{{noun}}🧍→	🧍💬{{noun}}👫	🧍💬{{noun}}	"{{noun}}🚶🗯️!	"	
singular	air 	en	is fresh	he breathes	he opens the window to	it insulates him from	it spreads via	it soars in	O glorious {{noun}}!	
singular	air 	la	recēns est	spirat	fenestram aperit	insulat eum a	diffunditur per	volat in	O {{noun}} mīrābilis!	
singular	air 	emoji	{{noun}}😌	{{noun}}😮‍💨	{{noun}}🪟🧍	{{noun}}🧥	{{noun}}🦠→	{{noun}}🦅	{{noun}}🚶💬!	
plural	air 	en	are fresh	he breathes	he opens the window to	it insulates him from	it spreads via	it soars in	O glorious {{noun}}!	
plural	air 	la	recentēs sunt	spirat	fenestram aperit	insulat eum a	diffunditur per	volat in	O {{noun}} mīrābilēs!	
plural	air 	emoji	{{noun}}😌	{{noun}}😮‍💨	{{noun}}🪟🧍	{{noun}}🧥	{{noun}}🦠→	{{noun}}🦅	"{{noun}}🚶💬!	"	
