*	*	*	nominative	genitive	dative	accusative	ablative	vocative	locative	emoji	#	declension	ending	etymology	
horn       	plural	neuter	cornua       	cornuum      	cornibus     	cornua       	cornibus     	cornua	—	\nx{📯}	#	4         	-ū          	latin    	
sailor     	singular	masculine	nauta      	nautae     	nautae     	nautam     	nautā      	nauta      	—	\group{\inlhi{⛵}\nx{🧍\cx\gx}}	#	1         	-a          	latin    	
sailor     	plural	masculine	nautae       	nautārum     	nautīs       	nautās       	nautīs       	nautae	—	\group{\inlhi{⛵}\nx{🧍\cx\gx}}	#	1         	-a          	latin    	
foundation 	singular	feminine	basis      	basis      	basī       	basim      	basī       	basis      	—	<span style='clip-path: inset(60% 0% 0% 0% ); display:inline-flex; transform: translate(0,-0.5em);'>🏛️</span>	#	3         	alternate -i	greek    	
foundation 	plural	feminine	basēs        	basium       	basibus      	basēs        	basibus      	basēs	—	<span style='clip-path: inset(60% 0% 0% 0% ); display:inline-flex; transform: translate(0,-0.5em);'>🏛️</span>	#	3         	alternate -i	greek    	
echo       	singular	neuter	ēchō       	ēchūs      	ēchō       	ēchō       	ēchō       	ēchō       	—	\mirror{🔊}	#	4         	-ū          	greek    	
echo       	plural	neuter	ēchūs	ēchuum	ēchibus	ēchūs	ēchibus	ēchūs	—	\mirror{🔊}	#	4         	-ū          	greek    	
phenomenon 	singular	neuter	phaenomenon	phaenomenī 	phaenomenō 	phaenomenon	phaenomenō 	phaenomenon	—	\nx{🌋}	#	2         	-on         	greek    	
phenomenon 	plural	neuter	phaenomena   	phaenomenōrum	phaenomenīs  	phaenomena   	phaenomenīs  	phaenomena  	—	\nx{🌋}	#	2         	-on         	greek    	
vine       	singular	feminine	ampelos    	ampelī     	ampelō     	ampelon    	ampelō     	ampele     	—	\nx{\group{🌿\rmid{🍇}}}	#	2         	-os         	greek    	
vine       	plural	feminine	ampelī       	ampelōrum    	ampelīs      	ampelōs      	ampelīs      	ampelī	—	\nx{\group{🌿\rmid{🍇}}}	#	2         	-os         	greek    	
myth       	singular	masculine	mȳthos     	mȳthī      	mȳthō      	mȳthon     	mȳthō      	mȳthe      	—	\nx{\group{🐉\rlo{🧙\cx\m}}}	#	2         	-os         	greek    	
myth       	plural	masculine	mȳthī        	mȳthōrum     	mȳthīs       	mȳthōs       	mȳthīs       	mȳthī	—	\nx{\group{🐉\rlo{🧙\cx\m}}}	#	2         	-os         	greek    	
atom       	singular	feminine	atomus     	atomī      	atomō      	atomum     	atomō      	atome      	—	\nx{<span style='filter: invert() brightness(10) opacity(0.5);'>⚛️</span>}	#	2         	-us         	greek    	
atom       	plural	feminine	atomī        	atomōrum     	atomīs       	atomōs       	atomīs       	atomī	—	\nx{<span style='filter: invert() brightness(10) opacity(0.5);'>⚛️</span>}	#	2         	-us         	greek    	
nymph      	singular	feminine	nymphē     	nymphēs    	nymphae    	nymphēn    	nymphē     	nymphē     	—	\nx{🧜\cx\f}	#	1         	-ē          	greek    	
nymph      	plural	feminine	nymphae      	nymphārum    	nymphīs      	nymphās      	nymphīs      	nymphae	—	\nx{🧜\cx\f}	#	1         	-ē          	greek    	
comet      	singular	masculine	comētēs    	comētae    	comētae    	comētēn    	comētās    	comētē     	—	\group{\hi{\nx{☄️}}}	#	1         	-ēs         	greek    	
comet      	plural	masculine	comētae      	comētārum    	comētīs      	comētās	comētīs      	comētae	—	\group{\hi{\nx{☄️}}}	#	1         	-ēs         	greek    	
the			∅	∅	∅	∅	∅	∅	∅		#				
woman	singular	feminine	fēmina 	fēminae 	fēminae 	fēminam 	fēminā 	fēmina 	—		#				
woman	plural	feminine	fēminae	fēminārum	fēminīs	fēminās	fēminīs	fēminae	—		#				
son	singular	masculine	fīlius 	fīliī	fīliō 	fīlium 	fīliō 	fīlī 	—		#				
son	plural	masculine	fīliī	fīliōrum	fīliīs	fīliōs	fīliīs	fīliī	—		#				
daughter	singular	feminine	fīlia 	fīliae 	fīliae 	fīliam 	fīliā 	fīlia 	—		#				
daughter	plural	feminine	fīliae	fīliārum	fīliīs|fīliābus	fīliās	fīliīs|fīliābus	fīliae	—		#				
livestock	singular	neuter	pecus 	pecoris 	pecorī 	pecus 	pecore 	pecus 	—		#				
livestock	plural	neuter	pecora	pecorum	pecoribus	pecora	pecoribus	pecora	—		#				
well	singular	masculine				bonum 			—		#				
well	plural	masculine				bonōs 			—		#				
well	singular	feminine				bonam 			—		#				
well	plural	feminine				bonās 			—		#				
well	singular	neuter				bonum			—		#				
well	plural	neuter				bona			—		#				
good	singular	masculine				bonum 			—		#				
good	plural	masculine				bonōs 			—		#				
good	singular	feminine				bonam 			—		#				
good	plural	feminine				bonās 			—		#				
good	singular	neuter				bonum			—		#				
good	plural	neuter				bona			—		#				
bad	singular	masculine				malum 			—		#				
bad	plural	masculine				malōs 			—		#				
bad	singular	feminine				malam 			—		#				
bad	plural	feminine				malās 			—		#				
bad	singular	neuter				malum 			—		#				
bad	plural	neuter				mala			—		#				
big	singular	masculine				magnum 			—		#				
big	plural	masculine				magnōs 			—		#				
big	singular	feminine				magnam 			—		#				
big	plural	feminine				magnās 			—		#				
big	singular	neuter				magnum 			—		#				
big	plural	neuter				magna			—		#				
loud	singular	masculine				magnum 			—		#				
loud	plural	masculine				magnōs 			—		#				
loud	singular	feminine				magnam 			—		#				
loud	plural	feminine				magnās 			—		#				
loud	singular	neuter				magnum 			—		#				
loud	plural	neuter				magna			—		#				
sound	singular		sonus						—		#				
size	singular		magnitūdō						—		#				
thought	singular		idea			ideam			—		#				
place	singular					locum 			—		#				
attention	singular					attentiōnem			—		#				
hello	singular							salvē	—		#				
hello	plural							salvēte	—		#				
thing	singular		rēs 						—		#				
thing	plural		rēs 						—		#				
angry	singular	masculine				īrātum 			—		#				
angry	plural	masculine				īrātōs 			—		#				
angry	singular	feminine 				īrātam 			—		#				
angry	plural	feminine 				īrātās 			—		#				
angry	singular	neuter 				īrātum 			—		#				
angry	plural	neuter 				īrāta 			—		#				
falling	singular	masculine				cadentem 			—		#				
falling	plural	masculine				cadentēs,cadentīs 			—		#				
falling	singular	feminine 				cadentem 			—		#				
falling	plural	feminine 				cadentēs,cadentīs 			—		#				
falling	singular	neuter 				cadēns			—		#				
falling	plural	neuter 				cadentia			—		#				
wind	singular	masculine	ventus 	ventī 	ventō 	ventum 	ventō 	vente 	—		#	2			
wind	plural	masculine	ventī	ventōrum	ventīs	ventōs	ventīs	ventī 	—		#	2			
enemy	singular	masculine	inimīcus 	inimīcī 	inimīcō 	inimīcum 	inimīcō 	inimīce 	—		#				
enemy	plural	masculine	inimīcī	inimīcōrum	inimīcīs	inimīcōs	inimīcīs	inimīcī 	—		#				
monster	singular	feminine	bēlua 	bēluae 	bēluae 	bēluam 	bēluā 	bēlua 	—		#				
monster	plural	feminine	bēluae	bēluārum	bēluīs	bēluās	bēluīs	bēluae 	—		#				
rock	singular	neuter	saxum 	saxī 	saxō 	saxum 	saxō 	saxum 	—		#				
rock	plural	neuter	saxa	saxōrum	saxīs	saxa	saxīs	saxa 	—		#				
book	singular	masculine	liber 	librī 	librō 	librum 	librō 	liber 	—		#	2			
book	plural	masculine	librī	librōrum	librīs	librōs	librīs	librī 	—		#	2			
water	singular	feminine	aqua 	aquae 	aquae 	aquam 	aquā 	aqua 	—		#				
water	plural	feminine	aquae	aquārum	aquīs	aquās	aquīs	aquae 	—		#				
horse	singular	masculine	equus 	equī 	equō 	equum 	equō 	eque 	—		#				
horse	plural	masculine	equī	equōrum	equīs	equōs	equīs	equī 	—		#				
food	singular	masculine	cibus 	cibī 	cibō 	cibum 	cibō 	cibe 	—		#				
food	plural	masculine	cibī	cibōrum	cibīs	cibōs	cibīs	cibī 	—		#				
work	singular	masculine	labor 	labōris 	labōrī 	labōrem 	labōre 	labor 	—		#	3			
work	plural	masculine	labōrēs	labōrum	labōribus	labōrēs	labōribus	labōrēs 	—		#				
gift	singular	neuter	dōnum 	dōnī 	dōnō 	dōnum 	dōnō 	dōnum 	—		#				
gift	plural	neuter	dōna	dōnōrum	dōnīs	dōna	dōnīs	dōna 	—		#				
house	singular	feminine	domus 	domūs|domī 	domuī|domō|domū 	domum 	domū|domō 	domus 	domī 		#				
house	plural	feminine	domūs	domuum|domōrum	domibus	domūs|domōs	domibus	domūs	domibus 		#				
ghost	singular	neuter	phasma 	phasmatis 	phasmatī 	phasma 	phasmate 	phasma 	—		#	3			
ghost	plural	neuter	phasmata	phasmatum	phasmatibus	phasmata	phasmatibus	phasmata 	—		#	3			
guard	singular	masculine	custōs 	custōdis 	custōdī 	custōdem 	custōde 	custōs 	—		#	3			
guard	plural	masculine	custōdēs	custōdum	custōdibus	custōdēs	custōdibus	custōdēs 	—		#	3			
dog	singular	masculine	canis 	canis 	canī 	canem 	cane 	canis 	—		#				
dog	plural	masculine	canēs	canum	canibus	canēs	canibus	canēs 	—		#				
dog	singular	feminine	canis 	canis 	canī 	canem 	cane 	canis 	—		#				
dog	plural	feminine	canēs	canum	canibus	canēs	canibus	canēs 	—		#				
boat	singular	feminine	nāvis 	nāvis 	nāvī 	nāvem|nāvim 	nāve|nāvī 	nāvis 	—		#				
boat	plural	feminine	nāvēs	nāvium	nāvibus	nāvēs|nāvīs	nāvibus	nāvēs 	—		#				
shirt	singular	feminine	camisia 	camisiae 	camisiae 	camisiam 	camisiā 	camisia 	—		#				
shirt	plural	feminine	camisiae	camisiārum	camisiīs	camisiās	camisiīs	camisiae 	—		#				
rope	singular	masculine	fūnis 	fūnis 	fūnī 	fūnem 	fūne 	fūnis 	—		#	3	i-stem		
rope	plural	masculine	fūnēs	fūnium	fūnibus	fūnēs|fūnīs	fūnibus	fūnēs 	—		#	3	i-stem		
window	singular	feminine	fenestra 	fenestrae 	fenestrae 	fenestram 	fenestrā 	fenestra 	—		#	1			
window	plural	feminine	fenestrae	fenestrārum	fenestrīs	fenestrās	fenestrīs	fenestrae 	—		#	1			
drum	singular	neuter	tympanum 	tympanī 	tympanō 	tympanum 	tympanō 	tympanum 	—		#	2			
drum	plural	neuter	tympana	tympanōrum	tympanīs	tympana	tympanīs	tympana 	—		#	2			
picture	singular	feminine	pictūra 	pictūrae 	pictūrae 	pictūram 	pictūrā 	pictūra 	—		#	1			
picture	plural	feminine	pictūrae	pictūrārum	pictūrīs	pictūrās	pictūrīs	pictūrae 	—		#	1			
car	singular	masculine	carrus 	carrī 	carrō 	carrum 	carrō 	carre 	—		#	2			
car	plural	masculine	carrī	carrōrum	carrīs	carrōs	carrīs	carrī 	—		#	2			
cart	singular	masculine	carrus 	carrī 	carrō 	carrum 	carrō 	carre 	—		#	2			
cart	plural	masculine	carrī	carrōrum	carrīs	carrōs	carrīs	carrī 	—		#	2			
oath	singular	neuter	iūrāmentum 	iūrāmentī 	iūrāmentō 	iūrāmentum 	iūrāmentō 	iūrāmentum 	—		#	2			
oath	plural	neuter	iūrāmenta	iūrāmentōrum	iūrāmentīs	iūrāmenta	iūrāmentīs	iūrāmenta 	—		#	2			
idea	singular	feminine	īnfōrmātiō 	īnfōrmātiōnis 	īnfōrmātiōnī 	īnfōrmātiōnem 	īnfōrmātiōne 	īnfōrmātiō 	—		#	3			
idea	plural	feminine	īnfōrmātiōnēs	īnfōrmātiōnum	īnfōrmātiōnibus	īnfōrmātiōnēs	īnfōrmātiōnibus	īnfōrmātiōnēs 	—		#	3			
strong	singular	masculine 	firmus 	firmī 	firmō 	firmum 	firmō 	firme 	—		#	2			
strong	singular	feminine 	firma 	firmae 	firmae 	firmam 	firmā 	firma 	—		#	1			
strong	singular	neuter 	firmum	firmī	firmō	firmum	firmō	firmum 	—		#	2			
strong	plural	masculine 	firmī 	firmōrum 	firmīs	firmōs 	firmīs	firmī 	—		#	2			
strong	plural	feminine 	firmae 	firmārum 	firmīs	firmās 	firmīs	firmae 	—		#	1			
strong	plural	neuter 	firma	firmōrum	firmīs	firma	firmīs	firma 	—		#	2			
															
															
															
															
