determiner 	 you 	  	  	 The individual or group spoken or written to 	 
conjunction 	 as 	  	  	 so or |as to introduce a comparison 	 
preposition 	 as 	  	  	  	 
determiner 	 who 	  	  	 whose 	 
pronoun 	 who 	  	  	 What is one's position; asks whether someone deserves to say or do something 	 
interjection 	 good 	  	  	  	 
preposition 	 from 	  	  	  	 
pronoun 	 his 	  	  	 That which belongs to him; the possessive case of he, used without a following noun 	 
determiner 	 his 	  	  	 Belonging to him. from 8th c 	 
interjection 	 yes 	  	  	 Used to express pleasure, joy, or great excitement 	 
particle 	 yes 	  	  	 Used to show agreement or acceptance 	 
interjection 	 l 	  	  	  	 
preposition 	 an 	  	  	  	 
conjunction 	 an 	  	  	 If 	 
interjection 	 time 	  	  	 Reminder by the umpire for the players to continue playing after their pause 	 
interjection 	 look 	  	  	 Pay attention 	 
determiner 	 us 	  	  	  	 
pronoun 	 us 	  	  	 Me and at least one other person; the objective case of we 	 
conjunction 	 where 	  	  	 While on the contrary; although; whereas 	 
pronoun 	 where 	  	  	  	 
determiner 	 them 	  	  	 Those 	 
pronoun 	 them 	  	  	  	 
preposition 	 or 	  	  	  	 
conjunction 	 or 	  	  	 Connects at least two alternative words, phrases, clauses, sentences, etc. each of which could make a passage true. In English, this is the "inclusive or." The "exclusive or" is formed by "either...or&quot 	 
preposition 	 by 	  	  	  	 
interjection 	 bye 	  	  	 Goodbye 	 
determiner 	 our 	  	  	 Belonging to us 	 
interjection 	 man 	  	  	 Used to place emphasis upon something or someone; sometimes, but not always, when actually addressing a man 	 
determiner 	 some 	  	  	 A certain proportion of, at least two 	 
pronoun 	 some 	  	  	 A certain number, at least two 	 
interjection 	 say 	  	  	  	 
interjection 	 really 	  	  	 Indicating surprise at, or requesting confirmation of, some new information; to express skepticism 	 
interjection 	 hey 	  	  	 An exclamation to get attention 	 
pronoun 	 something 	  	  	 An uncertain or unspecified thing; one thing 	 
pronoun 	 more 	  	  	 A greater number or quantity 	 
determiner 	 more 	  	  	 nodot=1: in greater number. Used for a discrete quantity 	 
interjection 	 way 	  	  	 yes; it is true; it is possible 	 
preposition 	 down 	  	  	  	 
preposition 	 over 	  	  	  	 
interjection 	 over 	  	  	  	 
pronoun 	 little 	  	  	  	 
determiner 	 little 	  	  	 Not much, only a little: only a small amount 	 
determiner 	 said 	  	  	  	 
preposition 	 off 	  	  	  	 
pronoun 	 any 	  	  	  	 
determiner 	 any 	  	  	 At least one; of at least one kind. One at all 	 
pronoun 	 much 	  	  	  	 
determiner 	 much 	  	  	 A great number of; many . from 13 	 
interjection 	 doing 	  	  	 The sound made by an elastic object when struck by or striking a hard object 	 
interjection 	 sure 	  	  	 Yes 	 
interjection 	 help 	  	  	  	 
preposition 	 into 	  	  	  	 
interjection 	 life 	  	  	  	 
interjection 	 god 	  	  	  	 
preposition 	 again 	  	  	  	 
determiner 	 their 	  	  	 Belonging to, from, of, or relating to, them 	 
determiner 	 other 	  	  	  	 
interjection 	 away 	  	  	 come on!; go on! 	 
conjunction 	 after 	  	  	  	 
preposition 	 after 	  	  	  	 
interjection 	 night 	  	  	  	 
interjection 	 uh 	  	  	 Expression of thought, confusion, or uncertainty 	 
preposition 	 than 	  	  	  	 
interjection 	 great 	  	  	 Expression of gladness and content about something 	 
determiner 	 last 	  	  	 Closest in the past, or closest but one if the closest was very recent; of days, sometimes thought to specifically refer to the instance closest to seven days  ago 	 
interjection 	 nice 	  	  	 Used to signify a job well done 	 
interjection 	 hello 	  	  	 acknowledging someone’s arrival or presence 	 
determiner 	 every 	  	  	 e'ry 	 
preposition 	 came 	  	  	  	 
pronoun 	 another 	  	  	  	 
determiner 	 another 	  	  	 Not the same; different 	 
pronoun 	 same 	  	  	 The identical thing, ditto 	 
interjection 	 same 	  	  	 Indicates the speaker's strong approval or agreement with the previous material 	 
conjunction 	 else 	  	  	 For otherwise; or else 	 
interjection 	 hi 	  	  	 A friendly, informal, casual greeting said when meeting someone 	 
pronoun 	 many 	  	  	 An indefinite large number of people or things 	 
determiner 	 many 	  	  	 An indefinite large number of 	 
interjection 	 hell 	  	  	 * 1596-97, William Shakespeare, The Merchant Of Venice, Act II Scene 7 	 
interjection 	 boy 	  	  	 Exclamation of surprise, pleasure or longing 	 
pronoun 	 yourself 	  	  	 Your own self 	 
interjection 	 morning 	  	  	 A greeting said in the morning; shortening of good morning 	 
interjection 	 saw 	  	  	 What's up 	 
pronoun 	 most 	  	  	  	 
determiner 	 most 	  	  	 superlative of much more than half of in meaning, not grammar, almost all 	 
interjection 	 shit 	  	  	 Expression of worry, failure, shock, etc., often at something seen for the first time or remembered immediately before using this term 	 
conjunction 	 once 	  	  	 As soon as; when; after 	 
interjection 	 brother 	  	  	  	 
interjection 	 huh 	  	  	 used to express amusement or subtle surprise 	 
pronoun 	 such 	  	  	  	 
determiner 	 such 	  	  	 A certain; representing the object as already particularized in terms which are not mentioned 	 
conjunction 	 since 	  	  	 Because 	 
preposition 	 since 	  	  	  	 
interjection 	 bring 	  	  	 The sound of a telephone ringing 	 
pronoun 	 everyone 	  	  	 Every person 	 
preposition 	 gone 	  	  	  	 
pronoun 	 myself 	  	  	 Me, as direct or indirect object the speaker as the object of a verb or preposition, when the speaker is also the subject. from 9th c 	 
pronoun 	 few 	  	  	 Few people, few things 	 
determiner 	 few 	  	  	 An indefinite, but usually small, number of 	 
pronoun 	 ah 	  	  	 I, most often indicating that the speaker is using a Scottish or American  accent 	 
interjection 	 ah 	  	  	 An expression of relief, relaxation, comfort, confusion, understanding, wonder, awe, etc. according to uttered inflection 	 
particle 	 ah 	  	  	 Sentence-final particle expressing surprise or doubt 	 
preposition 	 um 	  	  	  	 
interjection 	 um 	  	  	 Expression of hesitation, uncertainty or space filler in conversation. See uh 	 
particle 	 um 	  	  	  	 
interjection 	 later 	  	  	 See you later; goodbye 	 
preposition 	 under 	  	  	  	 
pronoun 	 everybody 	  	  	 All people 	 
pronoun 	 hit 	  	  	  	 
pronoun 	 its 	  	  	  	 
determiner 	 its 	  	  	 Belonging to it. from 16th c 	 
preposition 	 times 	  	  	  	 
pronoun 	 somebody 	  	  	 Some unspecified person 	 
determiner 	 mine 	  	  	 My; belonging to me 	 
pronoun 	 mine 	  	  	 My; belonging to me; that which belongs to me 	 
interjection 	 dear 	  	  	  	 
interjection 	 word 	  	  	 Truth, indeed, that is the truth! The shortened form of the statement "My word is my bond.&quot 	 
interjection 	 quite 	  	  	  	 
interjection 	 cut 	  	  	 An instruction to cease recording 	 
pronoun 	 yours 	  	  	 That which belongs to you ; the possessive second-person singular pronoun used without a following noun 	 
preposition 	 half 	  	  	  	 
interjection 	 half 	  	  	  	 
interjection 	 welcome 	  	  	  	 
determiner 	 couple 	  	  	 Two or a few, a small number of 	 
pronoun 	 either 	  	  	 Both, each of two or more 	 
conjunction 	 either 	  	  	 Introduces the first of two  options or possibilities, the second  of which is introduced by “or” 	 
determiner 	 either 	  	  	  	 
interjection 	 wow 	  	  	 An indication of excitement, surprise, astonishment, or pleasure 	 
conjunction 	 save 	  	  	 unless; except 	 
preposition 	 save 	  	  	  	 
interjection 	 lord 	  	  	 *: Lord! in tyme of Jesus Crist... were men not bounden to shryve hem þus 	 
preposition 	 outside 	  	  	  	 
pronoun 	 em 	  	  	 see Appendix:English third-person singular pronouns 	 
interjection 	 em 	  	  	 a form of hesitant speech, or an expression of uncertainty; um; umm; erm 	 
determiner 	 em 	  	  	  	 
interjection 	 fact 	  	  	  	 
preposition 	 running 	  	  	  	 
particle 	 ma 	  	  	 * date=APR 17, 2015|author=Jalelah Abu Baker|title=What's the difference between 'lah' and 'lor': Poet Gwee Li Sui's take on nuances of Singlish goes viral|work=The Straits Times|passage=I dun have mah.|url=https://www.straitstimes.com/singapore/whats-the-difference-between-lah-and-lor-poet-gwee-li-suis-take-on-nuances-of-singlish 	 
pronoun 	 himself 	  	  	 Him; the male object of a verb or preposition that also appears as the subject 	 
preposition 	 past 	  	  	  	 
interjection 	 ha 	  	  	 A representation of laughter 	 
interjection 	 sound 	  	  	 Yes; used to show agreement or understanding, generally without much enthusiasm 	 
preposition 	 o 	  	  	  	 
interjection 	 o 	  	  	  	 
particle 	 o 	  	  	 alternative form of O 	 
conjunction 	 till 	  	  	 Until, until the time that 	 
preposition 	 till 	  	  	  	 
interjection 	 fast 	  	  	  	 
interjection 	 sweet 	  	  	  	 
interjection 	 hmm 	  	  	 Indicating thinking or pondering 	 
interjection 	 jesus 	  	  	 An exclamation, the use of which is considered blasphemous among some Christians 	 
preposition 	 bet 	  	  	  	 
interjection 	 bet 	  	  	 Expression of general agreement or acceptance 	 
interjection 	 quiet 	  	  	  	 
interjection 	 rather 	  	  	  	 
interjection 	 pull 	  	  	  	 
preposition 	 less 	  	  	  	 
conjunction 	 less 	  	  	 unless 	 
determiner 	 less 	  	  	 little; of inferior size, degree or extent; smaller, lesser. from 11th c 	 
interjection 	 fall 	  	  	 The cry given when a whale is sighted, or harpooned 	 
preposition 	 given 	  	  	  	 
interjection 	 ooh 	  	  	 An expression of surprise 	 
determiner 	 none 	  	  	 Not any; no 	 
pronoun 	 none 	  	  	 Not any of a given number or group 	 
interjection 	 eh 	  	  	 Used as a tag question, to emphasise what goes before or to request that the listener express an opinion about what has been said 	 
interjection 	 dude 	  	  	 A term of address, usually for a man, conveying awe, excitement, surprise, etc 	 
interjection 	 goodbye 	  	  	 Farewell; a formula used to another person or persons when the speaker, writer, or person addressed is departing 	 
interjection 	 law 	  	  	 An exclamation of mild surprise; lawks 	 
interjection 	 choice 	  	  	 Cool; excellent 	 
pronoun 	 ya 	  	  	  	 
interjection 	 ya 	  	  	 Yeah; yes 	 
determiner 	 ya 	  	  	  	 
preposition 	 during 	  	  	  	 
preposition 	 round 	  	  	  	 
preposition 	 near 	  	  	  	 
interjection 	 d 	  	  	 Damn 	 
interjection 	 peace 	  	  	 Shut up!, silence!; be quiet, be silent 	 
preposition 	 short 	  	  	  	 
interjection 	 ball 	  	  	 An appeal by the crowd for holding the ball against a tackled player. This is heard almost any time an opposition player is tackled, without regard to whether the rules about "prior opportunity" to dispose of the ball are fulfilled 	 
interjection 	 aah 	  	  	 Indication of amazement or surprise or enthusiasm 	 
interjection 	 bastard 	  	  	  	 
preposition 	 bar 	  	  	  	 
pronoun 	 certain 	  	  	 unnamed or undescribed members  some 	 
determiner 	 certain 	  	  	  	 
interjection 	 y 	  	  	  	 
interjection 	 mum 	  	  	 stop speaking!, stop talking!, hush! 	 
interjection 	 wall 	  	  	 * 1858, The New Priest in Conception Bay by Robert Lowell 	 
preposition 	 ben 	  	  	  	 
interjection 	 la 	  	  	  	 
interjection 	 mm 	  	  	  	 
interjection 	 christ 	  	  	 An expletive 	 
preposition 	 upon 	  	  	  	 
interjection 	 crap 	  	  	  	 
interjection 	 shh 	  	  	 Requesting silence 	 
interjection 	 de 	  	  	  	 
interjection 	 er 	  	  	 Said when hesitating in speech 	 
pronoun 	 yo 	  	  	 greeting hey, hi; see also :Category:Greetings 	 
interjection 	 yo 	  	  	 A greeting similar to hi 	 
determiner 	 yo 	  	  	  	 
interjection 	 ow 	  	  	  	 
interjection 	 action 	  	  	 Demanding or signifying the start of something, usually a performance 	 
preposition 	 cross 	  	  	  	 
pronoun 	 herself 	  	  	 Her; the female object of a verb or preposition that also appears as the subject 	 
interjection 	 goddamn 	  	  	  	 
pronoun 	 whom 	  	  	  	 
pronoun 	 itself 	  	  	 it; A thing as the object of a verb or preposition that also appears as the subject 	 
interjection 	 shame 	  	  	 A cry of admonition for the subject of a speech, either to denounce the speaker or to agree with the speaker's denunciation of some person or matter; often used reduplicated, especially in political debates 	 
pronoun 	 majesty 	  	  	 a term of address for royalty and imperiality 	 
pronoun 	 plenty 	  	  	 More than enough 	 
determiner 	 plenty 	  	  	 much, enough 	 
interjection 	 pop 	  	  	 Used to represent a loud, sharp sound, as of a cork coming out of a bottle 	 
conjunction 	 nor 	  	  	 * 1825, Sir Walter Scott, The Talisman 	 
interjection 	 pardon 	  	  	 See also Thesaurus:say again 	 
preposition 	 plus 	  	  	  	 
conjunction 	 plus 	  	  	 And also; in addition; besides 	 
interjection 	 nonsense 	  	  	  	 
preposition 	 belong 	  	  	  	 
interjection 	 aw 	  	  	  	 
interjection 	 heads 	  	  	 A shouted warning that something is falling from above, mind your heads 	 
interjection 	 roger 	  	  	 Received used in radio communications to acknowledge that a message has been received and understood 	 
interjection 	 nuts 	  	  	 Indicates annoyance, anger, or disappointment 	 
preposition 	 onto 	  	  	  	 
interjection 	 ho 	  	  	 Used to attract attention to something sighted, usually by lookouts 	 
preposition 	 re 	  	  	  	 
interjection 	 loose 	  	  	  	 
interjection 	 sugar 	  	  	 Used in place of shit! 	 
preposition 	 post 	  	  	  	 
interjection 	 soft 	  	  	 Be quiet; hold; stop; not so fast 	 
conjunction 	 cos 	  	  	 because 	 
particle 	 nope 	  	  	 No 	 
interjection 	 cheese 	  	  	  	 
interjection 	 bless 	  	  	  	 
interjection 	 nah 	  	  	 no 	 
interjection 	 da 	  	  	 Yes 	 
interjection 	 warning 	  	  	  	 
preposition 	 per 	  	  	  	 
pronoun 	 per 	  	  	 They singular. he and she 	 
interjection 	 mercy 	  	  	 Expressing surprise or alarm 	 
interjection 	 f 	  	  	 Used to profess respect for a deceased person, or for something that has been lost 	 
interjection 	 bang 	  	  	 A sudden percussive sound, such as made by the firing of a gun, slamming of a door, etc 	 
preposition 	 below 	  	  	  	 
pronoun 	 swim 	  	  	  	 
pronoun 	 thou 	  	  	  	 
conjunction 	 though 	  	  	  	 
interjection 	 hm 	  	  	  	 
conjunction 	 thy 	  	  	  	 
determiner 	 thy 	  	  	 thou: that which belongs to thee; which belongs to you singular 	 
interjection 	 score 	  	  	  	 
interjection 	 boom 	  	  	 used to suggest the sound of an explosion 	 
interjection 	 amen 	  	  	 y=2020|m=July|en An expression of strong agreement.  Often, though dated, in the phrase "Amen to that&quot 	 
interjection 	 bravo 	  	  	 Used to express acclaim, especially to a performer 	 
interjection 	 negative 	  	  	  	 
pronoun 	 thee 	  	  	 Objective and reflexive case of thou. from 8th c 	 
preposition 	 p 	  	  	  	 
interjection 	 gee 	  	  	 A general exclamation of surprise or frustration 	 
determiner 	 hits 	  	  	  	 
preposition 	 u 	  	  	  	 
pronoun 	 u 	  	  	 you in text messaging and internet conversations 	 
pronoun 	 nothin 	  	  	  	 
preposition 	 aboard 	  	  	  	 
interjection 	 anytime 	  	  	 See also Thesaurus:you're welcome 	 
pronoun 	 tone 	  	  	 the one 	 
pronoun 	 ve 	  	  	  	 
pronoun 	 self 	  	  	 Himself, herself, itself, themselves; that specific 	 
determiner 	 q 	  	  	 Each, every 	 
interjection 	 blast 	  	  	 To show displeasure or disappointment; damn 	 
interjection 	 erm 	  	  	 Used in hesitant speech, or to express uncertainty; um, umm 	 
interjection 	 rip 	  	  	  	 
preposition 	 toward 	  	  	  	 
interjection 	 cave 	  	  	 look out!; beware! 	 
interjection 	 standard 	  	  	 An expression of agreement 	 
interjection 	 batman 	  	  	 Superman 	 
conjunction 	 x 	  	  	 Used between the names of two characters to denote a ship, particularly in anime, manga, and video games 	 
interjection 	 oy 	  	  	 An exclamation typically expressing mild frustration or expressing feelings of uncertainty or concern 	 
preposition 	 gain 	  	  	  	 
interjection 	 heck 	  	  	 Hell 	 
interjection 	 hail 	  	  	  	 
interjection 	 yup 	  	  	 Yes 	 
preposition 	 vice 	  	  	  	 
interjection 	 st 	  	  	  	 
interjection 	 tune 	  	  	 Used to show appreciation or approval of a song 	 
preposition 	 forth 	  	  	  	 
interjection 	 cock 	  	  	  	 
preposition 	 le 	  	  	  	 
interjection 	 na 	  	  	 No 	 
preposition 	 w 	  	  	  	 
interjection 	 heavens 	  	  	 An expression of surprise, contempt, outrage, disgust, boredom, or frustration 	 
pronoun 	 hers 	  	  	 That which belongs to her; the possessive case of she, used without a following noun. from 12th c 	 
interjection 	 rats 	  	  	 Expression of annoyance or disgust; damn, darn. from 1886 	 
pronoun 	 ye 	  	  	 You 	 
preposition 	 ad 	  	  	  	 
interjection 	 woo 	  	  	 Expressing joy or mirth; woohoo, yahoo 	 
interjection 	 bo 	  	  	  	 
interjection 	 snap 	  	  	 The cry used in a game of snap when winning a hand 	 
interjection 	 oops 	  	  	 Acknowledging a mistake 	 
interjection 	 walker 	  	  	 Expressing scornful rejection or disbelief 	 
pronoun 	 oi 	  	  	  	 
interjection 	 yea 	  	  	  	 
interjection 	 tits 	  	  	 Used to express dismay or annoyance 	 
preposition 	 pro 	  	  	  	 
interjection 	 ye 	  	  	  	 
preposition 	 net 	  	  	  	 
interjection 	 k 	  	  	 OK 	 
interjection 	 fu 	  	  	  	 
interjection 	 marco 	  	  	 Shouted by a player of the game Marco Polo. Compare Polo 	 
interjection 	 hip 	  	  	 An exclamation to invoke a united cheer: hip hip hooray 	 
preposition 	 bout 	  	  	  	 
interjection 	 flip 	  	  	 Used to express annoyance, especially when the speaker has made an error 	 
interjection 	 lo 	  	  	 look, see, behold in an imperative sense 	 
preposition 	 v 	  	  	  	 
interjection 	 nut 	  	  	 No 	 
preposition 	 rising 	  	  	  	 
preposition 	 en 	  	  	  	 
pronoun 	 en 	  	  	 him 	 
interjection 	 boo 	  	  	 A loud exclamation intended to scare someone, especially a child. Usually used when one has been hidden from the victim and then suddenly appeared unexpectedly 	 
interjection 	 di 	  	  	  	 
interjection 	 click 	  	  	  	 
conjunction 	 et 	  	  	 and 	 
interjection 	 tara 	  	  	 goodbye; equivalent to the more geographically widespread ta ta 	 
interjection 	 bump 	  	  	  	 
interjection 	 mob 	  	  	 dot=, used e.g. on the emergency button of a satellite navigator. By pushing the button the operator stores the coordinates of a man overboard incident for easy access 	 
interjection 	 bingo 	  	  	 Used by players of bingo to claim a win 	 
interjection 	 hut 	  	  	 Called by the quarterback to prepare the team for a play 	 
pronoun 	 yu 	  	  	  	 
interjection 	 hon 	  	  	 cheering a sports team, especially a GAA team; exhortation or encouragement come on; congratulations well done, bravo 	 
interjection 	 darn 	  	  	 Damn 	 
determiner 	 sum 	  	  	  	 
pronoun 	 sum 	  	  	  	 
interjection 	 geez 	  	  	 An exclamation denoting surprise or frustration 	 
interjection 	 tanks 	  	  	 thanks 	 
pronoun 	 wee 	  	  	  	 
interjection 	 wha 	  	  	  	 
interjection 	 ew 	  	  	 Expression of disgust or nausea 	 
preposition 	 pace 	  	  	  	 
interjection 	 aha 	  	  	 An exclamation of understanding, realization, invention, or recognition 	 
interjection 	 kay 	  	  	  	 
preposition 	 spite 	  	  	  	 
conjunction 	 fur 	  	  	  	 
preposition 	 fur 	  	  	  	 
conjunction 	 gin 	  	  	 If 	 
interjection 	 hee 	  	  	 An expression of laughter 	 
preposition 	 via 	  	  	  	 
interjection 	 via 	  	  	  	 
interjection 	 unh 	  	  	  	 
interjection 	 ty 	  	  	  	 
preposition 	 versus 	  	  	  	 
preposition 	 minus 	  	  	  	 
pronoun 	 scores 	  	  	 many, several 	 
preposition 	 sub 	  	  	  	 
preposition 	 dot 	  	  	  	 
preposition 	 ta 	  	  	  	 
interjection 	 ta 	  	  	 Thanks 	 
pronoun 	 mines 	  	  	  	 
interjection 	 bam 	  	  	 Representing a loud noise or heavy impact 	 
interjection 	 dam 	  	  	 Damn 	 
interjection 	 dash 	  	  	 Damn! 	 
interjection 	 pad 	  	  	  	 
preposition 	 failing 	  	  	  	 
interjection 	 moses 	  	  	 An exclamation of shock 	 
interjection 	 hence 	  	  	 * 1610-11, William Shakespeare, The Tempest, Act I Scene 2 	 
conjunction 	 unto 	  	  	 Up to the time or degree that; until 	 
preposition 	 unto 	  	  	  	 
interjection 	 bugger 	  	  	 An expression of annoyance or displeasure 	 
interjection 	 gasp 	  	  	  	 
interjection 	 zip 	  	  	 Imitative of high-pitched sound of a small object moving rapidly through air 	 
interjection 	 pooh 	  	  	 Expressing dismissal, contempt, impatience, etc 	 
conjunction 	 whereas 	  	  	 In contrast; whilst on the contrary; although 	 
particle 	 cha 	  	  	  	 
pronoun 	 cha 	  	  	 You 	 
interjection 	 sage 	  	  	 Word used in the email field of imageboards to prevent a bump of the post. Used as an option rather than a word in some imageboard software 	 
interjection 	 hoo 	  	  	 hurrah; an exclamation of triumphant joy 	 
pronoun 	 hoo 	  	  	 South Lancashire, Yorkshire and Derbyshire she 	 
interjection 	 doo 	  	  	 Used as a scat word in song lyrics 	 
interjection 	 agh 	  	  	 An exclamation of mild horror, disgust or frustration 	 
pronoun 	 tha 	  	  	  	 
conjunction 	 ne 	  	  	 Nor 	 
interjection 	 dang 	  	  	 Damn 	 
interjection 	 oui 	  	  	  	 
interjection 	 hah 	  	  	  	 
pronoun 	 co 	  	  	 they singular. he and she 	 
interjection 	 tidy 	  	  	  	 
conjunction 	 til 	  	  	 until, till 	 
preposition 	 til 	  	  	  	 
interjection 	 alas 	  	  	 Used to express sorrow, regret, compassion or grief 	 
interjection 	 yah 	  	  	  	 
preposition 	 thorough 	  	  	  	 
interjection 	 psych 	  	  	 Indicating that one's preceding statement was false and that one has successfully fooled one's interlocutor. Also sike 	 
interjection 	 bender 	  	  	 Used to express disbelief or doubt at what one has just heard. early 19th c 	 
interjection 	 ching 	  	  	 The sound of metal or glass clinking 	 
interjection 	 wah 	  	  	 A cry of fright, distress, etc 	 
conjunction 	 fi 	  	  	 Reserved word, in some programming languages, signaling the end of an "if" program instruction 	 
preposition 	 wit 	  	  	  	 
interjection 	 ar 	  	  	  	 
particle 	 ar 	  	  	  	 
pronoun 	 thor 	  	  	 their 	 
interjection 	 hum 	  	  	 * 1991, Stephen Fry, The Liar, p. 27 	 
interjection 	 shhh 	  	  	  	 
interjection 	 gracias 	  	  	 thank you 	 
interjection 	 ni 	  	  	 no idea 	 
interjection 	 duh 	  	  	 Disdainful indication that something is obvious 	 
interjection 	 merci 	  	  	 thank you 	 
preposition 	 midst 	  	  	  	 
interjection 	 zoom 	  	  	  	 
interjection 	 chu 	  	  	 The sound of a kiss 	 
conjunction 	 cuz 	  	  	 because 	 
pronoun 	 fa 	  	  	 fuck all 	 
pronoun 	 yoo 	  	  	  	 
interjection 	 voilà 	  	  	 Lo, there it is; see here; ta-da; presto; behold! 	 
interjection 	 polo 	  	  	 Shouted by a player of the game Marco Polo. Compare Marco 	 
particle 	 abu 	  	  	  	 
determiner 	 mai 	  	  	  	 
interjection 	 yum 	  	  	  	 
interjection 	 nay 	  	  	 No 	 
pronoun 	 che 	  	  	  	 
