*	*	*	nominative	genitive	dative	accusative	ablative	vocative	locative	#	*	declension	ending	etymology				
air        	singular		āēr        	āeris      	āerī       	āera       	āere       	āēr        	āerī       	#	masculine	3         	-i          	greek    				
air        	plural		āerēs        	āerum        	āeribus      	āerēs        	āeribus      	āerēs        	āēr        	#	masculine	3         	-i          	greek    				
boy        	singular		puer       	puerī      	puerō      	puerum     	puerō      	puer       	—	#	masculine	2         	-er         	latin    				
boy        	plural		puerī	puerōrum	puerīs	puerōs	puerīs	puerī	—	#	masculine	2         	-er         	latin    				
animal     	singular		animal     	animālis   	animālī    	animal     	animālī    	animal     	animālī    	#	neuter	3         	pure -i     	latin    				
animal     	plural		animālia     	animālium    	animālibus   	animālia     	animālibus   	animālia     	animālibus   	#	neuter	3         	pure -i     	latin    				
star       	singular		stēlla     	stēllae    	stēllae    	stēllam    	stēllā     	stēlla     	—	#	feminine	1         	-a          	latin    				
star       	plural		stēllae      	stēllārum    	stēllīs      	stēllās      	stēllīs      	stēllae	—	#	feminine	1         	-a          	latin    				
tower      	singular		turris     	turris     	turrī      	turrem     	turre      	turris     	turrī      	#	feminine	3         	-i          	latin    				
tower      	plural		turrēs       	turrium      	turribus     	turrēs|turrīs	turribus     	turrēs       	turribus     	#	feminine	3         	-i          	latin    				
horn       	singular		cornū      	cornūs     	cornū      	cornū      	cornū      	cornū      	—	#	neuter	4         	-ū          	latin    				
horn       	plural		cornua       	cornuum      	cornibus     	cornua       	cornibus     	cornua	—	#	neuter	4         	-ū          	latin    				
sailor     	singular		nauta      	nautae     	nautae     	nautam     	nautā      	nauta      	—	#	masculine	1         	-a          	latin    				
sailor     	plural		nautae       	nautārum     	nautīs       	nautās       	nautīs       	nautae	—	#	masculine	1         	-a          	latin    				
foundation 	singular		basis      	basis      	basī       	basim      	basī       	basis      	—	#	feminine	3         	alternate -i	greek    				
foundation 	plural		basēs        	basium       	basibus      	basēs        	basibus      	basēs	—	#	feminine	3         	alternate -i	greek    				
echo       	singular		ēchō       	ēchūs      	ēchō       	ēchō       	ēchō       	ēchō       	—	#	neuter	4         	-ū          	greek    				
echo       	plural		ēchūs	ēchuum	ēchibus	ēchūs	ēchibus	ēchūs	—	#	neuter	4         	-ū          	greek    				
phenomenon 	singular		phaenomenon	phaenomenī 	phaenomenō 	phaenomenon	phaenomenō 	phaenomenon	—	#	neuter	2         	-on         	greek    				
phenomenon 	plural		phaenomena   	phaenomenōrum	phaenomenīs  	phaenomena   	phaenomenīs  	phaenomena  	—	#	neuter	2         	-on         	greek    				
vine       	singular		ampelos    	ampelī     	ampelō     	ampelon    	ampelō     	ampele     	—	#	feminine	2         	-os         	greek    				
vine       	plural		ampelī       	ampelōrum    	ampelīs      	ampelōs      	ampelīs      	ampelī	—	#	feminine	2         	-os         	greek    				
myth       	singular		mȳthos     	mȳthī      	mȳthō      	mȳthon     	mȳthō      	mȳthe      	—	#	masculine	2         	-os         	greek    				
myth       	plural		mȳthī        	mȳthōrum     	mȳthīs       	mȳthōs       	mȳthīs       	mȳthī	—	#	masculine	2         	-os         	greek    				
atom       	singular		atomus     	atomī      	atomō      	atomum     	atomō      	atome      	—	#	feminine	2         	-us         	greek    				
atom       	plural		atomī        	atomōrum     	atomīs       	atomōs       	atomīs       	atomī	—	#	feminine	2         	-us         	greek    				
nymph      	singular		nymphē     	nymphēs    	nymphae    	nymphēn    	nymphē     	nymphē     	—	#	feminine	1         	-ē          	greek    				
nymph      	plural		nymphae      	nymphārum    	nymphīs      	nymphās      	nymphīs      	nymphae	—	#	feminine	1         	-ē          	greek    				
comet      	singular		comētēs    	comētae    	comētae    	comētēn    	comētās    	comētē     	—	#	masculine	1         	-ēs         	greek    				
comet      	plural		comētae      	comētārum    	comētīs      	comētās	comētīs      	comētae	—	#	masculine	1         	-ēs         	greek    				
the			∅	∅	∅	∅	∅	∅	∅	#								
woman	singular		fēmina 	fēminae 	fēminae 	fēminam 	fēminā 	fēmina 	—	#	feminine							
woman	plural		fēminae	fēminārum	fēminīs	fēminās	fēminīs	fēminae	—	#	feminine							
son	singular		fīlius 	fīliī	fīliō 	fīlium 	fīliō 	fīlī 	—	#	masculine							
son	plural		fīliī	fīliōrum	fīliīs	fīliōs	fīliīs	fīliī	—	#	masculine							
daughter	singular		fīlia 	fīliae 	fīliae 	fīliam 	fīliā 	fīlia 	—	#	feminine							
daughter	plural		fīliae	fīliārum	fīliīs|fīliābus	fīliās	fīliīs|fīliābus	fīliae	—	#	feminine							
livestock	singular		pecus 	pecoris 	pecorī 	pecus 	pecore 	pecus 	—	#	neuter							
livestock	plural		pecora	pecorum	pecoribus	pecora	pecoribus	pecora	—	#	neuter							
well	singular	masculine				bonum 			—	#	masculine							
well	plural	masculine				bonōs 			—	#	masculine							
well	singular	feminine				bonam 			—	#	feminine							
well	plural	feminine				bonās 			—	#	feminine							
well	singular	neuter				bonum			—	#	neuter							
well	plural	neuter				bona			—	#	neuter							
good	singular	masculine				bonum 			—	#	masculine							
good	plural	masculine				bonōs 			—	#	masculine							
good	singular	feminine				bonam 			—	#	feminine							
good	plural	feminine				bonās 			—	#	feminine							
good	singular	neuter				bonum			—	#	neuter							
good	plural	neuter				bona			—	#	neuter							
bad	singular	masculine				malum 			—	#	masculine							
bad	plural	masculine				malōs 			—	#	masculine							
bad	singular	feminine				malam 			—	#	feminine							
bad	plural	feminine				malās 			—	#	feminine							
bad	singular	neuter				malum 			—	#	neuter							
bad	plural	neuter				mala			—	#	neuter							
big	singular	masculine	magnus 	magnī 	magnō 	magnum 	magnō 	magne 	magnī 	#	masculine							
big	singular	feminine	magna 	magnae 	magnae 	magnam 	magnā 	magna 	magnae 	#	feminine							
big	singular	neuter	magnum	magnī	magnō	magnum	magnō	magnum	magnī 	#	neuter							
big	plural	masculine	magnī 	magnōrum 	magnīs	magnōs 	magnīs	magnī 	magnīs	#	masculine							
big	plural	feminine	magnae 	magnārum 	magnīs	magnās 	magnīs	magnae 	magnīs	#	feminine							
big	plural	neuter	magna	magnōrum 	magnīs	magna 	magnīs	magna 	magnīs	#	neuter							
loud	singular	masculine	magnus 	magnī 	magnō 	magnum 	magnō 	magne 	magnī 	#	masculine							
loud	plural	masculine	magna 	magnae 	magnae 	magnam 	magnā 	magna 	magnae 	#	masculine							
loud	singular	feminine	magnum	magnī	magnō	magnum	magnō	magnum	magnī 	#	feminine							
loud	plural	feminine	magnī 	magnōrum 	magnīs	magnōs 	magnīs	magnī 	magnīs	#	feminine							
loud	singular	neuter	magnae 	magnārum 	magnīs	magnās 	magnīs	magnae 	magnīs	#	neuter							
loud	plural	neuter	magna	magnōrum 	magnīs	magna 	magnīs	magna 	magnīs	#	neuter							
sound	singular		sonus						—	#								
size	singular		magnitūdō						—	#								
place	singular					locum 			—	#								
attention	singular		attentiō 	attentiōnis 	attentiōnī 	attentiōnem 	attentiōne 	attentiō 	—	#								
attention	plural		attentiōnēs	attentiōnum	attentiōnibus	attentiōnēs	attentiōnibus	attentiōnēs 	—									
hello	singular							salvē	—	#								
hello	plural							salvēte	—	#								
thing	singular		rēs 						—	#								
thing	plural		rēs 						—	#								
angry	singular	masculine				īrātum 			—	#	masculine							
angry	plural	masculine				īrātōs 			—	#	masculine							
angry	singular	feminine 				īrātam 			—	#	feminine 							
angry	plural	feminine 				īrātās 			—	#	feminine 							
angry	singular	neuter 				īrātum 			—	#	neuter 							
angry	plural	neuter 				īrāta 			—	#	neuter 							
falling	singular	masculine				cadentem 			—	#	masculine							
falling	plural	masculine				cadentēs,cadentīs 			—	#	masculine							
falling	singular	feminine 				cadentem 			—	#	feminine 							
falling	plural	feminine 				cadentēs,cadentīs 			—	#	feminine 							
falling	singular	neuter 				cadēns			—	#	neuter 							
falling	plural	neuter 				cadentia			—	#	neuter 							
wind	singular		ventus 	ventī 	ventō 	ventum 	ventō 	vente 	—	#	masculine	2						
wind	plural		ventī	ventōrum	ventīs	ventōs	ventīs	ventī 	—	#	masculine	2						
enemy	singular		inimīcus 	inimīcī 	inimīcō 	inimīcum 	inimīcō 	inimīce 	—	#	masculine							
enemy	plural		inimīcī	inimīcōrum	inimīcīs	inimīcōs	inimīcīs	inimīcī 	—	#	masculine							
monster	singular		bēlua 	bēluae 	bēluae 	bēluam 	bēluā 	bēlua 	—	#	feminine							
monster	plural		bēluae	bēluārum	bēluīs	bēluās	bēluīs	bēluae 	—	#	feminine							
rock	singular		saxum 	saxī 	saxō 	saxum 	saxō 	saxum 	—	#	neuter							
rock	plural		saxa	saxōrum	saxīs	saxa	saxīs	saxa 	—	#	neuter							
book	singular		liber 	librī 	librō 	librum 	librō 	liber 	—	#	masculine	2						
book	plural		librī	librōrum	librīs	librōs	librīs	librī 	—	#	masculine	2						
water	singular		aqua 	aquae 	aquae 	aquam 	aquā 	aqua 	—	#	feminine							
water	plural		aquae	aquārum	aquīs	aquās	aquīs	aquae 	—	#	feminine							
horse	singular		equus 	equī 	equō 	equum 	equō 	eque 	—	#	masculine							
horse	plural		equī	equōrum	equīs	equōs	equīs	equī 	—	#	masculine							
food	singular		cibus 	cibī 	cibō 	cibum 	cibō 	cibe 	—	#	masculine							
food	plural		cibī	cibōrum	cibīs	cibōs	cibīs	cibī 	—	#	masculine							
work	singular		labor 	labōris 	labōrī 	labōrem 	labōre 	labor 	—	#	masculine	3						
work	plural		labōrēs	labōrum	labōribus	labōrēs	labōribus	labōrēs 	—	#	masculine							
gift	singular		dōnum 	dōnī 	dōnō 	dōnum 	dōnō 	dōnum 	—	#	neuter							
gift	plural		dōna	dōnōrum	dōnīs	dōna	dōnīs	dōna 	—	#	neuter							
house	singular		domus 	domūs|domī 	domuī|domō|domū 	domum 	domū|domō 	domus 	domī 	#	feminine							
house	plural		domūs	domuum|domōrum	domibus	domūs|domōs	domibus	domūs	domibus 	#	feminine							
ghost	singular		phasma 	phasmatis 	phasmatī 	phasma 	phasmate 	phasma 	—	#	neuter	3						
ghost	plural		phasmata	phasmatum	phasmatibus	phasmata	phasmatibus	phasmata 	—	#	neuter	3						
guard	singular		custōs 	custōdis 	custōdī 	custōdem 	custōde 	custōs 	—	#	masculine	3						
guard	plural		custōdēs	custōdum	custōdibus	custōdēs	custōdibus	custōdēs 	—	#	masculine	3						
dog	singular		canis 	canis 	canī 	canem 	cane 	canis 	—	#	masculine							
dog	plural		canēs	canum	canibus	canēs	canibus	canēs 	—	#	masculine							
dog	singular		canis 	canis 	canī 	canem 	cane 	canis 	—	#	feminine							
dog	plural		canēs	canum	canibus	canēs	canibus	canēs 	—	#	feminine							
boat	singular		nāvis 	nāvis 	nāvī 	nāvem|nāvim 	nāve|nāvī 	nāvis 	—	#	feminine							
boat	plural		nāvēs	nāvium	nāvibus	nāvēs|nāvīs	nāvibus	nāvēs 	—	#	feminine							
shirt	singular		camisia 	camisiae 	camisiae 	camisiam 	camisiā 	camisia 	—	#	feminine							
shirt	plural		camisiae	camisiārum	camisiīs	camisiās	camisiīs	camisiae 	—	#	feminine							
rope	singular		fūnis 	fūnis 	fūnī 	fūnem 	fūne 	fūnis 	—	#	masculine	3	i-stem					
rope	plural		fūnēs	fūnium	fūnibus	fūnēs|fūnīs	fūnibus	fūnēs 	—	#	masculine	3	i-stem					
window	singular		fenestra 	fenestrae 	fenestrae 	fenestram 	fenestrā 	fenestra 	—	#	feminine	1						
window	plural		fenestrae	fenestrārum	fenestrīs	fenestrās	fenestrīs	fenestrae 	—	#	feminine	1						
drum	singular		tympanum 	tympanī 	tympanō 	tympanum 	tympanō 	tympanum 	—	#	neuter	2						
drum	plural		tympana	tympanōrum	tympanīs	tympana	tympanīs	tympana 	—	#	neuter	2						
picture	singular		pictūra 	pictūrae 	pictūrae 	pictūram 	pictūrā 	pictūra 	—	#	feminine	1						
picture	plural		pictūrae	pictūrārum	pictūrīs	pictūrās	pictūrīs	pictūrae 	—	#	feminine	1						
car	singular		carrus 	carrī 	carrō 	carrum 	carrō 	carre 	—	#	masculine	2						
car	plural		carrī	carrōrum	carrīs	carrōs	carrīs	carrī 	—	#	masculine	2						
cart	singular		carrus 	carrī 	carrō 	carrum 	carrō 	carre 	—	#	masculine	2						
cart	plural		carrī	carrōrum	carrīs	carrōs	carrīs	carrī 	—	#	masculine	2						
oath	singular		iūrāmentum 	iūrāmentī 	iūrāmentō 	iūrāmentum 	iūrāmentō 	iūrāmentum 	—	#	neuter	2						
oath	plural		iūrāmenta	iūrāmentōrum	iūrāmentīs	iūrāmenta	iūrāmentīs	iūrāmenta 	—	#	neuter	2						
strong	singular	masculine 	firmus 	firmī 	firmō 	firmum 	firmō 	firme 	—	#	masculine 	2						
strong	singular	feminine 	firma 	firmae 	firmae 	firmam 	firmā 	firma 	—	#	feminine 	1						
strong	singular	neuter 	firmum	firmī	firmō	firmum	firmō	firmum 	—	#	neuter 	2						
strong	plural	masculine 	firmī 	firmōrum 	firmīs	firmōs 	firmīs	firmī 	—	#	masculine 	2						
strong	plural	feminine 	firmae 	firmārum 	firmīs	firmās 	firmīs	firmae 	—	#	feminine 	1						
strong	plural	neuter 	firma	firmōrum	firmīs	firma	firmīs	firma 	—	#	neuter 	2						
bug	singular		cīmex	cīmicis	cīmicī	cīmicem	cīmice	cīmex	—	#	masculine 	3						
bug	plural		cīmicēs	cīmicum	cīmicibus	cīmicēs	cīmicibus	cīmicēs	—	#	masculine 	3						
warmth	singular		calor	calōris	calōrī	calōrem	calōre	calor	—	#	masculine 	3						
warmth	plural		calōrēs	calōrum	calōribus	calōrēs	calōribus	calōrēs	—	#	masculine 	3						
bird	singular		avis	avis	avī	avem	ave|avī	avis	—	#	feminine	3						
bird	plural		avēs	avium	avibus	avēs|avīs	avibus	avēs	—	#	feminine	3						
fire	singular		ignis 	ignis 	ignī 	ignem	igne|ignī	ignis 	—	#	masculine	3						
fire	plural		ignēs	ignium	ignibus 	ignēs|ignīs 	ignibus	ignēs 	—	#	masculine	3						
money	singular		pecūnia 	pecūniae 	pecūniae 	pecūniam 	pecūniā 	pecūnia 	—	#	feminine	1						
money	plural		pecūniae	pecūniārum	pecūniīs	pecūniās	pecūniīs	pecūniae 	—	#	feminine	1						
monster	singular		bēlua 	bēluae 	bēluae 	bēluam 	bēluā 	bēlua 	—	#	feminine	1						
monster	plural		bēluae	bēluārum	bēluīs	bēluās	bēluīs	bēluae 	—	#	feminine	1						
way	singular		via 	viae 	viae 	viam 	viā 	via 	—	#	feminine							
way	plural		viae	viārum	viīs	viās	viīs	viae 	—	#	feminine							
love	singular		amor 	amōris 	amōrī 	amōrem 	amōre 	amor 	—	#	masculine	3						
love	plural		amōrēs	amōrum	amōribus	amōrēs	amōribus	amōrēs 	—	#	masculine	3						
idea	singular		idea 	ideae 	ideae 	ideam 	ideā 	idea 	—	#	feminine							
idea	plural		ideae	ideārum	ideīs	ideās	ideīs	ideae 	—	#	feminine							
size	singular		magnitūdō	magnitūdinis	magnitūdinī	magnitūdinem	magnitūdine	magnitūdō	—	#								
size	plural		magnitūdinēs	magnitūdinum	magnitūdinibus	magnitūdinēs	magnitūdinibus	magnitūdinēs	—	#								
sound	singular		sonus	sonī	sonō	sonum	sonō	sone	—	#								
sound	plural		sonī	sonōrum	sonīs	sonōs	sonīs	sonī	—	#								
