dative	to	the vicinity of	ending vicinity	"man-eating	"	move-fast	toward	man																																												
locative	in	the vicinity of	vicinity	berry-eating	move-slow	toward	berry																																												
dative	to	the vicinity of	ending vicinity	carrot-eating	move-slow	toward	carrot																																												
dative	to	the vicinity of	ending vicinity	grass-eating	move-slow	toward	grass																																												
dative	to	the vicinity of	ending vicinity	grass-eating	move-slow	toward	meadow																																												
ablative	from	the interior of	exit	swimming	walk	out of	fresh-water-body																																												
locative	in	the interior of	interior	swimming	swim	in	fresh-water-body																																												
dative	to	the interior of	entrance	swimming	walk	into	fresh-water-body																																												
instrumental	using	the interior of	interior used	swimming	swim	through	fresh-water-body																																												
ablative	from	the interior of	exit	swimming	walk	out of	water																																												
locative	in	the interior of	interior	swimming	swim	in	water																																												
dative	to	the interior of	entrance	swimming	walk	into	water																																												
instrumental	using	the interior of	interior used	swimming	swim	through	water																																												
ablative	from	the interior of	exit	flying	fall	out of	air																																												
locative	in	the interior of	interior	flying	fly	in	air																																												
dative	to	the interior of	entrance	flying	fly	into	wind																																												
instrumental	using	the interior of	interior used	flying	fly	through	air																																												
ablative	from	the interior of	exit	burrowing	dig	out of	earth																																												
locative	in	the interior of	interior	burrowing	dig	in	earth																																												
dative	to	the interior of	entrance	burrowing	dig	into	earth																																												
instrumental	using	the interior of	interior used	burrowing	dig	through	earth																																												
ablative	from	the interior of	exit	burrowing	dig	out of	soil																																												
locative	in	the interior of	interior	burrowing	dig	in	soil																																												
dative	to	the interior of	entrance	burrowing	dig	into	soil																																												
instrumental	using	the interior of	interior used	burrowing	dig	through	soil																																												
ablative	from	the interior of	exit	burrowing	dig	out of	dirt																																												
locative	in	the interior of	interior	burrowing	dig	in	dirt																																												
dative	to	the interior of	entrance	burrowing	dig	into	dirt																																												
instrumental	using	the interior of	interior used	burrowing	dig	through	dirt																																												
ablative	from	the interior of	exit	burrowing	dig	out of	ground																																												
locative	in	the interior of	interior	burrowing	dig	in	ground																																												
dative	to	the interior of	entrance	burrowing	dig	into	ground																																												
instrumental	using	the interior of	interior used	burrowing	dig	through	ground																																												
ablative	from	the interior of	exit	flying	fly	off of	has-surface																																												
locative	in	the interior of	interior	flying	fly	on	air																																												
dative	to	the interior of	entrance	flying	fly	onto	has-surface																																												
instrumental	using	the interior of	interior used	flying	fly	over	has-surface																																												
ablative	from	the surface of	starting surface	climbing	climb	off of	climbable																																												
locative	on	the surface of	surface	climbing	climb	on	climbable																																												
dative	to	the surface of	ending surface	climbing	climb	onto	climbable																																												
instrumental	using	the surface of	surface used	climbing	climb	over	climbable																																												
ablative	from	the surface of	starting surface	waterfowl	fly	off of	water-body																																												
locative	on	the surface of	surface	waterfowl	swim	on	water-body																																												
dative	to	the surface of	ending surface	waterfowl	fly	onto	water-body																																												
instrumental	using	the surface of	surface used	waterfowl	swim	over	water-body																																												
