*	*	*	*	*	*	*	*	*	*	*	english	old-english	classical-latin	attic-greek	proto-indo-european	russian	russian	sanksrit	sanksrit	middle-egyptian	middle-egyptian																															
#	speak	104	active	present	indicative	simple	familiar	3	plural	intransitive	speak	sprecaþ	fantur	λᾰλέουσῐ(ν)	?dḗyḱsénti 	говоря́т	govorját	भाषन्ति	bhāṣanti	𓆓𓂋	ḏd																															
	love		active	present	indicative	simple	familiar	1	singular	transitive	love	lufiġe	amō	φῐλέω	?lubʰyóh₂	люблю́	ljubljú			𓌻𓂋𓀁	mr	# for concepts in accusative that can be attributed as good																														
	love		active	present	indicative	simple	familiar	2	singular	transitive	love	lufast	amās	φῐλέεις	?lubʰyési	лю́бишь	ljúbišʹ			𓌻𓂋𓀁	mr	"# sanskrit descendants of PIE lubʰ all turned to mean ""desire"", ""prīṇā́ti"" is used instead which means ""to be pleased"""																														
	love		active	present	indicative	simple	familiar	3	singular	transitive	loves	lufaþ	amat	φῐλέει	?lubʰyéti	лю́бит	ljúbit	प्रीणाति	prīṇā́ti	𓌻𓂋𓀁	mr																															
	love		active	present	indicative	simple	familiar	1	dual	transitive	love	lufiaþ	amāmus	φῐλέομεν	?lubʰyówos	лю́бим	ljúbim			𓌻𓂋𓀁	mr																															
	love		active	present	indicative	simple	familiar	2	dual	transitive	love	lufiaþ	amātis	φῐλέετον	?lubʰyétes	лю́бите	ljúbite			𓌻𓂋𓀁	mr																															
	love		active	present	indicative	simple	familiar	3	dual	transitive	love	lufiaþ	amant	φῐλέετον	?lubʰyétes	лю́бят	ljúbjat			𓌻𓂋𓀁	mr																															
	love		active	present	indicative	simple	familiar	1	plural	transitive	love	lufiaþ	amāmus	φῐλέομεν	?lubʰyómos	лю́бим	ljúbim			𓌻𓂋𓀁	mr																															
	love		active	present	indicative	simple	familiar	2	plural	transitive	love	lufiaþ	amātis	φῐλέετε	?lubʰyéte	лю́бите	ljúbite			𓌻𓂋𓀁	mr																															
	love		active	present	indicative	simple	familiar	3	plural	transitive	love	lufiaþ	amant	φῐλέουσῐ(ν)	?lubʰyónti	лю́бят	ljúbjat			𓌻𓂋𓀁	mr																															
	hate		active	present	indicative	simple	familiar	1	singular	transitive	hate	hatiġe	ōdī	μῑσέω	?keh₂doyóh₂	ненави́жу	nenavížu			𓄟𓋴𓆓𓀁	msḏ																															
	hate		active	present	indicative	simple	familiar	2	singular	transitive	hate	hatast	ōdistī	μῑσέεις	?keh₂doyési	ненави́дишь	nenavídišʹ			𓄟𓋴𓆓𓀁	msḏ	"# Sanskrit is derived from PIE for ""to fear"""																														
	hate		active	present	indicative	simple	familiar	3	singular	transitive	hates	hataþ	ōdit	μῑσέει	?keh₂doyéti	ненави́дит	nenavídit	द्वेष्टि	dveṣṭi	𓄟𓋴𓆓𓀁	msḏ																															
	hate		active	present	indicative	simple	familiar	1	dual	transitive	hate	hatiaþ	ōdimus	μῑσέομεν	?keh₂doyówos	ненави́дим	nenavídim			𓄟𓋴𓆓𓀁	msḏ																															
	hate		active	present	indicative	simple	familiar	2	dual	transitive	hate	hatiaþ	ōdistis	μῑσέετον	?keh₂doyétes	ненави́дите	nenavídite			𓄟𓋴𓆓𓀁	msḏ																															
	hate		active	present	indicative	simple	familiar	3	dual	transitive	hate	hatiaþ	ōdērunt	μῑσέετον	?keh₂doyétes	ненави́дят	nenavídjat			𓄟𓋴𓆓𓀁	msḏ																															
	hate		active	present	indicative	simple	familiar	1	plural	transitive	hate	hatiaþ	ōdimus	μῑσέομεν	?keh₂doyómos	ненави́дим	nenavídim			𓄟𓋴𓆓𓀁	msḏ																															
	hate		active	present	indicative	simple	familiar	2	plural	transitive	hate	hatiaþ	ōdistis	μῑσέετε	?keh₂doyéte	ненави́дите	nenavídite			𓄟𓋴𓆓𓀁	msḏ																															
	hate		active	present	indicative	simple	familiar	3	plural	transitive	hate	hatiaþ	ōdērunt	μῑσέουσῐ(ν)	?keh₂doyónti	ненави́дят	nenavídjat			𓄟𓋴𓆓𓀁	msḏ																															
#	consider		active	present	indicative	simple	familiar	1	singular	transitive	consider	beþenċe	meditor	σκέπτομαι	?h₁pi tongéyóh₂	обду́мываю	obdúmyvaju			𓉔𓈖𓈖𓁶	hnn	# for concepts in accusative that can be attributed neither to good nor bad																														
#	consider		active	present	indicative	simple	familiar	2	singular	transitive	consider	beþenċest	meditāris, 	σκέπτει	?h₁pi tongéyési	обду́мываешь	obdúmyvaješʹ			𓉔𓈖𓈖𓁶	hnn	"# PIE is hypothesized based upon proto-germanic formations, lit. ""by-thinking"""																														
#	consider		active	present	indicative	simple	familiar	3	singular	transitive	considers	beþenċeþ	meditātur	σκέπτεται	?h₁pi tongéyéti	обду́мывает	obdúmyvajet	मन्यते	manyate	𓉔𓈖𓈖𓁶	hnn																															
#	consider		active	present	indicative	simple	familiar	1	dual	transitive	consider	beþenċaþ	meditāmur	σκεπτόμεθᾰ	?h₁pi tongéyówos	обду́мываем	obdúmyvajem			𓉔𓈖𓈖𓁶	hnn																															
#	consider		active	present	indicative	simple	familiar	2	dual	transitive	consider	beþenċaþ	meditāminī	σκέπτεσθον	?h₁pi tongéyétes	обду́мываете	obdúmyvajete			𓉔𓈖𓈖𓁶	hnn																															
#	consider		active	present	indicative	simple	familiar	3	dual	transitive	consider	beþenċaþ	meditantur	σκέπτεσθον	?h₁pi tongéyétes	обду́мывают	obdúmyvajut			𓉔𓈖𓈖𓁶	hnn																															
#	consider		active	present	indicative	simple	familiar	1	plural	transitive	consider	beþenċaþ	meditāmur	σκεπτόμεθᾰ	?h₁pi tongéyómos	обду́мываем	obdúmyvajem			𓉔𓈖𓈖𓁶	hnn																															
#	consider		active	present	indicative	simple	familiar	2	plural	transitive	consider	beþenċaþ	meditāminī	σκέπτεσθε	?h₁pi tongéyéte	обду́мываете	obdúmyvajete			𓉔𓈖𓈖𓁶	hnn																															
#	consider		active	present	indicative	simple	familiar	3	plural	transitive	consider	beþenċaþ	meditantur	σκέπτονται	?h₁pi tongéyónti	обду́мывают	obdúmyvajut			𓉔𓈖𓈖𓁶	hnn																															
	navigate		active	present	indicative	simple	familiar	1	singular	intransitive	navigate	fare	nāvigō	πορεύω 	?h₃réǵoh₂	путеше́ствую	putešéstvuju	rājāmi	राजामि	𓌴𓐙𓂣𓂻	mꜣꜥ 	# for observables in instrumental																														
	navigate		active	present	indicative	simple	familiar	2	singular	intransitive	navigate	færest, færst	nāvigās	πορεύεις 	?h₃réǵesi	путеше́ствуешь	putešéstvuješʹ	rājasi	राजसि	𓌴𓐙𓂣𓂻	mꜣꜥ 	"# proto indo european translation roughly means ""to right oneself"""																														
	navigate		active	present	indicative	simple	familiar	3	singular	intransitive	navigates	færeþ, færþ	nāvigat	πορεύει 	?h₃réǵeti	путеше́ствует	putešéstvujet	rājati	राजति	𓌴𓐙𓂣𓂻	mꜣꜥ 	"# sanskri translation roughly means ""to direct"" or ""to steer"""																														
	navigate		active	present	indicative	simple	familiar	1	dual	intransitive	navigate	faraþ 	nāvigāmus	πορεύετον 	?h₃réǵowos	путеше́ствуем	putešéstvujem	rājāvaḥ	राजावः	𓌴𓐙𓂣𓂻	mꜣꜥ 	"# egyptian translation roughly means ""to steer a ship"" and is equivalent to ""to direct"""																														
	navigate		active	present	indicative	simple	familiar	2	dual	intransitive	navigate	faraþ 	nāvigātis	πορεύετον 	?h₃réǵetes	путеше́ствуете	putešéstvujete	rājathaḥ	राजथः	𓌴𓐙𓂣𓂻	mꜣꜥ 	"# translations for ""direct"" are used where no precise translation is known"																														
	navigate		active	present	indicative	simple	familiar	3	dual	intransitive	navigate	faraþ 	nāvigant	πορεύετον 	?h₃réǵetes	путеше́ствуют	putešéstvujut	rājataḥ	राजतः	𓌴𓐙𓂣𓂻	mꜣꜥ 																															
	navigate		active	present	indicative	simple	familiar	1	plural	intransitive	navigate	faraþ 	nāvigāmus	πορεύομεν 	?h₃réǵomos	путеше́ствуем	putešéstvujem	rājāmaḥ	राजामः	𓌴𓐙𓂣𓂻	mꜣꜥ 																															
	navigate		active	present	indicative	simple	familiar	2	plural	intransitive	navigate	faraþ 	nāvigātis	πορεύετε 	?h₃réǵete	путеше́ствуете	putešéstvujete	rājatha	राजथ	𓌴𓐙𓂣𓂻	mꜣꜥ 																															
	navigate		active	present	indicative	simple	familiar	3	plural	intransitive	navigate	faraþ 	nāvigant	πορεύουσῐ(ν) 	?h₃réǵonti	путеше́ствуют	putešéstvujut	rājanti	राजन्ति	𓌴𓐙𓂣𓂻	mꜣꜥ 																															
	work		active	present	indicative	simple	familiar	1	singular	intransitive	work	wyrċe	labōrō	ἔργω	wr̥ǵyóh₂	рабо́таю	rabótaju			𓅡𓎡𓂥	bꜣk	# for times in dative and ablative																														
	work		active	present	indicative	simple	familiar	2	singular	intransitive	work	wyrċest	labōrās	ἔργεις	wr̥ǵyési	рабо́таешь	rabótaješʹ			𓅡𓎡𓂥	bꜣk																															
	work		active	present	indicative	simple	familiar	3	singular	intransitive	works	wyrċeþ	labōrat	ἔργει	wr̥ǵyéti	рабо́тает	rabótajet	वृज्यते	vṛjyáte	𓅡𓎡𓂥	bꜣk																															
	work		active	present	indicative	simple	familiar	1	dual	intransitive	work	wyrċaþ	labōrāmus	ἔργομεν	wr̥ǵyówos	рабо́таем	rabótajem			𓅡𓎡𓂥	bꜣk																															
	work		active	present	indicative	simple	familiar	2	dual	intransitive	work	wyrċaþ	labōrātis	ἔργετον	wr̥ǵyétes	рабо́таете	rabótajete			𓅡𓎡𓂥	bꜣk																															
	work		active	present	indicative	simple	familiar	3	dual	intransitive	work	wyrċaþ	labōrant	ἔργετον	wr̥ǵyétes	рабо́тают	rabótajut			𓅡𓎡𓂥	bꜣk																															
	work		active	present	indicative	simple	familiar	1	plural	intransitive	work	wyrċaþ	labōrāmus	ἔργομεν	wr̥ǵyómos	рабо́таем	rabótajem			𓅡𓎡𓂥	bꜣk																															
	work		active	present	indicative	simple	familiar	2	plural	intransitive	work	wyrċaþ	labōrātis	ἔργετε	wr̥ǵyéte	рабо́таете	rabótajete			𓅡𓎡𓂥	bꜣk																															
	work		active	present	indicative	simple	familiar	3	plural	intransitive	work	wyrċaþ	labōrant	ἔργουσῐ(ν)	wr̥ǵyónti	рабо́тают	rabótajut			𓅡𓎡𓂥	bꜣk																															
	warm		active	present	indicative	simple	familiar	1	singular		warm	wierme	calē̆faciō 	θᾰ́λπω 	gʷʰoréyoh₂	гре́ю	gréju	तापयामि	tāpáyāmi 	𓌂𓐍𓅓𓅓	sḫmm	# for forces and inanimate patients																														
	warm		active	present	indicative	simple	familiar	2	singular		warm	wiermest	calē̆facis 	θᾰ́λπεις 	gʷʰoréyesi	гре́ешь	gréješʹ	तापयसि	tāpáyasi 	𓌂𓐍𓅓𓅓	sḫmm	# optional for nominative-accusative languages																														
	warm		active	present	indicative	simple	familiar	3	singular		warms	wiermeþ	calē̆facit 	θᾰ́λπει 	gʷʰoréyeti	гре́ет	gréjet	तापयति	tāpáyati 	𓌂𓐍𓅓𓅓	sḫmm																															
	warm		active	present	indicative	simple	familiar	1	dual		warm	wiermaþ	calē̆facimus 		gʷʰoréyowos	гре́ем	gréjem	तापयावः	tāpáyāvaḥ 	𓌂𓐍𓅓𓅓	sḫmm																															
	warm		active	present	indicative	simple	familiar	2	dual		warm	wiermaþ	calē̆facitis 	θᾰ́λπετον 	gʷʰoréyetes	гре́ете	gréjete	तापयथः	tāpáyathaḥ 	𓌂𓐍𓅓𓅓	sḫmm																															
	warm		active	present	indicative	simple	familiar	3	dual		warm	wiermaþ	calē̆faciunt 	θᾰ́λπετον 	gʷʰoréyetes	гре́ют	gréjut	तापयतः	tāpáyataḥ 	𓌂𓐍𓅓𓅓	sḫmm																															
	warm		active	present	indicative	simple	familiar	1	plural		warm	wiermaþ	calē̆facimus 	θᾰ́λπομεν 	gʷʰoréyomos	гре́ем	gréjem	तापयामः	tāpáyāmaḥ 	𓌂𓐍𓅓𓅓	sḫmm																															
	warm		active	present	indicative	simple	familiar	2	plural		warm	wiermaþ	calē̆facitis 	θᾰ́λπετε 	gʷʰoréyete	гре́ете	gréjete	तापयथ	tāpáyatha	𓌂𓐍𓅓𓅓	sḫmm																															
	warm		active	present	indicative	simple	familiar	3	plural		warm	wiermaþ	calē̆faciunt 	θᾰ́λπουσῐ(ν) 	gʷʰoréyonti 	гре́ют	gréjut	तापयन्ति	tāpáyanti	𓌂𓐍𓅓𓅓	sḫmm																															
	burn		active	present	indicative	simple	familiar	1	singular		burn	bærne	incendō 	καίω 	?dʰegʷʰéyoh₂	жгу́	žgú	दहामि	dáhāmi 	𓋴𓄿𓅓𓊮	sꜣm	# for rational agents and inanimate patients																														
	burn		active	present	indicative	simple	familiar	2	singular		burn	bærnest, bærnst	incendis 	καίεις 	?dʰegʷʰéyesi	жжёшь	žžóšʹ	दहसि	dáhasi 	𓋴𓄿𓅓𓊮	sꜣm	# optional for nominative-accusative languages																														
	burn		active	present	indicative	simple	familiar	3	singular		burns	bærneþ, bærnþ	incendit 	καίει 	?dʰegʷʰéyeti	жжёт	žžót	दहति	dáhati 	𓋴𓄿𓅓𓊮	sꜣm																															
	burn		active	present	indicative	simple	familiar	1	dual		burn	bærnaþ 	incendimus 	καίετον 	?dʰegʷʰéyowos	жжём	žžóm	दहावः	dáhāvaḥ 	𓋴𓄿𓅓𓊮	sꜣm																															
	burn		active	present	indicative	simple	familiar	2	dual		burn	bærnaþ 	incenditis 	καίετον 	?dʰegʷʰéyetes	жжёте	žžóte	दहथः	dáhathaḥ 	𓋴𓄿𓅓𓊮	sꜣm																															
	burn		active	present	indicative	simple	familiar	3	dual		burn	bærnaþ 	incendunt 		?dʰegʷʰéyetes	жгу́т	žgút	दहतः	dáhataḥ 	𓋴𓄿𓅓𓊮	sꜣm																															
