gratis 	 adverb 	 free 	 free, without charge, gratis
abjurer 	 verb 	 renounce 	 To formally renounce one's religious belief; to apostatise
abjurer 	 verb 	 reject 	 To reject by oath someone's authority
abjurer 	 verb 	 authority 	 To reject by oath someone's authority
abjurer 	 verb 	 oath 	 To reject by oath someone's authority
ablactation 	 noun 	 secretion 	 Interruption in secretion of breast milk, usually caused by a hormonal imbalance
ablactation 	 noun 	 breast milk 	 Interruption in secretion of breast milk, usually caused by a hormonal imbalance
ablactation 	 noun 	 imbalance 	 Interruption in secretion of breast milk, usually caused by a hormonal imbalance
ablactation 	 noun 	 hormonal 	 Interruption in secretion of breast milk, usually caused by a hormonal imbalance
ablation 	 noun 	 removal 	 The often forceful removal  or abolition of something
ablation 	 noun 	 abolition 	 The often forceful removal  or abolition of something
ablation 	 noun 	 English 	 ablation
ablation 	 noun 	 English 	 ablation
able 	 noun 	 bleakNoun 	 a vernacular name of the common bleak
able 	 noun 	 moderlieschen 	 a vernacular name of the sunbleak or moderlieschen, also called able de Heckel
able 	 noun 	 sunbleak 	 a vernacular name of the sunbleak or moderlieschen, also called able de Heckel
able 	 noun 	 Alburnus 	 a vernacular name of any of some other related fishes in the genus Alburnus
ablution 	 noun 	 English 	 Ritual rinsing of the priest's hand; ablution
ablution 	 noun 	 washing 	 A washing, especially ritual
abolition 	 noun 	 English 	 abolition
abominable 	 adjective 	 loathsome 	 Absolutely loathsome; abominable
abominable 	 adjective 	 ugly 	 Exceedingly bad or ugly; abominable
abominable 	 adjective 	 bad 	 Exceedingly bad or ugly; abominable
abomination 	 noun 	 vile 	 Something vile and abominable; an abomination
abomination 	 noun 	 abominable 	 Something vile and abominable; an abomination
abomination 	 noun 	 abomination 	 Something vile and abominable; an abomination
abomination 	 noun 	 revulsion 	 Revulsion, abomination, disgust
abomination 	 noun 	 disgust 	 Revulsion, abomination, disgust
abomination 	 noun 	 English 	 Revulsion, abomination, disgust
abord 	 noun 	 encounter 	 The manner with which one acts in the presence of another person or persons, especially in a first encounter
abord 	 noun 	 manner 	 The manner with which one acts in the presence of another person or persons, especially in a first encounter
abord 	 noun 	 presence 	 The manner with which one acts in the presence of another person or persons, especially in a first encounter
abord 	 noun 	 surrounding 	 The surroundings of a place
abord 	 noun 	 accessibility 	 Arrival or accessibility by water
abord 	 noun 	 arrival 	 Arrival or accessibility by water
about 	 noun 	 element 	 The extremity of a metallic or wooden element or piece
about 	 noun 	 extremity 	 The extremity of a metallic or wooden element or piece
abracadabra 	 interjection 	 Interjection 	 abracadabra
abracadabra 	 noun 	 magical 	 An unspecified magical formula
abracadabra 	 noun 	 formula 	 An unspecified magical formula
abracadabra 	 noun 	 mystical 	 A mystical word from kabbalism
abrasion 	 noun 	 English 	 abrasion
abraxas 	 noun 	 Noun 	 abraxas
abreuvoir 	 noun 	 watering hole 	 a watering hole or place for animals
abreuvoir 	 noun 	 fountain 	 a drinking fountain
abrogation 	 noun 	 abrogationEnglish 	 abrogation
abrupt 	 adjective 	 steep 	 Extremely steep, near vertical
abrupt 	 adjective 	 vertical 	 Extremely steep, near vertical
abrupt 	 adjective 	 caution 	 Done or said forwardly and without caution to avoid shocking
abrupt 	 adjective 	 shock 	 Done or said forwardly and without caution to avoid shocking
abrupt 	 adjective 	 forwardly 	 Done or said forwardly and without caution to avoid shocking
on 	 pronoun 	 people 	 one, people, you, someone
on 	 pronoun 	 you 	 one, people, you, someone
on 	 pronoun 	 one 	 one, people, you, someone
on 	 pronoun 	 someone 	 one, people, you, someone
on 	 pronoun 	 l'on 	 in some contexts|l'on formal
on 	 pronoun 	 we 	 we
abscission 	 noun 	 English 	 abscission
absconder 	 verb 	 set 	 to set
quiz 	 noun 	 English 	 quiz
nu 	 adjective 	 nude 	 person naked, nude
nu 	 adjective 	 naked 	 person naked, nude
nu 	 adjective 	 bare 	 body, tree bare
lente 	 noun 	 nit 	 nit
été 	 noun 	 summer 	 summer
y 	 pronoun 	 there 	 there
y 	 pronoun 	 thither 	 there, thither
y 	 pronoun 	 there 	 there, thither
y 	 pronoun 	 indirect object 	 à followed by an indirect object
y 	 pronoun 	 Appendix:French verbs followed by à 	 With verbs: see Appendix:French verbs followed by à for verbs which use this structure
y 	 pronoun 	 he 	 He: nocap=1
y 	 pronoun 	 they 	 They: nocap=1
y 	 pronoun 	 they 	 They: nocap=1
absent 	 adjective 	 absent-minded 	 absent-minded
absent 	 noun 	 absentee 	 absentee; missing person
absent 	 noun 	 missing person 	 absentee; missing person
absenter 	 verb 	 leave 	 to leave; to absent oneself
absenter 	 verb 	 absentVerb 	 to leave; to absent oneself
absolution 	 noun 	 English 	 absolution
absolution 	 noun 	 acquittal 	 acquittal, absolution
absolution 	 noun 	 English 	 acquittal, absolution
absorber 	 verb 	 absorb 	 to absorb
abstinent 	 adjective 	 teetotal 	 abstinent, teetotal
abstinent 	 noun 	 teetotaller 	 abstinent, teetotaler / teetotaller
abstinent 	 noun 	 teetotaler 	 abstinent, teetotaler / teetotaller
abuser 	 verb 	 mislead 	 to mislead
abuser 	 verb 	 take advantage 	 to take advantage of somebody
abuser 	 verb 	 abuse 	 to abuse
abuser 	 verb 	 go too far 	 to go too far
acajou 	 noun 	 cashew 	 cashew tree; also, its fruit
acajou 	 noun 	 mahogany 	 mahogany tree; also, its timber
acceptant 	 adjective 	 English 	 acceptant
acceptation 	 noun 	 acceptance 	 acceptance
acceptation 	 noun 	 approval 	 approval
accepter 	 verb 	 accept 	 to accept
acception 	 noun 	 sense 	 meaning, sense , acceptation
acception 	 noun 	 meaning 	 meaning, sense , acceptation
accessible 	 adjective 	 obtainable 	 accessible, attainable, obtainable, available
accessible 	 adjective 	 available 	 accessible, attainable, obtainable, available
accessible 	 adjective 	 attainable 	 accessible, attainable, obtainable, available
accessible 	 adjective 	 affordable 	 affordable
accessible 	 adjective 	 approachable 	 approachable
acclimatation 	 noun 	 acclimatization 	 acclimatization
accolade 	 noun 	 bracket 	 curly bracket
accolade 	 noun 	 embrace 	 embrace
accordable 	 adjective 	 English 	 accordable
accorder 	 verb 	 grant 	 to grant
accorder 	 verb 	 link 	 to link to, to be related to
accorder 	 verb 	 agree 	 to make agree
accorder 	 verb 	 tune up 	 to tune, to tune up
accorder 	 verb 	 tune 	 to tune, to tune up
accorder 	 verb 	 award 	 to award
accostable 	 adjective 	 approachable 	 approachable
accostable 	 adjective 	 dockable 	 dockable
accoucheur 	 noun 	 midwife 	 midwife
accoucheur 	 noun 	 obstetrician 	 obstetrician
plural 	 adjective 	 Adjective 	 plural, large
plural 	 adjective 	 large 	 plural, large
avatar 	 noun 	 avatarEnglish 	 avatar
avatar 	 noun 	 avatarEnglish 	 avatar
libre 	 adjective 	 free 	 free, at liberty
libre 	 adjective 	 free 	 clear, free, vacant
libre 	 adjective 	 vacant 	 clear, free, vacant
libre 	 adjective 	 clear 	 clear, free, vacant
libre 	 adjective 	 free 	 free, without obligation
jeudi 	 noun 	 Thursday 	 Thursday
en 	 pronoun 	 of 	 Used as the object of a verb to indicate an indefinite quantity; of it, of them. Replaces the partitive article
en 	 pronoun 	 it 	 Used as the object of a verb to indicate an indefinite quantity; of it, of them. Replaces the partitive article
en 	 pronoun 	 them 	 Used as the object of a verb to indicate an indefinite quantity; of it, of them. Replaces the partitive article
van 	 noun 	 winnowing basket 	 a winnowing basket
te 	 pronoun 	 you 	 You
te 	 pronoun 	 you 	 You
te 	 pronoun 	 yourself 	 yourself
accord 	 noun 	 chord 	 chord
accord 	 noun 	 agreement 	 agreement
accord 	 noun 	 permission 	 permission, consent
accord 	 noun 	 consent 	 permission, consent
alphabet 	 noun 	 English 	 alphabet
parole 	 noun 	 have the floor 	 to have the floor
parole 	 noun 	 take the floor 	 to take the floor
parole 	 noun 	 give the floor 	 to give the floor
pm 	 adverb 	 post meridiem 	 post meridiem
pm 	 noun 	 market price 	 market price
four 	 noun 	 oven 	 oven
four 	 noun 	 stove 	 stove
four 	 noun 	 flop 	 flop
second 	 noun 	 first mate 	 assistant, first mate
second 	 noun 	 assistant 	 assistant, first mate
pseudo 	 noun 	 pseudonym 	 A nickname, handle or pseudonym
pseudo 	 noun 	 handle 	 A nickname, handle or pseudonym
pseudo 	 noun 	 nickname 	 A nickname, handle or pseudonym
ce 	 noun 	 primary school 	 a part of the primary school
ce 	 noun 	 works council 	 works council
point 	 noun 	 period 	 full stop, period
point 	 noun 	 full stop 	 full stop, period
point 	 noun 	 pattern 	 stitch pattern
point 	 noun 	 stitch 	 stitch pattern
point 	 adverb 	 not 	 not
are 	 noun 	 Noun 	 an are
fart 	 noun 	 wax 	 wax
mandat 	 noun 	 mandate 	 mandate
mandat 	 noun 	 postal order 	 postal order, money order
mandat 	 noun 	 money order 	 postal order, money order
mandat 	 noun 	 power of attorney 	 power of attorney, proxy
mandat 	 noun 	 proxy 	 power of attorney, proxy
mandat 	 noun 	 warrant 	 warrant
mandat 	 noun 	 term 	 term in office
représentant 	 noun 	 representative 	 representative
doctrine 	 noun 	 English 	 doctrine
port 	 noun 	 harbour 	 port, harbour
port 	 noun 	 refuge 	 refuge
port 	 noun 	 transport 	 transport
port 	 noun 	 postage 	 postage
port 	 noun 	 stature 	 stature, way of carrying oneself
port 	 noun 	 wearing 	 wearing
six 	 noun 	 English 	 six
os 	 noun 	 bone 	 bone
lol 	 interjection 	 LOL 	 LOL
rtfm 	 phrase 	 regarde 	 regarde ton foutu manuel
rtfm 	 phrase 	 manuel 	 regarde ton foutu manuel
rtfm 	 phrase 	 foutu 	 regarde ton foutu manuel
rtfm 	 phrase 	 ton 	 regarde ton foutu manuel
railway 	 noun 	 railway 	 railway
brassière 	 noun 	 vest 	 child's vest
brassière 	 noun 	 life jacket 	 life jacket
brassière 	 noun 	 brassiere 	 brassiere, bra
brassière 	 noun 	 bra 	 brassiere, bra
stock 	 noun 	 English 	 stock, goods in supply
aria 	 noun 	 English 	 aria
secret 	 adjective 	 Adjective 	 secret
secret 	 noun 	 Noun 	 secret
jour 	 noun 	 day 	 day
jour 	 noun 	 daylight 	 daylight, light
jour 	 noun 	 light 	 daylight, light
jour 	 noun 	 aperture 	 opening, aperture
jour 	 noun 	 opening 	 opening, aperture
langue 	 noun 	 tongue 	 tongue
langue 	 noun 	 language 	 language
country 	 noun 	 country music 	 country music
viable 	 adjective 	 feasible 	 viable, feasible
open 	 noun 	 tournament 	 open; open tournament
consensus 	 noun 	 English 	 consensus
slow 	 noun 	 slow waltz 	 slow waltz
fruit 	 noun 	 English 	 fruit
meeting 	 noun 	 public 	 large, public gathering
global 	 adjective 	 whole 	 as a whole, on the whole; total
globalisation 	 noun 	 globalisationEnglish 	 globalisation
but 	 noun 	 aim 	 aim
but 	 noun 	 goal 	 goal
but 	 noun 	 goal 	 goal
acacia 	 noun 	 English 	 acacia
mobile 	 adjective 	 mobileEnglish 	 mobile
mobile 	 adjective 	 moving 	 moving
mobile 	 adjective 	 movable 	 movable
mobile 	 noun 	 body 	 moving body
mobile 	 noun 	 motive 	 motive for an action, for a crime
mobile 	 noun 	 mobile phone 	 mobile phone; téléphone mobile
sms 	 noun 	 text message 	 SMS, text, text message
sms 	 noun 	 text 	 SMS, text, text message
gsm 	 noun 	 mobile phone 	 A mobile phone
digital 	 adjective 	 finger 	 of or pertaining to fingers or toes
digital 	 adjective 	 English 	 digital
radio 	 noun 	 tuner 	 radio, tuner
ci 	 adverb 	 here 	 here
ci 	 adverb 	 this 	 this
colon 	 noun 	 colonizer 	 colonist, colonizer
colon 	 noun 	 colonist 	 colonist, colonizer
colon 	 noun 	 camper 	 camper
colon 	 noun 	 sharecropper 	 sharecropper in the system of colonat partiaire
colon 	 noun 	 colonat 	 sharecropper in the system of colonat partiaire
mars 	 noun 	 March 	 March
mi 	 noun 	 miEnglish 	 mi, the note 'E'
translation 	 noun 	 English 	 translation
translation 	 noun 	 thunking 	 thunking
ami 	 noun 	 friend 	 friend
indice 	 noun 	 clue 	 clue, indication
indice 	 noun 	 indication 	 clue, indication
indice 	 noun 	 index 	 index
indice 	 noun 	 index 	 index
standard 	 noun 	 switchboard 	 switchboard
standard 	 adjective 	 Adjective 	 standard
pollution 	 noun 	 English 	 pollution
computer 	 verb 	 compute 	 To compute
computer 	 verb 	 w:François-René de Chateaubriand 	 * 1802, François-René de Chateaubriand, Génie du christianisme
abstraction 	 noun 	 English 	 abstraction
accent 	 noun 	 speech 	 accent, manner or tone of speech
accent 	 noun 	 manner 	 accent, manner or tone of speech
accent 	 noun 	 tone 	 accent, manner or tone of speech
accent 	 noun 	 stress 	 accent, stress
accent 	 noun 	 strain 	 strain, section
accent 	 noun 	 section 	 strain, section
bio 	 adjective 	 biological 	 biological
bio 	 adjective 	 organic 	 organic
bio 	 noun 	 movement 	 the organic movement
bio 	 noun 	 organic 	 the organic movement
bio 	 noun 	 food 	 organic food
bio 	 noun 	 organic 	 organic food
bio 	 noun 	 biology 	 biology
bio 	 noun 	 biography 	 biography
lapidation 	 noun 	 English 	 lapidation
smiley 	 noun 	 English 	 smiley
accrue 	 noun 	 dry land 	 dry land created by draining
accusation 	 noun 	 English 	 accusation
ace 	 noun 	 aceEnglish 	 ace
acidification 	 noun 	 English 	 acidification
poison 	 noun 	 English 	 poison
choir 	 verb 	 fall 	 to fall
index 	 noun 	 forefinger 	 forefinger
index 	 noun 	 web site 	 The welcome page of a web site, typically index.html, index.htm or index.php
index 	 noun 	 page 	 The welcome page of a web site, typically index.html, index.htm or index.php
index 	 noun 	 welcome 	 The welcome page of a web site, typically index.html, index.htm or index.php
dictionnaire 	 noun 	 dictionary 	 dictionary: a list of words, usually arranged alphabetically and presented with definitions or translations
dictionnaire 	 noun 	 word 	 dictionary: a list of words, usually arranged alphabetically and presented with definitions or translations
dictionnaire 	 noun 	 alphabetically 	 dictionary: a list of words, usually arranged alphabetically and presented with definitions or translations
dictionnaire 	 noun 	 definition 	 dictionary: a list of words, usually arranged alphabetically and presented with definitions or translations
dictionnaire 	 noun 	 translation 	 dictionary: a list of words, usually arranged alphabetically and presented with definitions or translations
dictionnaire 	 noun 	 presented 	 dictionary: a list of words, usually arranged alphabetically and presented with definitions or translations
dictionnaire 	 noun 	 dictionary 	 dictionary, an associative array
dictionnaire 	 noun 	 associative array 	 dictionary, an associative array
gp 	 noun 	 glycoprotéine 	 glycoprotéine
gag 	 noun 	 joke 	 joke
drink 	 noun 	 after-party 	 a reception or afterparty where alcohol is served
drink 	 noun 	 reception 	 a reception or afterparty where alcohol is served
baby 	 noun 	 table football 	 table soccer, table football
baby 	 noun 	 table soccer 	 table soccer, table football
baby 	 noun 	 sweetheart 	 baby, darling, sweetheart
baby 	 noun 	 darling 	 baby, darling, sweetheart
stand 	 noun 	 English 	 stand
dilettante 	 noun 	 English 	 dilettante
plant 	 noun 	 seedling 	 seedling
plant 	 noun 	 young 	 young plant or plantation
plant 	 noun 	 plantation 	 young plant or plantation
absinthe 	 noun 	 wormwood 	 wormwood
catalan 	 noun 	 CatalanEnglish 	 A Catalan person
donner 	 verb 	 give 	 to give, to transfer the possession/holding of something to someone else
donner 	 verb 	 donate 	 to donate
donner 	 verb 	 come across 	 To come across
protester 	 verb 	 protest 	 to protest; to object
protester 	 verb 	 object 	 to protest; to object
tigre 	 noun 	 tiger 	 tiger
minuscule 	 adjective 	 Adjective 	 tiny, minute, minuscule
minuscule 	 adjective 	 tiny 	 tiny, minute, minuscule
minuscule 	 adjective 	 minute 	 tiny, minute, minuscule
minuscule 	 adjective 	 lowercase 	 lowercase
minuscule 	 noun 	 lower case 	 a minuscule, a lower case
minuscule 	 noun 	 Noun 	 a minuscule, a lower case
nuisance 	 noun 	 pollution 	 pollution
mental 	 noun 	 mind 	 mind
mauve 	 noun 	 mallow 	 mallow
mauve 	 noun 	 mew 	 mew, gull, seagull
mauve 	 noun 	 gull 	 mew, gull, seagull
mauve 	 noun 	 seagull 	 mew, gull, seagull
violet 	 noun 	 purple 	 purple
violet 	 noun 	 mushroom 	 mushroom with a violet cap, such as a webcap or cortinar
violet 	 noun 	 English 	 mushroom with a violet cap, such as a webcap or cortinar
violet 	 noun 	 webcap 	 mushroom with a violet cap, such as a webcap or cortinar
violet 	 noun 	 cap 	 mushroom with a violet cap, such as a webcap or cortinar
violet 	 noun 	 cortinar 	 mushroom with a violet cap, such as a webcap or cortinar
violet 	 adjective 	 purple 	 purple
tuba 	 noun 	 tubaEnglish 	 tuba
tuba 	 noun 	 snorkel 	 snorkel
clapper 	 verb 	 click 	 to click
cane 	 noun 	 duck 	 duck
duel 	 adjective 	 dual 	 dual
duel 	 noun 	 dual 	 dual
football 	 noun 	 association football 	 association football, soccer
football 	 noun 	 soccer 	 association football, soccer
football 	 noun 	 Canadian football 	 Canadian football
football 	 noun 	 American football 	 American football
zipper 	 verb 	 zip 	 to zip
zipper 	 verb 	 zip up 	 to zip up
router 	 verb 	 routeVerb 	 to route
age 	 noun 	 beam 	 beam
age 	 noun 	 shaft 	 shaft
penny 	 noun 	 pennyEnglish 	 penny
nickel 	 noun 	 English 	 atom of nickel
nickel 	 noun 	 atom 	 atom of nickel
nickel 	 adjective 	 spotless 	 spotless
nickel 	 adjective 	 bang on 	 perfect, bang on
nickel 	 adjective 	 perfect 	 perfect, bang on
nature 	 noun 	 lexical category 	 grammar lexical category
nature 	 adjective 	 plainEnglish 	 plain, unseasoned
nature 	 adjective 	 unseasoned 	 plain, unseasoned
nature 	 adjective 	 raw dog 	 bareback, raw dog
nature 	 adjective 	 bareback 	 bareback, raw dog
latin 	 adjective 	 Latin 	 Latin
latin 	 adjective 	 Latino 	 Latino
latin 	 noun 	 Latin 	 the Latin language
latin 	 noun 	 South American 	 a male of South American or Mediterranean origins
latin 	 noun 	 Mediterranean 	 a male of South American or Mediterranean origins
or 	 noun 	 gold 	 gold
or 	 adverb 	 presently 	 now, presently
or 	 adverb 	 now 	 now, presently
or 	 conjunction 	 however 	 yet, however, now
or 	 conjunction 	 yet 	 yet, however, now
or 	 conjunction 	 now 	 yet, however, now
million 	 numeral 	 millionEnglish 	 million, 10
cube 	 noun 	 English 	 cube
cube 	 noun 	 third-grader 	 third-grader
cube 	 adjective 	 cubic 	 cubic
polygonal 	 adjective 	 English 	 polygonal
square 	 noun 	 English 	 small public garden in the middle of a square
square 	 noun 	 garden 	 small public garden in the middle of a square
square 	 noun 	 public 	 small public garden in the middle of a square
pi 	 noun 	 English 	 pi
pi 	 noun 	 English 	 pi
pi 	 conjunction 	 and 	 |and
x 	 noun 	 X-frame 	 X-frame stool
x 	 noun 	 stool 	 X-frame stool
x 	 adjective 	 X-rated 	 X-rated
design 	 noun 	 English 	 design
sol 	 noun 	 soil 	 soil, earth
sol 	 noun 	 earth 	 soil, earth
sol 	 noun 	 ground 	 ground
sol 	 noun 	 floor 	 floor
sol 	 noun 	 solfège 	 sol, the fifth step  in the solfège scale of C, preceded by fa and followed by la
sol 	 noun 	 la 	 sol, the fifth step  in the solfège scale of C, preceded by fa and followed by la
sol 	 noun 	 fa 	 sol, the fifth step  in the solfège scale of C, preceded by fa and followed by la
sol 	 noun 	 Peru 	 A Spanish-American gold or silver coin, now the main currency unit of Peru ', or a coin of this value
sol 	 noun 	 coin 	 A Spanish-American gold or silver coin, now the main currency unit of Peru ', or a coin of this value
sol 	 noun 	 sou 	 sou, the feudal era coin
tennis 	 noun 	 English 	 tennis
tennis 	 noun 	 sneaker 	 sneaker
existence 	 noun 	 Noun 	 existence
existence 	 noun 	 life 	 life
shit 	 noun 	 cannabis 	 cannabis
adroit 	 adjective 	 skilful 	 skilful, apt, skilled
adroit 	 adjective 	 apt 	 skilful, apt, skilled
adroit 	 adjective 	 skilled 	 skilful, apt, skilled
hand 	 noun 	 handball 	 The sport handball
coin 	 noun 	 cornerpiece 	 wedge, cornerpiece
coin 	 noun 	 wedge 	 wedge, cornerpiece
coin 	 noun 	 corner 	 corner
coin 	 noun 	 part 	 area, part, place, spot
coin 	 noun 	 spot 	 area, part, place, spot
coin 	 noun 	 area 	 area, part, place, spot
coin 	 noun 	 place 	 area, part, place, spot
coin 	 interjection 	 quack 	 quack
an 	 noun 	 year 	 year
lama 	 noun 	 llama 	 llama
yacht 	 noun 	 English 	 Yacht
wiki 	 noun 	 wikiEnglish 	 wiki
boomerang 	 noun 	 English 	 boomerang
impala 	 noun 	 english 	 impala
action 	 noun 	 act 	 action, act, deed
action 	 noun 	 deed 	 action, act, deed
action 	 noun 	 campaign 	 campaign
action 	 noun 	 stock 	 stock, share
action 	 noun 	 share 	 stock, share
action 	 noun 	 special 	 a special offer
action 	 noun 	 offer 	 a special offer
infinitive 	 noun 	 English 	 infinitive clause, same as proposition infinitive
infinitive 	 noun 	 clause 	 infinitive clause, same as proposition infinitive
article 	 noun 	 English 	 article
article 	 noun 	 English 	 merchandise, sales article
article 	 noun 	 merchandise 	 merchandise, sales article
article 	 noun 	 sales 	 merchandise, sales article
article 	 noun 	 section 	 section
article 	 noun 	 joint 	 joint, articulation
article 	 noun 	 articulation 	 joint, articulation
article 	 noun 	 moment 	 moment
case 	 noun 	 cabin 	 hut, cabin, shack
case 	 noun 	 shack 	 hut, cabin, shack
case 	 noun 	 hut 	 hut, cabin, shack
case 	 noun 	 box 	 box
case 	 noun 	 square 	 square
kiwi 	 noun 	 kiwi fruit 	 kiwi; kiwi fruit
quadrant 	 noun 	 Noun 	 quadrant
mikado 	 noun 	 Japan 	 mikado, a former title of the emperors of Japan during a certain period
mikado 	 noun 	 emperor 	 mikado, a former title of the emperors of Japan during a certain period
mikado 	 noun 	 Japan 	 any emperor of Japan
mikado 	 noun 	 emperor 	 any emperor of Japan
air 	 noun 	 aria 	 tune, aria
air 	 noun 	 tune 	 tune, aria
air 	 noun 	 appearance 	 appearance
angle 	 noun 	 street 	 A location at the corner of something, such as streets, buildings, furniture etc
angle 	 noun 	 furniture 	 A location at the corner of something, such as streets, buildings, furniture etc
angle 	 noun 	 building 	 A location at the corner of something, such as streets, buildings, furniture etc
angle 	 noun 	 corner 	 A location at the corner of something, such as streets, buildings, furniture etc
angle 	 noun 	 viewpoint 	 A viewpoint or angle
argument 	 noun 	 Noun 	 argument
argument 	 noun 	 argumentEnglish 	 argument of a verb, phrase syntactically connected to a verb
argument 	 noun 	 verb 	 argument of a verb, phrase syntactically connected to a verb
argument 	 noun 	 syntax 	 argument of a verb, phrase syntactically connected to a verb
argument 	 noun 	 phrase 	 argument of a verb, phrase syntactically connected to a verb
as 	 noun 	 ace 	 ace
as 	 noun 	 ace 	 ace
amontillado 	 noun 	 English 	 amontillado
karoshi 	 noun 	 English 	 karoshi
boom 	 noun 	 English 	 boom
parent 	 noun 	 relation 	 relative, relation, family member
parent 	 noun 	 relative 	 relative, relation, family member
parent 	 noun 	 ancestor 	 ancestors
parent 	 adjective 	 related 	 related
parent 	 adjective 	 similar 	 similar
son 	 determiner 	 its 	 His, her, its
son 	 determiner 	 his 	 His, her, its
son 	 determiner 	 her 	 His, her, its
son 	 noun 	 bran 	 bran
cousin 	 noun 	 crane fly 	 crane fly
non 	 adverb 	 no 	 no
non 	 conjunction 	 not 	 not
non 	 noun 	 no 	 a no, a negative response
non 	 interjection 	 no 	 no!
car 	 conjunction 	 because 	 as, since, because, for
car 	 conjunction 	 since 	 as, since, because, for
car 	 conjunction 	 as 	 as, since, because, for
car 	 conjunction 	 for 	 as, since, because, for
car 	 noun 	 coach 	 a single-decked long-distance, or privately hired, bus, a coach
expression 	 noun 	 English 	 expression
cool 	 adjective 	 English 	 cool
cool 	 interjection 	 great 	 cool! great!
quadruple 	 adjective 	 sixty-fourth note 	 sixty-fourth note
quadruple 	 noun 	 times 	 Something that is equal to four times something else
quadruple 	 noun 	 equal 	 Something that is equal to four times something else
quadruple 	 noun 	 four 	 Something that is equal to four times something else
quadruple 	 noun 	 move 	 A move whose score is multiplied by four
quadruple 	 noun 	 multiply 	 A move whose score is multiplied by four
quadruple 	 noun 	 board 	 The area on the board where such a move is possible
quadruplet 	 noun 	 Noun 	 quadruplet
iceberg 	 noun 	 icebergEnglish 	 iceberg
rue 	 noun 	 street 	 street, road
rue 	 noun 	 road 	 street, road
rue 	 noun 	 rueEtymology 3 	 rue
habit 	 noun 	 garment 	 article of clothing, garment, dress-coat, evening dress, tails, full dress
habit 	 noun 	 tails 	 article of clothing, garment, dress-coat, evening dress, tails, full dress
habit 	 noun 	 clothing 	 article of clothing, garment, dress-coat, evening dress, tails, full dress
habit 	 noun 	 full dress 	 article of clothing, garment, dress-coat, evening dress, tails, full dress
habit 	 noun 	 dress-coat 	 article of clothing, garment, dress-coat, evening dress, tails, full dress
