विश्व 	 adjective 	 every 	 all, every, every one; whole, entire, universal
संधि 	 noun 	 joint 	 joint, articulation
संधि 	 noun 	 crevice 	 interstice, crevice, interval
संधि 	 noun 	 interstice 	 interstice, crevice, interval
संधि 	 noun 	 interval 	 interstice, crevice, interval
संधि 	 noun 	 horizon 	 the space between heaven and earth, horizon
संधि 	 noun 	 twilight 	 the interval between day and night, twilight
संधि 	 noun 	 seam 	 seam
संधि 	 noun 	 fold 	 fold
संधि 	 noun 	 wall 	 wall or the hole or cavity or breach in a wall made by a housebreaker
संधि 	 noun 	 cavity 	 wall or the hole or cavity or breach in a wall made by a housebreaker
संधि 	 noun 	 hole 	 wall or the hole or cavity or breach in a wall made by a housebreaker
संधि 	 noun 	 breach 	 wall or the hole or cavity or breach in a wall made by a housebreaker
संधि 	 noun 	 vulva 	 vagina, vulva
संधि 	 noun 	 vagina 	 vagina, vulva
संधि 	 noun 	 juncture 	 juncture or division of a drama
संधि 	 noun 	 division 	 juncture or division of a drama
संधि 	 noun 	 period 	 a period at the expiration of each युग or age
संधि 	 noun 	 rest 	 pause, rest
संधि 	 noun 	 pause 	 pause, rest
संधि 	 noun 	 part 	 part, portion, piece of anything
संधि 	 noun 	 portion 	 part, portion, piece of anything
संधि 	 noun 	 perpendicular 	 the connecting link of a perpendicular
संधि 	 noun 	 side 	 the common side of a double triangle
गज 	 noun 	 elephant 	 elephant
यदि 	 conjunction 	 if 	 if; in case that
गृह 	 noun 	 habitation 	 a house, habitation, home
गृह 	 noun 	 home 	 a house, habitation, home
गृह 	 noun 	 house 	 a house, habitation, home
गृह 	 noun 	 assistant 	 assistant, servant
गृह 	 noun 	 servant 	 assistant, servant
गृह 	 noun 	 family 	 the inhabitants of a house, family
गृह 	 noun 	 wife 	 wife; householder
गृह 	 noun 	 householder 	 wife; householder
गृह 	 noun 	 temple 	 a temple
गृह 	 noun 	 bower 	 a bower
गृह 	 noun 	 wife 	 wife
गृह 	 noun 	 sign 	 zodiac sign
गृह 	 noun 	 mansion 	 an astrological mansion
गृह 	 noun 	 square 	 square
तर्हि 	 adverb 	 then 	 then
सह 	 noun 	 fire 	 a particular fire
सह 	 noun 	 manu 	 name of a son of manu
सह 	 noun 	 Madri 	 name of a son of Krishna and Madri
सह 	 noun 	 Krishna 	 name of a son of Krishna and Madri
सह 	 noun 	 unguis odoratus 	 Unguis odoratus
सह 	 adjective 	 powerful 	 powerful, mighty
सह 	 adjective 	 mighty 	 powerful, mighty
सह 	 adjective 	 overcoming 	 overcoming, vanquishing
सह 	 adjective 	 vanquishing 	 overcoming, vanquishing
सह 	 adjective 	 enduring 	 bearing, enduring, withstanding, defying, equal to, a match for
सह 	 adjective 	 bearing 	 bearing, enduring, withstanding, defying, equal to, a match for
सह 	 adjective 	 defying 	 bearing, enduring, withstanding, defying, equal to, a match for
सह 	 adjective 	 withstanding 	 bearing, enduring, withstanding, defying, equal to, a match for
सह 	 adjective 	 causing 	 causing, effecting, stimulating, exerting
सह 	 adjective 	 stimulating 	 causing, effecting, stimulating, exerting
सह 	 adjective 	 effecting 	 causing, effecting, stimulating, exerting
सह 	 adjective 	 exerting 	 causing, effecting, stimulating, exerting
सह 	 adjective 	 capable 	 able to, capable of
सह 	 noun 	 salt 	 kind of salt
सह 	 noun 	 companion 	 companion
मेघ 	 noun 	 cloud 	 a cloud
मेघ 	 noun 	 multitude 	 a mass, multitude
मेघ 	 noun 	 mass 	 a mass, multitude
मेघ 	 noun 	 rāga 	 a particular rāga
आकाश 	 noun 	 sky 	 sky
मूर्ख 	 adjective 	 silly 	 foolish, silly, stupid, idiotic
मूर्ख 	 adjective 	 foolish 	 foolish, silly, stupid, idiotic
मूर्ख 	 adjective 	 idiotic 	 foolish, silly, stupid, idiotic
मूर्ख 	 adjective 	 stupid 	 foolish, silly, stupid, idiotic
मूर्ख 	 adjective 	 inexperienced 	 inexperienced, dull
मूर्ख 	 adjective 	 dull 	 inexperienced, dull
मूर्ख 	 noun 	 idiot 	 fool, idiot
मूर्ख 	 noun 	 fool 	 fool, idiot
मूर्ख 	 noun 	 Vigna radiata 	 a species of mung bean native to the Indian Subcontinent, Vigna radiata, green gram
मूर्ख 	 noun 	 green gram 	 a species of mung bean native to the Indian Subcontinent, Vigna radiata, green gram
मूर्ख 	 noun 	 mung bean 	 a species of mung bean native to the Indian Subcontinent, Vigna radiata, green gram
वली 	 noun 	 fold 	 fold of the skin; wrinkle
वली 	 noun 	 skin 	 fold of the skin; wrinkle
वली 	 noun 	 wrinkle 	 fold of the skin; wrinkle
वली 	 noun 	 wave 	 wave
मधुर 	 adjective 	 nectarous 	 sweet, delicious, nectarous
मधुर 	 adjective 	 sweet 	 sweet, delicious, nectarous
मधुर 	 adjective 	 delicious 	 sweet, delicious, nectarous
मधुर 	 adjective 	 pleasant 	 pleasant, charming, delightful
मधुर 	 adjective 	 delightful 	 pleasant, charming, delightful
मधुर 	 adjective 	 charming 	 pleasant, charming, delightful
मधुर 	 adjective 	 mellifluous 	 sounding sweetly or uttering sweet cries, melodious, mellifluous
मधुर 	 adjective 	 melodious 	 sounding sweetly or uttering sweet cries, melodious, mellifluous
स्वस्तिक 	 noun 	 bard 	 a kind of bard
स्वस्तिक 	 noun 	 object 	 any lucky or auspicious object, especially a kind of mystical cross or mark made on persons and things to denote good luck; a swastika
स्वस्तिक 	 noun 	 swastika 	 any lucky or auspicious object, especially a kind of mystical cross or mark made on persons and things to denote good luck; a swastika
स्वस्तिक 	 noun 	 auspicious 	 any lucky or auspicious object, especially a kind of mystical cross or mark made on persons and things to denote good luck; a swastika
स्वस्तिक 	 noun 	 lucky 	 any lucky or auspicious object, especially a kind of mystical cross or mark made on persons and things to denote good luck; a swastika
स्वस्तिक 	 noun 	 crossing 	 the crossing of the arms or hands on the breast
स्वस्तिक 	 noun 	 bandage 	 a bandage in the form of a cross
स्वस्तिक 	 noun 	 dish 	 a dish of a particular form
स्वस्तिक 	 noun 	 cake 	 a kind of cake
स्वस्तिक 	 noun 	 jewel 	 a triangular crest-jewel
स्वस्तिक 	 noun 	 crest 	 a triangular crest-jewel
स्वस्तिक 	 noun 	 crossroad 	 the meeting of four roads, a crossroad
स्वस्तिक 	 noun 	 symbol 	 a particular symbol made of ground rice and formed like a triangle
स्वस्तिक 	 noun 	 garlic 	 a species of garlic
स्वस्तिक 	 noun 	 cock 	 cock
स्वस्तिक 	 noun 	 libertine 	 libertine
स्वस्तिक 	 noun 	 mansion 	 a mansion or temple of a particular form
स्वस्तिक 	 noun 	 yogi 	 a particular mode of sitting practised by yogins
स्वस्तिक 	 noun 	 sitting 	 a particular mode of sitting practised by yogins
शब्दकोश 	 noun 	 dictionary 	 dictionary
मुक्ति 	 noun 	 free 	 setting or becoming free, release, liberation, deliverance from
मुक्ति 	 noun 	 become 	 setting or becoming free, release, liberation, deliverance from
मुक्ति 	 noun 	 liberation 	 setting or becoming free, release, liberation, deliverance from
मुक्ति 	 noun 	 set 	 setting or becoming free, release, liberation, deliverance from
मुक्ति 	 noun 	 release 	 setting or becoming free, release, liberation, deliverance from
मुक्ति 	 noun 	 deliverance 	 setting or becoming free, release, liberation, deliverance from
मुक्ति 	 noun 	 liberation 	 final liberation, emancipation, or beatitude
मुक्ति 	 noun 	 beatitude 	 final liberation, emancipation, or beatitude
मुक्ति 	 noun 	 final 	 final liberation, emancipation, or beatitude
मुक्ति 	 noun 	 emancipation 	 final liberation, emancipation, or beatitude
मुक्ति 	 noun 	 give up 	 abandonment, putting off, giving up
मुक्ति 	 noun 	 abandonment 	 abandonment, putting off, giving up
मुक्ति 	 noun 	 put off 	 abandonment, putting off, giving up
मुक्ति 	 noun 	 throwing 	 throwing, casting, hurling, shooting, sending
मुक्ति 	 noun 	 shooting 	 throwing, casting, hurling, shooting, sending
मुक्ति 	 noun 	 sending 	 throwing, casting, hurling, shooting, sending
मुक्ति 	 noun 	 casting 	 throwing, casting, hurling, shooting, sending
मुक्ति 	 noun 	 hurling 	 throwing, casting, hurling, shooting, sending
मुक्ति 	 noun 	 discharge 	 discharge
सूनु 	 noun 	 son 	 son, child, offspring
सूनु 	 noun 	 child 	 son, child, offspring
सूनु 	 noun 	 offspring 	 son, child, offspring
सूनु 	 noun 	 brother 	 a younger brother
सूनु 	 noun 	 rishi 	 name of a rishi
सूनु 	 noun 	 daughter 	 daughter
सूनु 	 noun 	 soma 	 one who presses out or extracts the soma-juice
सूनु 	 noun 	 inciter 	 one who urges or incites, an inciter
सूनु 	 noun 	 sun 	 the sun
अनुवाद 	 noun 	 interpretation 	 interpretation
अनुवाद 	 noun 	 translation 	 translation
अनुवाद 	 noun 	 recitation 	 recitation
अनुवाद 	 noun 	 repetition 	 repetition
अनुराग 	 noun 	 predilection 	 predilection
अनुराग 	 noun 	 love 	 a higher love, like the love of music or art
अनुराग 	 noun 	 affection 	 affection
अनुराग 	 noun 	 admirer 	 admirer
अनुराग 	 noun 	 devotion 	 devotion
अनुराग 	 noun 	 fidelity 	 fidelity
अनुराग 	 noun 	 fondness 	 fondness
आद 	 noun 	 commencement 	 beginning, start, commencement
आद 	 noun 	 start 	 beginning, start, commencement
आद 	 noun 	 beginning 	 beginning, start, commencement
आद 	 noun 	 firstling 	 firstling, first-fruits
देवता 	 noun 	 divinity 	 godhead, divinity
देवता 	 noun 	 godhead 	 godhead, divinity
देवता 	 noun 	 idol 	 image of a deity, idol
ईश्वर 	 noun 	 husband 	 a husband
ईश्वर 	 noun 	 God 	 God
फल 	 noun 	 fruit 	 fruit
फल 	 noun 	 monkey 	 The girl gives fruits to the  monkeys
फल 	 noun 	 kernel 	 kernel or seed of a fruit
फल 	 noun 	 nutmeg 	 nutmeg
फल 	 noun 	 gain 	 profit, gain, reward
फल 	 noun 	 profit 	 profit, gain, reward
फल 	 noun 	 reward 	 profit, gain, reward
फल 	 noun 	 interest 	 interest on capital
फल 	 noun 	 compensation 	 compensation
फल 	 noun 	 booty 	 booty
फल 	 noun 	 effect 	 result, yield, consequence, effect, retribution
फल 	 noun 	 yield 	 result, yield, consequence, effect, retribution
फल 	 noun 	 consequence 	 result, yield, consequence, effect, retribution
फल 	 noun 	 retribution 	 result, yield, consequence, effect, retribution
फल 	 noun 	 result 	 result, yield, consequence, effect, retribution
फल 	 noun 	 benefit 	 benefit, enjoyment
फल 	 noun 	 enjoyment 	 benefit, enjoyment
फल 	 noun 	 calculation 	 result of a calculation
फल 	 noun 	 result 	 result of a calculation
फल 	 noun 	 quotient 	 product or quotient
फल 	 noun 	 product 	 product or quotient
फल 	 noun 	 term 	 mean ― The third term in the rule of three or cross-multiplication
फल 	 noun 	 cross-multiply 	 mean ― The third term in the rule of three or cross-multiplication
फल 	 noun 	 w:Rule of three  	 mean ― The third term in the rule of three or cross-multiplication
फल 	 noun 	 mean 	 mean ― The third term in the rule of three or cross-multiplication
फल 	 noun 	 menses 	 menstrual discharge, menses, periods
फल 	 noun 	 periods 	 menstrual discharge, menses, periods
फल 	 noun 	 menstrual 	 menstrual discharge, menses, periods
फल 	 noun 	 gift 	 gift, donation
फल 	 noun 	 donation 	 gift, donation
फल 	 noun 	 gameboard 	 gameboard
फल 	 noun 	 blade 	 blade of fan, etc
फल 	 noun 	 vane 	 vane, weathervane of wind mill
फल 	 noun 	 weathervane 	 vane, weathervane of wind mill
फल 	 noun 	 arrowhead 	 arrowhead
फल 	 noun 	 shield 	 shield
फल 	 noun 	 ploughshare 	 ploughshare
वस्तु 	 noun 	 thing 	 a thing
वस्तु 	 noun 	 place 	 seat, place
वस्तु 	 noun 	 seat 	 seat, place
वस्तु 	 noun 	 matter 	 matter, circumstance
वस्तु 	 noun 	 circumstance 	 matter, circumstance
वस्तु 	 noun 	 substance 	 substance, contents or subject
वस्तु 	 noun 	 morning 	 becoming light, dawning, morning
वस्तु 	 noun 	 dawning 	 becoming light, dawning, morning
भारत 	 adjective 	 Bhāratas 	 descended from भरत or the Bhāratas
भारत 	 adjective 	 India 	 "king Bharatas's realm" i.e. India
भारत 	 adjective 	 Indic 	 inhabiting tr=bharata-varṣa i.e. India; Indic
भारत 	 adjective 	 India 	 inhabiting tr=bharata-varṣa i.e. India; Indic
भारत 	 noun 	 descendant 	 a descendant of Bharata
भारत 	 noun 	 Bharata 	 a descendant of Bharata
भारत 	 noun 	 fire 	 fire
भारत 	 noun 	 actor 	 an actor
भारत 	 noun 	 land 	 the land of Bharatas i.e. India
भारत 	 noun 	 India 	 the land of Bharatas i.e. India
एक 	 numeral 	 one 	 one
एक 	 adjective 	 alone 	 alone, solitary, single, happening only once, that one only
एक 	 adjective 	 solitary 	 alone, solitary, single, happening only once, that one only
एक 	 adjective 	 single 	 alone, solitary, single, happening only once, that one only
एक 	 adjective 	 same 	 the same, one and the same, identical
एक 	 adjective 	 identical 	 the same, one and the same, identical
एक 	 adjective 	 chief 	 single of its kind, unique, singular, chief, pre-eminent, excellent
एक 	 adjective 	 singular 	 single of its kind, unique, singular, chief, pre-eminent, excellent
एक 	 adjective 	 excellent 	 single of its kind, unique, singular, chief, pre-eminent, excellent
एक 	 adjective 	 unique 	 single of its kind, unique, singular, chief, pre-eminent, excellent
एक 	 adjective 	 truthful 	 sincere, truthful
एक 	 adjective 	 sincere 	 sincere, truthful
एक 	 adjective 	 small 	 little, small
एक 	 adjective 	 little 	 little, small
एक 	 adjective 	 an 	 an
एक 	 noun 	 unit 	 unity, a unit
एक 	 noun 	 unity 	 unity, a unit
काला 	 noun 	 plant 	 name of several plants
काला 	 noun 	 several 	 name of several plants
कृष्ण 	 adjective 	 dark 	 black, dark, dark-blue
कृष्ण 	 adjective 	 black 	 black, dark, dark-blue
कृष्ण 	 noun 	 black 	 black  or dark-blue
कृष्ण 	 noun 	 waning 	 waning period of the lunar phase from full moon to new moon
कृष्ण 	 noun 	 new moon 	 waning period of the lunar phase from full moon to new moon
कृष्ण 	 noun 	 lunar phase 	 waning period of the lunar phase from full moon to new moon
कृष्ण 	 noun 	 full moon 	 waning period of the lunar phase from full moon to new moon
कृष्ण 	 noun 	 antelope 	 an antelope
कृष्ण 	 noun 	 animal 	 a kind of animal feeding on carrion
कृष्ण 	 noun 	 blackness 	 blackness, darkness
कृष्ण 	 noun 	 darkness 	 blackness, darkness
कृष्ण 	 noun 	 eye 	 the black part of the eye
कृष्ण 	 noun 	 moon 	 the black spots in the moon
कृष्ण 	 noun 	 demon 	 a kind of demon or spirit of darkness
कृष्ण 	 noun 	 spirit 	 a kind of demon or spirit of darkness
कृष्ण 	 noun 	 pepper 	 black pepper
कृष्ण 	 noun 	 Aquilaria 	 black Aquilaria
श्वेत 	 adjective 	 white 	 white, bright, dressed in white
श्वेत 	 adjective 	 bright 	 white, bright, dressed in white
श्वेत 	 adjective 	 dressed 	 white, bright, dressed in white
मातृ 	 noun 	 mother 	 mother
अग्नि 	 noun 	 fire 	 fire, sacrificial fire
अग्नि 	 noun 	 sacrificial 	 fire, sacrificial fire
अग्नि 	 noun 	 three 	 the number three
अग्नि 	 noun 	 bile 	 bile
अग्नि 	 noun 	 gold 	 gold
अग्नि 	 noun 	 substitute 	 mystical substitute for the letter r
कपोत 	 noun 	 dove 	 pigeon, dove
कपोत 	 noun 	 pigeon 	 pigeon, dove
