verb	swadesh number						proto-indo-european	old-english	latin	ancient-greek	russian		sanksrit																																
see	101	active	present	indicative	3	singular	wóyde             	siehþ	videt	εἶδε(ν)	ви́дит	vídit	पश्यति	paśyati																															
see	101	active	present	indicative	1	dual	widwé             	sēoþ	vidēmus	εἴδομεν	ви́дим	vídim	पश्यावः	paśyāvaḥ																															
see	101	active	present	indicative	2	dual	                  	sēoþ	vidētis	εἴδετον	ви́дите	vídite	पश्यथः	paśyathaḥ																															
see	101	active	present	indicative	3	dual	                  	sēoþ	vident	εἰδέτην	ви́дят	vídjat	पश्यतः	paśyataḥ																															
see	101	active	present	indicative	1	plural	widmé             	sēoþ	vidēmus	εἴδομεν	ви́дим	vídim	पश्यामः	paśyāmaḥ																															
see	101	active	present	indicative	2	plural	widé              	sēoþ	vidētis	εἴδετε	ви́дите	vídite	पश्यथ	paśyatha																															
see	101	active	present	indicative	3	plural	widḗr             	sēoþ	vident	εἶδον	ви́дят	vídjat	पश्यन्ति	paśyanti																															
hear	102	active	present	indicative	1	singular	ḱlēm	ġehīere	audiō	κλῠ́ω	слы́шу	slýšu	शृणोमि	śṛṇomi	# for audibles in accusative																														
hear	102	active	present	indicative	2	singular	ḱlews	ġehīerest	audīs	κλῠ́εις	слы́шишь	slýšišʹ	शृणोषि	śṛṇoṣi																															
hear	102	active	present	indicative	3	singular	ḱlewt	ġehīereþ	audit	κλῠ́ει	слы́шит	slýšit	शृणोति	śṛṇoti																															
hear	102	active	present	indicative	1	dual	ḱluwé	ġehīeraþ	audīmus	κλῠ́ομεν	слы́шим	slýšim	शृणुवः	śṛṇuvaḥ																															
hear	102	active	present	indicative	2	dual	ḱlutóm	ġehīeraþ	audītis	κλῠ́ετον	слы́шите	slýšite	शृणुथः	śṛṇuthaḥ																															
hear	102	active	present	indicative	3	dual	ḱlutā́m	ġehīeraþ	audiunt	κλῠ́ετον	слы́шат	slýšat	शृणुतः	śṛṇutaḥ																															
hear	102	active	present	indicative	1	plural	ḱlumé	ġehīeraþ	audīmus	κλῠ́ομεν	слы́шим	slýšim	शृणुमः	śṛṇumaḥ																															
hear	102	active	present	indicative	2	plural	ḱluté	ġehīeraþ	audītis	κλῠ́ετε	слы́шите	slýšite	शृणुथ	śṛṇutha																															
hear	102	active	present	indicative	3	plural	ḱl̥wént	ġehīeraþ	audiunt	κλῠ́ουσῐ(ν)	слы́шат	slýšat	शृण्वन्ति	śṛṇvanti																															
direct		active	present	indicative	1	singular	déwkmi	stīere	dūcō	εὐθῡ́νω	направля́ю	vnimaniye	राजामि	rājāmi	# a catch all for directing attention to/from/near observables, audibles, concepts, and really anything																														
direct		active	present	indicative	2	singular	déwksi	stīerest	dūcis	εὐθῡ́νεις	направля́ешь	vnimaniye	राजसि	rājasi	"# russian translation is closer to ""aim"""																														
direct		active	present	indicative	3	singular	déwkti	stīereþ	dūcit	εὐθῡ́νει	направля́ет	vnimaniye	राजति	rājati	"# old english translation is closer to ""steer"""																														
direct		active	present	indicative	1	dual	dukwós	stīeraþ	dūcimus	εὐθῡ́νομεν	направля́ем	vnimaniye	राजावः	rājāvaḥ	"# sanskrit translation is closer to ""lead"""																														
direct		active	present	indicative	2	dual	duktés	stīeraþ	dūcitis	εὐθῡ́νετον	направля́ете	vnimaniye	राजथः	rājathaḥ	"# PIE translation is closer to ""pull"" or ""lead"""																														
direct		active	present	indicative	3	dual	duktés	stīeraþ	dūcunt	εὐθῡ́νετον	направля́ют	vnimaniye	राजतः	rājataḥ	"# greek translation is closer to ""straighten"""																														
direct		active	present	indicative	1	plural	dukmós	stīeraþ	dūcimus	εὐθῡ́νομεν	направля́ем	vnimaniye	राजामः	rājāmaḥ																															
direct		active	present	indicative	2	plural	dukté	stīeraþ	dūcitis	εὐθῡ́νετε	направля́ете	vnimaniye	राजथ	rājatha																															
direct		active	present	indicative	3	plural	dukénti	stīeraþ	dūcunt	εὐθῡ́νουσῐ(ν)	направля́ют	vnimaniye	राजन्ति	rājanti																															
speak	104	active	present	indicative	1	singular	dḗyḱsm̥           	sprece	for	λᾰλέω	говорю́	govorjú	भाषामि	bhāṣāmi	# for propositional case only																														
speak	104	active	present	indicative	2	singular	dḗyḱs             	spricst	fāris,	λᾰλέεις	говори́шь	govoríšʹ	भाषसि	bhāṣasi																															
speak	104	active	present	indicative	3	singular	dḗyḱst            	spricþ	fātur	λᾰλέει	говори́т	govorít	भाषति	bhāṣati																															
speak	104	active	present	indicative	1	dual	déyḱswe           	sprecaþ	fāmur	λᾰλέομεν	говори́м	govorím	भाषावः	bhāṣāvaḥ																															
speak	104	active	present	indicative	2	dual	déyḱstom          	sprecaþ	fāminī	λᾰλέετον	говори́те	govoríte	भाषथः	bhāṣathaḥ																															
speak	104	active	present	indicative	3	dual	déyḱstām          	sprecaþ	fantur	λᾰλέετον	говоря́т	govorját	भाषतः	bhāṣataḥ																															
speak	104	active	present	indicative	1	plural	déyḱsme           	sprecaþ	fāmur	λᾰλέομεν	говори́м	govorím	भाषामः	bhāṣāmaḥ																															
speak	104	active	present	indicative	2	plural	déyḱste           	sprecaþ	fāminī	λᾰλέετε	говори́те	govoríte	भाषथ	bhāṣatha																															
speak	104	active	present	indicative	3	plural	déyḱsn̥t          	sprecaþ	fantur	λᾰλέουσῐ(ν)	говоря́т	govorját	भाषन्ति	bhāṣanti																															
love		active	present	indicative	1	singular	lubʰyóh₂	lufiġe	amō	φῐλέω	люблю́	ljubljú			# for concepts in accusative that can be attributed as good																														
love		active	present	indicative	2	singular	lubʰyési	lufast	amās	φῐλέεις	лю́бишь	ljúbišʹ			"# sanskrit descendants of PIE *lubʰ all turned to mean ""desire"", ""prīṇā́ti"" is used instead which means ""to be pleased"""																														
love		active	present	indicative	3	singular	lubʰyéti	lufaþ	amat	φῐλέει	лю́бит	ljúbit	प्रीणाति	prīṇā́ti																															
love		active	present	indicative	1	dual	lubʰyówos	lufiaþ	amāmus	φῐλέομεν	лю́бим	ljúbim																																	
love		active	present	indicative	2	dual	lubʰyétes	lufiaþ	amātis	φῐλέετον	лю́бите	ljúbite																																	
love		active	present	indicative	3	dual	lubʰyétes	lufiaþ	amant	φῐλέετον	лю́бят	ljúbjat																																	
love		active	present	indicative	1	plural	lubʰyómos	lufiaþ	amāmus	φῐλέομεν	лю́бим	ljúbim																																	
love		active	present	indicative	2	plural	lubʰyéte	lufiaþ	amātis	φῐλέετε	лю́бите	ljúbite																																	
love		active	present	indicative	3	plural	lubʰyónti	lufiaþ	amant	φῐλέουσῐ(ν)	лю́бят	ljúbjat																																	
hate		active	present	indicative	1	singular	keh₂doyóh₂	hatiġe	ōdī	μῑσέω	ненави́жу	nenavížu																																	
hate		active	present	indicative	2	singular	keh₂doyési	hatast	ōdistī	μῑσέεις	ненави́дишь	nenavídišʹ			"# Sanskrit is derived from PIE for ""to fear"""																														
hate		active	present	indicative	3	singular	keh₂doyéti	hataþ	ōdit	μῑσέει	ненави́дит	nenavídit	द्वेष्टि	dveṣṭi																															
hate		active	present	indicative	1	dual	keh₂doyówos	hatiaþ	ōdimus	μῑσέομεν	ненави́дим	nenavídim																																	
hate		active	present	indicative	2	dual	keh₂doyétes	hatiaþ	ōdistis	μῑσέετον	ненави́дите	nenavídite																																	
hate		active	present	indicative	3	dual	keh₂doyétes	hatiaþ	ōdērunt	μῑσέετον	ненави́дят	nenavídjat																																	
hate		active	present	indicative	1	plural	keh₂doyómos	hatiaþ	ōdimus	μῑσέομεν	ненави́дим	nenavídim																																	
hate		active	present	indicative	2	plural	keh₂doyéte	hatiaþ	ōdistis	μῑσέετε	ненави́дите	nenavídite																																	
hate		active	present	indicative	3	plural	keh₂doyónti	hatiaþ	ōdērunt	μῑσέουσῐ(ν)	ненави́дят	nenavídjat																																	
consider		active	present	indicative	1	singular	h₁pi, tongéyóh₂	beþenċe	meditor	σκέπτομαι	обду́мываю	obdúmyvaju			# for concepts in accusative that can be attributed neither to good nor bad																														
consider		active	present	indicative	2	singular	h₁pi, tongéyési	beþenċest	meditāris,	σκέπτει	обду́мываешь	obdúmyvaješʹ			"# PIE is hypothesized based upon proto-germanic formations, lit. ""by-thinking"""																														
consider		active	present	indicative	3	singular	h₁pi, tongéyéti	beþenċeþ	meditātur	σκέπτεται	обду́мывает	obdúmyvajet	मन्यते	manyate																															
consider		active	present	indicative	1	dual	h₁pi, tongéyówos	beþenċaþ	meditāmur	σκεπτόμεθᾰ	обду́мываем	obdúmyvajem																																	
consider		active	present	indicative	2	dual	h₁pi, tongéyétes	beþenċaþ	meditāminī	σκέπτεσθον	обду́мываете	obdúmyvajete																																	
consider		active	present	indicative	3	dual	h₁pi, tongéyétes	beþenċaþ	meditantur	σκέπτεσθον	обду́мывают	obdúmyvajut																																	
consider		active	present	indicative	1	plural	h₁pi, tongéyómos	beþenċaþ	meditāmur	σκεπτόμεθᾰ	обду́мываем	obdúmyvajem																																	
consider		active	present	indicative	2	plural	h₁pi, tongéyéte	beþenċaþ	meditāminī	σκέπτεσθε	обду́мываете	obdúmyvajete																																	
consider		active	present	indicative	3	plural	h₁pi, tongéyónti	beþenċaþ	meditantur	σκέπτονται	обду́мывают	obdúmyvajut																																	
navigate		active	present	indicative	1	singular	h₃réǵoh₂		nāvigō				rājāmi	राजामि	# for observables in instrumental																														
navigate		active	present	indicative	2	singular	h₃réǵesi		nāvigās				rājasi	राजसि	"# proto indo european translation roughly means ""to right oneself"""																														
navigate		active	present	indicative	3	singular	h₃réǵeti		nāvigat				rājati	राजति	"# sanskri translation roughly means ""to direct"" or ""to steer"""																														
navigate		active	present	indicative	1	dual	h₃réǵowos		nāvigāmus				rājāvaḥ	राजावः																															
navigate		active	present	indicative	2	dual	h₃réǵetes		nāvigātis				rājathaḥ	राजथः																															
navigate		active	present	indicative	3	dual	h₃réǵetes		nāvigant				rājataḥ	राजतः																															
navigate		active	present	indicative	1	plural	h₃réǵomos		nāvigāmus				rājāmaḥ	राजामः																															
navigate		active	present	indicative	2	plural	h₃réǵete		nāvigātis				rājatha	राजथ																															
navigate		active	present	indicative	3	plural	h₃réǵonti		nāvigant				rājanti	राजन्ति																															
work		active	present	indicative	1	singular	wr̥ǵyóh₂	wyrċe	labōrō	ἔργω	рабо́таю	rabótaju			# for times in dative and ablative																														
work		active	present	indicative	2	singular	wr̥ǵyési	wyrċest	labōrās	ἔργεις	рабо́таешь	rabótaješʹ																																	
work		active	present	indicative	3	singular	wr̥ǵyéti	wyrċeþ	labōrat	ἔργει	рабо́тает	rabótajet	वृज्यते	vṛjyáte																															
work		active	present	indicative	1	dual	wr̥ǵyówos	wyrċaþ	labōrāmus	ἔργομεν	рабо́таем	rabótajem																																	
work		active	present	indicative	2	dual	wr̥ǵyétes	wyrċaþ	labōrātis	ἔργετον	рабо́таете	rabótajete																																	
work		active	present	indicative	3	dual	wr̥ǵyétes	wyrċaþ	labōrant	ἔργετον	рабо́тают	rabótajut																																	
work		active	present	indicative	1	plural	wr̥ǵyómos	wyrċaþ	labōrāmus	ἔργομεν	рабо́таем	rabótajem																																	
work		active	present	indicative	2	plural	wr̥ǵyéte	wyrċaþ	labōrātis	ἔργετε	рабо́таете	rabótajete																																	
work		active	present	indicative	3	plural	wr̥ǵyónti	wyrċaþ	labōrant	ἔργουσῐ(ν)	рабо́тают	rabótajut																																	
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
