proform	person	number	formality	gender	nominative	accusative	genitive	dative	ablative	instrumental	locative
personal	2	plural	elevated	feminine	all you♀ [elevated]	you all♀ [elevated]	all of yours♀ [elevated]	you all♀ [elevated]	you all♀ [elevated]	you all♀ [elevated]	you all♀ [elevated]
personal	2	plural	elevated	neuter	all you [elevated]	you all [elevated]	all of yours [elevated]	you all [elevated]	you all [elevated]	you all [elevated]	all of you [elevated]
personal	2	plural	formal	masculine	all you [gentlemen]	all of you [gentlemen]	all of yours [gentlemen]	all of you [gentlemen]	all of you [gentlemen]	all of you [gentlemen]	all of you [gentlemen]
personal	2	plural	formal	feminine	all you [ladies]	all of you [ladies]	all of yours [ladies]	all of you [ladies]	all of you [ladies]	all of you [ladies]	all of you [ladies]
personal	2	plural	formal	neuter	all you [respectfully]	all of you [respectfully]	all of yours [respectfully]	all of you [respectfully]	all of you [respectfully]	all of you [respectfully]	all of you [respectfully]
personal	2	plural	tuteo		you all	you all	all of yours	you all	you all	you all	you all
personal	2	plural	voseo		you all	you all	all of yours	you all	you all	you all	you all
personal	3	plural		masculine	they♂	them♂	theirs♂	them♂	them♂	them♂	them♂
personal	3	plural		feminine	they♀	them♀	theirs♀	them♀	them♀	them♀	them♀
personal	3	plural		neuter	they	them	theirs	them	them	them	them
